fastspring,Feb 6,5,Brunch söndag,"Härlig söndags brunch med musik, fullbokat men trots det inte stökigt utan gick att prata . Liveband spelade helt lagom högt.  Går gärna hit igen. Stor variation på mat och dryck . Kan beställa omelett som hörs på plats eller göra egna våfflor.  ","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 days ago",Responded 4 days ago,"Kära fastspring,  Stort tack för ditt omdöme och dina fina ord. Det gläder oss att du hade en sån fin upplevelse hos oss. Vi ser fram emot att få välkomna dig till Grand Hotel snart igen!  Önskar dig en underbar dag!  Med vänliga hälsningar, Katarina  ",Date of stay: February 2019,"[All, languages]",493
Rebecca G,Oct 2018,2,Slitet rum. Inte värt priset,"Jag bodde i ett Double Deluxe Room (I tornet), ett rum som tydligen bokas av bröllopspar?  Första anblicken är fin men tavlor hängde på sniskan, lampor var trasiga, taket hade sprickor, garderoben kändes sliten med borrhål och damm, wc sitsen var gulnad och det var nog den…","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 weeks ago",Responded 4 weeks ago,"Hej Rebecca,  Stort tack för ditt omdöme! Vad synd att din vistelse inte levde upp till förväntningarna och att du inte gillade tornrummet som du blev uppgraderad till. Vi uppskattar verkligen din ärlighet och att du delar med dig av din upplevelse. Vi tar vidare detta internt.  Du är varmt välkommen att kontakta oss i receptionen för att berätta mer om din vistelse. info@grandilund.se  Ange gärna mig som ATT.  Roligt att du gillade frukosten och vår fina hotellmiljö!  Jag önskar din en underbar dag!  Med vänliga hälsningar Katarina ",Date of stay: October 2018,"[All, languages]",493
モモ2016,Oct 2018,5,レストランを利用しました,グランドホテルのレストランを利用しました。前菜にエルク（ヘラジカ）を頂き、コースで魚や牛肉、アイスクリームをスウェーデンワインと共に頂きました。締めはボルドー産赤ワインを頂きました。一度は行ってみる価値はあると思います。,"Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 weeks ago",Responded 4 weeks ago,"Dear MikanMomo,  Thank you very much for your kind words. We are looking forward to welcoming you to Grand Hotel again!  I wish you a lovely day.  Yours sincerely, Katarina",Date of stay: October 2018,"[All, languages]",493
Kjell K,Oct 2018,4,Bromans,En lördagslunch m frugan. Beställde en av ”klassikerna” som är ”Bromans whiskyköttbullar”. Blev trevligt bemötta i samband med hänvisning till bord. Professionellt vänligt bemötta av servispersonal. Rikligt (alltför rikligt -12 st) med köttbullar. Fräscha lingon o pressgurka…,"Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 weeks ago",Responded 4 weeks ago,"Hej Kjell,  Stort tack för ditt omdöme. Det gläder oss att du och din fru hade en trevlig matupplevelse hos oss och gick hem mätta och nöjda!  Vi ser fram emot att få välkomna er till Grand Hotel igen!  Med vänliga hälsningar, Katarina",Date of stay: October 2018,"[All, languages]",493
Mario_1725,Oct 2018,4,Grandest in Lund,"I was there with works taking place in the square, all in a mess. But I think it'a going to loo even better when ready. Very good breakfast, beautiful room, and several nice details of decoration, some in art-nouveau style. Good service, parking nearby.","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 weeks ago",Responded 4 weeks ago,"Dear Mario,  Thank you very much for your review. We are very happy to hear that you enjoyed your stay and liked both the room and our lovley breakfast. The construction of Bantorget is finally finished and I'm delighted to tell you that it has become absolutely stunning!   We hope to welcome you to Grand Hotel soon again.  Have a wonderful day!  Yours sincerely Katarina",Date of stay: September 2018,"[All, languages]",493
853Mimmi,Sep 2018,4,Slitet... ,"Blev intresserad av att tillbringa en natt på detta hotell med bra läge vid centralen, kultur, parker, shopping mm. Önskade ett rum högt upp vilket jag också fick men i beskrivningen stod det nyrenoverade rum vilket inte stämde. Väldigt slitet... Sov iallafall bra i den sköna…","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 weeks ago",Responded 4 weeks ago,"Hej,  Stort tack för ditt omdöme! Tråkigt att din vistelse inte levde upp till förväntningarna och att du inte gillade ditt rum. Vi uppskattar verkligen att du delar med dig av din upplevelse och tar åt oss dina ord.   Det gläder mig att du sov gott och gillade frukostbuffén!  Du är varmt välkommen att kontakta oss i receptionen för att berätta mer om din vistelse. info@grandilund.se Ange gärna mig som ATT.  Jag önskar dig en fin dag!  Med vänliga hälsningar, Katarina Rosberg  ",Date of stay: September 2018,"[All, languages]",493
cathfelix,Sep 2018,5,Lund charm!,"This beautiful hotel is perfectly located in the city centre. It is very charming and close to everything: the railway, buses, restaurants, shops... Staff is excellent: welcoming and service minded. Rooms are big, clean and pretty. The hotel bar has a great atmosphere and a good…","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 weeks ago",Responded 4 weeks ago,"Dear guest,  Thank you very much for your kind words. We are delighted to hear that you had a pleasant stay an enjoyed both your room as well as the restaurant. We hope to welcome you back soon again!  Have a nice day!  Yours sincerely, Katarina",Date of stay: December 2017,"[All, languages]",493
Tjosan,Aug 2018,5,Klassisk Lundamiljö,"Trevligt nyrenoverat rum som förde tankarna till Paris. Utsikt mot torget och parken. Sköna sängar och utmärkt frukost. Originellt att duschrum och toalett var i separata utrymmen , men praktiskt. Magnifik entré till hotellet","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 22, 2018","Responded Aug 22, 2018","Kära Tjosan,  Tackar allra ödmjukast för trevlig recension.  Det gläder oss verkligen.  Hjärtligt välkommen åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: August 2018,"[All, languages]",493
goldweasel,Aug 2018,5,Nomen est omen,"Wir haben uns sehr wohl gefühlt im Grand Hotel Lund. Das Ambiente ist wunderbar, sehr gediegen. Das Frühstück lässt keine Wünsche offen. Für mich ist das Hotel ein tolles Hide Away im kleinen, beschaulichen Lund. Einen Ausflug zu Ales Stenar (Schiffssetzung über dem Meer) ist…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 22, 2018","Responded Aug 22, 2018",Vielen Dank für freundliche worte. Herzlich willkommen wieder!  Mit freundlichen Grüßen Mattias Lindberg,Date of stay: August 2018,"[All, languages]",493
Karina G,Aug 2018,5,Högsta klass på allt - känsla av lyx,Det gamla anrika hotellet är familjeägt och ingår inte i någon kedja. Entrén lovar lyx med den röda mattan och lyxigt är det också. Fina och eleganta rum med hög klass på varorna i rummets minibar samt lokala snacks från regionen. Egenvårdsprodukter från Rituals i badrummet.…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 20, 2018","Responded Aug 20, 2018","Kära gäst,  Tusen tack för vänliga ord.  Hjärtligt välkomna åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: August 2018,"[All, languages]",493
Gerbrand C,Aug 2018,4,Good service.  No AC in summer ,Nice classic hotel.   Service was good but European style.  So dont expect warm and fuzzy.  Breakfast buffet is ok but a bit overpriced.    Virtually no fruit at breakfast.   Biggest issue was the lack of AC. We were there 9n a very hot period.  You had the choice of being hot…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 20, 2018","Responded Aug 20, 2018","Dear guest,  Thank you for the kind words and the high rating.  Unfortunately it was really warm and it was really hard to do something about it.  Though, we will in September start our project refurnishing our ventialtion sytem for the future.  We also want it cooler. So we hope for the the best  .  Sincerely Mattias Lindberg",Date of stay: August 2018,"[All, languages]",493
to_experience_new,Aug 2018,5,"Almost luxury, for a decent price","Every year we attend one of the Student’s ball at University and then we, for a few years now, stay at Grand Hotel. Not a luxury hotel, but well above the middle-class as well. Good rooms with some space, an excellent (!) breakfast and right in the middle of Lund. A little extra…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 20, 2018","Responded Aug 20, 2018","Dear guest,  Many thanks for the kind words.  Sincerely Mattias Lindberg ",Date of stay: March 2018,"[All, languages]",493
Leif Andersson,Aug 2018,4,Varmt välkomna! ,"Firade min sextioårsdag på detta anrika hotell. Välstädat, bra service och uppmärksamhet från personalen. Liten present på rummet också väldigt trevligt. Gillar detta hotell sedan länge och efter utbyggnaden kändes det ännu bättre. Nu var det fruktansvärt varmt den dagen vi var…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 20, 2018","Responded Aug 20, 2018","Kära gäst,  Tusen tack för trevlig recension.  Vi tar åt oss av detaljerna som störde och ska göra allt för att de inte upprepas.  Hjärtligt välkommen åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: August 2018,"[All, languages]",493
Jakob_per,Jul 2018,2,VARMT,"Sovit sämst på flera år. Fint anrikt hotell men jag skulle gissa att vi hade 30 grader på rummet. Ingen fläkt, ingen ventilation och buller utanför rummet. Varför säger man inte att rummet ni kommer hyra är väldigt varmt när vi gör bokningsförfrågan? Allt blir så mycket värre…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 20, 2018","Responded Aug 20, 2018","Kära gäst,  Jag kan bara be så mycket om ursäkt. Vi har brustit här och vi tar med oss detta som lärdom när det kommer till information vid bokningstillfället.  Det har varit extremt varmt och extrem väder för oss alla och det har inte varit så lätt, tyvärr.  Vi kommer som följd av denna sommar påbörja vårt projekt i september med att se över hela vårt ventilationssystem. Givetvis skall det vara bekvämt att sova.  Hör gärna av dig,  Med vänlig hälsning Mattias Lindberg",Date of stay: July 2018,"[All, languages]",493
jorrep,Jul 2018,5,One of the few grands,"Sweden is not blessed with many true grand hotels. In my mind, the notion of a Grand Hotel is a Central European one, a culture-defining regional establishment oozing of traditions, legends and old-world extravaganza. As hoteliers or guests we merely look it after for the next…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 20, 2018","Responded Aug 20, 2018","Dear guest,  Out of words. Thank you very much.  Sincerely Mattias Lindberg",Date of stay: April 2018,"[All, languages]",493
porvera,Jul 2018,5,Lovely Hotel,"We only had one night here. Room was spacious, although the bathroom was particularly tight.  The reception and bar area are very nice, great staff. We had a drink in the evening and clearly a very popular destination.  Breakfast was good, usual things on offer.  Parking is in…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 20, 2018","Responded Aug 20, 2018","Dear guest,  Thank yoy very much for the kind words.  Sincerely Mattias Lindberg ",Date of stay: July 2018,"[All, languages]",493
BoySue,Jul 2018,4,Räkmacka o en öl i solen,Ny och härlig uteservering. Även om en del arbete kvarstår. Grym service! Vi åt räkmacka (stor!) på grovt bröd med öl och sill o potatis m nubbe o öl. Bra smaker på sillen och majonäsen till räkorna. och vackert upplagt. Men var tog erbjudandet om svartpeppar från den stora…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jul 16, 2018","Responded Jul 16, 2018","Kära gäst,  Tusen tack för vänliga ord.  Att vi bomma att erbjuda svartpeppar från den stora kvarnen var en miss. Det tar vi åt oss.   Hjärtligt välkomna åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: July 2018,"[All, languages]",493
Dan P,Jul 2018,4,Utsökt räksmörgås ,"AW på Grand i Lund. Utsökt räksmörgås. Vi tog den mindre med 130 gram räkor. Vi orkade knappt äta upp. Saftig och spröd med fina räkor, ägg, gurka o majonnäs. Tar man den större ska man vara rejält hungrig, 200 gram bara räkor. Fin ute servering i kvällssolen. ","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jul 16, 2018","Responded Jul 16, 2018",Tusen tack för vänliga ord.  Hjärtligt välkomna åter!  Med vänlig hälsning Mattias Lindberg,Date of stay: July 2018,"[All, languages]",493
Zanna L,Jul 2018,4,Mitt i smeten med underbar frukost.,"Mycket trevlig personal, fantastisk frukost och nära till både tågstation och utelivet. Det negativa är att det inte finns någon AC eller ventilation alls och att öppna fönstren gjorde att man släppte in allt ljud som finns ute, både trafik, tågljud och nattlivsfolk, har man…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jul 9, 2018","Responded Jul 9, 2018","Kära gäst,  tack för en trevlig och informativ recension.  När det kommer till ventilation så startar vi höst resan med att uppgrader och förnya ventilationen på hela Grand. Det kommer bli en riktigt trevlig resa. Både för oss och för alla gäster.  Än en gång tack!  Med vänlig hälsning Mattias Lindberg",Date of stay: July 2018,"[All, languages]",493
Irishannie18,Jul 2018,5,Stately Old Hotel,Beautiful hotel.  Front under construction so it helped we were there on the weekend.  Rooms excellent.  No coffee maker or kettle in room. Great black out curtains for the long summer daylight.  Would ask for a room off the front of hotel as bars across the road can be noisy. …,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jul 9, 2018","Responded Jul 9, 2018","Dera guest,  Thank you very much for the kind review.  Sincerely Mattias Lindberg",Date of stay: June 2018,"[All, languages]",493
jukka_tahka,Jun 2018,5,Great hotel,"This hotel was like a mansion, renowation has done recpect 120 years history. Spirit was unique and harmonious. Breakfast was good and here was also chef for cooking omelets. Room and bed was good. Thanks!","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jul 2, 2018","Responded Jul 2, 2018","Dear guest,  Many thanks for the kind words.  Sincerely  Mattias Lindberg ",Date of stay: June 2018,"[All, languages]",493
Pvrpla,Jun 2018,3,Potrebbe essere meglio,A me piacciono le cose che sanno di antico e quindi sicuramente il Grand Hotel ricorda un tempo lontano ed i suoi sfarzi.  Salire sulla scalinata ti fa sentire una mezza principessa. :-) e la posizione centrale è magnifica.  consiglierei maggior cura nell’igiene e nella cura. La…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jul 2, 2018","Responded Jul 2, 2018","Dear guest,  Thank you for the kind words.  Concerning your remarks we will absolutely make an action on it.   Sincerely Mattias Lindberg  ",Date of stay: June 2018,"[All, languages]",493
Ingmar53,Jun 2018,4,A 'grand dame' of a hotel in a great location,"I was attending a conference at Lund University, and at the last minute changed my booking to this hotel, after I learned that most of the conference speakers were staying here. We arrived by train from nearby Copenhagen, and the hotel is little more than a block from the train…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jul 2, 2018","Responded Jul 2, 2018","Dear guets,  What can I say. Thank you so much for the kind words of describing your stay.  it`s true, the community is remodeling the square in front of the hotel and it`is going to be fully restored and finished by the end of January 2019. It will be both beautiful and very friendly..  We will of course take your thoughts concerning the room in concideration..  Very welcome back!  Sincerely Mattias Lindberg .  ",Date of stay: June 2018,"[All, languages]",493
MollyCity,Jun 2018,4,Grand Hotel that is getting its act together.,Five visits in the last year - university related.  When you book a central location you inevitably suffer with some level of noise but this can be avoided. Book outside university term-times. Ask for rooms at the back - there are views and you will avoid the nightlong train…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jul 10, 2018","Responded Jul 10, 2018","Dear guest,  Many thanks for the tip and suggestions to improve our work and yes the work outside concerning the square is going on it`s last period.  I will of course inform our American waiter about the kind Words you have been writing.  Thank you for loving Lund!  Sincerely Mattias Lindberg  ",Date of stay: June 2018,"[All, languages]",493
bounty,Jun 2018,3,Bien dans l'ensemble,Chambre correct Services parfait un repas dégusté pour un déjeuner bon mais pas à mon goût car se sont des produits travailler pour la gastronomie suédoise que je ne trouve pas trop formidable et surtout pas à mon goût des oeufs de saumon servi avec une cuillère de crème et deux…,,,,Date of stay: June 2018,"[All, languages]",493
88magnusr,May 2018,4,The Classic place in Lund,Food is fine but not great. But the food is not the prime reason to go here. If you are a foodie there are more exciting places in Lund. You go here to get the atmosphere of the truly most classical restaurant in Lund. Try the Sten Broman whiskey meat balls. An evergreen on the…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded May 21, 2018","Responded May 21, 2018","Dear guest,  Thank you for the kind words.  Sincerely Mattias Lindberg  ",Date of stay: May 2018,"[All, languages]",493
clindsten,May 2018,3,Ris o Ros,Mycket varmt enkelrum mot baksidan på fjärde våningen Svårt att sova pga värmen öppnar man fönstret då bullrar någon fläkt anläggning ute på taket lånad fläkt bullrar också upplever det hela väldigt jobbigt. Annars allt perfekt.,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded May 21, 2018","Responded May 21, 2018","Hej CLindsten,  Vi tar emot informationen med öppna armar. Tack.  Vi är dock medvetna om att det kan vara lite varmt på en del rum. Därför har vi sedan ett par månader tillbaka startat projektet med att uppgradera vår ventilation i hela huset. Projektering och bygglov klart. Inom kort trycker vi på knappen.  Tack igen för informationen och hjärtligt välkomna åter.  Med vänlig hälsning Mattias Lindberg  ",Date of stay: May 2018,"[All, languages]",493
Pyrrho,May 2018,4,Stylish hotel and restaurant,We stayed in the grand for several nights and have returned for drinks in the bar. The service is very good here and the atmosphere is very good - old style charm.  The rooms we stayed in were comfortable and nicely presented and the breakfast is very good. The bar is…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded May 17, 2018","Responded May 17, 2018","Dear guests,  Thank you so much for the kind words.  We hope we meet again.  Sincerely Mattias Lindberg",Date of stay: June 2017,"[All, languages]",493
ankahu,May 2018,5,Klassiskt elegant hotell,Fina rum och trevlig restaurang med utmärkt mat och vin. Sköna sängar och kvalitetsprodukter i badrummet. Dock skulle det vara mycket bättre med en rad eleganta krokar och galjar i hallen. Stort otympligt klädskåp känns väldigt ofräscht och omodernt. Annars var allt toppen!,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded May 17, 2018","Responded May 17, 2018","Kära gäst,  Tusen tack för vänliga ord.  Vi tar med oss informationen gällande detaljerna kring inredningen i våra rum till vår inredningsdesigner.  Hjärtligt välkommen åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: May 2018,"[All, languages]",493
Lars E,May 2018,1,NOT for me,"A money machine, nothing but.. Not for us... We found the staff fairly arrogant and they are refurbishing the square right in front of the hotel, which means heavy machinery at work from around 8 am...","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded May 14, 2018","Responded May 14, 2018","Dear Lars E,  Really sad reading. Concerning the staff I can only ask to talk to me and give me more information.  Please get back to me at mattias.lindberg@grandilund.se.  When it comes to the construction of the new Square in front of us I cant really do so much about it. Its the Community that has the full responsibilityr here. We know it has been as tuff time for all of us but this week they are finished with the part just in front of us and they are moving more south with the construction just as we speak.   Please get back to me.  Sincerely Mattias Lindberg.  ",Date of stay: May 2018,"[All, languages]",493
amandamagnum1996,May 2018,1,Extremt dåligt veganskt utbud,"Bokade frukost och skrev i bokningen att vi var en vegan i sällskapet. Fick varken ett mejlsvar tillbaka eller någon sorts kommentar när vi kom dit. Det som fanns att äta för en vegan var ugnsbakade tomater, bröd, tomat och gurka. De hade laktosfria alternativ, men inga…","Response from GrandHoteLund, Chef at Grand Hotel LundResponded May 4, 2018","Responded May 4, 2018","Kära amandamagnum1996,  Vi tycker det är tråkigt att du upplevt en mindre tillfredställande frukost på Grand Hotel. Vi har uppenbarligen brustit i våra rutiner och kommunikation. Vi värnar om våra gästers behov och vill att alla ska lämna Grand Hotel med glädje och en önskan att återvända inom kort!  Jag skulle uppskatta om du vill kontakta mig direkt på event@grandilund.se för att berätta mer om din upplevelse.   Med vänlig hälsning Niclas Klingspor Event- och frukostansvarig ",Date of stay: April 2018,"[All, languages]",493
Wazid_1,Apr 2018,4,Afternoon Tea av hög klass,"Familjen var på afternoon Tea. Vi blev väl bemötta av mycket trevlig personal. Gott att äta och en trevlig eftermiddag i trevlig miljö. En handfull varianter av te fanns att välja på och påfyllning skedde i lagom takt. Scones, snittar och sötsaker varvades med teerna. Kan…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Apr 30, 2018","Responded Apr 30, 2018","Kära gäst,  Tack för trevlig recension. Det värmde.  Hjärtligt välkommen åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: April 2018,"[All, languages]",493
Pignol,Apr 2018,4,Una bella sistemazione.,"Comodo, vicino alla stazione con facciata che si ricorda (peccato i lavoti sulla piazza). Siamo stati sistemati in una bella stanza all'utlimo piano (l'ascensore arriva al quarto) fornita di ogni cosa e con una simpatica terrazza privata su cui godersi il sole (noi l'abbiamo…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Apr 23, 2018","Responded Apr 23, 2018","Caro ospite,  Grazie mille per le belle parole.  Ci prendiamo cura dell'oscuramento delle nostre finestre e guardiamo se possiamo tornare con i nostri dolci e pasticcini.  Ancora una volta Grazie mille e benvenuto ancora!  Cordiali saluti  Mattias Lindberg",Date of stay: April 2018,"[All, languages]",493
