,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
13,Lund_02242,Water resources,Body of water,Water,Sky,Natural landscape,River,Natural environment,Lake,Bank,Vegetation,L TR TR,Charlotte Skarin, May 2017,"Water resources,Body of water,Water,Sky,Natural landscape,River,Natural environment,Lake,Bank,Vegetation"
14,Lund_02813,Landmark,Building,Architecture,Classical architecture,Medieval architecture,Facade,Historic site,Place of worship,Cathedral,City,Chocolaterie Hovby |,A  Anna-Grethe Sore, May 2017,"Landmark,Building,Architecture,Classical architecture,Medieval architecture,Facade,Historic site,Place of worship,Cathedral,City"
15,Lund_03146,Aerial photography,Bird's-eye view,Land lot,Plain,Sky,Air travel,Atmospheric phenomenon,Photography,Landscape,Rural area,Lund Sédra Tpl.,e Bjorn Davidsson, May 2017,"Aerial photography,Bird's-eye view,Land lot,Plain,Sky,Air travel,Atmospheric phenomenon,Photography,Landscape,Rural area"
16,Lund_01722,Building,City,Architecture,Town,Property,Human settlement,Landmark,Neighbourhood,Public space,Mixed-use,Lundagérd,'v Rafael Schwartz, May 2018,"Building,City,Architecture,Town,Property,Human settlement,Landmark,Neighbourhood,Public space,Mixed-use"
17,Lund_01168,Body of water,Natural landscape,Bank,Water resources,Pond,Nature,Water,Watercourse,River,Natural environment,Stadsparken ¢,ﬂ Wiestaw Buda, May 2018,"Body of water,Natural landscape,Bank,Water resources,Pond,Nature,Water,Watercourse,River,Natural environment"
18,Lund_02193,Road,Yellow,Town,Residential area,Building,Tree,Street,Asphalt,Suburb,Signage,kiann544 Nader,kiann544 Nader, May 2017,"Road,Yellow,Town,Residential area,Building,Tree,Street,Asphalt,Suburb,Signage"
19,Lund_00248,Estate,Building,Palace,Château,Mansion,Landmark,Stately home,Official residence,Architecture,Classical architecture,Lundagérd 9,J) Javier Castro, May 2017,"Estate,Building,Palace,Château,Mansion,Landmark,Stately home,Official residence,Architecture,Classical architecture"
20,Lund_01456,Estate,Mansion,Building,Property,Landmark,Architecture,House,Official residence,Home,Palace,mobile 8,Yun Liu, May 2012 \i,"Estate,Mansion,Building,Property,Landmark,Architecture,House,Official residence,Home,Palace"
21,Lund_01388,Garden,Botanical garden,Green,Grass,Botany,Tree,Lawn,Shrub,Park,Landscaping,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018,"Garden,Botanical garden,Green,Grass,Botany,Tree,Lawn,Shrub,Park,Landscaping"
22,Lund_02257,Grassland,Land lot,Pasture,Meadow,Natural landscape,Natural environment,Prairie,Plain,Field,Rural area,Kent Johansson,Kent Johansson, May 2017,"Grassland,Land lot,Pasture,Meadow,Natural landscape,Natural environment,Prairie,Plain,Field,Rural area"
23,Lund_02025,Property,Residential area,Building,Town,House,Neighbourhood,Architecture,Mixed-use,Real estate,Home,LBS Lund,Jonathan Lundbe, May 2018,"Property,Residential area,Building,Town,House,Neighbourhood,Architecture,Mixed-use,Real estate,Home"
24,Lund_02498,Natural landscape,Sky,Grassland,Nature,Field,Natural environment,Prairie,Blue,Meadow,Green,é Henrik Larsson,é Henrik Larsson, May 2017,"Natural landscape,Sky,Grassland,Nature,Field,Natural environment,Prairie,Blue,Meadow,Green"
25,Lund_00519,Landmark,Architecture,Building,Medieval architecture,Church,Facade,Classical architecture,Place of worship,Sky,Historic site,Lund Tourist Center,5‘3.‘..@ LU G, May 2016,"Landmark,Architecture,Building,Medieval architecture,Church,Facade,Classical architecture,Place of worship,Sky,Historic site"
26,Lund_01767,Landmark,Architecture,Classical architecture,Building,Facade,House,Tourist attraction,Column,Seat of local government,Home,OLYMPUS DIGITAL C,@ Mariusz Denkiew, May 2016,"Landmark,Architecture,Classical architecture,Building,Facade,House,Tourist attraction,Column,Seat of local government,Home"
27,Lund_01147,Medieval architecture,Architecture,Building,Landmark,Place of worship,Church,Classical architecture,Gothic architecture,Cathedral,Facade,Lund Cathedral,@ Sumeet Ranjan S, May 2017,"Medieval architecture,Architecture,Building,Landmark,Place of worship,Church,Classical architecture,Gothic architecture,Cathedral,Facade"
28,Lund_00272,Landmark,Architecture,Spring,Public space,Building,Flower,Plant,City,Plaza,Tourist attraction,Lundagérd,=) Madelaine Sundk, May 2017,"Landmark,Architecture,Spring,Public space,Building,Flower,Plant,City,Plaza,Tourist attraction"
29,Lund_01782,Fountain,Garden,Botanical garden,Natural landscape,Property,Lawn,Grass,Tree,Park,Botany,Stadsparken 9,Amir Armfalk, May 2017,"Fountain,Garden,Botanical garden,Natural landscape,Property,Lawn,Grass,Tree,Park,Botany"
30,Lund_02062,Water,Fountain,Landmark,Architecture,Tree,Botany,Water feature,Garden,Reflecting pool,Building,Lundagérd,Ireneusz Sakowi, May 2017,"Water,Fountain,Landmark,Architecture,Tree,Botany,Water feature,Garden,Reflecting pool,Building"
31,Lund_01658,Reflection,Nature,Water,Pond,River,Garden,Bank,Tree,Waterway,Lake,Botanical Garden,Leila Daoud, May 2017,"Reflection,Nature,Water,Pond,River,Garden,Bank,Tree,Waterway,Lake"
32,Lund_01329,Body of water,Water resources,Natural landscape,Nature,Natural environment,Sky,Water,Reflection,Marsh,Cloud,|G AT,L Bengt Jiirs, May 2014,"Body of water,Water resources,Natural landscape,Nature,Natural environment,Sky,Water,Reflection,Marsh,Cloud"
33,Lund_02699,Landmark,Architecture,Botany,Flower,Plant,Garden,Spring,Building,House,Estate,Lundagérd,D) David Bengtsson, May 2018,"Landmark,Architecture,Botany,Flower,Plant,Garden,Spring,Building,House,Estate"
34,Lund_01897,Architecture,Residential area,Building,Metropolitan area,Property,Human settlement,Mixed-use,Urban area,City,Sky,R Y T EY T T,R Y T EY T T, May 2016,"Architecture,Residential area,Building,Metropolitan area,Property,Human settlement,Mixed-use,Urban area,City,Sky"
35,Lund_00869,Landmark,Medieval architecture,Architecture,Building,Place of worship,Classical architecture,Church,Sky,Facade,Historic site,Lund Cathedral,@ Sumeet Ranjan S, May 2017,"Landmark,Medieval architecture,Architecture,Building,Place of worship,Classical architecture,Church,Sky,Facade,Historic site"
36,Lund_01579,Natural landscape,Natural environment,Nature reserve,Fen,Bank,Water resources,Land lot,Wetland,Pasture,Grassland,Férhagar (Hundrastg,K Kalle Andersson, May 2018,"Natural landscape,Natural environment,Nature reserve,Fen,Bank,Water resources,Land lot,Wetland,Pasture,Grassland"
37,Lund_01838,Landmark,Architecture,Building,Tree,Dome,Sky,Grass,City,Stately home,Medieval architecture,[T T o1 T 1T,@ iR, May 2018,"Landmark,Architecture,Building,Tree,Dome,Sky,Grass,City,Stately home,Medieval architecture"
38,Lund_00775,Landmark,Architecture,Building,Castle,Tree,Medieval architecture,Estate,Sky,Grass,Historic site,Lundagérd 9,% Vesna Fati¢, May 2017,"Landmark,Architecture,Building,Castle,Tree,Medieval architecture,Estate,Sky,Grass,Historic site"
39,Lund_00829,Building,Estate,Landmark,Mansion,Architecture,Stately home,Château,Palace,Garden,House,[T 3,"""Q AL T", May 2018,"Building,Estate,Landmark,Mansion,Architecture,Stately home,Château,Palace,Garden,House"
40,Lund_00754,Landmark,Building,Classical architecture,Architecture,Palace,Mansion,Estate,Presidential palace,Official residence,Stately home,Lundagérd &,% Melissa lisley, May 2017,"Landmark,Building,Classical architecture,Architecture,Palace,Mansion,Estate,Presidential palace,Official residence,Stately home"
41,Lund_01283,Landmark,Architecture,Building,Tree,Estate,Grass,Plant,Monument,Classical architecture,National historic landmark,Lundagérd o,E AR, May 2016,"Landmark,Architecture,Building,Tree,Estate,Grass,Plant,Monument,Classical architecture,National historic landmark"
42,Lund_00121,Spire,Steeple,Church,Tree,Building,Architecture,Place of worship,Leaf,Sky,Tower,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017,"Spire,Steeple,Church,Tree,Building,Architecture,Place of worship,Leaf,Sky,Tower"
43,Lund_00392,Palace,Estate,Building,Mansion,Château,Architecture,Official residence,Plaza,City,House,Lundagérd,"% e,", May 2016,"Palace,Estate,Building,Mansion,Château,Architecture,Official residence,Plaza,City,House"
44,Lund_00588,Garden,Nature,Green,Fountain,Tree,Botanical garden,Grass,Sky,Lawn,Botany,Stadsparken 9,WY TN ]S, May 2017,"Garden,Nature,Green,Fountain,Tree,Botanical garden,Grass,Sky,Lawn,Botany"
45,Lund_02301,Land vehicle,Vehicle,Car,Town,Classic,Antique car,Asphalt,Classic car,Vintage car,City,Hep Cat Store 3,Kjell Larsson, May 2013,"Land vehicle,Vehicle,Car,Town,Classic,Antique car,Asphalt,Classic car,Vintage car,City"
46,Lund_00975,Medieval architecture,Landmark,Architecture,Building,Church,Place of worship,Steeple,Gothic architecture,Spire,Cathedral,Lund Cathedral,p Christian Kinnun, May 2017,"Medieval architecture,Landmark,Architecture,Building,Church,Place of worship,Steeple,Gothic architecture,Spire,Cathedral"
47,Lund_01270,Property,Estate,House,Building,Tree,Home,Grass,Architecture,Mansion,Botany,Stadsparken c,(1RG0, May 2017,"Property,Estate,House,Building,Tree,Home,Grass,Architecture,Mansion,Botany"
48,Lund_02054,Architecture,Sky,Landmark,Building,Tree,Tower,Church,City,Cathedral,Place of worship,Lundagérd 2,‘T) Vesna Fati¢, May 2017,"Architecture,Sky,Landmark,Building,Tree,Tower,Church,City,Cathedral,Place of worship"
49,Lund_00326,Architecture,Building,Landmark,Medieval architecture,Church,Place of worship,Sky,Cathedral,City,Facade,Lund Cathedral,ﬁ Sumeet Ranjan S, May 2017,"Architecture,Building,Landmark,Medieval architecture,Church,Place of worship,Sky,Cathedral,City,Facade"
50,Lund_00811,Spire,Landmark,Steeple,Architecture,Building,Place of worship,Church,Parish,Chapel,Medieval architecture,Allhelgonakyrkan,6 NI D, May 2004,"Spire,Landmark,Steeple,Architecture,Building,Place of worship,Church,Parish,Chapel,Medieval architecture"
51,Lund_00563,Estate,Building,Mansion,Property,Palace,Official residence,Stately home,House,Architecture,Manor house,Lundagérd,"% e,", May 2016,"Estate,Building,Mansion,Property,Palace,Official residence,Stately home,House,Architecture,Manor house"
52,Lund_02711,Property,Door,Home door,Window,Building,House,Real estate,Room,Home,Screen door,Frisk o Vacker Hudvi,(‘?‘ Estee Lavinen, May 2018,"Property,Door,Home door,Window,Building,House,Real estate,Room,Home,Screen door"
53,Lund_00367,Landmark,Building,Architecture,Mansion,Estate,Palace,Official residence,Presidential palace,Stately home,Sky,Lundagérd 8,%) David Smith, May 2017,"Landmark,Building,Architecture,Mansion,Estate,Palace,Official residence,Presidential palace,Stately home,Sky"
54,Lund_00761,Building,Architecture,Property,Landmark,House,Estate,Tree,City,Stately home,Campus,Historiska museet vi,6 SN YN, May 2015,"Building,Architecture,Property,Landmark,House,Estate,Tree,City,Stately home,Campus"
55,Lund_02648,Natural landscape,Vegetation,Natural environment,Meadow,Grassland,Prairie,Grass,Nature reserve,Shrubland,Plant community,Brunnshdgs kojskog,# Viktor Erik Jense, May 2017,"Natural landscape,Vegetation,Natural environment,Meadow,Grassland,Prairie,Grass,Nature reserve,Shrubland,Plant community"
56,Lund_01719,Town,Neighbourhood,Building,Street,Transport,Human settlement,Architecture,Road,City,Residential area,‘ﬁ James Andrews,‘ﬁ James Andrews, May 2017,"Town,Neighbourhood,Building,Street,Transport,Human settlement,Architecture,Road,City,Residential area"
57,Lund_02526,Natural landscape,Sky,Nature,Reflection,Water,Natural environment,Water resources,Marsh,Grassland,Cloud,e Bjérn Davidsson,e Bjérn Davidsson, May 2016,"Natural landscape,Sky,Nature,Reflection,Water,Natural environment,Water resources,Marsh,Grassland,Cloud"
58,Lund_01513,Road,Natural landscape,Green,Grass,Pasture,Lane,Natural environment,Asphalt,Grassland,Thoroughfare,Sankt Hans Hill,Rafael Schwartz, May 2018,"Road,Natural landscape,Green,Grass,Pasture,Lane,Natural environment,Asphalt,Grassland,Thoroughfare"
59,Lund_00327,Landmark,Architecture,Estate,Building,House,Mansion,Grass,Tree,Château,Stately home,Stadsparken,D # Douglas William:s, May 2017,"Landmark,Architecture,Estate,Building,House,Mansion,Grass,Tree,Château,Stately home"
60,Lund_00546,Sky,Property,Garden,Town,Public space,Building,Estate,Botany,Spring,Architecture,Lundagérd,%S Orlando Medina, May 2018,"Sky,Property,Garden,Town,Public space,Building,Estate,Botany,Spring,Architecture"
61,Lund_00450,Estate,Building,Palace,Mansion,Property,Official residence,Château,Stately home,Manor house,House,Lundagérd,"% e,", May 2016,"Estate,Building,Palace,Mansion,Property,Official residence,Château,Stately home,Manor house,House"
62,Lund_01005,Building,Town,City,Human settlement,Landmark,Architecture,Public space,Plaza,Town square,Mixed-use,The Bishops Arms,J) JAKAWAT PUMP, May 2017,"Building,Town,City,Human settlement,Landmark,Architecture,Public space,Plaza,Town square,Mixed-use"
63,Lund_02434,Natural landscape,Nature,Vegetation,Nature reserve,Green,Grass,Natural environment,Watercourse,Bank,Water resources,Rinnebick Gorge 2,L 1T T, May 2014,"Natural landscape,Nature,Vegetation,Nature reserve,Green,Grass,Natural environment,Watercourse,Bank,Water resources"
64,Lund_00433,Classical architecture,Building,Landmark,Architecture,Facade,Palace,Courthouse,Official residence,House,Seat of local government,Mat & Destillat,A  Anna-Grethe Sore, May 2017,"Classical architecture,Building,Landmark,Architecture,Facade,Palace,Courthouse,Official residence,House,Seat of local government"
65,Lund_01264,Landmark,Medieval architecture,Architecture,Building,Place of worship,Church,Facade,Classical architecture,Cathedral,Convent,OLYMPUS DIGITAL C,) Michael Field, May 2012,"Landmark,Medieval architecture,Architecture,Building,Place of worship,Church,Facade,Classical architecture,Cathedral,Convent"
66,Lund_00752,Landmark,Mansion,Architecture,Garden,Building,Spring,Estate,Palace,Stately home,Botany,g Oleg Izyumenko,g Oleg Izyumenko, May 2017,"Landmark,Mansion,Architecture,Garden,Building,Spring,Estate,Palace,Stately home,Botany"
67,Lund_00504,Body of water,Waterway,Canal,Water,Property,River,Pond,Bank,Reflection,Town,Botanical Garden,@ Christian Stahibe, May 2017,"Body of water,Waterway,Canal,Water,Property,River,Pond,Bank,Reflection,Town"
68,Lund_01760,Building,Commercial building,Facade,Architecture,Signage,Mixed-use,Corporate headquarters,City,,,Audi Lund - Toveks C,Rebecca nohlgre, May 2017,
69,Lund_00978,Landmark,Architecture,Sky,Building,Tree,Spring,Castle,Grass,Estate,House,Lundagérd 9,% Vesna Fati¢, May 2017,"Landmark,Architecture,Sky,Building,Tree,Spring,Castle,Grass,Estate,House"
70,Lund_01012,Property,Tree,Landmark,Architecture,Building,Town,Spring,House,Public space,Mansion,Lundagérd,r  rawlings nechavz, May 2018,"Property,Tree,Landmark,Architecture,Building,Town,Spring,House,Public space,Mansion"
71,Lund_01662,Landmark,Building,Mansion,Architecture,Estate,Palace,Official residence,House,Presidential palace,Spring,Lundagérd,@ Felicia Johansso, May 2017,"Landmark,Building,Mansion,Architecture,Estate,Palace,Official residence,House,Presidential palace,Spring"
72,Lund_01839,Estate,Mansion,Building,Property,Palace,Landmark,Château,Official residence,Stately home,Manor house,Lundagérd,Jitka Lepiarzova, May 2016,"Estate,Mansion,Building,Property,Palace,Landmark,Château,Official residence,Stately home,Manor house"
73,Lund_01625,Town,Property,City,Building,Roof,Human settlement,Neighbourhood,Urban area,Tree,Residential area,A LG,Jonte Eckhardt, May 2018,"Town,Property,City,Building,Roof,Human settlement,Neighbourhood,Urban area,Tree,Residential area"
74,Lund_00960,Classical architecture,Building,Architecture,Landmark,Facade,Mansion,Palace,Courthouse,Estate,Official residence,Lundagérd 8,:‘ Sufian Kamel, May 2018,"Classical architecture,Building,Architecture,Landmark,Facade,Mansion,Palace,Courthouse,Estate,Official residence"
75,Lund_01736,Natural landscape,Pasture,Green,Grassland,Road,Natural environment,Grass,Field,Meadow,Sky,Férhagar (Hundrastg,K Kalle Andersson, May 2018,"Natural landscape,Pasture,Green,Grassland,Road,Natural environment,Grass,Field,Meadow,Sky"
76,Lund_00636,Landmark,Building,Spring,Flower,Architecture,Plant,Palace,Reflecting pool,Estate,Château,Lundagérd,B Bertha Rohenkol, May 2016,"Landmark,Building,Spring,Flower,Architecture,Plant,Palace,Reflecting pool,Estate,Château"
77,Lund_00486,Estate,Mansion,Building,Landmark,Property,Palace,Architecture,Stately home,Official residence,Presidential palace,Lundagérd,@ Felicia Johansso, May 2018,"Estate,Mansion,Building,Landmark,Property,Palace,Architecture,Stately home,Official residence,Presidential palace"
78,Lund_00600,Property,Landmark,Building,Architecture,House,Town,Tree,Castle,Tourism,Château,Lundagérd 9,i Rafael Lara, May 2011,"Property,Landmark,Building,Architecture,House,Town,Tree,Castle,Tourism,Château"
79,Lund_03159,Sky,Leisure centre,Leisure,Swimming pool,Public space,Cloud,Tree,Architecture,Recreation,Vacation,Rinnebidck Gorge,a‘ Prashant Bari, May 2017,"Sky,Leisure centre,Leisure,Swimming pool,Public space,Cloud,Tree,Architecture,Recreation,Vacation"
80,Lund_01017,Medieval architecture,Classical architecture,Landmark,Architecture,Building,Place of worship,Cathedral,Gothic architecture,Sky,Facade,Akademibokhandeln,    , May 2017,"Medieval architecture,Classical architecture,Landmark,Architecture,Building,Place of worship,Cathedral,Gothic architecture,Sky,Facade"
81,Lund_02631,Plain,Grassland,Natural environment,Land lot,Pasture,Field,Grass,Ecoregion,Soil,Steppe,Klosteréngshojden,& YRt, May 2017,"Plain,Grassland,Natural environment,Land lot,Pasture,Field,Grass,Ecoregion,Soil,Steppe"
82,Lund_02176,Town,Street,Human settlement,Building,Cobblestone,Road,City,Road surface,Neighbourhood,Architecture,Lund Cathedral ¢,H Helena Qin, May 2017,"Town,Street,Human settlement,Building,Cobblestone,Road,City,Road surface,Neighbourhood,Architecture"
83,Lund_02644,Rapeseed,Field,Yellow,Mustard,Mustard plant,Natural landscape,Agriculture,Crop,Plant,Brassica rapa,1BO-Design,M Mari-Ann Nielsen, May 2017,"Rapeseed,Field,Yellow,Mustard,Mustard plant,Natural landscape,Agriculture,Crop,Plant,Brassica rapa"
84,Lund_00431,Estate,Mansion,Building,Landmark,Property,Stately home,Palace,Château,Architecture,House,Lundagérd,V.Y T, May 2018,"Estate,Mansion,Building,Landmark,Property,Stately home,Palace,Château,Architecture,House"
85,Lund_00217,Roof,Residential area,Town,Sky,Urban area,Neighbourhood,Human settlement,Suburb,City,Building,Lund,"% e,", May 2016,"Roof,Residential area,Town,Sky,Urban area,Neighbourhood,Human settlement,Suburb,City,Building"
86,Lund_00989,Landmark,Public space,Building,Plaza,Town square,Human settlement,City,Estate,Architecture,Official residence,Lundagérd 8,"@,‘ (=11 E", May 2017,"Landmark,Public space,Building,Plaza,Town square,Human settlement,City,Estate,Architecture,Official residence"
87,Lund_02373,Building,Glass,Architecture,Door,Interior design,Room,Window,Flooring,Ceiling,Shade,Maria Magdalena ky,&% Florian Weissbac, May 2018,"Building,Glass,Architecture,Door,Interior design,Room,Window,Flooring,Ceiling,Shade"
88,Lund_00364,Medieval architecture,Building,Landmark,Architecture,Place of worship,Church,Classical architecture,Cathedral,Facade,Gothic architecture,Lund Cathedral,a Sumeet Ranjan S, May 2017,"Medieval architecture,Building,Landmark,Architecture,Place of worship,Church,Classical architecture,Cathedral,Facade,Gothic architecture"
89,Lund_01437,Property,Estate,Building,Landmark,Mansion,House,Architecture,Stately home,Palace,Manor house,Lundagard ¢,Dariusz, May 2014,"Property,Estate,Building,Landmark,Mansion,House,Architecture,Stately home,Palace,Manor house"
90,Lund_03152,Body of water,Natural landscape,Nature,Water resources,Water,Natural environment,Nature reserve,Sky,Vegetation,Bank,Nobbelbvs mosse,K Karl Magnus Adi, May 2016,"Body of water,Natural landscape,Nature,Water resources,Water,Natural environment,Nature reserve,Sky,Vegetation,Bank"
91,Lund_01235,Estate,Building,Mansion,Palace,Official residence,Property,Stately home,Manor house,Château,Architecture,Lundagérd,l\i) Stana Minincic, May 2018,"Estate,Building,Mansion,Palace,Official residence,Property,Stately home,Manor house,Château,Architecture"
92,Lund_00271,Building,Estate,Landmark,Palace,Mansion,Château,Architecture,Official residence,Botany,Spring,Lundagérd,E Eliot Montesino, May 2018,"Building,Estate,Landmark,Palace,Mansion,Château,Architecture,Official residence,Botany,Spring"
93,Lund_02758,Flower,Plant,Garden,Shrub,Landscape,Yard,Flowering plant,Landscaping,Grass,Annual plant,HSB BRF Linero I Lui,é; Lennart Eliasson, May 2013,"Flower,Plant,Garden,Shrub,Landscape,Yard,Flowering plant,Landscaping,Grass,Annual plant"
94,Lund_00759,Landmark,Architecture,Building,Medieval architecture,Cathedral,Sky,Facade,Gothic architecture,Place of worship,City,Lundagérd,@ Pedro J Martin, May 2018,"Landmark,Architecture,Building,Medieval architecture,Cathedral,Sky,Facade,Gothic architecture,Place of worship,City"
95,Lund_01045,Medieval architecture,Classical architecture,Landmark,Architecture,Building,Place of worship,Cathedral,Gothic architecture,Sky,Facade,Akademibokhandeln,    , May 2017,"Medieval architecture,Classical architecture,Landmark,Architecture,Building,Place of worship,Cathedral,Gothic architecture,Sky,Facade"
96,Lund_01480,Landmark,Architecture,House,Building,Estate,Sky,Tree,Tower,Roof,Home,Stadsparken,Eulampius Frede, May 2017,"Landmark,Architecture,House,Building,Estate,Sky,Tree,Tower,Roof,Home"
97,Lund_02801,Landmark,Architecture,Building,Sky,Church,Place of worship,Town,City,Cathedral,Facade,Botanical Garden,9 Sumeet Ranjan S, May 2017,"Landmark,Architecture,Building,Sky,Church,Place of worship,Town,City,Cathedral,Facade"
98,Lund_01993,Fountain,Water,Water feature,Sky,Architecture,Tree,Font,City,Winter,Town square,Stadsparken ¢,Peter Aronson, May 2017,"Fountain,Water,Water feature,Sky,Architecture,Tree,Font,City,Winter,Town square"
99,Lund_01695,Building,Landmark,Architecture,Sky,Church,Medieval architecture,Facade,Cathedral,Place of worship,City,Lund Cathedral (,ﬁ John Eckerdal, May 2016,"Building,Landmark,Architecture,Sky,Church,Medieval architecture,Facade,Cathedral,Place of worship,City"
100,Lund_02573,Land lot,Vegetation,Natural environment,Plain,Grass,Grassland,Ecoregion,Prairie,Grass family,Meadow,Klosteréngshojden,Q Peter Nordensva, May 2018,"Land lot,Vegetation,Natural environment,Plain,Grass,Grassland,Ecoregion,Prairie,Grass family,Meadow"
101,Lund_01198,Garden,Botanical garden,Tree,Botany,Park,Grass,Shrub,Spring,Plant,Estate,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018,"Garden,Botanical garden,Tree,Botany,Park,Grass,Shrub,Spring,Plant,Estate"
102,Lund_02759,Asphalt,Road,Public space,Road surface,Land lot,Tree,Sky,Infrastructure,Signage,Real estate,MAX IV Laboratory,p‘ Indré Kolojanska, May 2017,"Asphalt,Road,Public space,Road surface,Land lot,Tree,Sky,Infrastructure,Signage,Real estate"
103,Lund_00108,Landmark,Place of worship,Architecture,Spire,Church,Building,Parish,Sky,Chapel,Steeple,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017,"Landmark,Place of worship,Architecture,Spire,Church,Building,Parish,Sky,Chapel,Steeple"
104,Lund_01668,Landmark,Palace,Château,Flower,Spring,Estate,Stately home,Plant,Garden,Building,Lundagérd,% Mohammad A.M, May 2018,"Landmark,Palace,Château,Flower,Spring,Estate,Stately home,Plant,Garden,Building"
105,Lund_01960,Road,Natural landscape,Lane,Thoroughfare,Asphalt,Grass,Path,Trail,Tree,Infrastructure,Sankt Hans Hill,Rafael Schwartz, May 2018,"Road,Natural landscape,Lane,Thoroughfare,Asphalt,Grass,Path,Trail,Tree,Infrastructure"
106,Lund_02118,Building,Medieval architecture,Classical architecture,Architecture,Landmark,Place of worship,Historic site,Cathedral,Facade,Neighbourhood,[T T o1 T T T,Helena Qin, May 2017,"Building,Medieval architecture,Classical architecture,Architecture,Landmark,Place of worship,Historic site,Cathedral,Facade,Neighbourhood"
107,Lund_00860,Town,Town square,City,Human settlement,Public space,Plaza,Building,Street,Mixed-use,Sky,Lundagérd,'v Rafael Schwartz, May 2018,"Town,Town square,City,Human settlement,Public space,Plaza,Building,Street,Mixed-use,Sky"
108,Lund_01399,Natural landscape,Natural environment,Water resources,Wetland,Water,Nature reserve,Green,Marsh,Grassland,Fen,|G AT,L Bengt Jiirs, May 2014,"Natural landscape,Natural environment,Water resources,Wetland,Water,Nature reserve,Green,Marsh,Grassland,Fen"
