,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
21,Lund_01433,Estate,Building,Mansion,Property,Palace,Stately home,House,Château,Manor house,Tree,Lundagérd,A) Arulselvi Selvaraj, Oct 2015,"Estate,Building,Mansion,Property,Palace,Stately home,House,Château,Manor house,Tree"
22,Lund_01553,Garden,Nature,Botanical garden,Natural landscape,Tree,Leaf,Plant,Autumn,Botany,Spring,Stadsparken,5 m Anna Sadowska, Oct 2018,"Garden,Nature,Botanical garden,Natural landscape,Tree,Leaf,Plant,Autumn,Botany,Spring"
23,Lund_00373,Landmark,Medieval architecture,Building,Architecture,Spire,Place of worship,Classical architecture,Steeple,Church,Sky,[T L He 1 BT,ﬁj Narasimha Rao, Oct 2017,"Landmark,Medieval architecture,Building,Architecture,Spire,Place of worship,Classical architecture,Steeple,Church,Sky"
24,Lund_02906,Rock,Sculpture,Tree,Art,Megalith,Landscape,Plant,Boulder,Environmental art,Monument,Stadsparken,A Aleksander Szyci, Oct 2018,"Rock,Sculpture,Tree,Art,Megalith,Landscape,Plant,Boulder,Environmental art,Monument"
25,Lund_02879,Building,Architecture,Medieval architecture,Landmark,Cathedral,Place of worship,Gothic architecture,Classical architecture,Church,Steeple,Stadsparken,% \CeRinlinbiv], Oct 2017,"Building,Architecture,Medieval architecture,Landmark,Cathedral,Place of worship,Gothic architecture,Classical architecture,Church,Steeple"
26,Lund_01822,Botany,Water,Tree,Architecture,Leaf,Garden,Botanical garden,Sky,Grass,Building,Lundagérd,Simius Taaravare, Oct 2016,"Botany,Water,Tree,Architecture,Leaf,Garden,Botanical garden,Sky,Grass,Building"
27,Lund_01491,Building,Architecture,Estate,Mansion,Official residence,Palace,Stately home,Classical architecture,House,Manor house,Lundagérd,% LEVL GRGET ), Oct 2017,"Building,Architecture,Estate,Mansion,Official residence,Palace,Stately home,Classical architecture,House,Manor house"
28,Lund_01556,Building,Landmark,Estate,Tree,Property,Mansion,Sky,Architecture,House,Palace,Lundagérd,Jani Maltehaim, Oct 2016,"Building,Landmark,Estate,Tree,Property,Mansion,Sky,Architecture,House,Palace"
29,Lund_00523,Building,Estate,Mansion,Palace,Landmark,Property,Stately home,Classical architecture,Official residence,Château,Lundagérd,Krystian Czernek, Oct 2017,"Building,Estate,Mansion,Palace,Landmark,Property,Stately home,Classical architecture,Official residence,Château"
30,Lund_00810,Landmark,Medieval architecture,Sky,Architecture,Building,Place of worship,Classical architecture,Church,Town,Facade,Lund Cathedral,'Q Evita Virdziniece, Oct 2017,"Landmark,Medieval architecture,Sky,Architecture,Building,Place of worship,Classical architecture,Church,Town,Facade"
31,Lund_02002,Estate,Building,Mansion,Stately home,Palace,Château,Official residence,Architecture,Manor house,Castle,Lundagérd,Pinak Ranjan Sal, Oct 2017,"Estate,Building,Mansion,Stately home,Palace,Château,Official residence,Architecture,Manor house,Castle"
32,Lund_03110,Water,Reflecting pool,Fountain,Water feature,Grass,Photography,Architecture,Landscape,Landscaping,Park,LT TR G,a (VI E R I GTET), Oct 2018,"Water,Reflecting pool,Fountain,Water feature,Grass,Photography,Architecture,Landscape,Landscaping,Park"
33,Lund_00178,Aerial photography,Metropolitan area,Urban area,Bird's-eye view,Cityscape,City,Residential area,Suburb,Sky,Human settlement,DCIM\102MEDIA\DJ,Mohamed Elban, Oct 2017,"Aerial photography,Metropolitan area,Urban area,Bird's-eye view,Cityscape,City,Residential area,Suburb,Sky,Human settlement"
34,Lund_00726,Medieval architecture,Building,Architecture,Landmark,Property,Stately home,Estate,Historic site,Brick,Castle,Lundagérd,@ Anton Mozgovyi, Oct 2017,"Medieval architecture,Building,Architecture,Landmark,Property,Stately home,Estate,Historic site,Brick,Castle"
35,Lund_02040,Landmark,Architecture,Building,Sky,Estate,Classical architecture,Palace,Tourist attraction,Stately home,Mansion,Lundagérd,4;9 Diego Reyes Gon, Oct 2017,"Landmark,Architecture,Building,Sky,Estate,Classical architecture,Palace,Tourist attraction,Stately home,Mansion"
36,Lund_00562,Building,Classical architecture,Palace,Mansion,Landmark,Architecture,Official residence,Estate,Presidential palace,Stately home,Lundagérd,fﬁ“’ Aleksas Aleksas, Oct 2017,"Building,Classical architecture,Palace,Mansion,Landmark,Architecture,Official residence,Estate,Presidential palace,Stately home"
37,Lund_01712,Natural landscape,Body of water,Nature,Bank,Tree,River,Reflection,Natural environment,Waterway,Water,Stadsparken,5 a Anna Sadowska, Oct 2018,"Natural landscape,Body of water,Nature,Bank,Tree,River,Reflection,Natural environment,Waterway,Water"
38,Lund_01033,Sky,Water,Tree,Daytime,Garden,Urban area,Wilderness,Botany,Leaf,Architecture,Lund LTH,% William Térneber, Oct 2017,"Sky,Water,Tree,Daytime,Garden,Urban area,Wilderness,Botany,Leaf,Architecture"
39,Lund_02797,Landmark,Building,Architecture,Medieval architecture,Sky,Town,Classical architecture,Facade,City,Church,Lundagérd,@ cissio Oliveira, Oct 2017,"Landmark,Building,Architecture,Medieval architecture,Sky,Town,Classical architecture,Facade,City,Church"
40,Lund_01383,Building,Landmark,Architecture,Medieval architecture,Classical architecture,Church,Facade,Cathedral,Place of worship,Arch,Lundagérd,% LEVL GRGET ), Oct 2017,"Building,Landmark,Architecture,Medieval architecture,Classical architecture,Church,Facade,Cathedral,Place of worship,Arch"
41,Lund_02073,Sky,Architecture,Blue,Landmark,Building,Daytime,Classical architecture,Cathedral,Facade,Cloud,Lundagérd,?‘ Riccardo Patriarc, Oct 2016,"Sky,Architecture,Blue,Landmark,Building,Daytime,Classical architecture,Cathedral,Facade,Cloud"
42,Lund_02489,Leaf,Tree,Sky,Autumn,Natural landscape,Residential area,Daytime,Real estate,Public space,Neighbourhood,OLYMPUS DIGITAL C,& Lennart Eliasson, Oct 2007,"Leaf,Tree,Sky,Autumn,Natural landscape,Residential area,Daytime,Real estate,Public space,Neighbourhood"
43,Lund_02235,Natural landscape,Vegetation,Natural environment,Bank,Nature reserve,Wilderness,Grass,Tree,Waterway,Biome,Rinnebick Gorge 2,D  Dan Collin, Oct 2018,"Natural landscape,Vegetation,Natural environment,Bank,Nature reserve,Wilderness,Grass,Tree,Waterway,Biome"
44,Lund_00607,Landmark,Architecture,Building,Medieval architecture,Spire,Sky,Town,Cathedral,Church,Gothic architecture,Lundagérd 8,@ Sergio Garcia, Oct 2012,"Landmark,Architecture,Building,Medieval architecture,Spire,Sky,Town,Cathedral,Church,Gothic architecture"
45,Lund_02436,Natural landscape,Nature,Water,Nature reserve,Wilderness,Bank,Natural environment,Watercourse,River,Tree,Vérpinge Hundrastpl,& Victor Kalbskopf, Oct 2016,"Natural landscape,Nature,Water,Nature reserve,Wilderness,Bank,Natural environment,Watercourse,River,Tree"
46,Lund_02090,Building,Architecture,Medieval architecture,Classical architecture,Place of worship,Church,Facade,Arch,Historic site,Arcade,Lund Cathedral,@ Krystian Czernek, Oct 2017,"Building,Architecture,Medieval architecture,Classical architecture,Place of worship,Church,Facade,Arch,Historic site,Arcade"
47,Lund_01462,Landmark,Sky,Architecture,Tree,Spire,Building,Steeple,Church,Tower,Urban area,Lundagérd,@ ST EE ), Oct 2007,"Landmark,Sky,Architecture,Tree,Spire,Building,Steeple,Church,Tower,Urban area"
48,Lund_03181,Sky,Tree,Garden,Leaf,Grass,Daytime,Wilderness,Lawn,Autumn,Park,Stadsparken,5 m Anna Sadowska, Oct 2018,"Sky,Tree,Garden,Leaf,Grass,Daytime,Wilderness,Lawn,Autumn,Park"
49,Lund_02584,Landmark,Building,City,Town,Architecture,Street,Urban area,Human settlement,Neighbourhood,Sky,Lundagérd,R Ryan Lannigan, Oct 2018,"Landmark,Building,City,Town,Architecture,Street,Urban area,Human settlement,Neighbourhood,Sky"
50,Lund_02755,Tree,Leaf,Sky,Autumn,Woody plant,Yellow,Daytime,Plant,Botany,Grass,Lundagérd ¢,& Obbie Hadrian, Oct 2018,"Tree,Leaf,Sky,Autumn,Woody plant,Yellow,Daytime,Plant,Botany,Grass"
51,Lund_02766,Landmark,Architecture,Winter,Building,Freezing,Snow,Sky,Medieval architecture,Tower,Tourism,[T He 1 L T,OZRONK CARPE|, Oct 2018,"Landmark,Architecture,Winter,Building,Freezing,Snow,Sky,Medieval architecture,Tower,Tourism"
52,Lund_02931,Sky,Landmark,Estate,Building,Mansion,Château,Atmospheric phenomenon,Morning,House,Palace,Lundagérd,%@‘ Orfeas Kalipolitis, Oct 2018,"Sky,Landmark,Estate,Building,Mansion,Château,Atmospheric phenomenon,Morning,House,Palace"
53,Lund_02312,Watercourse,Water resources,Bank,Stream,Riparian zone,Water,Waterway,Ditch,Creek,Arroyo,Rinnebick Gorge,2 1T T, Oct 2013,"Watercourse,Water resources,Bank,Stream,Riparian zone,Water,Waterway,Ditch,Creek,Arroyo"
54,Lund_02606,Property,Building,House,Architecture,Brick,Home,Residential area,Town,Neighbourhood,Facade,Lundagérd,ﬁg‘ Orfeas Kalipolitis, Oct 2018,"Property,Building,House,Architecture,Brick,Home,Residential area,Town,Neighbourhood,Facade"
55,Lund_01463,Landmark,Sky,Architecture,Tree,Spire,Building,Steeple,Church,Tower,Urban area,Lundagérd,@ ST EE ), Oct 2007,"Landmark,Sky,Architecture,Tree,Spire,Building,Steeple,Church,Tower,Urban area"
56,Lund_00017,Tree,Natural landscape,Walkway,Park,Grass,Garden,Botany,Botanical garden,Road,Thoroughfare,@ Mohammad Wat,@ Mohammad Wat, Oct 2017,"Tree,Natural landscape,Walkway,Park,Grass,Garden,Botany,Botanical garden,Road,Thoroughfare"
57,Lund_00936,Town,Building,Human settlement,City,Public space,Architecture,Town square,Neighbourhood,Cobblestone,Street,Lundagérd,% LEVL GRGET ), Oct 2017,"Town,Building,Human settlement,City,Public space,Architecture,Town square,Neighbourhood,Cobblestone,Street"
58,Lund_02564,Building,Factory,Floor,Machine,Flooring,,,,,,MAX IV Laboratory,@ EONE Y, Oct 2016,
59,Lund_02381,House,Town,Property,Sky,Building,Architecture,Urban area,Neighbourhood,Tree,Wall,Lundagérd,ﬁg‘ Orfeas Kalipolitis, Oct 2018,"House,Town,Property,Sky,Building,Architecture,Urban area,Neighbourhood,Tree,Wall"
60,Lund_00827,Landmark,Medieval architecture,Architecture,Building,Sky,Spire,Cathedral,Historic site,Steeple,Place of worship,[T L Ee G LT,fi‘ \CeRinlinbiz], Oct 2017,"Landmark,Medieval architecture,Architecture,Building,Sky,Spire,Cathedral,Historic site,Steeple,Place of worship"
61,Lund_01489,Building,Architecture,Estate,Mansion,Official residence,Palace,Stately home,Classical architecture,House,Manor house,Lundagérd,% LEVL GRGET ), Oct 2017,"Building,Architecture,Estate,Mansion,Official residence,Palace,Stately home,Classical architecture,House,Manor house"
62,Lund_01243,Landmark,Estate,Architecture,Tree,House,Building,Sky,Grass,Mansion,Botany,Stadsparken,% \CeRinlinbiv], Oct 2017,"Landmark,Estate,Architecture,Tree,House,Building,Sky,Grass,Mansion,Botany"
63,Lund_02462,Landmark,Tree,Sky,Garden,Leaf,Park,Botany,Public space,Grass,Autumn,Lundagérd,%@‘ Orfeas Kalipolitis, Oct 2018,"Landmark,Tree,Sky,Garden,Leaf,Park,Botany,Public space,Grass,Autumn"
64,Lund_01249,Body of water,Natural landscape,Water resources,Nature,Waterway,Water,River,Bank,Natural environment,Canal,Kiillby avioppsrening,NG T LR, Oct 2011,"Body of water,Natural landscape,Water resources,Nature,Waterway,Water,River,Bank,Natural environment,Canal"
65,Lund_03176,Residential area,Property,Architecture,Building,House,Neighbourhood,Real estate,Brutalist architecture,Facade,Apartment,Rinnebick Gorge,e S YD R E, Oct 2017,"Residential area,Property,Architecture,Building,House,Neighbourhood,Real estate,Brutalist architecture,Facade,Apartment"
66,Lund_01248,Building,Architecture,Landmark,Classical architecture,Palace,Estate,House,Mansion,Facade,Sky,Lundagérd ¢,Mike L., Oct 2011,"Building,Architecture,Landmark,Classical architecture,Palace,Estate,House,Mansion,Facade,Sky"
67,Lund_00603,Landmark,Architecture,Building,Medieval architecture,Spire,Sky,Town,Cathedral,Church,Gothic architecture,Lundagérd 8,@ Sergio Garcia, Oct 2012,"Landmark,Architecture,Building,Medieval architecture,Spire,Sky,Town,Cathedral,Church,Gothic architecture"
68,Lund_01749,Building,Architecture,Landmark,Facade,Medieval architecture,Classical architecture,Place of worship,Church,Cathedral,History,Lund Cathedral,r Marion Kaletta, Oct 2017,"Building,Architecture,Landmark,Facade,Medieval architecture,Classical architecture,Place of worship,Church,Cathedral,History"
69,Lund_01873,Water,Fountain,Botany,Reflecting pool,Tree,Park,Botanical garden,Architecture,Water feature,Garden,Lundagérd 9,LT =T, Oct 2016,"Water,Fountain,Botany,Reflecting pool,Tree,Park,Botanical garden,Architecture,Water feature,Garden"
70,Lund_01676,Landmark,Building,Town,Architecture,Sky,City,Medieval architecture,Tree,Stately home,Facade,University Library,Henrik Klasson, Oct 2016,"Landmark,Building,Town,Architecture,Sky,City,Medieval architecture,Tree,Stately home,Facade"
71,Lund_03162,Landmark,Building,Mansion,Estate,Palace,Classical architecture,Property,Architecture,Stately home,Official residence,Lundagérd,R Ryan Lannigan, Oct 2018,"Landmark,Building,Mansion,Estate,Palace,Classical architecture,Property,Architecture,Stately home,Official residence"
72,Lund_02435,Estate,Property,Building,Landmark,Sky,Architecture,House,Mansion,Home,Tree,Lundagérd,R Ryan Lannigan, Oct 2018,"Estate,Property,Building,Landmark,Sky,Architecture,House,Mansion,Home,Tree"
73,Lund_02209,Body of water,Natural landscape,Sky,Water,Nature,Cloud,Lake,Natural environment,Loch,Wilderness,Janus Wojtaszcz,Janus Wojtaszcz, Oct 2017,"Body of water,Natural landscape,Sky,Water,Nature,Cloud,Lake,Natural environment,Loch,Wilderness"
74,Lund_01157,Building,Architecture,Landmark,Medieval architecture,Facade,Church,Classical architecture,Place of worship,Cathedral,History,Lund Cathedral,m  michella obradoy, Oct 2016,"Building,Architecture,Landmark,Medieval architecture,Facade,Church,Classical architecture,Place of worship,Cathedral,History"
75,Lund_00109,Picket fence,Property,House,Fence,Home,Building,Architecture,Tree,Cottage,Home fencing,@ Mohammad Wat,@ Mohammad Wat, Oct 2017,"Picket fence,Property,House,Fence,Home,Building,Architecture,Tree,Cottage,Home fencing"
76,Lund_01029,Sky,Garden,Tree,Natural landscape,Estate,Leaf,Lawn,Botanical garden,Botany,Grass,Stadsparken,5 m Anna Sadowska, Oct 2018,"Sky,Garden,Tree,Natural landscape,Estate,Leaf,Lawn,Botanical garden,Botany,Grass"
77,Lund_01645,Fountain,Water,Water resources,Natural landscape,Property,Water feature,Garden,Grass,Estate,Tree,Stadsparken,Giorgio Berardi, Oct 2017,"Fountain,Water,Water resources,Natural landscape,Property,Water feature,Garden,Grass,Estate,Tree"
78,Lund_02746,Building,Architecture,Restaurant,Font,Facade,Signage,,,,,V.ES.PA,@ Michael Bossett:, Oct 2018,
79,Lund_01138,Natural landscape,Pond,Reflection,Bank,Water,Waterway,Botany,Water resources,Watercourse,Reflecting pool,Botanical Garden,Q” UL I, Oct 2017,"Natural landscape,Pond,Reflection,Bank,Water,Waterway,Botany,Water resources,Watercourse,Reflecting pool"
80,Lund_01178,Sky,Tree,Leaf,Grass,Cloud,Daytime,Architecture,House,Autumn,Town,Bjeredsparken,% William Térneber, Oct 2017,"Sky,Tree,Leaf,Grass,Cloud,Daytime,Architecture,House,Autumn,Town"
81,Lund_02538,Building,Landmark,Classical architecture,Architecture,Palace,Facade,Château,Tourist attraction,Official residence,Estate,Lundagérd 8,g% Dennis Frank, Oct 2018,"Building,Landmark,Classical architecture,Architecture,Palace,Facade,Château,Tourist attraction,Official residence,Estate"
82,Lund_02754,Sky,Natural landscape,Tree,Property,Leaf,Shrub,Grass,Morning,Lawn,Land lot,Vasaplatsen,@ Tim Scharinger, Oct 2018,"Sky,Natural landscape,Tree,Property,Leaf,Shrub,Grass,Morning,Lawn,Land lot"
83,Lund_02510,Natural landscape,Natural environment,Vegetation,Water,Nature reserve,Wilderness,Tree,Sky,Bank,River,. Pavel Larsson,. Pavel Larsson, Oct 2017,"Natural landscape,Natural environment,Vegetation,Water,Nature reserve,Wilderness,Tree,Sky,Bank,River"
84,Lund_02727,Retail,Building,Supermarket,Convenience store,Marketplace,Grocery store,Outlet store,Aisle,Floor,Trade,ICA Supermarket Lin,ﬂ) Mr.Roman Lak, Oct 2016,"Retail,Building,Supermarket,Convenience store,Marketplace,Grocery store,Outlet store,Aisle,Floor,Trade"
85,Lund_01262,Natural landscape,Nature,Highland,Wilderness,Grass,Nature reserve,Geological phenomenon,Hill,Fell,Waterway,Virpinge Golfklubb,& Victor Kalbskopf, Oct 2016,"Natural landscape,Nature,Highland,Wilderness,Grass,Nature reserve,Geological phenomenon,Hill,Fell,Waterway"
86,Lund_03135,Town,Vehicle,Neighbourhood,Residential area,Mixed-use,Architecture,House,Building,City,Tourism,Lundagérd ¢,& Obbie Hadrian, Oct 2018,"Town,Vehicle,Neighbourhood,Residential area,Mixed-use,Architecture,House,Building,City,Tourism"
87,Lund_02284,Building,Factory,Industry,Interior design,Loft,Floor,Hall,Architecture,Flooring,Engineering,MAX IV Laboratory,@ EONE Y, Oct 2016,"Building,Factory,Industry,Interior design,Loft,Floor,Hall,Architecture,Flooring,Engineering"
88,Lund_01181,Classical architecture,Landmark,Architecture,Building,Medieval architecture,Facade,Sky,Place of worship,Cathedral,Church,[T e T T T,'QE Ania Jasiok, Oct 2018,"Classical architecture,Landmark,Architecture,Building,Medieval architecture,Facade,Sky,Place of worship,Cathedral,Church"
89,Lund_00233,Building,Landmark,Architecture,Estate,Mansion,Palace,Stately home,Official residence,House,Classical architecture,Lundagérd,@ cissio Oliveira, Oct 2017,"Building,Landmark,Architecture,Estate,Mansion,Palace,Stately home,Official residence,House,Classical architecture"
90,Lund_02712,Residential area,Building,Architecture,Neighbourhood,Property,Human settlement,Urban area,Town,City,Apartment,Virvelvindsviagen ¢,t Erik Lundgren, Oct 2016,"Residential area,Building,Architecture,Neighbourhood,Property,Human settlement,Urban area,Town,City,Apartment"
91,Lund_01244,Classical architecture,Building,Architecture,Landmark,Facade,Courthouse,Tourist attraction,Column,Palace,Photography,Lundagérd,Centar Prevencij:, Oct 2016,"Classical architecture,Building,Architecture,Landmark,Facade,Courthouse,Tourist attraction,Column,Palace,Photography"
92,Lund_02421,Garden,Natural landscape,Nature,Leaf,Botanical garden,Autumn,Tree,Vegetation,Plant,Wilderness,Stadsparken,5 a Anna Sadowska, Oct 2018,"Garden,Natural landscape,Nature,Leaf,Botanical garden,Autumn,Tree,Vegetation,Plant,Wilderness"
93,Lund_01291,Property,Building,Town,Architecture,House,Almshouse,Medieval architecture,Brick,Estate,Window,Lund Cathedral,Krystian Czernek, Oct 2017,"Property,Building,Town,Architecture,House,Almshouse,Medieval architecture,Brick,Estate,Window"
94,Lund_01342,Property,Building,Architecture,Town,Estate,House,Mansion,Cobblestone,Palace,Château,Lund Cathedral,@ Krystian Czernek, Oct 2017,"Property,Building,Architecture,Town,Estate,House,Mansion,Cobblestone,Palace,Château"
95,Lund_02851,Estate,Building,Mansion,Property,Palace,Landmark,House,Sky,Architecture,Stately home,Lund LTH,% William Térneber, Oct 2017,"Estate,Building,Mansion,Property,Palace,Landmark,House,Sky,Architecture,Stately home"
96,Lund_01385,Building,Transport,Vehicle,Car,Architecture,Real estate,Commercial building,Compact car,Subcompact car,Facade,Nova i Lund,Nevruz Alievski, Oct 2016,"Building,Transport,Vehicle,Car,Architecture,Real estate,Commercial building,Compact car,Subcompact car,Facade"
97,Lund_00049,Palace,Building,Estate,Landmark,Château,Mansion,Official residence,Architecture,Stately home,Presidential palace,;&g peter kurnavka,;&g peter kurnavka, Oct 2017,"Palace,Building,Estate,Landmark,Château,Mansion,Official residence,Architecture,Stately home,Presidential palace"
98,Lund_00713,Landmark,Estate,Building,Architecture,Botany,Tree,House,Sky,Mansion,Park,Lundagérd 8,"'@‘, Ann Sandin", Oct 2017,"Landmark,Estate,Building,Architecture,Botany,Tree,House,Sky,Mansion,Park"
99,Lund_00376,Building,Classical architecture,Palace,Landmark,Mansion,Architecture,Official residence,Estate,Presidential palace,Château,Lundagérd,fﬁ“’ Aleksas Aleksas, Oct 2017,"Building,Classical architecture,Palace,Landmark,Mansion,Architecture,Official residence,Estate,Presidential palace,Château"
100,Lund_01613,Building,Town,Property,Human settlement,Architecture,Neighbourhood,City,Mixed-use,House,Facade,University Library,(NN TR o= Tal o], Oct 2016,"Building,Town,Property,Human settlement,Architecture,Neighbourhood,City,Mixed-use,House,Facade"
101,Lund_00840,Fountain,Daytime,Estate,Tree,Leaf,Park,Water feature,Grass,Garden,Lawn,Stadsparken,5 m Anna Sadowska, Oct 2018,"Fountain,Daytime,Estate,Tree,Leaf,Park,Water feature,Grass,Garden,Lawn"
102,Lund_02352,House,Property,Vegetation,Leaf,Building,Wall,Brick,Architecture,Tree,Window,Lundagérd ¢,& Obbie Hadrian, Oct 2018,"House,Property,Vegetation,Leaf,Building,Wall,Brick,Architecture,Tree,Window"
103,Lund_01604,Body of water,Natural landscape,Pond,Nature,Bank,Water,Water resources,Duck,Natural environment,Nature reserve,Stadsparken,Goran Svennarp, Oct 2017,"Body of water,Natural landscape,Pond,Nature,Bank,Water,Water resources,Duck,Natural environment,Nature reserve"
104,Lund_02553,House,Neighbourhood,Property,Architecture,Town,Brick,Wall,Urban area,Building,Sky,Lundagérd,ﬁg‘ Orfeas Kalipolitis, Oct 2018,"House,Neighbourhood,Property,Architecture,Town,Brick,Wall,Urban area,Building,Sky"
105,Lund_00760,Landmark,Medieval architecture,Architecture,Building,Sky,Cathedral,Spire,Place of worship,Church,Steeple,[T L Ee G B,fi‘ \CeRinlin L], Oct 2017,"Landmark,Medieval architecture,Architecture,Building,Sky,Cathedral,Spire,Place of worship,Church,Steeple"
106,Lund_00859,Estate,Landmark,Building,Mansion,Palace,Architecture,Property,Stately home,Official residence,Classical architecture,[TV T,1] Matthias McAllis, Oct 2016,"Estate,Landmark,Building,Mansion,Palace,Architecture,Property,Stately home,Official residence,Classical architecture"
107,Lund_02970,Natural landscape,Nature,Tree,Natural environment,Watercourse,Nature reserve,Bank,Water,Waterway,Stream,Rinnebick Gorge 2,L 1T T, Oct 2013,"Natural landscape,Nature,Tree,Natural environment,Watercourse,Nature reserve,Bank,Water,Waterway,Stream"
