a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_01272,Body of water,Bank,Natural landscape,Nature,Water,River,Water resources,Natural environment,Riparian zone,Nature reserve,Stadsparken (,Pavel Chébera, Mar 2016
Lund_01869,Architecture,Urban area,Sky,Landmark,Tree,Daytime,Building,Town,City,Winter,Lundagérd,$ Bjarne Rosengrel, Mar 2017
Lund_01014,Classical architecture,Landmark,Building,Architecture,Facade,Palace,Sky,House,City,Mansion,Lund University H,@ Oliver Halls, Mar 2015
Lund_00208,Town square,Town,Public space,City,Human settlement,Plaza,Neighbourhood,Street,Building,Photography,0 Valeria Maciu,0 Valeria Maciu, Mar 2018
Lund_02682,Natural landscape,Sky,Winter,Tree,Plant,Grass family,Freezing,Grass,Field,Frost,Northward view at Lt,S Sanbao Xu, Mar 2013
Lund_00828,Medieval architecture,Landmark,Building,Architecture,Spire,Church,Historic site,Facade,Place of worship,Tower,Lund Cathedral ¢,w vincent chung, Mar 2017
Lund_01132,Landmark,Building,Estate,Sky,Architecture,Castle,Château,Palace,Stately home,Mansion,Lundagérd,& Magnus Nilsson, Mar 2017
Lund_03177,Estate,Building,Mansion,Sky,Property,Landmark,Palace,House,Stately home,Architecture,Grand Hotel Lund,Fabio Romeo, Mar 2018
Lund_02076,Landmark,Estate,Property,Building,Architecture,Sky,Grass,Town,Public space,City,Bantorget 8,L 1T T, Mar 2017
Lund_01522,Building,Property,Architecture,House,Black-and-white,Almshouse,Estate,Historic house,Monochrome,Tree,Stadsparken,RV O A, Mar 2018
Lund_02525,Sky,Winter,Tree,Snow,Geological phenomenon,Spring,Cloud,Mountain,Rural area,Fence,Rinnebick Gorge ¢,e.h Ola Holmberg, Mar 2018
Lund_01592,Building,Architecture,Town,Facade,Tree,Medieval architecture,Stately home,City,Almshouse,Château,Kulturen,M) M2 BEGONA DEL, Mar 2018
Lund_02602,Vehicle,Transport,Car,Building,Gasoline,,,,,,CircleK,‘ Alexander Pataki, Mar 2017
Lund_00052,Landmark,Architecture,Medieval architecture,Building,Church,Cathedral,Gothic architecture,Place of worship,Sky,Spire,% UL ETLIHE,% UL ETLIHE, Mar 2018
Lund_01816,Tree,Spring,Grass,Landmark,Architecture,Daytime,Sky,Estate,House,Building,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_01366,Winter,Snow,Architecture,Freezing,Landmark,Building,Tree,Urban area,Château,Sky,Lundagérd,Diana Benjumea, Mar 2018
Lund_01817,Tree,Spring,Grass,Landmark,Architecture,Daytime,Sky,Estate,House,Building,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00886,Building,Property,Architecture,Landmark,Stately home,Mansion,Estate,Historic house,Château,Facade,Bantorget,0 ) Orsolya Stefanic:, Mar 2017
Lund_01573,Town square,Public space,Town,Human settlement,City,Architecture,Building,Plaza,Street,Mixed-use,Stortorget Restaurar,m) maciejadams, Mar 2017
Lund_00833,Building,Estate,Landmark,Stately home,Architecture,Palace,Château,Mansion,Castle,Manor house,Lundagérd 8,é@l Luis Villeda, Mar 2016
Lund_01896,Landmark,Sky,Architecture,Building,Town,Spire,City,Steeple,Urban area,Church,Lund Cathedral,Simone Pellegrin, Mar 2016
Lund_02799,Landmark,Sky,Property,Architecture,Building,House,Town,Tree,Estate,Urban area,Gamla observatoriet,@& ' Martin Ljungqvis, Mar 2017
Lund_00711,Building,Landmark,Medieval architecture,Architecture,Mansion,Stately home,Estate,Manor house,Historic house,Brick,Lundagérd,& Bea Kovacsovics, Mar 2018
Lund_01131,Sky,Landmark,Architecture,Building,Tower,Historic site,Tree,Photography,Church,Medieval architecture,[T L He 1 BT,@ Francois Polito, Mar 2013
Lund_02081,Snow,Winter,Freezing,Town,Street,Sky,Tree,City,Building,Architecture,Stortorget,(&= =RV, Mar 2018
Lund_01914,Property,House,Building,Landmark,Architecture,Home,Estate,Historic house,Winter,Tree,Stadsparken,RV O A, Mar 2018
Lund_01453,Building,Architecture,Property,Town,Public space,Human settlement,City,Tree,House,Mixed-use,Lunds universitet Ins,Y RIRIE, Mar 2018
Lund_00357,Landmark,Building,Palace,Classical architecture,Architecture,Mansion,Property,Estate,Official residence,Château,Lundagérd,&) Hampus Jakobs:, Mar 2017
Lund_00316,Estate,Building,Landmark,Palace,Mansion,Classical architecture,Official residence,Architecture,Stately home,Château,Lundagérd,"@“,' Andrew Desmon", Mar 2016
Lund_01815,Tree,Spring,Grass,Landmark,Architecture,Daytime,Sky,Estate,House,Building,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00919,Building,Architecture,Property,Town,Tree,Facade,House,Château,Palace,City,Kulturen,M) M2 BEGONA DEL, Mar 2018
Lund_02297,Water,Bank,Fence,Pond,River,Tree,Reflection,Lake,Bayou,Landscape,Killbybadet,helen kaic, Mar 2018
Lund_02866,Landmark,Medieval architecture,Architecture,Building,Place of worship,Classical architecture,Cathedral,Gothic architecture,Steeple,Facade,Lundagérd,Magnus Nilsson, Mar 2017
Lund_02175,Medieval architecture,Building,Architecture,Landmark,Classical architecture,Place of worship,Gothic architecture,Cathedral,Facade,Church,[T T o1 T 1T,- Escel, Mar 2017
Lund_00773,Building,Landmark,Architecture,Medieval architecture,Stately home,Estate,Waterway,Castle,Château,Tree,Kungshuset ¢,S ShaMar, Mar 2018
Lund_00249,Building,Landmark,Château,Property,Estate,Architecture,Stately home,Mansion,Manor house,Historic house,Bantorget 8,Bantorget 8, Mar 2017
Lund_02288,Snow,Winter,Architecture,Property,Freezing,Transport,Neighbourhood,Mixed-use,Building,Residential area,HSB BRF Linero I Lur,Kieu Phuong Nar, Mar 2018
Lund_00150,Building,Property,Town,Facade,Neighbourhood,Architecture,Snow,Window,Real estate,House,e Valeria Maciu,e Valeria Maciu, Mar 2018
Lund_02101,Tree,Spring,Grass,Landmark,Architecture,House,Estate,Sky,Building,Plant,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_01064,Landmark,Building,Architecture,Classical architecture,Palace,House,Facade,Mansion,Stately home,Sky,Lunds universitets re,L) Linus Jeppsson, Mar 2017
Lund_01322,Town square,Building,Town,Human settlement,Public space,City,Architecture,Plaza,Palace,Facade,Stortorget Restaurar,maciejadams, Mar 2017
Lund_02641,Roof,Snow,Town,Winter,House,Neighbourhood,Home,Sky,Residential area,Architecture,Grand Hotel Lund ¢,Fabio Romeo, Mar 2018
Lund_03096,Property,House,Home,Town,Building,Winter,Residential area,Architecture,Snow,Sky,Ljungs Handel,M) Mattias Onsdorff, Mar 2018
Lund_01512,Building,Property,Architecture,Estate,Mansion,Tree,House,Palace,City,Sky,Lunds universitet Od,Elisabet Blomdal, Mar 2017
Lund_00452,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,Official residence,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00106,Transport,Line,Architecture,Wall,Residential area,Building,Facade,Track,House,Window,Lund H,F Kamal Dayob, Mar 2018
Lund_00236,Classical architecture,Landmark,Building,Architecture,Palace,Facade,City,House,Mansion,Courthouse,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02748,Natural landscape,Nature,Waterway,Water,Tree,River,Bank,Watercourse,Natural environment,Stream,Rinnebick Gorge,Peter de Jounge, Mar 2017
Lund_02789,Architecture,Sky,Race track,Sport venue,Urban area,Building,Infrastructure,City,Photography,Airport,Rabysjon och Raby s,"r,& Tihomir Vukovic", Mar 2018
Lund_00093,Road,Dirt road,Mode of transport,Vehicle,Infrastructure,Off-roading,Ecoregion,Thoroughfare,Car,Sand,B Babulal Yadav,B Babulal Yadav, Mar 2018
Lund_00672,Landmark,Building,Architecture,Classical architecture,Palace,Mansion,Sky,Estate,House,Tree,Lundagérd,& Bea Kovacsovics, Mar 2018
Lund_02512,Gym,Physical fitness,Room,Floor,Flooring,Sport venue,Building,Exercise,Hardwood,Weight training,Fitness24Seven,@ Simone Pellegrin, Mar 2018
Lund_00200,Architecture,Transport,Sky,Urban area,Residential area,Neighbourhood,Winter,Snow,Building,Metropolitan area,Lund H,"‘@.""S Kamal Dayob", Mar 2018
Lund_02424,Building,Architecture,Facade,Commercial building,City,,,,,,Plantagen,‘3 Niclas Schedin, Mar 2017
Lund_01799,Palace,Building,Estate,Mansion,Official residence,Architecture,Château,Stately home,Manor house,College,Folkuniversitetets fo,LRI IYCET, Mar 2017
Lund_00398,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00216,Town,Sky,Property,House,Residential area,Home,Building,Street,Neighbourhood,Cloud,0 Valeria Maciu,0 Valeria Maciu, Mar 2018
Lund_01989,Landmark,Classical architecture,Building,Architecture,Mansion,Palace,Stately home,Official residence,Estate,Presidential palace,Lundagérd,& Bea Kovacsovics, Mar 2018
Lund_00986,Building,Landmark,Architecture,Town,Medieval architecture,Cathedral,City,Church,Spire,Facade,Stortorget B,(o e I=H Y], Mar 2017
Lund_01548,Medieval architecture,Building,Landmark,Architecture,Church,Facade,Place of worship,Cathedral,Historic site,Steeple,Lund Cathedral,Seger achternaar, Mar 2017
Lund_02633,Light,Night,Lighting,Building,Architecture,Sky,Road,City,Mixed-use,,Biltema 8,' (&= =RV, Mar 2018
Lund_00237,Classical architecture,Landmark,Building,Architecture,Palace,Facade,City,House,Mansion,Courthouse,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02729,Floor,Flooring,Gym,Hardwood,Laminate flooring,Physical fitness,Wood flooring,Wood,Room,Building,Fitness24Seven,@ Simone Pellegrin, Mar 2018
Lund_02001,Property,House,Residential area,Home,Estate,Building,Land lot,Real estate,Town,Roof,Kulturen 8,i\ 1T T, Mar 2014
Lund_00453,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,Official residence,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02239,Property,Roof,House,Sky,Architecture,Building,Home,Siding,Real estate,Rural area,RULLUX Markis & Pe,Michele Tasselli, Mar 2017
Lund_01101,Aerial photography,Landmark,Bird's-eye view,Urban area,City,Building,Architecture,Metropolitan area,Photography,Landscape,Ideon Science Park,'?:“ jan kees dommis, Mar 2018
