a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_02120,Architecture,Building,Commercial building,Headquarters,Corporate headquarters,Facade,Residential area,Metropolitan area,Condominium,City,Sony Mobile Commu,Daniel Kacz, Aug 2016
Lund_01192,Water,Landmark,Waterway,Reflection,Reflecting pool,Botany,Tree,Architecture,River,Sky,Lundagérd,S GEERS Wy, Aug 2018
Lund_01331,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Facade,Cathedral,Place of worship,Gothic architecture,Church,[ETLGEe0L E],E SRV VIN: Y, Aug 2017
Lund_00077,Medieval architecture,Landmark,Building,Architecture,Historic site,Statue,Brick,Place of worship,Church,Monument,"‘é"" [N","‘é"" [N", Aug 2018
Lund_02320,Pasture,Grazing,Grassland,Natural landscape,Bovine,Natural environment,Meadow,Rural area,Ranch,Farm,Rinnebick Gorge : H,Q Ani Vera, Aug 2017
Lund_02444,Body of water,Water resources,Natural landscape,Water,Natural environment,Bank,Freshwater marsh,Marsh,Nature reserve,Wetland,. Vahid Asgari,. Vahid Asgari, Aug 2017
Lund_00266,Sky,Architecture,Building,Tree,Estate,House,Grass,Rural area,Historic site,Castle,Kungshuset,@ Carina Schilpzan, Aug 2017
Lund_00193,Building,Winter,Tree,Property,Snow,Town,Architecture,Home,House,Estate,"‘é"" [N","‘é"" [N", Aug 2018
Lund_00556,Garden,Botanical garden,Natural landscape,Botany,Flower,Lawn,Plant,Estate,Spring,House,Botanical Garden,Teodora J-sin, Aug 2017
Lund_02485,Field,Sky,Natural landscape,Farm,Rural area,Cloud,Tree,Hay,Plain,Grass family,Nobbel6vs mosse,i\ 1T T, Aug 2014
Lund_00087,Marina,Boat,Vehicle,Water transportation,Harbor,Watercraft,Dock,Port,Waterway,Mast,"‘é"" [N","‘é"" [N", Aug 2018
Lund_02146,Garden,Botanical garden,Tree,Botany,Spring,Sky,Plant,Flower,Shrub,Architecture,Lundagérd,% William Térneber, Aug 2016
Lund_00215,Aerial photography,Urban area,Residential area,Metropolitan area,Daytime,Bird's-eye view,Sky,City,Suburb,Roof,[T 8,. uwe leinhos, Aug 2015
Lund_00020,Landmark,Estate,Building,Architecture,Tree,Mansion,Palace,Château,Stately home,Sky,Lund,@ Irena Zhang, Aug 2014
Lund_01680,Estate,Property,Building,Palace,Mansion,House,Official residence,Stately home,Architecture,Château,[TV T,Helen Lindholm, Aug 2014
Lund_00186,Snow,Tree,Winter,Grass,Water,Spring,House,Plant,Branch,Freezing,"‘é"" [N","‘é"" [N", Aug 2018
Lund_00144,Town,Pedestrian,Building,City,Human settlement,Street,Neighbourhood,Architecture,Downtown,Tourism,"‘é"" [N","‘é"" [N", Aug 2018
Lund_02018,Garden,Natural landscape,Botanical garden,Property,Plant,Lawn,Flower,Landscaping,Botany,Yard,Botanical Garden,Joost van der Ga, Aug 2016
Lund_00261,Estate,Building,Mansion,Property,Palace,Landmark,Official residence,Architecture,Stately home,House,Lundagérd,S GEERS Wy, Aug 2018
Lund_01307,Building,Classical architecture,Landmark,Architecture,Palace,Facade,Mansion,Château,Official residence,Presidential palace,Lundagérd,Fernando Gémez, Aug 2017
Lund_02117,Landmark,Building,Architecture,Town,Urban area,City,Neighbourhood,Tree,House,Facade,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_01932,Landmark,Medieval architecture,Building,Architecture,Tree,Historic site,Estate,Tower,Arch,Château,Lundagérd,L4 f Oldfich Kamensk, Aug 2018
Lund_01380,Sky,Cloud,Urban area,Daytime,Residential area,Aerial photography,Metropolitan area,Atmospheric phenomenon,City,Suburb,Elite Hotel Ideon,Renard Kutrzeba, Aug 2016
Lund_02232,Natural landscape,Nature,Natural environment,Tree,Vegetation,Nature reserve,Green,Grass,Grassland,Sky,Rinnebick Gorge : H,Q Ani Vera, Aug 2017
Lund_00582,Building,Property,Estate,Architecture,Château,Stately home,Palace,House,Mansion,Tree,University Library ¢,Gm DIV ), Aug 2017
Lund_01115,Estate,Building,Property,Palace,House,Château,Mansion,Tree,Architecture,Stately home,Lundagérd 9,*g Bogdan Tatar, Aug 2018
Lund_02353,Interior design,Building,Room,Cabinetry,Countertop,Furniture,Coffeehouse,Food,Kitchen,House,,, Aug 2017
Lund_02650,Natural landscape,Land lot,Vegetation,Grassland,Natural environment,Grass,Atmospheric phenomenon,Pasture,Nature reserve,Field,Nobbelbvs mosse,Q Peter Nordensva, Aug 2018
Lund_02092,Building,Property,House,Home,Estate,Architecture,Mansion,Manor house,Real estate,Historic house,Sankt Lars sjukhus,6 IR DL, Aug 2017
Lund_00221,Building,Estate,Mansion,Property,Classical architecture,Architecture,Landmark,Palace,Official residence,Stately home,Lundagérd ¢,m ionel silvestru, Aug 2018
Lund_00379,Building,Estate,Property,Palace,Architecture,Landmark,Mansion,Sky,House,Château,[T TV TTET 3 T,[T TV TTET 3 T, Aug 2016
Lund_02186,Property,Home,House,Building,Real estate,Architecture,Roof,Sky,Estate,Residential area,Rabylunds Gard ¢,Kurt Petersen, Aug 2017
Lund_01954,Nature,Water resources,Water,Vegetation,River,Wilderness,Watercourse,Sky,Natural environment,Waterway,Rinnebidck Gorge,Jesper Bohlin, Aug 2017
Lund_00164,Shore,Coast,Property,Sea,Land lot,Sky,House,Coastal and oceanic landforms,Beach,Cottage,"‘é"" [N","‘é"" [N", Aug 2018
Lund_02465,Sky,Grass,Cloud,Grassland,Team,Competition event,Team sport,Player,Games,Sport venue,Linero IP,a abomaryam abds, Aug 2018
Lund_02527,Water resources,Public space,Water,Asphalt,Road,Sky,Land lot,Road surface,River,Thoroughfare,Rabysjon och Raby s,A ) Aliaksei Pukhavy, Aug 2017
Lund_01802,Landmark,Architecture,Building,Medieval architecture,Tower,Historic site,Observation tower,Tree,Facade,Château,Lundagérd 8,@ Daniel Klein, Aug 2018
Lund_01983,Medieval architecture,Building,Architecture,Landmark,Church,Place of worship,Sky,Cathedral,Facade,Steeple,Lund Cathedral,\g\ Thomas Crahay, Aug 2017
Lund_01015,Building,Estate,Stately home,Mansion,Palace,Château,Architecture,Manor house,Grass,Castle,University Library,-’ Thomas MAGNY, Aug 2017
Lund_02015,Landmark,Architecture,Water,Tree,Building,Fountain,House,Water feature,Plant,Presidential palace,Lundagérd,j:_ Lucian Gevelegia, Aug 2008
Lund_00548,Landmark,Architecture,Building,Sky,City,Facade,Church,Classical architecture,Medieval architecture,Cathedral,Lund Cathedral,"f“""‘ Benjamin Zingse", Aug 2017
Lund_00346,Architecture,Landmark,Building,Medieval architecture,Cathedral,Classical architecture,Sky,Place of worship,City,Church,[T e T T T,R LI EE], Aug 2017
Lund_00676,City,Building,Town,Human settlement,Architecture,Landmark,Neighbourhood,Public space,Town square,Plaza,[T e T T T,@ Daniel Klein, Aug 2018
Lund_01400,Town,Property,Building,Public space,City,Town square,Sky,Architecture,Plaza,Photography,Stortorget :,UIf Danielsson, Aug 2017
Lund_02445,Building,Architecture,Property,Neighbourhood,Residential area,House,Apartment,Human settlement,Urban area,Estate,Asylen,ﬁ BN PN R, Aug 2017
Lund_00253,Château,Estate,Building,Property,Landmark,Stately home,Palace,Manor house,Architecture,Castle,Grand Hotel Lund,K  Kristian Rigbolt, Aug 2016
Lund_01629,Residential area,Building,Neighbourhood,Property,Town,Human settlement,Architecture,Metropolitan area,Urban area,Mixed-use,Another parking plac,Gabor Papp, Aug 2016
Lund_00416,Building,Classical architecture,Landmark,Architecture,Property,Palace,Mansion,Official residence,Facade,House,Lundagérd,ESRVNTISVIN: Y, Aug 2017
Lund_02282,Sky,Land lot,Pasture,Cloud,Grass,Grassland,Rural area,Fence,Plain,Landscape,CircleK,e Thanon Shamel, Aug 2016
Lund_01065,Landmark,Architecture,Building,Town,Medieval architecture,Sky,Church,City,Steeple,Place of worship,Lundagérd,[ Q‘ Ronan Watson, Aug 2017
Lund_00793,Building,Palace,Estate,Mansion,Château,Official residence,Stately home,Manor house,Architecture,Classical architecture,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_00767,Building,Estate,Landmark,Mansion,Property,Palace,Architecture,Sky,House,Official residence,Lundagérd,‘ Hakan Dahlstromn, Aug 2018
Lund_01923,Landmark,Town,Architecture,Building,City,Sky,Tower,Urban area,Street,Tourism,Lund Cathedral,A  Alejandro Carrillc, Aug 2016
Lund_01113,Estate,Building,Property,Palace,House,Château,Mansion,Tree,Architecture,Stately home,Lundagérd 9,*g Bogdan Tatar, Aug 2018
Lund_01346,Landmark,Building,Medieval architecture,Tree,Estate,Architecture,Thoroughfare,Historic site,Château,,[T TV HTET 0 T,Fritz Winkler, Aug 2018
Lund_01667,Building,Classical architecture,Landmark,Architecture,Palace,Facade,Château,City,Estate,Official residence,[TV T,Q Jonas Kirkegaart, Aug 2017
Lund_00466,Building,Landmark,Palace,Architecture,Château,Facade,Estate,Stately home,Classical architecture,Official residence,Lundagérd,G  Giliana Gallegra, Aug 2018
Lund_01521,Town,Landmark,City,Human settlement,Town square,Public space,Plaza,Street,Building,Flag,Lund Cathedral,Pedro Andrés Bo, Aug 2016
Lund_01046,Architecture,Landmark,Medieval architecture,Sky,Building,Tower,Classical architecture,Facade,Church,City,Lund Cathedral,VR LEE L C e Ll, Aug 2017
Lund_01099,Building,Landmark,Architecture,City,Tree,Facade,Metropolitan area,Cathedral,Medieval architecture,Church,Lund Cathedral,Q Tiinde Vigyinszki, Aug 2017
Lund_01591,Classical architecture,Building,Architecture,Landmark,Palace,Facade,Tourist attraction,City,Official residence,Mansion,Lundagérd 9,*9 Bogdan Tatar, Aug 2018
Lund_02562,Vegetation,Natural environment,Sky,Grassland,Hill,Land lot,Shrubland,Wilderness,Ecoregion,Grass,Klosteréingshdjden,Klosteréingshdjden, Aug 2016
Lund_00317,Landmark,Building,Architecture,Sky,Medieval architecture,Town,City,Church,Facade,Classical architecture,[T L He 1 BT,";“""‘ Benjamin Zingse", Aug 2017
Lund_02859,Estate,Property,Building,Mansion,House,Architecture,Palace,Stately home,Manor house,Historic house,Lund Cathedral :,UIf Danielsson, Aug 2017
Lund_01000,Landmark,Sky,Architecture,Building,Town,City,Church,Urban area,Human settlement,Cathedral,Lundagérd,D Daniel Zimmerm, Aug 2017
Lund_01669,Town,Building,Architecture,Human settlement,City,House,Neighbourhood,Street,Mixed-use,Facade,[T T o1 T T T,(o) JoL RV, Aug 2018
Lund_01955,Building,Landmark,Palace,Estate,Architecture,Mansion,Official residence,House,Classical architecture,Stately home,Lundagérd 9,Luisa Cunial, Aug 2018
Lund_02044,Property,Building,Town,House,Architecture,Facade,Real estate,Home,Window,Street,Direkt Optik ¢,ﬁ Meta Larsson, Aug 2018
Lund_00983,Landmark,Building,Architecture,Steeple,Church,Town,Cathedral,City,Sky,Place of worship,Lundagérd 9,@ Daniel Klein, Aug 2018
Lund_00902,Water,Sky,Fountain,Architecture,Botany,Tree,Estate,Water feature,Building,Park,Lundagérd,'aﬁ Gaston Ragnar R, Aug 2016
Lund_01421,Building,Classical architecture,Landmark,Architecture,Palace,Facade,City,Tourist attraction,Seat of local government,Château,Lundagérd,0 Joachim Maxein, Aug 2017
Lund_01545,Transport,Building,Architecture,House,Vehicle,Real estate,Restaurant,Home,Plant,Rest area,Renaissance rest. &,Alexander denstc, Aug 2017
Lund_00795,Estate,Building,Palace,Landmark,Mansion,Architecture,Castle,Stately home,Château,Sky,Lundagérd,""" Andi Varn Johani", Aug 2011
Lund_02780,Asphalt,Land lot,Property,Road,Morning,Grass,Driveway,Rural area,Road surface,Thoroughfare,Masar Farhan,Masar Farhan, Aug 2017
Lund_02800,Landmark,Building,Architecture,Medieval architecture,Classical architecture,Place of worship,Cathedral,Sky,Church,Steeple,Lund,ﬁ’ Viadislav Juricky, Aug 2013
Lund_02327,Building,Floor,Interior design,Flooring,Room,Retail,Hardwood,Ceiling,,,CircleK 9,Jill Miller, Aug 2017
Lund_00473,Building,Property,Estate,Architecture,Stately home,Palace,Mansion,House,Almshouse,Manor house,Lundagérd,. KHADIJA SAIDI, Aug 2017
Lund_02417,Landmark,Architecture,Building,Wall,Church,Town,Medieval architecture,Sky,Facade,Cathedral,Lund Cathedral,Birgit & P&r Sven, Aug 2018
Lund_01459,Classical architecture,Landmark,Architecture,Building,Facade,Courthouse,Palace,Flag,Presidential palace,Official residence,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_01255,Sky,Public space,Grass,Building,Campus,Tree,City,Architecture,Park,Cloud,Lundagérd,Helga Esteban M, Aug 2017
Lund_00471,Building,Property,Medieval architecture,Architecture,Château,House,Estate,Historic house,Historic site,Facade,Kulturen |,Kulturen |, Aug 2016
Lund_00624,Estate,Mansion,Building,Property,Landmark,Palace,Architecture,Official residence,Stately home,House,[TV T,6 Mohammed Zaki, Aug 2012
Lund_01318,Architecture,Classical architecture,Building,Landmark,Property,Facade,Town,Sky,House,Palace,Lundagérd,L) UIf Zimmermann, Aug 2018
Lund_01312,Landmark,Building,Property,House,Architecture,Mansion,Town,Estate,Sky,City,LT T :,Oleg Prosekov, Aug 2017
Lund_02066,Sky,Sport venue,Natural landscape,Grass,Green,Land lot,Grassland,Property,Natural environment,Tree,Lund Oval 3,Abin Thomas, Aug 2016
Lund_01558,Property,House,Cottage,Home,Building,Roof,Residential area,Real estate,Estate,Farmhouse,Kulturen,Daniel Jarl, Aug 2018
Lund_01112,Landmark,Architecture,Building,Sky,City,Town,Urban area,Steeple,Facade,Church,LT T o1 T T T,@ Daniel Klein, Aug 2018
Lund_01253,City,Urban area,Roof,Town,Human settlement,Building,Architecture,Metropolitan area,Residential area,Sky,[TV T :,qf‘gu Kaveh Kamran, Aug 2017
Lund_01224,Urban area,City,Metropolitan area,Town,Roof,Human settlement,Building,Landmark,Cityscape,Suburb,[TV T :,qf‘gu Kaveh Kamran, Aug 2017
Lund_01457,Landmark,Architecture,Classical architecture,Building,Facade,City,Palace,Urban area,Sky,House,Kulturen,Colin Nelson, Aug 2018
Lund_02835,Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,Ancient roman architecture,Palace,Basilica,Historic site,Lundagérd,Aleksandras Ples, Aug 2013
Lund_01063,Medieval architecture,Building,Landmark,Architecture,Facade,Classical architecture,Cathedral,Church,Place of worship,Steeple,Lund Cathedral :,UIf Danielsson, Aug 2017
Lund_01410,Estate,Building,Mansion,Property,Tree,Manor house,Stately home,House,Architecture,Historic house,ISLK International Sc,Alba Mercado Di:, Aug 2018
Lund_01252,City,Urban area,Roof,Town,Human settlement,Building,Architecture,Metropolitan area,Residential area,Sky,[TV T :,qf‘gu Kaveh Kamran, Aug 2017
Lund_02303,Grass,Lawn,Grassland,Natural environment,Land lot,Tree,Pasture,Grass family,Sky,Architecture,Lunds Pistolklubb :,@ Jonas Ezzi, Aug 2016
Lund_01328,Building,Estate,Property,Landmark,Mansion,Palace,Architecture,Official residence,Stately home,House,Lundagérd 8,qﬁi Maxime LMA, Aug 2018
Lund_00406,Building,Estate,Landmark,Property,Architecture,Mansion,House,Château,Stately home,Manor house,Lundagérd 9,(o) JoL RV, Aug 2018
Lund_01991,Fountain,Water,Water feature,Reflecting pool,Botany,Tree,Garden,Architecture,Botanical garden,Pond,A  Alejandro Carrillc,A  Alejandro Carrillc, Aug 2016
Lund_01740,Observation tower,Tree,Building,Estate,Landscape,Thoroughfare,Park,Château,,,Department of Philo:,J) jLarsen, Aug 2017
Lund_02826,Estate,Building,Property,Town,House,Architecture,Residential area,Mansion,Tree,Home,Kulturen |,Kulturen |, Aug 2016
Lund_01586,Building,Architecture,Medieval architecture,Church,Place of worship,Parish,Facade,Historic site,Sky,Tree,Lundagérd,Oldfich Kamensk, Aug 2018
Lund_00699,Landmark,Building,Architecture,Medieval architecture,Classical architecture,Facade,Place of worship,Sky,Cathedral,Historic site,[T T o1 T 1T,:‘:_ King Lee, Aug 2018
Lund_01849,Landmark,Building,Architecture,Town,Facade,Steeple,City,Church,Tower,Spire,[T L He 1 BT,qﬁi Maxime LMA, Aug 2018
Lund_02601,Sky,Body of water,Nature,Sunset,Reflection,Water,Afterglow,Evening,Cloud,Dusk,Raby Sjopark,N R - UE T TR T T, Aug 2018
Lund_01944,Sport venue,Skatepark,Public space,Playground,Recreation,Leisure,Photography,Panorama,Park,City,Stadsparken 9,Stadsparken 9, Aug 2016
Lund_01405,Estate,Property,Mansion,Building,House,Palace,Stately home,Official residence,Manor house,Château,Lundagérd,",jfa Lucian Gevelegia", Aug 2008
Lund_00846,Estate,Building,Property,Sky,House,Mansion,Architecture,Palace,Cloud,Town,Lundagérd,‘) Ann Sofie Ander, Aug 2017
Lund_01848,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Place of worship,Facade,Sky,Church,Cathedral,Lund Cathedral,Dmitrii Goncharo, Aug 2017
Lund_00966,Building,Landmark,Architecture,Classical architecture,Estate,House,Mansion,Palace,Facade,Arch,Lundagérd 9,@ Daniel Klein, Aug 2018
Lund_02815,Architecture,Landmark,Building,Medieval architecture,Sky,Place of worship,Cathedral,Classical architecture,Church,Facade,[T T o1 T 1T,[T T o1 T 1T, Aug 2017
Lund_00386,Building,Landmark,Architecture,Estate,Stately home,Medieval architecture,Mansion,Castle,Historic house,Palace,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_02507,Sport venue,Stadium,Soccer-specific stadium,Team sport,Player,Sports,Grass,Ball game,Soccer,Sports equipment,Klostergérdens IP,Florian Weissbac, Aug 2017
Lund_00814,Estate,Building,Green,Sky,Grass,Palace,Property,Mansion,House,Architecture,Lundagérd,é B umberto mazzoc, Aug 2014
Lund_00306,Building,Landmark,Medieval architecture,Property,Architecture,Château,Stately home,Palace,Manor house,Classical architecture,Lundagérd,’@ MONICA MARIN(, Aug 2017
Lund_01245,Landmark,Building,Estate,Architecture,Mansion,Sky,Palace,Stately home,House,Classical architecture,Lundagérd 9,A) Anna Riggio, Aug 2018
Lund_01826,White,Black,Mansion,Building,Black-and-white,Estate,Landmark,House,Property,Monochrome,Lundagérd,B Benjamin Kiintze, Aug 2018
Lund_00119,Bicycle,Tree,Vehicle,Architecture,Autumn,Spring,Cycling,Road bicycle,Plant,Cyclo-cross bicycle,"‘é"" [N","‘é"" [N", Aug 2018
Lund_01748,Sky,Landmark,Architecture,Place of worship,Daytime,Building,Cloud,Church,Cathedral,Facade,Lund Cathedral ¢,[ CLLQI (T, Aug 2013
Lund_01599,Classical architecture,Building,Architecture,Landmark,Palace,Facade,Tourist attraction,City,Official residence,Mansion,Lundagérd 9,*9 Bogdan Tatar, Aug 2018
Lund_00058,Grassland,Field,Pasture,Land lot,Grass,Natural environment,Lawn,Plain,Meadow,Natural landscape,"‘é"" [N","‘é"" [N", Aug 2018
Lund_01069,Landmark,Building,Architecture,Castle,Stately home,Medieval architecture,Tree,Château,Facade,City,Lundagérd,'j:_ Lucian Gevelegia, Aug 2008
Lund_00575,Estate,Building,Stately home,Palace,Mansion,Castle,Château,Plaza,Manor house,Sky,Lundagérd,L Laia Puig Blasco, Aug 2016
Lund_01652,Body of water,Natural landscape,Nature,Water,Bank,Water resources,River,Pond,Natural environment,Nature reserve,Stadsparken,P Maziar Haghpan:, Aug 2017
Lund_02846,Sky,Sport venue,Green,Natural landscape,Land lot,Grass,Grassland,Cloud,Plain,Aerial photography,Lundagérd,@ MONICA MARIN(, Aug 2017
Lund_00179,Landmark,Building,Architecture,Clock tower,Medieval architecture,Facade,Classical architecture,Arch,Listed building,House,‘i’) [N,‘i’) [N, Aug 2018
Lund_01734,Estate,Building,Property,Manor house,Mansion,House,Stately home,Architecture,Almshouse,Home,Kulturen,David Villa,Aug2017 |
Lund_01743,Property,Estate,Building,Manor house,House,Mansion,Stately home,Botany,Real estate,Cottage,Botanical Garden,Botanical Garden, Aug 2016
Lund_03082,Property,Tree,Home,House,Real estate,Building,Recreation,Park,,,CircleK,e Thanon Shamel, Aug 2016
Lund_00298,Estate,Palace,Building,Mansion,Property,Official residence,Stately home,Château,Architecture,Presidential palace,g’ Vladislav Juricky,g’ Vladislav Juricky, Aug 2013
