a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_00537,Estate,Building,Mansion,Palace,Official residence,Château,Stately home,Architecture,Manor house,House,2015-06-18_12_25_(,L 1T T, Jun 2015
Lund_00894,Building,Château,Estate,Palace,Mansion,Architecture,Stately home,Castle,Waterway,House,Lundagérd,@%ﬁ Anders Sjostrom, Jun 2018
Lund_02134,Wall,Town,Medieval architecture,Building,Landmark,Property,Sky,Architecture,Brick,House,Dekanhuset,ﬁ BN PN R, Jun 2017
Lund_00414,Estate,Building,Property,Mansion,Palace,Landmark,House,Official residence,Château,Stately home,[T T VT,f?‘ SANDHEEP KUM, Jun 2015
Lund_00697,Classical architecture,Building,Landmark,Architecture,Palace,Facade,Mansion,Official residence,Courthouse,Column,Lundagérd,Q‘* Alexandra Balab:, Jun 2014
Lund_02428,Property,Home,House,Residential area,Building,Real estate,Neighbourhood,Roof,Architecture,Suburb,Pysslingen Forskola,‘;G\ DIIEY T, Jun 2017
Lund_02612,Water,Boardwalk,Sky,Deck,Tree,Dock,Wood,Walkway,Cloud,Pier,Killbybadet,i# Marie Cammarot, Jun 2017
Lund_02816,Classical architecture,Landmark,Medieval architecture,Architecture,Building,Facade,Place of worship,Cathedral,Byzantine architecture,Sky,Lundagérd,@ Barbara O'Neal, Jun 2017
Lund_02598,Sky,Natural landscape,Water,Sunset,River,Reflection,Cloud,Morning,Evening,Light,L TR TR,\ARYIE T EEG RV ED, Jun 2018
Lund_00612,Building,Medieval architecture,Property,Architecture,Wall,Castle,Tree,Estate,Grass,Stately home,Lundagérd ¢,@ Kiryl Shantyka, Jun 2017
Lund_02154,Body of water,Water resources,Nature,Natural landscape,Water,Bank,Natural environment,Reservoir,River,Atmospheric phenomenon,A nice Little pond ¢,P =], Jun 2017
Lund_01931,Building,Architecture,Facade,Vehicle,City,Car,Urban area,Neighbourhood,Street,House,[T T o1 T 1T,Artur Muc, Jun 2010
Lund_01881,Landmark,Architecture,Building,Medieval architecture,Sky,Church,Classical architecture,Facade,Place of worship,Historic site,Lund Cathedral :,H  Horst Hesener, Jun 2018
Lund_01904,Architecture,Landmark,Building,Classical architecture,Facade,House,Palace,Sky,City,Statue,Lundagérd,Anders Sjostrom, Jun 2018
Lund_01769,Estate,Property,House,Building,Home,Mansion,Manor house,Architecture,Residential area,Grass,Kulturen,. AL P Y, Jun 2017
Lund_03122,Road,Sky,Cloud,Highway,Asphalt,Lane,Daytime,Freeway,Infrastructure,Transport,Rinnebick Gorge 2,timor talash, Jun 2016
Lund_01273,Architecture,Building,Medieval architecture,Landmark,Gothic architecture,Classical architecture,Place of worship,Cathedral,Church,Sky,Lundagérd,ﬂ Bnapgumup Tutos, Jun 2016
Lund_01048,Classical architecture,Building,Landmark,Architecture,Palace,Facade,Sky,Mansion,City,Official residence,Lundagérd 9,6@@ Lau Moura, Jun 2018
Lund_00535,Landmark,Medieval architecture,Architecture,Building,Place of worship,Classical architecture,Facade,Church,Cathedral,Sky,LT T o1 T T,€N Juan Piema, Jun 2018
Lund_01114,Medieval architecture,Landmark,Architecture,Building,Castle,Fortification,Wall,Historic site,Château,Tree,Lundagérd,R N Y Y EY e, Jun 2011
Lund_02715,Lawn,Grass,Grassland,Park,Leisure,Recreation,Summer,Spring,Fun,Tree,Klostergérdens IP,il VPN YT 1o 3o ), Jun 2017
Lund_02130,Nature,Green,Water,Grass,Natural landscape,Lawn,Tree,Property,Pond,Botany,Sankt Jorgen Park,Sankt Jorgen Park, Jun 2017
Lund_02147,Botany,Botanical garden,Garden,Tree,Architecture,Reflecting pool,Pond,,,,Lundagérd ¢,Lundagérd ¢, Jun 2018
Lund_02486,Pasture,Grassland,Bovine,Natural landscape,Natural environment,Grazing,Rural area,Meadow,Field,Grass,Rinnebick Gorge,é) [T P T S, Jun 2017
Lund_02677,Team sport,Sky,Grass,Sport venue,Competition event,Team,Championship,Sports,Stadium,Player,Klostergérdens IP,il VPN CY T Lo (o)), Jun 2017
Lund_01651,Property,House,Cottage,Home,Thatching,Building,Roof,Real estate,Farmhouse,Residential area,Kulturen,(Z‘w Alexandra von Pe, Jun 2017
Lund_00495,Building,Estate,Landmark,Mansion,Palace,Stately home,Property,Official residence,Architecture,Classical architecture,[T T VT,C Carina Hagerblac, Jun 2018
Lund_01009,Building,Landmark,Town,Property,Architecture,Neighbourhood,Stately home,City,Residential area,House,Lundagérd 9,A Anon Ymous, Jun 2017
Lund_01241,Sky,Landmark,Architecture,Building,Medieval architecture,Church,Place of worship,Cathedral,Facade,City,[T T o1 T T T,a Imran Khan, Jun 2017
