,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b
31,Historic site,5.0,Place of worship,2.0,Spire,7.0,Real estate,10.0,Official residence,28.0,Water resources,24.0,Real estate,40.0,Botany,31,Manor house,19.0,Botany,14.0,Official residence,3.0,Water,3.0
32,Cathedral,5.0,River,2.0,Spring,7.0,Residential area,10.0,Cathedral,28.0,Vegetation,24.0,Cloud,35.0,Land lot,29,Natural environment,19.0,Human settlement,14.0,Town,3.0,Gothic architecture,3.0
33,Neighbourhood,5.0,Bank,2.0,Mixed-use,6.0,Grassland,10.0,Bank,28.0,Park,22.0,Public space,34.0,Public space,29,Botany,18.0,Spire,13.0,Plant,3.0,Public space,3.0
34,Manor house,4.0,Plain,2.0,Street,6.0,Plain,9.0,Home,27.0,Land lot,22.0,Land lot,34.0,Natural environment,29,Urban area,18.0,Public space,13.0,Historic site,2.0,Park,3.0
35,Grassland,4.0,Lane,2.0,Courthouse,5.0,Plant,8.0,Water resources,26.0,Manor house,22.0,Nature,33.0,Neighbourhood,27,Cloud,17.0,Autumn,12.0,Tower,2.0,Field,2.0
36,Wall,4.0,Neighbourhood,2.0,Human settlement,5.0,Waterway,8.0,Flower,26.0,River,21.0,Nature reserve,32.0,Steeple,26,Garden,16.0,Wilderness,11.0,Lawn,2.0,Landscape,2.0
37,Pasture,4.0,Landscape,2.0,Photography,5.0,Roof,8.0,River,23.0,Bank,21.0,Urban area,32.0,Botanical garden,24,Plant,16.0,Vegetation,11.0,Nature reserve,2.0,Atmospheric phenomenon,2.0
38,Mixed-use,4.0,Human settlement,2.0,Transport,5.0,Home,8.0,Botanical garden,23.0,Home,20.0,Vegetation,30.0,Plant,24,Water resources,15.0,Waterway,11.0,Geological phenomenon,2.0,Stately home,2.0
39,Snow,4.0,Parish,2.0,Steeple,5.0,Historic site,8.0,Residential area,23.0,Nature reserve,19.0,Botanical garden,30.0,Lawn,24,Grassland,14.0,Nature reserve,11.0,Land lot,2.0,Wall,2.0
40,Bank,4.0,Medieval architecture,2.0,Tourist attraction,5.0,Manor house,8.0,Park,22.0,Human settlement,18.0,Manor house,30.0,Grassland,24,Nature,14.0,Residential area,11.0,Cloud,2.0,Manor house,2.0
41,Natural environment,4.0,Church,2.0,Real estate,5.0,Street,7.0,Pasture,22.0,Lawn,18.0,Park,29.0,Street,23,Land lot,14.0,Steeple,10.0,Stream bed,2.0,Pasture,2.0
42,Landscape,3.0,Morning,2.0,Gothic architecture,5.0,Public space,7.0,Waterway,22.0,Pond,17.0,Plant,27.0,Historic site,22,Residential area,13.0,Daytime,10.0,Roof,2.0,Line,2.0
43,Dome,3.0,Nature reserve,2.0,Castle,5.0,Town square,7.0,Urban area,21.0,Neighbourhood,17.0,Water resources,26.0,Cloud,22,Wall,12.0,Manor house,10.0,Gothic architecture,2.0,Home,2.0
44,Leisure,3.0,Grassland,2.0,Water,5.0,Gothic architecture,7.0,Green,21.0,Historic site,17.0,Grassland,26.0,Roof,22,Bank,12.0,Cloud,10.0,Cathedral,2.0,Ruins,2.0
45,Farm,3.0,Street,2.0,Monument,4.0,Body of water,7.0,Vegetation,21.0,Public space,17.0,Steeple,25.0,Nature,19,Vegetation,12.0,Water resources,9.0,Steeple,2.0,Soil,2.0
46,Cloud,3.0,Column,1.0,Daytime,4.0,Water resources,7.0,Nature reserve,20.0,Body of water,16.0,Lawn,25.0,Rural area,19,Lawn,12.0,Watercourse,9.0,Wilderness,2.0,Asphalt,2.0
47,Gothic architecture,3.0,Floodplain,1.0,Plaza,4.0,Steeple,7.0,Neighbourhood,20.0,Recreation,15.0,Tower,24.0,Vegetation,19,Pasture,11.0,Botanical garden,9.0,Landscape,1.0,Ch?teau,2.0
48,Lighting,3.0,Wilderness,1.0,Freezing,4.0,Field,7.0,Plaza,18.0,Botanical garden,15.0,Bank,23.0,Water resources,18,Nature reserve,11.0,Tower,9.0,Wetland,1.0,Garden,2.0
49,Cottage,3.0,Infrastructure,1.0,Almshouse,4.0,River,6.0,Body of water,18.0,Pasture,15.0,Metropolitan area,23.0,Nature reserve,18,Castle,10.0,Park,8.0,Garden,1.0,Roof,2.0
50,Spire,3.0,Water resources,1.0,Natural landscape,4.0,Castle,6.0,Tourism,17.0,Plant,15.0,Road,20.0,Presidential palace,17,Botanical garden,10.0,Gothic architecture,8.0,Door,1.0,Mixed-use,2.0
51,Night,3.0,Monument,1.0,Sport venue,4.0,Botany,6.0,Real estate,17.0,Sport venue,14.0,Rural area,20.0,Pasture,16,Green,10.0,Body of water,8.0,Human settlement,1.0,Castle,2.0
52,Official residence,3.0,Art,1.0,Town square,4.0,Rural area,6.0,Land lot,17.0,Green,14.0,Historic site,20.0,Vehicle,16,Body of water,10.0,Home,8.0,Grass family,1.0,Land lot,2.0
53,Residential area,3.0,Water feature,1.0,Brick,3.0,Nature,6.0,Steeple,16.0,Residential area,13.0,Presidential palace,19.0,Bank,16,Mixed-use,10.0,Land lot,7.0,Window,1.0,Woody plant,1.0
54,Park,3.0,Fountain,1.0,Landscape,3.0,Pasture,6.0,Lawn,16.0,Vehicle,13.0,Pond,18.0,Castle,16,Waterway,10.0,Plant,7.0,Courthouse,1.0,Urban design,1.0
55,Freezing,3.0,Manor house,1.0,Tower,3.0,Sport venue,6.0,Mixed-use,15.0,Presidential palace,13.0,Roof,17.0,Metropolitan area,15,Town square,9.0,Real estate,7.0,Marsh,1.0,Parish,1.0
56,Nature reserve,3.0,Marsh,1.0,Vehicle,3.0,Garden,5.0,Fountain,15.0,Castle,13.0,River,16.0,Road,15,Plain,9.0,Road,7.0,Public space,1.0,Bench,1.0
57,Roof,3.0,Metropolitan area,1.0,Historic site,3.0,Mountain,5.0,Town square,15.0,Meadow,12.0,Pasture,16.0,Plaza,15,Plaza,9.0,Lawn,7.0,Vegetation,1.0,Palace,1.0
58,Street,3.0,Plant,1.0,Flooring,3.0,Spire,5.0,Historic site,15.0,Plaza,12.0,Body of water,15.0,Landscape,14,Gothic architecture,9.0,Presidential palace,7.0,Urban area,1.0,Yard,1.0
59,Metropolitan area,3.0,Vehicle,1.0,Floor,3.0,Watercourse,5.0,Meadow,15.0,Wall,11.0,Aerial photography,15.0,Town square,14,Transport,9.0,River,7.0,Residential area,1.0,Furniture,1.0
60,Vehicle,2.0,Spire,1.0,Car,3.0,Pond,5.0,Watercourse,14.0,Urban area,10.0,Watercourse,14.0,Waterway,14,Historic house,9.0,Brick,6.0,Neighbourhood,1.0,Rural area,1.0
61,Leisure centre,2.0,Historic house,1.0,Physical fitness,3.0,Cloud,5.0,Road,14.0,Field,10.0,Urban design,14.0,Tower,14,Fountain,9.0,Landscape,6.0,Pasture,1.0,Concrete,1.0
62,Baptistery,2.0,Fen,1.0,Gym,3.0,Daytime,5.0,Street,14.0,Road,10.0,Mixed-use,14.0,Field,14,Parish,8.0,Mixed-use,6.0,Botanical garden,1.0,Reflection,1.0
63,Vacation,2.0,Asphalt,1.0,Bank,3.0,Neighbourhood,5.0,Landscape,13.0,Leisure,10.0,Bird's-eye view,14.0,River,14,Steeple,8.0,Plaza,6.0,Hill,1.0,Evening,1.0
64,Plaza,2.0,Memorial,1.0,Roof,3.0,Plaza,5.0,Daytime,13.0,Tower,10.0,Suburb,14.0,Body of water,13,Tourism,8.0,Town square,6.0,Red,1.0,Headquarters,1.0
65,Byzantine architecture,2.0,Transport,1.0,Room,3.0,Grass family,5.0,Field,13.0,Steeple,9.0,Shrub,13.0,Plain,13,Daytime,8.0,Reflection,6.0,Rural area,1.0,Company,1.0
66,Flooring,2.0,Park,1.0,Natural environment,3.0,Meadow,4.0,Castle,12.0,Transport,9.0,Vehicle,13.0,Fountain,12,Vehicle,8.0,Fountain,6.0,Spire,1.0,Cottage,1.0
67,Campus,2.0,Residential area,1.0,Metropolitan area,3.0,Lawn,4.0,Gothic architecture,12.0,Tourism,9.0,Waterway,13.0,Landscaping,11,Reflection,8.0,Geological phenomenon,5.0,Castle,1.0,State park,1.0
68,Table,2.0,Evening,1.0,River,3.0,Stadium,4.0,Pond,12.0,Prairie,9.0,Meadow,13.0,Mixed-use,11,Road,7.0,Wall,5.0,Spring,1.0,Plain,1.0
69,Water resources,2.0,Trail,1.0,Rural area,2.0,Tourist attraction,4.0,Manor house,11.0,Rural area,9.0,Transport,12.0,Park,11,Water feature,7.0,Historic site,5.0,Arroyo,1.0,Corporate headquarters,1.0
70,Travel,2.0,Botany,1.0,Hardwood,2.0,Commercial building,4.0,Water feature,11.0,Fountain,9.0,Historic house,12.0,Pond,11,Pond,7.0,Street,5.0,Home,1.0,Lane,1.0
71,Abbey,2.0,Reflection,1.0,College,2.0,Transport,4.0,Reflecting pool,11.0,Competition event,9.0,Plain,12.0,Wall,11,Spire,7.0,Rural area,5.0,Plaza,1.0,Photography,1.0
72,Geological phenomenon,2.0,Car,1.0,Commercial building,2.0,Reflection,4.0,Roof,11.0,Tourist attraction,9.0,Landscape,12.0,Spire,11,Street,7.0,Pond,5.0,Reflection,1.0,Almshouse,1.0
73,Meadow,2.0,Castle,1.0,Tourism,2.0,Botanical garden,4.0,Shrub,11.0,Roof,8.0,Leisure,11.0,Historic house,10,Commercial building,6.0,Pasture,4.0,Column,1.0,Chapel,1.0
74,Spring,2.0,Chapel,1.0,Wall,2.0,Park,4.0,Metropolitan area,11.0,Spring,8.0,Sport venue,11.0,Brick,10,Landscape,6.0,Tourist attraction,4.0,Botany,1.0,Table,1.0
75,Field,2.0,Botanical garden,1.0,Aerial photography,2.0,Nature reserve,3.0,Reflection,11.0,Town square,8.0,Landscaping,11.0,Meadow,10,Park,6.0,Photography,4.0,Street,1.0,Mansion,1.0
76,College,2.0,Fence,1.0,Monochrome,2.0,Courthouse,3.0,Tower,10.0,Watercourse,8.0,Courthouse,11.0,Grass family,9,Roof,6.0,Grassland,4.0,Tourism,1.0,Iron,1.0
77,Body of water,2.0,Statue,1.0,Fence,2.0,Tower,3.0,Plain,10.0,Reflection,8.0,Tourism,11.0,Farm,9,River,6.0,Woody plant,4.0,Town square,1.0,Real estate,1.0
78,Room,2.0,Green,1.0,Seat of local government,2.0,Campus,3.0,Spire,10.0,Daytime,8.0,Reflection,10.0,Water feature,9,Presidential palace,6.0,Castle,4.0,Cottage,1.0,Outdoor bench,1.0
79,Ditch,2.0,Horizon,1.0,Nature,2.0,Wilderness,3.0,Cloud,9.0,Plain,7.0,Street,10.0,Commercial building,9,Sport venue,6.0,Tourism,4.0,Canal,1.0,Shed,1.0
80,Castle,2.0,Plaza,1.0,Basilica,2.0,Prairie,3.0,Transport,9.0,Stadium,7.0,Daytime,10.0,Spring,9,Leaf,5.0,Arch,4.0,,,Bridge,1.0
81,Steeple,2.0,Steeple,1.0,Infrastructure,2.0,Parish,3.0,Rural area,8.0,Reflecting pool,7.0,Field,10.0,Cottage,9,Watercourse,5.0,Water feature,4.0,,,Spring,1.0
82,Town square,2.0,Sculpture,1.0,Window,2.0,Sports,3.0,Prairie,8.0,Shrub,7.0,Grass family,10.0,Tourism,9,Monument,5.0,Factory,4.0,,,Horizon,1.0
83,Shed,2.0,Freezing,1.0,Bird's-eye view,2.0,Presidential palace,3.0,Asphalt,7.0,Team sport,7.0,Downtown,10.0,Transport,9,Wilderness,5.0,Industry,3.0,,,Water feature,1.0
84,Chapel,2.0,Watercourse,1.0,Body of water,2.0,Green,3.0,Historic house,7.0,Asphalt,6.0,Green,9.0,Tourist attraction,8,Bicycle,5.0,Reflecting pool,3.0,,,Town square,1.0
85,Sport venue,2.0,Urban area,1.0,Apartment,2.0,Infrastructure,3.0,Walkway,7.0,Historic house,6.0,Yard,9.0,Downtown,7,Rural area,5.0,Floor,3.0,,,Recreation,1.0
86,Interior design,2.0,Reflecting pool,1.0,Plant,2.0,Player,3.0,Leaf,6.0,Waterway,6.0,Cottage,9.0,Flower,7,Tourist attraction,5.0,Morning,3.0,,,Mode of transport,1.0
87,Pedestrian,2.0,Home,1.0,Road,2.0,Soil,3.0,Presidential palace,6.0,Courthouse,6.0,Freshwater marsh,9.0,Thoroughfare,7,Statue,4.0,Cobblestone,3.0,,,Cobblestone,1.0
88,Reflection,1.0,Thoroughfare,1.0,Presidential palace,2.0,Reservoir,3.0,Vehicle,6.0,Spire,6.0,Plaza,9.0,Reflecting pool,7,Car,4.0,Machine,3.0,,,Concrete bridge,1.0
89,Leaf,1.0,Garden,1.0,Black-and-white,2.0,Team sport,3.0,Woody plant,6.0,Team,6.0,Castle,9.0,Green,7,Memorial,4.0,Lake,3.0,,,Plant,1.0
90,Fen,1.0,Canal,1.0,Cloud,2.0,Line,3.0,Lake,6.0,Water feature,6.0,Marsh,9.0,Shrub,7,Field,4.0,Walkway,3.0,,,Circle,1.0
91,Car,1.0,,,Waterway,2.0,Farm,3.0,Grass family,6.0,Landscape,6.0,Spire,9.0,Arch,7,Grass family,4.0,Thoroughfare,3.0,,,Commercial building,1.0
92,Plant,1.0,,,Land lot,1.0,Bus stop,2.0,Landscaping,6.0,Cottage,5.0,Fountain,9.0,Campus,6,Reflecting pool,4.0,Slope,2.0,,,Fog,1.0
93,Weightlifting machine,1.0,,,Lake,1.0,Trail,2.0,Marsh,6.0,Car,5.0,Spring,9.0,Gothic architecture,6,Riparian zone,4.0,History,2.0,,,Daytime,1.0
94,Fence,1.0,,,Exercise machine,1.0,Column,2.0,Horizon,5.0,Gothic architecture,5.0,Chapel,8.0,Sport venue,6,Stream,4.0,Dirt road,2.0,,,Aerial photography,1.0
95,Memorial,1.0,,,Sand,1.0,Fen,2.0,Cottage,5.0,Games,5.0,Town square,8.0,Woody plant,6,Metropolitan area,4.0,Highland,2.0,,,Transport,1.0
96,Line,1.0,,,Gasoline,1.0,Soccer-specific stadium,2.0,Yellow,5.0,Player,5.0,Biome,8.0,Watercourse,6,Courthouse,4.0,Vehicle,2.0,,,Residential area,1.0
97,Thoroughfare,1.0,,,Metropolis,1.0,Thoroughfare,2.0,Reservoir,5.0,Street,5.0,Wall,8.0,Daytime,5,Interior design,4.0,Yard,2.0,,,College,1.0
98,Log cabin,1.0,,,Frost,1.0,Glass,2.0,Ecoregion,5.0,Seat of local government,5.0,Gothic architecture,8.0,Suburb,5,Farm,3.0,Hill,2.0,,,Bird's-eye view,1.0
99,Brick,1.0,,,Dome,1.0,Vegetation,2.0,Wetland,5.0,Arch,5.0,Morning,8.0,Courthouse,5,Meadow,3.0,Stream,2.0,,,Yellow,1.0
100,Dusk,1.0,,,Memorial,1.0,Urban design,2.0,Canal,4.0,Woody plant,4.0,Car,8.0,Pedestrian,5,Arch,3.0,Riparian zone,2.0,,,Nonbuilding structure,1.0
101,Tourist attraction,1.0,,,Suburb,1.0,Monument,2.0,Steppe,4.0,Grass family,4.0,Wilderness,7.0,Reflection,5,Brick,3.0,Bird's-eye view,2.0,,,Official residence,1.0
102,Outhouse,1.0,,,Statue,1.0,Vehicle,2.0,Room,4.0,Monument,4.0,Recreation,7.0,Asphalt,5,Temple,3.0,Plain,2.0,,,Canal,1.0
103,Grass family,1.0,,,Tournament,1.0,Woody plant,2.0,Bovine,4.0,Mixed-use,4.0,Water feature,7.0,Almshouse,5,Photography,3.0,Suburb,2.0,,,,
104,Vegetation,1.0,,,Stream,1.0,Photography,2.0,Morning,4.0,Yard,4.0,Wetland,7.0,Prairie,4,Almshouse,3.0,Fisheye lens,2.0,,,,
105,Gym,1.0,,,Exercise,1.0,Ball game,2.0,Car,4.0,Column,4.0,Horizon,7.0,Hill,4,Houseplant,3.0,Loch,2.0,,,,
106,Frost,1.0,,,Marsh,1.0,Ancient history,2.0,Tower block,4.0,Urban design,4.0,Reflecting pool,7.0,Harbor,4,Signage,3.0,Aerial photography,2.0,,,,
107,Shack,1.0,,,Race track,1.0,Mixed-use,2.0,Campus,4.0,Event,4.0,Riparian zone,6.0,Car,4,National historic landmark,3.0,Meadow,2.0,,,,
108,Road,1.0,,,Thoroughfare,1.0,Shade,2.0,Infrastructure,4.0,Fun,4.0,Tourist attraction,6.0,Apartment,4,Ceiling,3.0,Biome,2.0,,,,
109,Lawn,1.0,,,Freshwater marsh,1.0,Team,2.0,Fen,4.0,Sports,4.0,Brick,6.0,Aerial photography,4,Room,3.0,Window,2.0,,,,
110,Woody plant,1.0,,,Fen,1.0,College,2.0,Gas,4.0,Riparian zone,4.0,Monument,6.0,Evening,4,Recreation,3.0,Flooring,2.0,,,,
111,Suburb,1.0,,,Campus,1.0,Fast food restaurant,2.0,Grazing,4.0,Summer,3.0,Fen,6.0,Hay,4,Asphalt,3.0,Interior design,2.0,,,,
112,Watercourse,1.0,,,Pedestrian,1.0,Business,2.0,Biome,4.0,Grazing,3.0,Commercial building,6.0,Statue,4,Furniture,3.0,Metropolitan area,2.0,,,,
113,Sports,1.0,,,Watercourse,1.0,Freshwater marsh,2.0,Plant community,4.0,Outdoor play equipment,3.0,Lake,6.0,Winter,4,Restaurant,3.0,Rock,2.0,,,,
114,Furniture,1.0,,,Interior design,1.0,Courtyard,2.0,Condominium,4.0,Parish,3.0,Arch,6.0,Marina,4,Prairie,3.0,Apartment,2.0,,,,
115,Branch,1.0,,,Signage,1.0,Metropolitan area,2.0,Road surface,4.0,Ceiling,3.0,College,6.0,Photography,4,Lane,3.0,Hall,2.0,,,,
116,Marsh,1.0,,,Nature reserve,1.0,Baseball park,2.0,Farm,4.0,Pole,3.0,Prairie,5.0,Recreation,4,Reservoir,3.0,Grass family,2.0,,,,
117,Weights,1.0,,,Pond,1.0,Lane,2.0,Lane,4.0,Plant community,3.0,Flower,5.0,Urban design,4,Hill,2.0,Winter,1.0,,,,
118,Hill,1.0,,,Water resources,1.0,Historic house,2.0,Filling station,3.0,Corporate headquarters,3.0,Fun,4.0,Night,4,Cottage,2.0,Compact car,1.0,,,,
119,Parish,1.0,,,Siding,1.0,Baseball field,2.0,Suburb,3.0,Metropolitan area,3.0,Almshouse,4.0,Atmospheric phenomenon,4,Campus,2.0,Ditch,1.0,,,,
120,Arch,1.0,,,Treadmill,1.0,Fast food,2.0,Soil,3.0,Inflatable,3.0,Swimming pool,4.0,Retail,4,Goal,2.0,Snow,1.0,,,,
121,Holy places,1.0,,,Brickwork,1.0,Aerial photography,2.0,Recreation,3.0,Flower,3.0,Stadium,4.0,Monument,4,Net,2.0,Signage,1.0,,,,
122,Cobblestone,1.0,,,Wood flooring,1.0,Blossom,1.0,Mustard plant,3.0,Turret,3.0,Outdoor play equipment,4.0,College,4,Corporate headquarters,2.0,Trade,1.0,,,,
123,Listed building,1.0,,,Team sport,1.0,Apartment,1.0,Stream,3.0,Campus,3.0,Playground,4.0,Room,4,Fortification,2.0,Picket fence,1.0,,,,
124,Tennis court,1.0,,,Ball game,1.0,Restaurant,1.0,Courthouse,3.0,Statue,3.0,Wildlife,4.0,Wilderness,4,Infrastructure,2.0,Transport,1.0,,,,
125,Winter storm,1.0,,,Weight training,1.0,Competition event,1.0,Branch,3.0,Brick,3.0,Metropolis,3.0,Horizon,4,Woody plant,2.0,Arroyo,1.0,,,,
126,Lake,1.0,,,Competition event,1.0,Chapel,1.0,Signage,3.0,Farm,3.0,Fish pond,3.0,Dock,3,Brickwork,2.0,Blue,1.0,,,,
127,Aisle,1.0,,,Futsal,1.0,Community centre,1.0,Tourist attraction,3.0,Lake,3.0,Fortification,3.0,Cobblestone,3,Soil,2.0,Engineering,1.0,,,,
128,Recreation,1.0,,,Ecoregion,1.0,Memorial,1.0,Rapeseed,3.0,Atmospheric phenomenon,3.0,Net,3.0,Reservoir,3,Bovine,2.0,Freezing,1.0,,,,
129,Strength training,1.0,,,Sports,1.0,Cherry blossom,1.0,Thoroughfare,3.0,Commercial building,3.0,Thoroughfare,3.0,Ecoregion,3,Rock,2.0,Seat of local government,1.0,,,,
130,Water feature,1.0,,,Salt marsh,1.0,Football,1.0,Pedestrian,3.0,Crowd,3.0,Fence,3.0,Motor vehicle,3,Downtown,2.0,Restaurant,1.0,,,,
131,Black-and-white,1.0,,,Laminate flooring,1.0,Canal,1.0,Parish,3.0,Dirt road,3.0,Plant community,3.0,Corporate headquarters,3,Golf course,2.0,Toolroom,1.0,,,,
132,White,1.0,,,Lighting,1.0,Kiosk,1.0,Seat of local government,3.0,Street light,2.0,Basilica,3.0,Shore,3,Headquarters,2.0,Canal,1.0,,,,
133,Green,1.0,,,Park,1.0,Road surface,1.0,Downtown,3.0,Suburb,2.0,Summer,3.0,Sea,3,Fish pond,2.0,Creek,1.0,,,,
134,Shade,1.0,,,Off-roading,1.0,Statue,1.0,Mustard,3.0,Deck,2.0,Apartment,3.0,Rock,3,Art,2.0,Electrical supply,1.0,,,,
135,Hut,1.0,,,Exercise equipment,1.0,Reflecting pool,1.0,Freshwater marsh,3.0,First-class cricket,2.0,Basketball court,3.0,Team sport,3,Alley,2.0,Fell,1.0,,,,
136,Vault,1.0,,,Field,1.0,Farmhouse,1.0,Cumulus,2.0,Shade,2.0,Vacation,3.0,Farmhouse,3,Car dealership,2.0,Trail,1.0,,,,
137,Commercial building,1.0,,,Bayou,1.0,Flower,1.0,Blossom,2.0,Canopy,2.0,Tidal marsh,3.0,Playground,3,Apartment,2.0,Fence,1.0,,,,
138,Bog,1.0,,,Wood,1.0,Arena,1.0,Memorial,2.0,Wetland,2.0,Campus,3.0,Fortification,3,Biome,2.0,Supermarket,1.0,,,,
