[English],54,16,,5,5 days ago ,Great summer destination and fall walks,"Washington, DC, United States",The park is beautiful during any season but especially for a summer picnic. Coffee or a bottle of wine with cheese and a blanket was what we did when I was young. Still go there whenever I visit Lund.
[English],54,29,8,5,"August 6, 2015 ",Soothing green park and a lake,,Stadsparken offers nice greenery with a stunning lake. You can take a stroll on different walkaways around the lake. For me its a daily walk destination which helps me in my walking regime and sooth my eyes with lush green color. There is a also...More
[English],54,562,157,3,"August 3, 2015 ",A very nice walk,"Sonoma, California",A wonderful park for residents and visitors. There is a nice lake with birdlife to watch. There is also a training area and sandy beach volleyball courts. We had a nice morning walk thru the park.
[English],54,21,21,5,"July 25, 2015 ",Great place to hang out - bring a blanket,"Keflavik, Iceland","We love to go to Statsparken to hang out and relax with the kids. We bring a blanket and snacks and stay there for long periods. There are dance lessons every weeknight, a fun playground, beautiful surroundings and places to throw a frisbee, sleep in...More"
[English],54,28,1,4,"July 9, 2015 ",Nice for a walk and getting some sun,"Munich, Germany","If you are going around the city and it's sunny do not miss stadsparken where you can have a walk in the nice park and refreshing nature, sit and drink some coffee or beers that you take with you (only one bar/restaurant is there and...More"
[English],54,486,155,4,"July 8, 2015 ",A great place for a walk or to sit in the sun,"Lund, Sweden",I live in Lund and enjoy the city park very much.  There are birds on the north side of the park and ducks and fish in the lake.  They have recently added a climbing wall and outdoor gym equipment on the south side.  The city...More
[English],54,19,4,5,"June 30, 2015 ",A park not to miss!,,"We visited there with our son, who was completing his graduate work at Lund.  It was a beautiful area of Lund, and quite beautiful!"
[English],54,239,82,4,"June 17, 2015 ",Point of relaxation and celebration,"Jaipur, India","Lund city's park (Stadsparken) lies close to the city centre and quite large. It has remains of the an old city wall, a pond, a performance stage, children amusement rides/swings, small birds exhibits etc. It not only provides opportunities for exercise, running and playing but...More"
[English],54,334,65,5,"May 22, 2015 ",A wonderful park from 1911,"Furulund, Sweden","Built in the wonderful style of early-20th-century parks, Stadsparken is the heart of Lund. Beautiful, with lots of green, wonderful ponds, a fantastic playground, it's really worth visiting. And maybe you'll have the chance to indulge in one of the many cultural happenings that are...More"
[Swedish],76,3,1,5,3 days ago ,Finaste stadsparken i Sverige,,"En park som myllrar av aktivitet och människor året om. Välskött, vacker, spännande och full av överraskningar för hela familjen."
[Swedish],76,26,3,4,5 days ago ,I hjärtat av Lund ,,"I centrala Lund ligger denna utomordentligt välskötta och trevliga park. Parken är perfekt för promenaden, löprundan eller för att slippa...More"
[Swedish],76,3,,4,"December 11, 2018 ",Lugn o cykelfri park.,"Lund, Sweden",Välskött. Fina gräsmattor. Mycket blomster. Lekområde med många olika redskap. Gratis uppträdanden. Promenera och ställ cykeln.
[Swedish],76,70,14,4,"December 9, 2018 ",Underbar lunga mitt i stan,"Lund, Sweden","En stor härlig park med något för alla; stora och små. Här simmar ankor, och här finns härlig lekplats och...More"
[Swedish],76,2,,4,"November 6, 2018 ",Lundabornas oas,"Lund, Sweden","Grönt och skönt, en samlingspunkt helt enkelt. Fin lekplats för barnen men oftast för mycket folk. I närheten finns klättervägg,...More"
[Swedish],76,36,,4,"October 2, 2018 ",Oas i centrala Lund,,"Ett ställe som passar alla, för träning (finns utegym i anslutning till parken), löpning, lek, picknick, promenader eller bara att...More"
[Swedish],76,52,3,4,"September 16, 2018 ",Skön avslutning på helgen i vacker park,,"Mycket välskött park med vackra blommor och fontäner, dammar med fågel och guldfiskar. Trevligt och avkopplande att strosa runt där....More"
[Swedish],76,19,4,3,"July 9, 2018 ",Helt ok,"Lund, Sweden","En stadspark som är lite märkt av tidens tand. Den nyare delen söderut med beachvolley, skatebana etc. är mkt fin....More"
[Swedish],76,88,11,3,"June 30, 2018 ",En helt vanlig park,"Lund, Sweden","En damm, några rejäla gräsytor, några planteringar med blommor, en hel del träd, en stor rejäl lekplats... kort o gott,...More"
[Swedish],76,5,,4,"June 18, 2018 ",Vacker,,Där finns gym vollybollsplan och skateramp där finns även ett bra cafée samt fågelvoljärer och en bra lekplats till dom...More
[Swedish],76,38,10,5,"June 13, 2018 ",Riktigt bra lekplats,"Lund, Sweden","Detta har blivit mycket lyckat efter ändringarna för något år sedan, grym lekplats och snyggt och städat i stördsta allmänhet."
[Swedish],76,67,6,5,"May 20, 2018 ",Perfekt utflyktsställe,"Landskrona, Sweden","Perfekt för alla besökare.
Vi var där med barn i olika åldrar.
Fin lekplats som även är handikappanpassad.
Fina grönytor...More"
[Swedish],76,49,3,5,"April 29, 2018 ",Underbar park,,"Underbar park att motionera, leka och ströva i. Finns något för alla. Utegym, lekplatser och café. När vårsolen tittade fram...More"
[Swedish],76,38,9,3,"February 23, 2018 ",Bra ytor för lek o spring,"Malmo, Sweden","Hängmattor klättervägg ankor o stora gräsmatta : perfekt för familjens

Toaletter och kiosker saknas dock så medtag allt och håll...More"
[Swedish],76,9,2,5,"December 22, 2017 ",Lundabornas vardagsrum,,"Här spelar man boule, skejtar och grillar eller leker på väl tilltagna lekplatser eller äter glass i caféet. Möjligen vilar...More"
[Swedish],76,39,6,3,"November 10, 2017 ",Njut av blomsterprakten men inte av räksmörgåsarna och kakorna!,,"En solskensdag i juli passade vi  - några vänner på att gå till
den lummiga Stadsparken i Lund. Några beställde...More"
[Swedish],76,5,2,5,"November 7, 2017 ",Avkopplande med fröjd för ögat,"Lund, Sverige","Stadsparken kan upplevas på många olika sätt beroende på årstiden, men en behaglig och relaxerande känsla sköljer alltid över en...More"
[Swedish],76,9,3,1,"November 6, 2017 ",Fruktansvärd service,"Lund, Sweden","Har försökt att både äta och dricka vid 3 olika tillfälle, Antingen så skulle dom stänga om 10 minuter eller...More"
[Swedish],76,59,10,4,"November 5, 2017 ",Fin park med rolig lekplats,"Orebro, Sweden","Fin välordnad park. Rolig lekpark för barnen, en klätter-del för de större barnen och en del för de mindre barnen."
[Swedish],76,31,2,4,"September 22, 2017 ",Härlig park,,"Vacker och välordnad park med väl tilltagna grönytor för sport och avkoppling. Blomprakt, fontän och örtträdgård. Trevligt med orientaliska fåglar...More"
[Swedish],76,229,69,4,"July 21, 2017 ",Det fattas något,"Ban Si Thanu, Thailand","Stadsparken är fin att gå i året runt, men det man saknar är minigolf. Lund är nog den största staden...More"
[Swedish],76,6,2,4,"July 11, 2017 ",Trevlig oas i Lund,,"Här kan man gå runt och strosa eller ta med sig en filt eller stolar.
Duka upp med ost och...More"
[Swedish],76,7,,5,"July 11, 2017 ",Mysigaste platsen i Lund,"Lund, Sweden","Hör kan man göra allt ,sola ,vara ensam , titta på folk , fika ,äta ,ha picknick ett ställe att...More"
[Swedish],76,12,,5,"July 11, 2017 ",En lekfull och lummig plats mitt i staden,"Lund, Sweden","Stadsparken bjuder på grusgångar, rosenplanteringar och fontäner, ja till och med en liten musikpaviljong, allt du kan önska dig av...More"
[Swedish],76,7,,4,"July 11, 2017 ",Slappa eller spela,"Lund, Sweden","En av de två oaserna i Lund. Här kan man ha pic-nic, spela boule, hänga i hängmattor, skejta, sitta på...More"
[Swedish],76,46,8,3,"July 4, 2017 ",För alla,"Lund, Sweden",En park som är bra att springa i eller bara promenera. Ligger inte långt ifrån centralen. Finns aktiviteter för barn...More
[Swedish],76,37,1,5,"May 23, 2017 ",Fantastiska unika Lunds stadspark en juvel!,"Lund, Sweden",En magisk plats som förvaltas väl. Det städas och putsas hela tiden. Det finns något för alla åldrar. Hängmattorna är...More
[Swedish],76,45,2,4,"May 1, 2017 ",God mat!,,"Trevlig lokal med god mat och god service. Personalen trevlig och vänlig.
Fina omgivningar i Lunds Stadspark
Lugnt och mysigt...More"
[Swedish],76,10,,5,"April 10, 2017 ",Fin park,,Himla fin park är det. Och stor. Och om sommaren när det är varmt så är parken full av människor...More
[Swedish],76,14,6,4,"April 10, 2017 ",Något för alla,"Lund, Sweden",Om du har barn finns en fantastisk lekplats och en klättersten. För lite äldre barn plats för parcour och skateboardramp....More
[Swedish],76,31,5,4,"February 18, 2017 ",här får du frid,,"I Lunds stadspark kan du få mycket. Inre frid. En natur upplevelse. Möte med medmänniskor. Pratstund med änderna, svan paret...More"
[Swedish],76,8,10,5,"February 13, 2017 ",Vacker allsidighet,"Lund, Sweden","Helt fantastiskt hur man på ett så smakfullt och ""harmoniskt"" sätt kan få in en sådan mångfald av sevärdheter och...More"
[Swedish],76,16,1,5,"February 13, 2017 ",En oas mitt i stan,,"Denna centralt belägna oas har många möjligheter. Picknick, boule, motion både sommar och vinter samt nära till stan, en jättefin...More"
[Swedish],76,21,,4,"February 5, 2017 ",En oas i Lund,"Lund, Sweden",Perfekt ställe för avkoppling en sommardag. Det är här studenterna firar siste april med en gigantisk spontanfest framför vita scenen...More
[Swedish],76,128,32,5,"January 17, 2017 ",Mycket att göra både för barn o vuxen ,"Lund, Sweden","Bästa parken, även på vintern.
Lekpark för barnen är välbyggd och säker. 
Aktivitetsområde för större barn och vuxna samt ett...More"
[Swedish],76,96,12,5,"January 5, 2017 ",Fantastiskt,"Lund, Sweden","Lunds hjärta, ett besök för alla. Finns massor att göra eller bara ligga och njuta av miljön. Ett måste!"
[Swedish],76,7,,4,"December 19, 2016 ",En fantastisk oas i Lund,"Lund, Sweden","Min favoritplats är den lilla dammen med fiskar och alla olika fåglar
Dit kan man gå med barn eller barnbarn,...More"
[Swedish],76,26,10,5,"December 8, 2016 ",Välskött park med många möjligheter !,Barsebäck,"Lunds hjärta! Vacker, välskött med många trevliga delar! Skateboardpark i ena änden och en otroligt trevlig, stor lekplats i en...More"
[Swedish],76,68,38,4,"November 12, 2016 ",Stadsparken är värt ett besök,"Lund, Sweden",Själv Lundabo och besöker parken ofta. Kan verkligen rekommendera ett besök för er som turistar i Lund. Bra att besöka...More
[Swedish],76,17,4,4,"November 4, 2016 ",Perfekt för småbarnsfamiljen,"Lund, Sweden","Perfekta platsen att spendera en dag med småbarnsfamiljen, framför allt under sommarhalvåret. Stor och spännande lekplats, gott om gräsytor, massor...More"
[Swedish],76,120,23,4,"September 8, 2016 ",Trevlig park med både lekplatser och vackra planteringar,"Lund, Sweden","Parken har något för alla, från barnfamiljerna som roar sig på sen stora lekplatsen eller tittar på fåglarna i dammen...More"
[Swedish],76,18,4,5,"September 4, 2016 ",Fantastisk vacker park,"Lund, Sweden","En underbar stadspark, nära city. Parken är stor, vacker, fridfull och perfekt för att strosa runt i eller ta en...More"
[Swedish],76,116,32,5,"August 24, 2016 ",Fantastisk renoverad park!,"Lund, Sweden",Jag har hört mycket om den renoverade Stadsparken i Lund men inte besökt den förrän nu. Jag måste verkligen säga...More
[Swedish],76,48,17,5,"August 23, 2016 ",Underbar park!,"Lund, Sweden","Stadsparken i Lund har allt! Där finns grönytor, dammar med änder som barnen kan mata, en scen för uppträdanden och...More"
[Swedish],76,14,2,5,"July 27, 2016 ","Var och åt i restaurangen i Lunds Stadspark, belägen i ljusa luftiga lokaler i underbar parkmiljö. Med beröm godkännt.","Lund, Sweden",Det är i sig en minnesvärd  upplevelse att strosa runt i välskötta Stadsparken i Lund där man finner platser med...More
[Swedish],76,20,1,4,"July 25, 2016 ",Barnvänlig och välskött park,"Lund, Sweden","En park att strossa runt och koppla av i. Välskött med härliga grönområde, damm med många olika fågelarter. Ett cafe...More"
[Swedish],76,162,47,4,"July 25, 2016 ",Promenad på lunchen,"Vallakra, Sweden",Efter en god lunch gick vi hit för att titta på alla de vackra planteringarna i stadsparken. Verkligen imponerande! Speciellt...More
[Swedish],76,88,13,5,"July 25, 2016 ",En perfekt plats att koppla av och njuta av din dag,"Lund, Sweden","Detta är den perfekta platsen strosa rint och bara njuta av din dag.
Man kan sitta i parken och njuta...More"
[Swedish],76,219,35,4,"July 21, 2016 ",Strosa,World,"Tänk att jag har missa strosa runt i den fina stadsparken.
Härliga grönområden, vackra parkanläggningar, lekplats mm.
Gott om bänkar...More"
[Swedish],76,76,20,4,"July 19, 2016 ",Fin och barnvänlig park,"Aseda, Sweden","Vi var först och matade fåglarna i dammen, det fanns flera olika arter och även fågelungar. Håll även utkik efter...More"
[Swedish],76,50,11,4,"July 17, 2016 ",Välskött park,"Vasteras, Sweden","En mycket fin och välskött park mitt i centrala Lund som är väl värd ett besök. Fin lekpark för barn,...More"
[Swedish],76,72,15,4,"July 15, 2016 ",Ny lekplats,"Staffanstorp, Sweden","Stadsparken har alltid varit trevlig och ett bra ställe att slappna av.
Kanske mata ankorna eller karparna i dammen.
Men...More"
[Swedish],76,19,,5,"July 12, 2016 ",Jättefin lekplats! ,"Kavlinge, Sweden",Jättefin lekplats som passar barn i alla åldrar! Fint läge i parken. Toaletter finns. Centralt läge nära caféer och restauranger.
[Swedish],76,65,26,4,"June 11, 2016 ",Fin park med något för alla,"Malmo, Sweden","Väldigt fin och välskött park. 
Det finns ganska stor och fin lekplats som passar både mindre barn och större barn....More"
[Swedish],76,193,21,4,"June 5, 2016 ",Trevlig stadspark,"Lund, Sweden","Fina blomsterplanteringar, några konstverk, en stor damm med fiskar och fåglar. Fina gräsmattor att ha picknick på eller bara sitta...More"
[Swedish],76,810,142,3,"April 30, 2016 ",Populärt på Valborg,"Stockholm, Sweden",På Valborg är det här tusentals ungdomar samlas för picknick och lyssna till musik. Det är mycket festande och man...More
[Swedish],76,8,3,4,"April 26, 2016 ",Fredagschill,,En av få ställen i Lund som har uteservering med sol efter kl 17. Bra priser. bra viner. God charkbricka...More
[Swedish],76,38,5,4,"April 25, 2016 ",En grön oas mitt i Lund,"Lund, Sweden",En rogivande och skön plats mitt i stan med vackra planteringar. Under vår- och sommarmånaderna spelar många boule eller grillar...More
[Swedish],76,12,,4,"April 25, 2016 ",Välskött park fin miljö,"Lund, Sweden","lugn miljö, bra lekmöjligheter för barn, avkopplande. Lunds kommun lägger stor omsorg på att göra stadsparken attraktiv"
[Swedish],76,93,23,4,"April 8, 2016 ",Fantastisk lekpark,"Vallentuna, Sweden","Väldigt kul och lekfullt utrustad lekpark i Stadsparken. Små och färgglada hus påminner om Lundautställningen 1907. Gungor, klätterställningar och rutschkanor...More"
[Swedish],76,3,,2,"April 4, 2016 ",Ingenting att ha.,"Lund, Sverige","Fruktansvärt dålig park, Inte trevlig alls!!! Cyklister överallt och hundar. Sjön är smutsig och rätt så tråkiga ankor. Icke att...More"
[Swedish],76,11,8,4,"March 24, 2016 ",Stadsparken i Lund,"Lund, Sweden",Stadsparken är en drygt 100-årig park i Lund. Den är vacker och fridfull. Stadsparkscafet rekommenderars. Det har en äldre mysig...More
[Swedish],76,49,42,4,"March 15, 2016 ",En mötesplats för alla.,"Lund, Sweden","Stadsparken är en härlig park som har något för alla. En fontän som de minsta kan plaska i, ankor att...More"
[Swedish],76,81,7,5,"December 22, 2015 ",Bästa ,"Lund, Sweden","Bästa parken! Avslappning mitt i stan med ett gäng ankor och bröd är det bästa som finns. Bland studenter, joggare,...More"
[Swedish],76,129,20,4,"November 11, 2015 ",En oas i staden,"Lund, Sweden","Här har jag varit besökare i 66 år nu. Lekar och skridskoåkning som barn, fester som ung, kaféet och mata...More"
[Swedish],76,210,29,4,"October 18, 2015 ",Parkbesök,"Orebro, Sweden",En fin park med stort utbud av olika växter. Väldigt rogivande miljö. Enda negativa var att växthuset inte var öppet...More
[Swedish],76,50,15,4,"October 16, 2015 ",En vacker och omväxlande park,"Lund, Sweden",Stadspatken är vacker året om. I den stora dammen hittar man mängder ad svaar och andfåglar och då och då...More
[Swedish],76,189,35,5,"October 7, 2015 ",Lugn park,"Bucharest, Romania","Stadsparken är en lugn , vacker oas i Lund. Där man kan ta en kort promenad, läsa, eller bara titta...More"
[Swedish],76,53,8,5,"September 17, 2015 ",Härlig park som passar både unga och gamla.,"Kavlinge, Sweden","Härlig park som passar både unga och gamla.
Parken är full av aktivitet allt från barn som leker på den...More"
[Swedish],76,20,4,5,"September 6, 2015 ",En mysig park med levande musik,"Lund, Sweden",På somrarna är det underbart att sitta ned o lyssna på levande musik. Men parken är härlig året runt. En...More
[Swedish],76,20,6,5,"September 3, 2015 ",En park för hela familjen!,"Skane County, Sweden",En riktigt fin o centralt belägen stadspark där alla kan få sitt lystmäte tillfredsställt! Lummiga promenadstråk utmed fågeldammar o fina...More
[Swedish],76,29,8,4,"August 13, 2015 ",Härlig oas,"Lund, Skåne Län, Sweden","En härlig och lummig oas i Lund, med vackra blommor och ett trevligt café. Dock är servicen på caféet inte...More"
[Swedish],76,12,5,5,"August 6, 2015 ",Grön park med aktivitetsområden,"Lund, Sweden","Stadsparken har något för alla. En jättefin lekplats för barn i alla åldrar, en klättersten, parkourbana, beachvolleybollplan och beachhandbollsplan, utegym...More"
[Swedish],76,26,7,5,"July 25, 2015 ",Park för hela familjen.,"Lund, Sweden","En park med stor lekplats för barnen, volleyboll planer, utomhusgym, klätterväg samt snart en skateboard bana. Perfekt för avkoppling och...More"
[Swedish],76,44,10,4,"July 9, 2015 ","SÅ fin park, och rolig för barn!","Sodermanland County, Sweden","Härlig park att motionera i. Varierat med vatten, fåglar, saker att titta på och en bra lekpark. Mycket varmt rekommenderad."
[Swedish],76,5,2,5,"May 28, 2015 ",Vacker park,"Morbylanga, Sweden",En vacker park att strosa runt i Växthuset är verkligen fint med massa olika växter Den lilla resturangen med den...More
