"[Chinese, (Sim.)]",10,,,4,4 days ago ,非常好,,冬天的晚上临时找到这家店，烤猪排和炒米粉...More
[English],157,34.0,5.0,5,"August 12, 2018 ",Great spot for dinner in Lund,"San Francisco, Mexico",We shared the chicken skewers and some summer rolls. The rolls were so good we ordered a second plate before our meal. I had the baby back ribs as recommended by our server. They were delicious. I wasn’t expecting to find them in Sweden.
[English],157,3.0,,5,"August 14, 2016 ","Amazing dinner, worth it!","Hong Kong, China","I was so surprised that food served here were so delicious! Service was great too, you got approval from us, two Asians who are experienced in tasting Thai food! Cheers!"
[English],157,32.0,30.0,5,"August 17, 2018 ",It’s a good spot,"Dublin, Ireland",Friday night. Students just starting to hit town. The oven is broken. So no Ribs and Prawline are off for the night.  No matter the spring rolls with prawns were delightful and the Duck was fab. Real highlight for me the meat lover was the...More
[English],157,9.0,1.0,5,"August 18, 2016 ",I love this place,"Lund, Sweden","Cozy place, tasty food and friendly staff. It's one of my favorite place in town. Keep in mind that you need a reservation during weekend."
[English],157,214.0,59.0,5,"August 18, 2016 ",A lovely lunch,"Lund, Sweden","I have been to Ihsiri for lunch, but the visit really didn't disappoint me.
I took a bowl of noodles with steak entrecote and the meat was really nicely cooked and the noodles had a very fresh and balanced taste. 
The food quality was high,...More"
[English],157,20.0,7.0,5,"August 2, 2017 ",Yum,"Margaret River, Australia",Modern Thai restaurant. Service is excellent. Prices average for Sweden. Need  too book. Cental location in Lund. Great food. Would recommend you try.
[English],157,12.0,,5,"August 23, 2016 ",Nice surprise with excellent Asian food,"Stockholm, Sweden",An old one store building opposite Hotel Lundia. There wonton dish was fantastic! The chef really knows his job.
[English],157,99.0,56.0,4,"August 23, 2016 ",Good Asian-European fusion food,Sweden,A very good place for Asian-European fusion food. Reasonable prices and very nice and helpful staff. Recommended.
[English],157,11.0,6.0,5,"August 25, 2018 ",Lovely,"Paris, France",Very nice place two mn from the cathedral. We had lunch outside. À salmon and a porc carré in à thaï version. Friendly personal and super clean toilets. An address recommended in the white guide (the Nordic foodies bible). Loved it.
[English],157,2376.0,575.0,4,"August 29, 2016 ","A tropical summer evening in Lund, framed the Asian meal perfect","Stockholm, Sweden","Even the temperature in the charming restaurant made you belief that we were in other latitudes. So liberating to eat at an Asian who is not over decorated with imported decorations.Lovely selection of tasty first courses, some own interpretations but still in its authentic flavor...More"
[English],157,66.0,29.0,4,"August 31, 2017 ",Lunch,,Nicely furnished restaurant close to the main station. Came here because of the good reviews for a lunch. Small but delicious lunch menu. Very friendly and efficient service. No problem to bring in the baby stroller with our five month old son.
[English],157,9.0,8.0,5,"August 31, 2018 ",Very tasty restaurant in the center of Lund,"Zurich, Switzerland",We had an excellent dinner at Ihsiri and especially the beef filet with green curry was a very tasty choice. We also had a very nice dessert; a crême brulée with coconut milk! The waiters were super friendly and we had a very pleasant evening...More
[English],157,35.0,7.0,4,"August 6, 2018 ",Tasty asian fusion,,"I've been to this place quite a few times over the last 2-3 years, it's always an option if I'm going for a nicer lunch and also for evening dining. In my experience, the lunches are often better than the 'a la carte' items, but...More"
[English],157,486.0,156.0,3,"August 8, 2017 ",ok lunch but nothing special,"Lund, Sweden",I had lunch with friends.  The lunch menu was very limited.  The portions were small and I thought it was expensive for what I got.  We sat outside which was nice but had to stand in line in a cramped area to pay.
[English],157,4.0,1.0,5,"December 1, 2018 ",Wonderful food,,Wonderful food with fantastc taste. Very kind and helpful service. The starters were very tasty and good. Sauce with chili taste. We had prosecco with the food and it  balanced vey well. Must eat type of restarant if you like asian food.
[English],157,168.0,92.0,4,"December 12, 2016 ",Good Thai restaurant ,"London, United Kingdom",This is a very good option for dinner or lunch in lund. The food is delicious and the venue itself is cosy. Service was impeccable. Highly recommended.
[English],157,13.0,4.0,5,"December 19, 2016 ",Best in Lund,"Lund, Sweden",I am a vegetarian and don't know how their nonveg food is. Their veg food is excellen! Friendly staff. Nice athmosphere. Good location in the centre of town.
[English],157,4.0,,5,"December 19, 2016 ",Best Thai Ever!!!!,,The whole experience my wife and i had at Ihsiri was exceptional. The calm and relaxing ambiance is reflected by the friendly and attentive staff whom make you feel extremely relaxed. The food however is where the Ihsiri excels. With Thai food being my food...More
[English],157,48.0,5.0,5,"December 2, 2018 ",Awards are well deserved ,"Baltimore, Maryland","Got here at 2:30 for a late lunch & they still had a few guests.  It was a windy day so wanted something warm with spice.

They usually have 3 different choices on their lunch menu which changes regularly.  A fish/prawn, beef and Vegetarian option....More"
[English],157,91.0,18.0,5,"December 22, 2017 ",Wow!,"Lund, Sweden",Fusion Thai at its best. I don’t have negative to say about this restaurant. Slightly on the pricey side but portions are huge and tasty! Worth a visit.
[English],157,4.0,,5,"December 27, 2017 ",Amazing thai,,"A thai/asian restaurant conventiently located in central Lund. Excellent food, everyone in my company were satisified with their meal beyond doubt. Genuine taste, for those of you have eaten real thai food will appreciate the flashback."
[English],157,14.0,9.0,5,"December 28, 2015 ",Excellent thai-food with a twist,"Lund, Sweden","I liked the food at Ishiri so much that I returned two times within the same month! Very kind staff. VERY good food, loved the mixture of flavours. The baby ribs are to die for, be sure to come hungry as the portion is huge!...More"
[English],157,59.0,11.0,5,"December 29, 2017 ",Fantastic fusion,"Lund, Sweden","Fantastic fusion food. High quality ingredience, inspired recepies and excellent service. All of this for reasonable prices. A rarity and gem in Sweden. Highly recommended."
[English],157,1.0,,5,"December 29, 2017 ",Fantastic,,"Thai mixed with European cuisine, fresh ingredients, well balanced and innovative tastes to reasonable prices. Perfect service and delicious desserts to top things of. Right at the top of my future choices. Thanks"
[English],157,3.0,,4,"February 12, 2017 ",Yummmmmm!,,"Had the Tom yum oxtail soup & sticky ribs & chicken panang curry with cider 
Food was super delicious and service was excellent ! Generous portion sizes .. by far our best meal in Lund ."
[English],157,61.0,15.0,5,"February 19, 2018 ",Exquisite!,"Princeton, New Jersey","Booked a table for dinner while travelling for business. The restaurant had a calm Monday night and got a nice seat in the dining room. This is amongst the best Thai dinners I have eaten. Decided to try for veg. options despite not being vegetarian,...More"
[English],157,50.0,4.0,4,"February 2, 2015 ","Fresh ingredients, very good","Zurich, Switzerland","Yummy food with fresh, carefully crafted ingredients. Prices are fair and the staff is attentive and kind."
[English],157,1.0,,5,"February 26, 2017 ",Great for families and couples,"Copenhagen, Denmark",I had amazing dinner with my family last year. The service and tasted were both fabulous! Since then I go there even I am alone :) Can't forget the rib with peanut miso sauce.
[English],157,38.0,19.0,1,"February 5, 2018 ",Unsettling and inconvenient,"Lund, Sweden","I really dislike writing a negative review, however I was here for a business lunch and quite frankly it was embarrassing. The food was third rate; and contrary to my wishes we had company at our table, as such could not discuss things we needed...More"
[English],157,20.0,6.0,4,"February 9, 2016 ",Birthday dinner,"Lund, Sweden","One of, if not the best restaurant of its kind in Lund. Delicate, Asien-inspired food, good service, very priceworthy. The meny is kept relatively short but there is something for everybody."
[English],157,3.0,2.0,5,"January 11, 2018 ",Above my expectations ,"Lund, Sweden","Went as part of a birthday celebration, had booked the day before and luckily got the last table. 

Food was excellent, the papaya salad could be quite a bit tarter for my taste, but I did add it to my order at the last minute...More"
[English],157,14.0,1.0,5,"January 12, 2016 ",Great!,"Lund, Sweden",Fantastic thai food and good service! A family business at it's best. You would want to return over and over again.
[English],157,42.0,16.0,5,"January 15, 2018 ",Lovely!,"York, United Kingdom",We had a gorgeous lunch here today. Both the salmon curry and chicken dish were gorgeous. Really tasty and well presented. The service was also wonderful - they translated the menu into English (after trying to frantically translate it on our phone) and were incredibly...More
[English],157,10.0,1.0,5,"January 17, 2017 ",Amazing food,,"Walked in by mistake, didn't fancy any of the restaurants in town and was very, very happy with the food. Tastes and look lovely"
[English],157,10.0,6.0,4,"January 24, 2017 ",Nice but different ,"Oirschot, The Netherlands",This is not a typical Thai restaurant but I liked it very much. The satay starter was perfect with fresh peanut sauce. The cucumber salad was nicely made with fresh coriander The main course were spare ribs with coleslaw and rice. Tastefully but different. Good...More
[English],157,3.0,4.0,5,"January 29, 2016 ",Very nice restaurant!,"Lund, Sweden",We really enjoyed ihsiri! The food was tastefull and with a nice Asian touch. Best waiter ever! He was presenting the food and was taking care of all guest in a very good way!!
[English],157,91.0,18.0,5,"January 29, 2017 ",Nice surprise ,"Lund, Sweden",Ordered the pad Thai expecting .. Well a pad Thai and was pleasantly surprised. Best one I've ever had. Perfectly presented and seasoned. Simply delicious.. Can't wait to return and try out their other dishes.
[English],157,322.0,151.0,4,"July 11, 2016 ","delicious, authentic, overpricedThai food","Haifa, Israel","We ate the zucchini noodles dish, seabass, papaya salad and mango with sticky rice.  I lived in Thailand and am very familiar with the cuisine so can judge that it was mostly authentic.

pros:  
friendly service
mostly authentic ingredients (did not use holy basil in...More"
[English],157,218.0,89.0,4,"July 11, 2016 ",Good food in pleasant restaurant,Sweden,"The food is good and the portions generous.  At this visit at least, the entrees were more interesting than the main dishes. Staff is friendly. If you are a group of 6-10 people you can ask to be seated in the inner room and have...More"
[English],157,5.0,,5,"July 11, 2017 ",Exciting mix between Asian and Swedish food,"Lund, Sweden","Very nice atmosphere. Good and friendly  service and excellent food, that mixes Asian  and European cooking. The lokation in an old house in central Lund, on a quiet street between the Central  station, the University building and the Cathedral, is excellent."
[English],157,40.0,12.0,4,"July 11, 2017 ",Food and Icecream,"Lund, Sweden",Very nice place with a plaseant backyard. Good food and non-alcoholic beverages is very interesting. Ice cream is a must- to- taste.
[English],157,2.0,,4,"July 13, 2017 ",Great lunch with good flavours a reasonable price ,,"We had a great lunch with family. There were four alternatives to choose (fish, pork, chicken and vegetarian). Very friendly service and good cosy atmosphere. If you like Asian food this is a place to visit."
[English],157,20.0,3.0,4,"July 14, 2015 ",Good Asian food!,"Helsinki, Finland",The place was packed at 7 p.m. when we arrived and we had not reserved a table. However we went away and returned 45 minutes later and was able to receive a table then. The service was very friendly and the food was wonderful. We...More
[English],157,91.0,46.0,5,"July 16, 2015 ",Amazing Thai ,"Lundsbrunn, Sweden","Fenomenal place! The food is amazing, everything from the most simple tofuscewers to the most succulent ribs and amazing papaya salad. The service is amazing and the atmosphere great. If anything a bit more chili wouldn't hurt, but other than that there's really nothing that...More"
[English],157,75.0,22.0,5,"July 16, 2016 ",Excellent food - modern thai,"Lund, Sweden","This is a place with image of modern or advanced thai. However if you think about the normal thai food - this is something very different. High class. Went there with family on four. Started with sharing several appetizers (their special spring rolls, chicken, wonton...More"
[English],157,224.0,103.0,4,"July 17, 2015 ",Unpretencious gem of a restaurant,"Copenhagen, Denmark","Just across from the Hotel were we stayed we discovered this wonderful restaurant where great service and coffee refills are part of the deal. (To my partners great pleasure!)
Unfortunately we'd just eaten but the venue and menu looked so delicious and tempted us to...More"
[English],157,5.0,1.0,5,"July 18, 2017 ",Authentic Thai food in sweden,,The food served at Ihsiri was superb. It's authentic Thai food with very nice presentation. The staff were attentive and friendly. It's worth our 1.5 hour drive:-) I highly recommend this place.
[English],157,10.0,10.0,5,"July 23, 2017 ",Delicious Thai food and pleasant surroundings,Sweden,"The food was very, very good and the restaurant clean, classy and cozy! I highly recommend it! The staff was also very nice."
[English],157,24.0,3.0,5,"July 23, 2017 ",Great food !,"Copenhagen, Denmark",Loved the food. Great quality ingredients and excellent præsentation. The restaurant was full and we came without a reservation. We got lucky and there was a last minute cancellation. Great experience. Can highly recommend.
[English],157,65.0,22.0,5,"July 23, 2018 ",Fast! ,,"The first thing that impressed me is that my order didn't take a long time at all and above all, it was a tasty dish indeed."
[English],157,30.0,4.0,5,"July 29, 2017 ",So so so so so good,"Lund, Sweden","My favourite place to eat in Lund! Creative and (pleasantly) surprising food every time! A big plus for the vegan options, too. Also, the mango dessert is the best dessert I've ever had"
[English],157,37.0,7.0,5,"July 29, 2017 ",My favourite in Lund!,"Lund, Sweden","The food here is simply delicious. The service is great, the portions are huge and the desserts are amazing.  It's a bit pricey, but definitely worth it!"
[English],157,6.0,1.0,5,"July 30, 2017 ",Absolutely delicious!! ,"Palo Alto, California","I ordered their zucchini noodles with red curry and enjoyed every bite! It was also beautifully served. The staff were super friendly and really cared about making it a good experience. 
I was visiting the city for a long weekend and they provided tips. Very...More"
[English],157,41.0,10.0,5,"July 31, 2017 ",On a rainy Sunday this restaurant gave us our sunshine.,,"You know, I just love when you walk into a place, tired as .... from just being a toddler dad and you feel right at home. Your greeted with a warm friendly smile and a caring touch.
I sit down and just exist for a...More"
[English],157,5.0,1.0,5,"July 4, 2017 ",Worth a Trip From Copenhagen,"Cambridge, Massachusetts","We (USA tourists from New England) were winding up a lovely day trip from Copenhagen to Lund (45-75 minutes depending on train and direction), and we planned our stay so we could find a restaurant at 6pm and catch our 8:01 train back to Copenhagen....More"
[English],157,39.0,9.0,4,"July 9, 2015 ",Lunch with a special friend,"Lund, Sweden","We did not have a lot of time so we just took Dish of the day, sitting in the backyard. Cosy, sunny, nice staff and good food. Fried pork with a salad and its Thai tastes. Perfect on a hot day!"
[English],157,46.0,10.0,5,"June 10, 2018 ",Fantastic lunch,"Sydney, Australia",Had lunch with the family here last year. They cater for babies with high chairs and change table (stocked with wipes and nappies). Food was very tasty. Dessert was also amazing.
[English],157,19.0,3.0,4,"June 14, 2016 ",Nice lunch near the central station,,"Nice food and very friendly stuff. Location is great, very close to the central station. I've just arrived and was really hungry, I was lucky to find such place. They have only 4 dishes in the lunch menu, but all the food is tasty and...More"
[English],157,72.0,20.0,5,"June 15, 2016 ",Excellent in every way.,"Lund, Sverige","Visited Ishiri for dinner with a group of collegues. Since we were a group of 8, we booked the table a week ahead. We were well treated by the staff who took our orders promptly. The menu is not large but they do everything extremely...More"
[English],157,152.0,135.0,5,"June 17, 2016 ",Best Thai food outside of Thailand,"Geneva, Switzerland","Everything here gets 5 stars ... the staff and host where welcoming, friendly and obviously passionate about the food. The restaurant itself has a cosy, cheerful ambiance and there is a very pretty terrace with nice flower boxes if it's warm enough to sit outide....More"
[English],157,4.0,1.0,4,"June 17, 2018 ",pleasant an tasty,,"Very pleasant staff, nice small inner garden. A small amount of dishes on the menu but interesting. We chose starter svala sommarrullar and they were very good and fresh. Main dish:spicy southern ribs  were really spicy, grillad oxfile med grön curry sås - the sauce...More"
[English],157,3.0,1.0,5,"June 18, 2018 ",Excellent foood!,"Lund, Sweden",I’ve been to this restaurant plenty of times and the food has never let me down!!! My favorite dish is the ribs!!! It’s absolutely fabulous and the staff that works there are very friendly! I’ve been there with friends and family and the kids liked...More
[English],157,1.0,,5,"June 2, 2018 ",Superb modern Thai/Fusion,,What a gem on a warm spring evening! With it being unusually warm in Lund we went looking for somewhere to eat outside - a bit optimistic for a last minute choice on a Friday night and most places were booked. But we were really...More
[English],157,5.0,,4,"June 20, 2018 ",Lunch party,"Lund, Sweden","I was not disappointed with our visit. Delicious food, good servings and cozy for a lunch celebration 🍾 
The waitress was able to recommend from the menu and made sure we had a good time."
[English],157,3.0,,5,"June 23, 2016 ",Sizable portions with rich flavour,,"I thought we would receive tiny portions of food in large plates, but Ihsiri proved me wrong. 
We have received great service, got all our questions answered patiently and sincerely.
If you want to have a taste of Thai food without Swedish influence, try this...More"
[English],157,275.0,56.0,4,"June 25, 2015 ",Food passion in Lund,"Stockholm, Sweden","Ihsiri was so good that I ate both lunch and dinner here the same day! A choosy ambience, attentive service and really nice Asian inspired food.
Recommended!"
[English],157,19.0,4.0,5,"June 4, 2015 ",Delicious!,,"My husband and I decided to try this restaurant and were not disappointed, in spite of walking there on a rainy evening!  The baby-back ribs, rice and slaw were wonderful as well as their Mango-Tango Dessert, one of their specialties."
[English],157,38.0,14.0,5,"June 6, 2016 ",Divine!,Finland,"I had lunch here with a friend, and everything was just lovely! Excellent value for money, definitely recommend. The food was so good we ended up having lunch there the day after, too! Also, the terrace is nice and the service impeccable."
[English],157,28.0,5.0,4,"June 7, 2018 ",Easy going thai-restaurant,"Siilinjarvi, Finland","Was here at dinner. Place is nice, reminds me of a home-style restaurant. Starter soup was awesome. Smooth and creamy. Main course the lobster was a bit dry, But excellent noodles compensated this. Waitress, young Lady with glasses was very helpful and made us a...More"
[English],157,201.0,64.0,5,"June 9, 2016 ",Fantastic Asian fusion,"Leamington Spa, United Kingdom","This restaurant is an excellent and indeed even a necessary choice for any visitor to Lund. Asian fusion, heavily Thai but with some Japanese influence as well, not necessarily what one might expect but it is very very good. This is a very popular spot...More"
[English],157,121.0,33.0,5,"June 9, 2017 ","Good food, warm welcome","Basingstoke, United Kingdom","Arrived without a booking at 1830 on a Wednesday.  Welcomed and sat immediately in the conservatory area.  Good service, and good tasty food (spicy ribs and Pad Thai).  An enjoyable meal, well recommended."
[English],157,282.0,100.0,4,"March 10, 2017 ",So delicious Thai fusion dinner,"Lund, Sweden","This was our third visit at Ihsiri and the food was just as delicious as previously. We were here to celebrate our marriage anniversary and decided to have a bottle of prosecco. We had expected to get a wine cooler for the bottle, but the...More"
[English],157,20.0,5.0,5,"March 13, 2018 ","Lovely restaurant, great food","Leiden, The Netherlands","Restaurant has a lovely style, friendly staff and great food. Perfect for business as well as private dinners. If you are in Lund, you should definitely go there"
[English],157,3.0,1.0,5,"March 15, 2016 ",Nice visit,"Lund, Sweden","The food was very delicious, not to much to choose from which I think it is good. It seems like the put a lot of effort to make the dishes they have very good. The waiter was very nice, he presented the food and did...More"
[English],157,76.0,17.0,4,"March 15, 2016 ",Nice atmosphere. Great food. ,"Athens, Attiki, Greece","It is a very cosy place centrally located. It is an old house and they have kept end some old elements like the fireplaces. 
The menu is not long but it has all the options - fish, meat, veggie. 
Mango tango is a must at...More"
[English],157,7.0,3.0,5,"March 3, 2018 ",One of the best in Lund ,Iraq,"We go there frequently with my friends for lunch and sometimes for dinner, it’s our favorite Asian restaurant in Lund for the following reasons: 
1. Food is great and the flavours are cleverly created , with a very beautiful presentation. 
2. Over the top friendly...More"
[English],157,4.0,,5,"March 3, 2018 ",Thai cusines at its best,"Lund, Sweden",Amazing Thai food in the centre of Lund. Thai food with a twist of high class preparation - not an everyday combination.
[English],157,31.0,21.0,5,"March 30, 2015 ",Oh my!!!,"Lund, Skåne Län, Sweden","This place is so good I'm quite hesitant to give it a review here, because that will mean that more people find this place! 
Went here to have a glass of wine with a colleague and to check out the Place after renovations and change...More"
[English],157,21.0,3.0,4,"March 30, 2017 ",Very nice and cozy.,"Lund, Sweden",This place is well worth a visit when in Lund. The Thai inspired food is delicious and the athmosphere is very much influenced by students. Very good service and not expensive.
[English],157,10.0,2.0,5,"March 5, 2016 ",Excellent food,,"Excellent food in a not-so-fancy restaurant. Ihsiri serves a rather limited menu, but the dishes are delicious. It's not too pricey for what they serve and it's a very good place to go out to for a dinner with friends. The restaurant has a pleasant...More"
[English],157,177.0,47.0,5,"March 6, 2017 ",Loved it,On the move,"We ate in their winter conservatory (udestue) while it rained outside, and it was so cozy. The food was irresistible. Great presentation and flavor. My pad thai with chicken was delicious and my husband's red curry was to die for. 

I loved the fact that...More"
[English],157,8.0,4.0,4,"May 10, 2015 ",Tasty Thai,"Woodbridge, United Kingdom","Lovely Thai food with diverse flavourings presented in a classic Swedish setting. The use of banana leaves, flowers and baskets gave the dishes an aesthetic impact as your taste buds enjoyed a wide range of dipping sauces, marinades and textures. The tofu skewers, salmon and...More"
[English],157,19.0,9.0,4,"May 12, 2018 ",Very good,"Milan, Italy",I have reached Ihsiri with a colleague of mine without booking. The place is nice in one of the narrow streets in the city center. Nice quality of the offered food. Kind staff. Price/quality ratio very very good
[English],157,146.0,88.0,5,"May 13, 2018 ",Excellent thai restaurant in Lund,"Copenhagen, Denmark","Very nice, and different from the usual thai restaurants in scandinavia (also a little pricier). Properly spicy and combined with local ingredients, so not traditional thai either. I had the spicy ribs, look forward to try some of the other dishes on their menu some...More"
[English],157,4.0,,5,"May 15, 2018 ",Awesome Thai food,,"Great little restaurant. We shared several dishes including the papaya salad, rib mix, the green curry dish and one of the vegetarian dishes. Their sauces were very flavorful, with spices true to Thai cuisine. The staff were very friendly. I would love to eat here...More"
[English],157,813.0,190.0,5,"May 16, 2018 ",Great Thai in Lund,"Columbia, Maryland",The cuisine is Thai but the emphasis is also on fresh ingredients exquisitely prepared. The service is pleasant and attentive without being overbearing.
[English],157,4.0,3.0,3,"May 2, 2017 ",Just OK,,We had baby and spicy ribs as main dish. They were okay but nothing special. Consider visiting other places if you are thai cousine fan. No Wifi was available.
[English],157,76.0,28.0,4,"May 22, 2017 ",Delicious food for all of us,"Benijofar, Spain","We got a recommendation from to go here from the reception in our hotel in Lund, and to say the least we where not disappointed, the restaurant was in center of town and it was quite full when we get there, but then they had...More"
[English],157,23.0,13.0,2,"May 24, 2017 ",Second try ... not impressed,"Lund, Sweden",Had read the reviews and heard recommendations... unfortunately they did not meet expectations.  Tried to come in first time without a booking. Second time we did fix the booking but was disappointed. Was surprised that a tortilla wrap was served for lunch on a Thai/Asia...More
[English],157,203.0,45.0,4,"May 24, 2017 ",Very good Thai restaurant that also has a large selection of vegan alterantives,"Malmo, Sweden",This was a surprisingly nice Thai restaurant. I had their Pad Thai with king prawns and it was delicious. They also have a nice selection of beers. The atmosphere is nice and the staff is very friendly and service-minded. I had ice cream for dessert...More
[English],157,209.0,25.0,3,"May 26, 2017 ",Quite good but pricey lunch,"Stockholm, Sweden",The lunch was quite good. I had a garlic burger which had a little Thai touch to it. Environment is nice and really central. It's bit pricey though compared to what you get.
[English],157,147.0,96.0,5,"May 27, 2016 ",Not the usual Thai place,"Frederiksberg, Denmark","In Scandinavia, Thai has become the new Chinese. This also means that many Thai restaurants serve OK, but boring food. Not so here. This is special, and worth every kroner you spend there! Good selection of beers, too."
[English],157,47.0,6.0,5,"May 6, 2018 ",Brilliant food,"Oslo, Norway",This restaurant is surprisingly good. We tried a variety of dishes and found that it was all either very good or excellent. Highly recommend if you like Asian or just enjoy a good meal. Very nice and friendly staff too made this an enjoyable experience.
[English],157,3.0,1.0,5,"May 9, 2015 ",Friday family dinner,"Lund, Sweden",My family and I enjoyed a really good dinner! The best asian food I have eaten since I don't know when! Great service and ambiance! Looking forward to come back again. :)
[English],157,5.0,,5,"May 9, 2016 ",Really good food,"Lund, Skåne Län, Sweden","I was out with my girlfriends and we had a really good time. Nice wine, friendly service and delicious food. We had the summer rolls, always nice, and I had the steamed fish (sea-bass I think), and it was splendidly cooked."
[English],157,4.0,1.0,5,"November 11, 2018 ",Tasty food and nice prices.,"Eslov, Sweden",Hade lunch this week. The food was great and the price is nice. Good service also. Can recommend the place.
