"[Chinese, (Sim.)]",6,2,,5,2 weeks ago ,鹿肉排很赞,,主菜点了鹿肉排，甜点的冰淇淋怪怪的，感觉...More
[Danish],8,83,47.0,4,"December 17, 2014 ",Super dejligt sted og mad,,Vi kom forbi en sommerdag og de har perfekt trædække man kan sidde ude og spise ved.. Flot udsigt over...More
[Danish],8,19,4.0,4,"December 9, 2018 ",Dejlig smagsoplevelse,"Taastrup, Denmark","Hyggeligt sted med god atmosfære selvom der var mange mennesker. Tjenere meget opmærksomme og servicemindede selvom de havde travlt. 
Vi...More"
[Danish],8,19,4.0,4,"December 9, 2018 ",Dejlig smagsoplevelse,"Taastrup, Denmark","Hyggeligt sted med god atmosfære selvom der var mange mennesker. Tjenere meget opmærksomme og servicemindede selvom de havde travlt. 
Vi...More"
[Danish],8,39,7.0,4,"June 8, 2018 ",Dejlig restaurant,"Gentofte Municipality, Denmark","Vi besøgte restauranten 3 par og fik en rigtig god betjening på trods af travlhed!😄Lækker mad, det anbefales at bestille...More"
[Danish],8,39,7.0,4,"June 8, 2018 ",Dejlig restaurant,"Gentofte Municipality, Denmark","Vi besøgte restauranten 3 par og fik en rigtig god betjening på trods af travlhed!😄Lækker mad, det anbefales at bestille...More"
[Danish],8,99,16.0,4,"May 19, 2015 ",Hyggelig restaurant,,Hyggelig restaurant. Vi fik en masse forskellige tapas med vin. Det var lækker mad og fin betjening. Kan absolut anbefales
[Danish],8,99,16.0,4,"May 19, 2015 ",Hyggelig restaurant,,Hyggelig restaurant. Vi fik en masse forskellige tapas med vin. Det var lækker mad og fin betjening. Kan absolut anbefales
[Danish],8,8,6.0,5,"October 14, 2018 ",Super dejlig mad og betjening ,"Lyngby, Kobenhavn, Denmark","Vi havde en rigtig dejlig oplevelse på restauranten, maden var af høj kvalitet og niveau uden at være for prætentiøs...More"
[Danish],8,8,6.0,5,"October 14, 2018 ",Super dejlig mad og betjening ,"Lyngby, Kobenhavn, Denmark","Vi havde en rigtig dejlig oplevelse på restauranten, maden var af høj kvalitet og niveau uden at være for prætentiøs...More"
[Danish],8,40,17.0,4,"September 11, 2016 ","Imponeret, men ikke overimponeret","Copenhagen, Denmark","Med de anmeldelser, havde vi nok forventet os noget helt specielt ud over det sædvanlige.

Må sige at betjeningen var...More"
[Danish],8,40,17.0,4,"September 11, 2016 ","Imponeret, men ikke overimponeret","Copenhagen, Denmark","Med de anmeldelser, havde vi nok forventet os noget helt specielt ud over det sædvanlige.

Må sige at betjeningen var...More"
[Danish],8,15,,5,"September 13, 2015 ",Perfekt betjening og vidunderlig mad,"Hellerup, Denmark","Vidunderlig mad, serveret med stor professionalisme - selv efter vi havde betalt blev der skænket vand op! Maden udmærker sig...More"
[Danish],8,15,,5,"September 13, 2015 ",Perfekt betjening og vidunderlig mad,"Hellerup, Denmark","Vidunderlig mad, serveret med stor professionalisme - selv efter vi havde betalt blev der skænket vand op! Maden udmærker sig...More"
[Danish],8,63,17.0,4,"September 21, 2017 ","Rigtig god mad, og god stemning ","Greve, Denmark","Vi var to afsted og fik to retter hver.
Det blev kaldt et nordisk køkken, den ene ret var laks...More"
[Danish],8,63,17.0,4,"September 21, 2017 ","Rigtig god mad, og god stemning ","Greve, Denmark","Vi var to afsted og fik to retter hver.
Det blev kaldt et nordisk køkken, den ene ret var laks...More"
[Dutch],3,14,7.0,5,"August 28, 2015 ",Beste lunch in Lund ( prijs en kwaliteit)!,AeroMischka,"Ik heb hier meer dan 50 keer geweest en het is het beste lunch restaurant in Lund. Altijd interessant, gevarieerd...More"
[Dutch],3,14,7.0,5,"August 28, 2015 ",Beste lunch in Lund ( prijs en kwaliteit)!,AeroMischka,"Ik heb hier meer dan 50 keer geweest en het is het beste lunch restaurant in Lund. Altijd interessant, gevarieerd...More"
[Dutch],3,15,2.0,5,"July 17, 2018 ",Heerlijk,"Boutersem, Belgium","Super lekker gegeten, zeker een aanrader! Beperkte keuze, maar voor mij (na een verblijf van 5 maanden) zonder twijfel het...More"
[Dutch],3,15,2.0,5,"July 17, 2018 ",Heerlijk,"Boutersem, Belgium","Super lekker gegeten, zeker een aanrader! Beperkte keuze, maar voor mij (na een verblijf van 5 maanden) zonder twijfel het...More"
[Dutch],3,2,2.0,4,"September 18, 2015 ",Toeristisch,"Halle, Belgium",Trendy - heerlijk eten - iets te snelle bediening en te krap tafeltje voor twee. Eerlijke prijs .....................
[Dutch],3,2,2.0,4,"September 18, 2015 ",Toeristisch,"Halle, Belgium",Trendy - heerlijk eten - iets te snelle bediening en te krap tafeltje voor twee. Eerlijke prijs .....................
[English],208,94,11.0,4,"April 1, 2017 ",Good food and wine choices,"Gothenburg, Sweden",I was there for a business dinner. The duck sausage as a appetizer was good but I expected a little more taste. The halibut for the main was really nice as it was cooked perfectly. Cheese for desert was ok. The wines recommended by the...More
[English],208,102,28.0,4,"April 11, 2014 ",Large group business dinner,Chicago,Food was good - lamb is really nice.  Service is cheerful and decor is very nice as well.  Would  definitely go again. General atmosphere from all diners looked cheerful.
[English],208,15,7.0,5,"April 11, 2017 ",Anniversary dinner,,We have booked the table in 2 months in advance and stated that there could be so that one year old will accompany us. Restaurant responded that they will book a table for 3 and that we should feel free to change our booking at...More
[English],208,237,56.0,4,"April 14, 2016 ",Brilliant food!,"Halmstad, Sweden","This is a place for a great lunch, just be aware that it's crowded and you might have to wait for a table. The food was excellent and tasty, though service is not on top, so be prepared to wait. 
Since the food is great,...More"
[English],208,418,123.0,5,"April 17, 2014 ",Excellent meal,"Chester, United Kingdom",Excellent business dinner - fish based menu which was high class and local produce. Nice ambience to venue
[English],208,30,9.0,4,"April 17, 2018 ",Friday night in Lund!,,"The bar opened up the evening with an excellent GT with local flavours. The starter we shared was good, but the Malin was even better!

Great taste, superb wine to with the food. Great service and ambience."
[English],208,37,19.0,5,"April 18, 2016 ",amazing place,"Kopavogur, Iceland","this is a great restaurant either do just come and have a drink and maybe something small to eat or have a full course dinner, coctails are amazing and food to. I had a spring chicken wich come as hole. and the service is very...More"
[English],208,32,18.0,5,"April 2, 2015 ",A good dinner & evening!,"Lund, Sweden",Strongly recommended restaurant with high class food and staff! Very well suited whine suggestions and nice atmosphere! A very varied drink/cocktail selection makes it perfect!
[English],208,21,4.0,4,"April 2, 2016 ",God food,Sweden,"friendly staff, good food, lovely environment, cozy, thoughtful waiters. Everything nice and wonderful."
[English],208,19,7.0,5,"April 20, 2017 ",Great food and service!,"Lund, Sweden","A really nice place with great food and service! I was there for lunch, I had the beef with vegetables and potatoes. The service staff were also very kind, they explained all the dishes for us in English since they didn't have a menu in...More"
[English],208,147,74.0,5,"April 21, 2016 ",Don't miss this one,"Atlanta, Georgia","If I remember, Tripadvisor says this is the #1 restaurant in Lund - and for good reason. Also an award winning bar.

I'm sure there are other people who rated this place, so I won't blather on about the great food and service.

But the...More"
[English],208,6,2.0,5,"April 22, 2015 ",A nice restaurant in a nice city,,"I was there for a Dinner with my colleague.

After a little tour of lund we decided to land there.

The menu is not too big, which is a positive signal, and at the contrary there was a good selection of wines.

I took a...More"
[English],208,19,2.0,5,"April 25, 2016 ",Excellent service and interesting tasty food!,"Eslov, Sweden",Fine dining atmosphere. Good wine selection. Good food combinations with excellent service. Try the cocktails as well!
[English],208,18,3.0,5,"April 25, 2016 ",The number 1 restaurant in Lund!,"Lund, Sweden",Fantastic food! Good value for money! The service is also very good. it is situated in the center of Lund.
[English],208,12,9.0,5,"April 28, 2015 ",The best restaurant in Lund,"Lund, Sweden","If you only have one choice it has to be here! Cooked to perfection, with regional produce in season and the best bread in town! Addictive! And they have a great bar with professional bartenders and delicious drinks!"
[English],208,138,67.0,5,"April 3, 2016 ",Great restaurant,"Toronto, Canada","Great restaurant in beautiful old Lund. Service very good, friendly and helpful but classy. Atmosphere very good. Food wonderful. Smart place - high ceilings, dark wood, brass fixtures, huge windows etc. Only negative is it was a little chilly and the cheese course was a...More"
[English],208,19,5.0,5,"April 6, 2016 ",Swedish lunch,"Kaunas, Lithuania",I enjoyed a great lunch with friendly staff and delicious meal. Salad bar and fresh water was free of charge.
[English],208,4,,4,"April 8, 2016 ","Great food, friendly service",,"My mom and I went here for dinner when visiting Lund (since it was recommended on tripadvisor). We didn't have a lot of time so we only ordered a main course (chicken), which we enjoyed very much!! We both finished every crumb! The service was...More"
[English],208,35,27.0,4,"April 9, 2017 ",good service,"Berlin, Germany","A fantastic spot! Staff are so attentive and lovely �. They were very accommodating for two vegetarians, making changes to the menu for us and making sure that we were happy. A great experience"
[English],208,43,5.0,5,"August 14, 2018 ","Wow, congratulations ",,"Got the reccomendation from a friend that When in Lund, Mat & Destillat is a must. I absolutely agree, I am deeply impressed.

Service is outstanding, you feel the welcoming and warmth from the second you walk in to the restaurant. And the smiles and...More"
[English],208,26,4.0,5,"August 17, 2015 ",Just go,"Paris, France","If you're looking for a fine dinner in Lund on delicious food with hints of mastery all over and if you don't mind just-above-the-average pricing, you should just go to Mat & Destillat. The ambience is cool, and the service is kind. So, it has...More"
[English],208,4,4.0,5,"August 18, 2018 ",Excellent service,"Vellinge, Sweden","Did not feel that they were understaffed this evening. Service was really excellent - especially the guy behind who was also behind the bar!

The food was very very good, drinks too - will come back for sure!"
[English],208,562,157.0,4,"August 2, 2015 ",Recommended,"Sonoma, California",A smart restaurant with a good menu. it is in a convenient location not far from the train station. The staff was friendly and cordial. The food was very good. it is a bit on the pricy side yet I believe that it was also...More
[English],208,4,,5,"August 20, 2016 ",Amazing coctails!,,I went with a friend for a drink and we were very satisfied. Amazing cocktails and very good service! I would definitively recommend this Place!
[English],208,7,1.0,3,"August 24, 2016 ",Good but non creative vegetarian options ,,"For meat eaters there will be some classics to choose from. I have been here on several occasions and have always been disappointed with the vegetarian options. Bland and uninspired. The presentation is always nice though, and the atmosphere a notch above the surrounding places."
[English],208,11,8.0,4,"August 27, 2018 ",Tasty,"Lund, Sweden",Nice and cosy place. The food is good but rather expensive. One of the top five resturants in Lund. located in the center od Lund
[English],208,14,7.0,5,"August 28, 2015 ",Best lunch in Lund (value and quality)!,AeroMischka,"I have been here 50+ times and it is the best lunch restaurant in Lund. Always interesting, great variability and good service.  I have had dinner here 10+ times and it is one the top 2 places in Lund for dinner."
[English],208,35,33.0,5,"August 6, 2016 ",Great food and service,"Sunninghill, United Kingdom",We wondered past on Saturday evening without a reservation not expecting to be able to eat here but were lucky enough to walk in as a table became available. We cannot remember better food or service anywhere. The beef and pork were both fantastic and...More
[English],208,22,,4,"August 6, 2018 ",Excellent non-alcoholic drinks,"Lund, Sweden","The room is nice but not very suited for persons in wheelchairs. For the walking the chairs are rather to soft.
However the bartender delivered truly wonderful non-alcoholic drinks. The food and service were really good but we will be back for the drinks."
[English],208,16,18.0,5,"August 7, 2015 ",Excellent food and great service,"Copenhagen, Denmark","We had a vegetarian dish and the veal. Both were really tasty dishes, combined with a nice atmosphere and a great female waiter, who matched the beer with the food we ordered. Then we had desserts and they were also fantastic. The amounts of the...More"
[English],208,204,65.0,5,"August 8, 2017 ","Exciting, brilliant cooking, friendly professional staff, relaxed welcoming atmosphere ",Denmark,Really enjoyed this welcoming restaurant opposite the old University building and the Cathedral. The menu is based on local produce and is at the same time reassuringly robust and playful in the best possible way. Nothing silly or lab based but genuinely good cooking at...More
[English],208,121,54.0,3,"December 10, 2016 ",Refined cuisine and good wine by the glass,"Gokarna, India","Been here three times and was not disappointed. The menu is limited and offers really tasty dishes, rather seasonal and with a twist depending on the chef's inspiration. Wines by the glass are great and they have awesome cocktails if you fancy that. On the...More"
[English],208,52,38.0,5,"December 12, 2015 ",First class,"Lund, Sweden","This is absolout the best restuarant today in Lund.The food and athmosfear is on top of what you can want. Service is perfect and still  very kindly, wine white or red is very good. There is a nice and very competente barmaestro in there."
[English],208,300,45.0,4,"December 13, 2015 ",Very good wines from their own vineyard and from abroad,"Lincoln, Nebraska",Food was very good and well served. Wait staff explained the dishes and the wines. Ours was a group with a special gourmet menu - very nicely done.
[English],208,181,24.0,4,"December 15, 2015 ",Great traditional Swedish food with a superb bar to match,"Lund, Sweden","This is a really great restaurant for lunch as well as dinner. The bartenders are superb, the only thing is order a small beer or quick glas of wine while waiting for the drink since this tends to take som time."
[English],208,37,10.0,4,"December 17, 2014 ",Best coctails in lund,,"A proper place, the waiters wear bow ties and their rooms are dimly lit in search of a lounge atmosphere. Don't get fooled by their coctail expertise, they really know how to cook as well. 

If you have a hard time deciding what to eat,...More"
[English],208,4,,5,"December 2, 2018 ",God fond and drinks and relaxed staff,,"We went to the restaurant to have something to eat and drink.
Since I an using hearing aid we asked if they could arrange a table in a quiet area. The waiter put a lot of effort to solve this and it worked out very...More"
[English],208,2,,4,"December 21, 2018 ",Nice place and good food,,"I have been several times at this restaurant, all for business dinners and each time it has been good. The food is well prepared, the wine list is good and the service without flaws. Can highly recommend it!"
[English],208,16,11.0,5,"December 22, 2017 ",Best cocktails in town. ,"Lund, Sweden",This is the place to go for well crafted cocktails with interesting combinations and great flavours. Friendly staff.
[English],208,18,8.0,5,"December 3, 2012 ",Excellent,"Exeter, United Kingdom",loved the food and very good and competent staff who advised very well on food and wines.Very interesting combinations of flavours.
[English],208,135,34.0,4,"December 3, 2014 ",Relaxing with good food,"Finale Emilia, Italy","Just being there for the second time, for business dinner.
Very good food even if quite limited choice in the menu.
Relaxing and quite soft environment; professional waiters."
[English],208,8,17.0,4,"December 3, 2014 ",The right choice especially for evening dinner,"Lund, Sweden","Ideally located in city center, well lit and has a cozy atmosphere. The menu offers both fish and meat dishes as well as a choice of vegetarian dish. The food is delicious and service is highly satisfactory. The wine selection is excellent, perhaps a bit...More"
[English],208,76,17.0,4,"December 6, 2013 ",Girls night out,"Athens, Attiki, Greece",Cosy place. Delicious food and very good service. Big gap between first course and main dish .... We thought they have forgotten us.
[English],208,203,45.0,5,"December 6, 2017 ",Very good restaurant located in what used to be the best café in Lund,"Malmo, Sweden",This is one of the best restaurants in Lund. It is located in what use to be the legendary café Lundagård (which unfortunately went bankrupt a few years ago). I'm very happy that it has been turned into an excellent restaurant. The food is excellent....More
[English],208,27,8.0,4,"December 9, 2014 ",A modern twist to Swedish traditions,"Gothenburg, Sweden","Had a delicious dinner here with my family. It's a cozy little restaurant close to Lund's cathedral. Service was friendy, and food really delicious, the starters in particular. A bit pricey, but overall worth it!"
[English],208,85,71.0,5,"February 1, 2013 ",Fabulous restaurant,"York, United Kingdom","I ate here twice in a few months in Lund, once at lunchtime, once for dinner.  Both were excellent.  At lunch it feels upmarket, but casual, in the evening, very elegant.  The waitstaff of course speak perfect English and carefully explain the menu and there...More"
[English],208,3,,4,"February 14, 2017 ",Nonstrenuous excellence,,"Excellent cuisine in a setting that seems easy and nonpresuptious. They use the best local ingredients and have a simple but interesting menue that has never failed me.
They also have an excellent wine cellar and their bartenders sure know their stuff.
I have visited...More"
[English],208,21,3.0,5,"February 15, 2017 ","Very,very good!","Lund, Sweden","Mat & Destillat is currently probably the best restaurant in Lund. The food is excellent and the service is just perfect. The menu may be perceived as somewhat short, but the dishes they serve are just fantastic. The ""Gold-medal bartender"" can provide you with anything...More"
[English],208,1,,5,"February 18, 2015 ",Reunion with Hong Kong expatriots,,It is always a pleasure to enter M&D. The bar is close to perfect. Has very rare ingrediens for your personal taste. Staff is standing on their toes to serve you. Excellent oysters as starter with a 2012 GC Chablis. Main an exellent filet of...More
[English],208,78,18.0,4,"February 23, 2013 ",Fancy bit could be tastier,"Lund, Skane Lan, Sweden",We hade a nice but expensive meal here. The service was excellent bit i didn't think the food matched the high prices.
[English],208,9,2.0,5,"February 23, 2017 ",Just right,"Malmö, Sverige","Went out with a party of eight to have a business dinner and found this restaurant to be a very good venue. We got all that could be expected in form of good food and professional service. 
There was some confusion regarding our cocktails, but...More"
[English],208,7,,5,"February 23, 2017 ",Lovely food and drinks,frattamaggiore,"One of the best resturants in Lund. Nice food and drinks. Friendly staff and a nice view over ""lundagård""-park"
[English],208,9,12.0,4,"February 27, 2015 ",Lovely Valentines dinner ,"Lund, Skåne Län, Sweden","Celebrated Valentines here with my husband.  Two seatings of three hours. We came a bit later because of the babysitter. The Valentines menu was really good. Atmosphere lovely, personell friendly. The only reasons for not giving 5 stars is that we were served the wrong...More"
[English],208,59,11.0,4,"February 6, 2016 ","Good bar, food ok but not great","Lund, Sweden",Where there twice. The first time for a cocktail and a dessert and it was fantastic. The second time for dinner. The place was packed and the tables to close in the front room. Two of the couple tables out and the servers could walk...More
[English],208,85,16.0,4,"February 6, 2017 ","Classic French technique in plating, but seem to use local seasonal ingredients","Fairborn, Ohio","Was here recently for dinner.  This restaurant is fine dining...pricing,  plating technique, and portion size reflect this.  The two dishes I tried were executed very very well.

I had the rabbit terrine, which was served with quail eggs, brussels sprouts (these were either barely shocked...More"
[English],208,14,1.0,4,"February 9, 2016 ",Business lunch,"Lund, Sweden","Good service, the food is better than average. A busy restaurant, that unfortunately make it is noisy and difficult to carry on a conversation."
[English],208,40,7.0,5,"February 9, 2016 ",One of the finest restaurants in Lund,Reykjavik,This place is great. Excellent food and service and the view over the Cathedral is amazing. You must however order your table in time - if weekend you need to be early to get a table. Worth it. The vine list is good and good...More
[English],208,12,7.0,4,"February 9, 2016 ","Good interesting food, can be loud if you are looking for a romantic dinner place",,"Good food, interesting one time with blue cheese being used in the sauce for beef. Was also there for a intimate disputation party, room at the back was perfect for that."
[English],208,6,2.0,5,"January 10, 2015 ",So good,"Lund, Sweden","A bit expensive, but by far the best place I have been to in Lund. I have been here several times, and it has been fantastic food and great service every time."
[English],208,118,60.0,5,"January 17, 2013 ",Excellent food and great cocktails,"Linkoping, Sweden",Very good service and nice atmosphere in perhaps the best restaurant in Lund right now. A lot of people have realized this so it is a good idea to book a table. Small but well composed menu where the cocktails are a part of the...More
[English],208,30,11.0,4,"January 18, 2017 ","good food, nice atmosphere, central","Lund, Sweden","The thing that in my opinion makes this restaurant a little different from the general run of lunch places is that they offer interesting food combinations and experiences. You can have a fairly light lunch or a soup, or a full meal if you are...More"
[English],208,60,20.0,4,"January 20, 2018 ",Graduation.,"Gothenburg, Sweden","We booked a table after our daughter's graduation ceremony. We were offered a set of three-course. A fresh and light fishy starter, a main dish with elk steak and dessert: ice cream with sugar cake. Very pleasant staff, great atmosphere that suits our moods. The...More"
[English],208,36,5.0,5,"January 23, 2013 ",Wow what a place,"Lund, Sweden",This is by far the best designed restaurant in Lund. This classic place has been updated in the best possible way. The old atmosphere is combined with modern touch in a very appealing way. I was here for lunch that was an excellent Swedish meatloaf....More
[English],208,21,11.0,4,"January 26, 2013 ",Worth the waiting...,"Lund, Sweden","We were there a little early for our booking and did not mind waiting to be seated. However, it took an eternity before the waiter came to take our order. Maybe we were ""invisible"", maybe they were busy, probably we are a little impatient. That...More"
[English],208,2,1.0,5,"January 27, 2014 ",Excellent dinner in Lund,"Helsinki, Finland","On a recommendation by our hotel's receptionist, we visited the restaurant with my colleagues. On a Monday night the place was rather crowded by locals (a good sign!) and didn't leave any of us disappointed. I had tartar steak as a starter and ox cheek...More"
[English],208,20,1.0,4,"January 30, 2018 ",Business dinner on a Monday night ,"Lund, Sweden","Quite often restaurants are closed or are closing early on a Monday so I was pleasantly surprised when Mat&Destillat was open until 11pm.
Booked a table for 8pm and sadly the restaurant was almost empty by 10pm.
Though this gave us excellent service and attention...More"
[English],208,29,8.0,5,"July 10, 2015 ",Don´t miss Mat & Destillat!,"Lund, Skåne Län, Sweden",An excellent restaurant with splendid food and very good service. Don´t miss Mat & Destillat when visiting Lund.
[English],208,73,13.0,5,"July 12, 2016 ",Great food in great location,"Lund, Sweden","No questions, probably the best places around Lund! Just go with time and reservation to be sure to enjoy the place."
[English],208,166,80.0,4,"July 12, 2018 ",Good food ,"Horsham, United Kingdom",We enjoyed our meals here. Staff very friendly and spoke excellent English. We had beef with tomato sauce and onions plus chicken with peas. All very tasty. Very nice bread as well.
[English],208,32,16.0,5,"July 15, 2015 ","Dont miss this one, when you are in Lund!",,"Probably the best restaurant in the city. Fantastic service and menues based on traditional swedish main courses. They also have really amazing cocktails, perfect for after work and parties.Dont miss this one, when you are in Lund!"
[English],208,10,1.0,4,"July 15, 2017 ",Very nice service personnel ,"Lund, Sweden","The food is very good. Not excellent, but still good.

The personnel is nice and caring. I recommend this place."
[English],208,4,3.0,5,"July 16, 2015 ",Best food if you've got the money,,"This is the best food we tried in Lund and probably the best restaurant. It's quite on the expensive side but that is relative - if you're not on a budget, well worth your pennies. If you are, go just for a drink and try...More"
[English],208,63,18.0,4,"July 2, 2012 ","Great restaurant , good food and wine",London,"Excellent restaurant in Lund , able to cater both for business, groups and intimate dining , would recommend this restaurant when dining in Lund."
[English],208,4,,5,"July 25, 2016 ",Best drinks in town,"Lomma, Sweden",Very god cocktails and and very good food. Friendly staff. Right in the heart of Lund city very close to domkyrkan.
[English],208,37,16.0,5,"July 25, 2016 ",Where we locals go,,"The best place in Lund for cocktails, lunch or dinner. Great service, great food, the best cocktails, good friends and happy times. A must if you are a tourist in Lund. It is built in an old institution in Lund: conditorie Lundagård, that's been there...More"
[English],208,68,20.0,4,"July 3, 2017 ",Swedish food,Trieste,"I had a business dinner here, and I can say the service is very cool. Any of your needs gets satisfied. Good food, well presented, cooked to your taste. If I have to say something from my point of view, portions were not big, but...More"
[English],208,4,1.0,4,"July 30, 2015 ",Nice,"Lund, Sweden","God Food and nice and helpful staf and not so expensive, the location is very central aswell,

Lena with friend"
[English],208,44,5.0,5,"July 30, 2016 ",Like mama used to make it ,,"See i LOVE Swedish food as much as i Love myself BUT Dont get me wrong ! 
Theres a couple of dishes that is undesireable for a connoseur - but not here WOW! 
A remedy for The prejudiced!"
[English],208,12,2.0,2,"July 30, 2016 ",Overrated,,I was very disappointed;  the food is fine but not great.  The waiters were distant and the service was slow. The table was bad despite having á reservation.
[English],208,5,7.0,5,"July 31, 2016 ","Great cocktails, food and atmosphere","Stockholm, Sweden",We visited for the first time on Friday 29. The restaurant is very nicely situated next to the medieval chatedral and the university. The staff were very attentive and pleasant. There is an extensive drinks menu but the bartenders can also be creative beyond that...More
[English],208,96,33.0,5,"July 6, 2013 ",Excellent in all regards,"Gilbert, Arizona","Make sure you book ahead, the tables will be filled. Mat & Destillat service is excellent from beginning to end.  Mat & Destillat manages to keep the menu very selective, while providing a varied number of choices. The preparation and attention to detail in the...More"
[English],208,39,15.0,5,"July 9, 2014 ",Best in town,"Lund, Sweden","I live in Lund and this is a restaurant I frequently visit. They have excellent food and drinks. Can strongly recommend a drink before dinner as the bartender is amazing.

Been here for both lunch and dinner several times and never been disappointed."
[English],208,50,12.0,5,"June 1, 2015 ","excellent food, fast and friendly service","Holt, Michigan",I had a perfect lunch here.  The food was excellent and the service was friendly.  I would happily eat here again.  And again.
[English],208,20,4.0,4,"June 1, 2016 ",Lovely atmosphere,"Lund, Sweden","Always good atmosphere and very friendly and knowledgeable staff. The food is excellent without being pretentious.
The restaurant is located in what I believe to be an old bank"
[English],208,195,129.0,5,"June 11, 2016 ",a true high-end cocktail bar,"Boston, MA","one doesn't necessarily expect to find a great cocktail bar in a fairly small university town, but that's what this is. the bartender knows what he's doing, has some great ideas, and is also able to make complicated things you might want that aren't already...More"
[English],208,109,37.0,5,"June 13, 2014 ",Perfect lunch,"Bangkok, Thailand","This is an excellent restaurant in the heart of Lund... very good service, elegant food, great ambiance."
[English],208,70,33.0,5,"June 15, 2015 ",Best In Lund,"Cambridge, Massachusetts","Nice small spot in city center.

Excellent food, helpful wait staff, nice ambience.

Original European cuisine with local ingredients"
[English],208,18,4.0,5,"June 15, 2016 ",Fancy ,"Nagoya, Japan",Had several business meeting. Good food. Somewhat snobby. Expensive but worth it in Sweden. One should book in advance.
[English],208,175,53.0,5,"June 16, 2014 ",One of the best,,Walked past thus restaurant which was busy with plenty if locals so decided to give it a go! great decision as this has to be one if the best meals for some time. We had scallops to start which were excellent - sliced and in...More
[English],208,39,23.0,5,"June 18, 2013 ","Excellent food, atmosphere, service","Gaillard, France","No booking but it was monday night; a nice chic decor yet clientele casually dressed (think cropped trousers for women, shirt and jeans for men) to business people in suits. Service excellent - wait staff were well trained, friendly, knew the menu and wines well....More"
[English],208,61,23.0,4,"June 18, 2015 ",Good lunch,"Calgary, Canada","Great price, big portions, tasty food.
This place is very centrally located, and was packed when we got there. Had a lox salad and a pork and potatoes meal, both of which were tasty.
Unfortunately the waiter did not seem interested in us once we...More"
[English],208,31,10.0,4,"June 18, 2016 ","High quality food, busy","Lund, Sweden","I was here with a medium sized group and this was my second visit, with a similar impression overall to the first. The service was ok. To be fair it was a busy Friday night, but once we were shown to our table and had...More"
[English],208,59,11.0,3,"June 18, 2018 ","Decent but not great food, in a badly designed athmosphere","Lund, Sweden",Drinks and small snacks as well as desert are excellent in this place and well worth going for. The eating arrangement however is not that good. The food was average at best and way overpriced. The tables are so crammed in this place that there...More
[English],208,7,,5,"June 18, 2018 ",Special menu (Avsmakningsmeny) with wine package,"Lund, Sweden",Fantastic service with good opportunities to discuss the menu proposal. Very tasty food made with care and perfect ingreedients. Nice wine package to accomodate the meal.
[English],208,26,3.0,5,"June 21, 2017 ",Blissful Ignorance,,We arrived in Lund to have drinks with a colleague and were pointed in the direction of Mat & Destillat with little to no expectations about what the experience would be like. We sat at the bar and had lovely conversation with the bartenders and...More
[English],208,9,4.0,5,"June 26, 2018 ",Swedish perfection,,"We had the 5-course menu, priced approx at 60 EUR, and every single dish is a tribute to traditional Swedish food and cooking. 

Simple elegant and not over-complicated

The fantastic staff is very friendly, outgoing and knowledgeable. 

A great experience overall, HIGHLY recommended! I've less...More"
