,a,b,c,d,e,f,cite
640,2005,83,[BOOK][B] Fluid city: transforming Melbourne's urban waterfront,"K Dovey, L Sandercock - 2005 - books.google.com","Page 1. Transforming Melbourne's Urban Waterfront KIM DOVEY Page 2. q
Transforming Melbourne's Urban Waterfront KIM DOVEY Page 3. FLUID CITY
TRANSFORMING MELBOURNE'S URBAN WATERFRONT KIM DOVEY … 
",  Cited by 203 Related articles All 2 versions  ,203
301,1998,34,[BOOK][B] Food and love: a cultural history of East and West,J Goody - 1998 - books.google.com,"Page 1. FOOD AND LOVE A CULTURAL HISTORY OF EAST AND WEST UAOK
GOODY Page 2. Page 3. Page 4. ack Goody is a thinker who enjoys J subverting neat
simplifications and rigid preconceptions. Perhaps best known … 
",  Cited by 201 Related articles  Other options Library Search (Sweden) ,201
648,2005,83,[BOOK][B] Place-based public policy: Towards a new urban and community agenda for Canada,NJ Bradford - 2005 - ccednet-rcdec.ca,"Page 1. Place-based Public Policy: Towards a New Urban and Community Agenda for Canada
Neil Bradford Research Report F|51 Family Network March 2005 Page 2. Place-based Public
Policy: Towards a New Urban and Community Agenda for Canada By Neil Bradford … 
",  Cited by 197 Related articles All 14 versions  View as HTML ,197
667,2005,83,'Our Tyne': Iconic Regeneration and the Revitalisation of Identity in NewcastleGateshead,"S Miles - Urban studies, 2005 - journals.sagepub.com","… In recent years, the world's waterfronts have provided a particular focus for culture-
led regeneration. Marshall (2001, p. 3) describes the waterfront as space “in the
city which allows expressions of hope for urban vitality”. He … 
",  Cited by 192 Related articles All 12 versions  ,192
477,2002,54,"[BOOK][B] Remaking the Chinese City: modernity and national identity, 1900 to 1950",J Esherick - 2002 - books.google.com,"… With Chinese cities entering the new millennium as vibrant centers of economic, social, and
cultural change, it is time to seek the origins of this renewed urban vitality by looking back to the
transforma- tion of urban space and society in the first half of the twentieth century … 
",  Cited by 174 Related articles All 4 versions  ,174
1150,2009,119,[BOOK][B] The plan of Chicago: Daniel Burnham and the remaking of the American city,C Smith - 2009 - books.google.com,"Page 1. The Plan of Chicago Daniel Burnham and the Remaking of the American City
Page 2. the plan of chicago Page 3. chicago visions and revisions A series edited by
Carlo Rotella, Bill Savage, Carl Smith, and Robert B. Stepto … 
",  Cited by 174 Related articles All 2 versions  ,174
2761,2016,329,[BOOK][B] Mobilizing hospitality: The ethics of social relations in a mobile world,S Gibson - 2016 - content.taylorfrancis.com,"Page 1. Page 2. MOBILIZING HOSPITALITY Page 3. This page intentionally left blank Page
4. Mobilizing Hospitality The Ethics of Social Relations in a Mobile World Edited by JENNIE
GERMANN MOLZ College of the Holy Cross, MA, USA and … 
",  Cited by 171 Related articles All 6 versions  Library Search ,171
1845,2013,280,[BOOK][B] The street: a quintessential social public space,V Mehta - 2013 - content.taylorfrancis.com,"Page 1. Page 2. The Street Good cities are places of social encounter. Creating
public spaces that encourage social behavior in our cities and neighborhoods is
an important goal of city design. One of the cardinal roles of the … 
",  Cited by 166 Related articles All 5 versions  ,166
945,2007,146,[BOOK][B] Landscape and sustainability,"J Benson, M Roe - 2007 - books.google.com",,  Cited by 165 Related articles All 6 versions  Library Search (Sweden) ,165
3144,2017,369,[BOOK][B] The new wealth of cities: city dynamics and the fifth wave,J Montgomery - 2017 - taylorfrancis.com,"Page 1. Page 2. The New wealTh of CiTies Page 3. Page 4. The New wealth of Cities
City Dynamics and the fifth wave JohN MoNTgoMery Page 5. © 2007 John
Montgomery John Montgomery has asserted his right under the … 
",  Cited by 159 Related articles All 5 versions  Library Search View as HTML ,159
1752,2013,282,[BOOK][B] Libraries in a world of cultural change,"L Greenhalgh, K Worpole - 2013 - taylorfrancis.com","… 9 Libraries and urban vitality 73 iii Page 5 … Towards the end of the 1980s there was a general
perception, which to a degree Comedia's own work had anticipated, that ""the retail revolu- tion""
had failed to deliver all the urban vitality and economic renewal that it had promised … 
",  Cited by 141 Related articles All 4 versions  View as HTML ,141
353,2000,58,[BOOK][B] The Cambridge urban history of Britain,"DM Palliser, P Clark, MJ Daunton - 2000 - books.google.com","Page 1. THE CAMBRIDGE URBAN HISTORY OF BRITAIN VOLUME II I 540—1840
Edited by Peter Clark Page 2. Page 3. This second volume in the Cambridge Urban
History offers the first wide-ranging analysis of urban growth … 
",  Cited by 140 Related articles All 4 versions  Other options ,140
615,2004,77,[BOOK][B] Securing the spectacular city: The politics of revitalization and homelessness in downtown Seattle,TA Gibson - 2004 - books.google.com,"… Page 20. 8 Introduction particular focus on the underlying conceptions of urban vitality and urban
de- cay woven into their arguments. The conclusion draws together both the economic motives
for and the po- litical consequences of spectacular urban revitalization … 
",  Cited by 136 Related articles All 2 versions  Library Search (Sweden) ,136
348,2000,58,"Urban partnerships, governance and the regeneration of Britain's cities","M Carley - International Planning Studies, 2000 - Taylor & Francis","… Second, urban regeneration in these European cities tends not to be seen as divorced from more
general urban development and planning, but as dependent on urban vitality as a whole (Harding,
1994; Newman & Thornley, 1996; Harding, 1997; Priemus et al., 1997; John & … 
",  Cited by 128 Related articles All 7 versions  ,128
561,2003,73,[BOOK][B] Suspicious Readings of Joyce's Dubliners,M Norris - 2003 - books.google.com,"Page 1. s uspicious R ea mgs o f Joyce' s nmM oran Margot Norns Page 2. cious
Readings of Joyces Dubliners is a sticated, provocative, and thoroughly origi- pproach
to Joyce's stories, especially to the liarities of their narrative style … 
",  Cited by 126 Related articles All 3 versions  ,126
784,2006,96,[BOOK][B] Sprawltown: Looking for the city on its edges,R Ingersoll - 2006 - books.google.com,"… The tendency for tourism to transform the real world into simulacra needs to be counteracted
by introducing new ways of maintaining a real mixture of productive activities with consumer
services for the good of urban vitality and as the self-per- petuating means of security … 
",  Cited by 120 Related articles All 2 versions  ,120
1481,2011,191,[BOOK][B] The Gothic enterprise: a guide to understanding the medieval cathedral,RA Scott - 2011 - books.google.com,"Page 1. The Gothic Enterprise Page 2. Page 3. THEGOTHIC ENTERPR IS E A Guide to
Understanding the Medieval Cathedral WITH ANEWP REFA CE RO BERT A. SC O TT [E
University of California Press Berkeley Los Angeles London Page 4 … 
",  Cited by 119 Related articles All 5 versions  ,119
1478,2011,191,[BOOK][B] Revolt and crisis in Greece: Between a present yet to pass and a future still to come,"A Vradis, D Dalakoglou - 2011 - sro.sussex.ac.uk","Page 1. Page 2. BETWEEN A PRESENT YET TO PASS AND A FUTURE STILL TO COME
REVOLT AND CRISIS IN GREECE How does a revolt come about and what does it leave behind?
What impact does it have on those who participate in it and those who simply watch it … 
",  Cited by 117 Related articles All 16 versions  View as HTML ,117
975,2008,89,[BOOK][B] Barcelona's Vocation of Modernity: Rise and Decline of an Urban Image,JR Resina - 2008 - books.google.com,"… Oller (1846–1930) was coeval with both the railroad and Barcelona's expansion, and he
understood the relation between urban vitality and rails. His short novel L'Escanyapobres (The
Miser, 1884), is about the railway's impact Page 25. on local economies … 
",  Cited by 114 Related articles All 2 versions  ,114
2784,2016,329,"[BOOK][B] News and Politics in the Age of Revolution: Jean Luzac's"" Gazette de Leyde""",JD Popkin - 2016 - books.google.com,"Page 1. Aews and Politics IN THE -Age of Revolution º *::: !º - º º: º ºut-ºu-i, [[ºº JEANLU /
ACS GAZETTE DE LEYDE Jeremy D. Popkin Page 2. NEWS AND POLITICS IN THE
AGE OF REVOLUTION Jean Luzac's Gazette de Leyde … 
",  Cited by 112 Related articles All 2 versions  Library Search ,112
1177,2010,156,[BOOK][B] Painting the city red: Chinese cinema and the urban contract,Y Braester - 2010 - books.google.com,"Page 1. Page 2. PAINTING THE CITY RED asia-pacific: culture, politics, and society
Editors: Rey Chow, HD Harootunian, and Masao Miyoshi Page 3. Page 4. PAINTING
THE CITY RED Chinese Cinema and the Urban Contract … 
",  Cited by 106 Related articles All 2 versions  Library Search (Sweden) ,106
389,2000,57,[BOOK][B] The American planning tradition: Culture and policy,R Fishman - 2000 - books.google.com,"Page 1. THE AMERICA PLAN TRA «fli J*. I o i|5 :■< 111 AND POLICY J.'. & 'k Ed i
SHMAN Page 2. Page 3. THE AMERICAN PLANNING TRADITION Page 4. Page 5.
THE ERICAN PLANNING TRADITION CULTURE AND POLICY … 
",  Cited by 104 Related articles  Other options ,104
1285,2010,155,[BOOK][B] Makeshift metropolis: ideas about cities,W Rybczynski - 2010 - books.google.com,"… The urban vitality that she espoused— and correctly saw as a barometer of healthy city
life—has found new expressions, in planned commercial and residential devel- opments,
whose scale rivals that of the urban renewal of which she was so critical … 
",  Cited by 99 Related articles  ,99
703,2005,83,"[BOOK][B] Migration and cultural, religious and linguistic diversity in Europe: An overview of issues and trends","S Vertovec, S Wessendorf - 2005 - urbanlab.org","… The same is true of other cities, though the mix of cultures is somewhat different in each case.
Increasingly, this type of cosmopolitanism is equated with urban vitality and livability, especially
by the growing managerial and professional new middle class … 
",  Cited by 98 Related articles All 4 versions  View as HTML ,98
3153,2017,369,[BOOK][B] Seeing like a city,"A Amin, N Thrift - 2017 - books.google.com","… This, at least, is our thesis. The project we want to begin in this book is to think again about urban
vitality, but this time by understanding both its machinic qualities and the way in which it con- stantly
creates new publics, publics that are new forms of here and there … 
",  Cited by 98 Related articles All 5 versions  Library Search ,98
959,2007,146,[BOOK][B] Faith in the city: Preaching radical social change in Detroit,AD Dillard - 2007 - books.google.com,"… Does it take a deafened Beethoven to hear a humanly inaudible symphony of brotherhood
and peace and write it down on paper? Does it take a once-excluded Maynard Jackson
and Andrew Young to re-create the urban vitality of Atlanta … 
",  Cited by 95 Related articles All 4 versions  ,95
442,2001,48,"[BOOK][B] The community economic development movement: Law, business, and the new social policy",WH Simon - 2001 - books.google.com,"Page 1. THE COMMUNITY ECONOMIC DEVELOPMENT MOVEMENT LAW, BUSINESS, & THE
NEW SOCIAL POLICY WILLIAM H. SIMON Page 2. The Community Economic Development
Movement Page 3. . . . . . THE COMMUNITY ECONOMIC william h. simon Page 4 … 
",  Cited by 94 Related articles All 4 versions  Other options ,94
718,2005,81,[BOOK][B] The selling of 9/11: How a national tragedy became a commodity,D Heller - 2005 - books.google.com,"Page 1. THE SELL ||NG OF 9/11 NATION A. L I RAGEDYBECAMEA COMMOD IT
Page 2. THE SELLING OF 9/11 Page 3. Dana Heller's previous publications include
The Feminization of Quest-Romance: Radical Departures … 
",  Cited by 94 Related articles All 3 versions  Library Search (Sweden) ,94
937,2007,146,[BOOK][B] The Emergence of Culture-led Regeneration: A policy concept and its discontents,J Vickery - 2007 - core.ac.uk,,  Cited by 93 Related articles All 6 versions  View as HTML ,93
471,2002,54,"[BOOK][B] Immigration, diversity and social inclusion in Canada's cities",M Papillon - 2002 - urbancenter.utoronto.ca,"… Page 12. Immigration, Diversity and Social Inclusion in Canada's Cities 3 While immigration clearly
may have a positive impact on urban vitality, certain conditions must be met in order for newcomers
to contribute to the economic, social and cultural life of the city … 
",  Cited by 91 Related articles All 6 versions  View as HTML ,91
788,2006,96,[BOOK][B] American places: In search of the twenty-first century campus,MP Chapman - 2006 - books.google.com,"Page 1. American Places Page 2. Page 3. American Places In Search of the Twenty-first
Century Campus M. Perry Chapman Foreword by Richard Freeland AMERICAN COUNCIL
ON EDUCATION PRAEGER Series on Higher Education Page 4 … 
",  Cited by 91 Related articles All 2 versions  ,91
616,2004,77,[PDF][PDF] Ordering (and Order in) the City,"NS Garnett - Stan. L. Rev., 2004 - HeinOnline","Page 1. ARTICLES ORDERING (AND ORDER IN) THE CITY Nicole Stelle Garnett* I. THE NEW
POLICING AND PROPERTY REGULATION ..... 6 A. The Order-Maintenance Revolution ..... 7 … 
",  Cited by 88 Related articles All 8 versions  ,88
475,2002,54,"[BOOK][B] Cities, sin, and social reform in imperial Germany","A Salomon, A Lees - 2002 - books.google.com","Page 1. SOCIAL HISTORY, POPULAR CULTURE, AND POLITICS IN GERMANY
Cities, Sin, and Social Reform in Imperial Germany Andrew Lees * k Page 2. Page
3. Page 4. Cities, Sin, and Social Reform in 1mperial Germany … 
",  Cited by 88 Related articles  ,88
1347,2011,169,[BOOK][B] Urban political geographies: A global perspective,"U Rossi, A Vanolo - 2011 - books.google.com","Page 1. ugo rossi & alberto vanolo v r: I- 'i' Y i: amiu'any r h' - liti - geographles A
GLOBAL PERSPECTIVE Page 2. urban politigal geographles Page 3. SAGE has been
part of the global academic community since 'I965, supporting … 
",  Cited by 84 Related articles All 4 versions  ,84
1486,2011,191,[BOOK][B] Cairo,N AlSayyad - 2011 - books.google.com,"Page 1. Histories of a City Nezar AlSayyad Page 2. CAIRO Page 3. Page 4. The Belknap
Press of Harvard University Press Cambridge, Massachusetts, and London, England
2011 CAIRO Histories of a City NEZAR ALSAYYAD Page 5 … 
",  Cited by 82 Related articles All 6 versions  ,82
558,2003,73,[BOOK][B] Are cops racist?,H Mac Donald - 2003 - books.google.com,"… The result was an urban renaissance nationwide. Nowhere was the link between public safety
and urban vitality more dramat- ically evident than in New York. Cotham's police department
ban- ished fear from wide swaths of the metropolis, and the city roared back to life … 
",  Cited by 82 Related articles All 2 versions  ,82
1514,2012,232,[BOOK][B] Deconstructing smart cities: an intertextual reading of concepts and practices for integrated urban and ICT development,M Wolfram - 2012 - realcorp.at,"… The triple-helix is thus understood as a selection environment for knowledge creation and
innovation, ushering in place-based strategies to exploit local creativity and social capital
to achieve a “new urban vitality” ie growth (Lombardi et al. 2012, 16) … 
",  Cited by 81 Related articles All 13 versions  View as HTML ,81
1561,2012,240,From FOB to cool: Transnational migrant students in Toronto and the styling of global linguistic capital,"H Shin - Journal of Sociolinguistics, 2012 - Wiley Online Library","… In this excerpt, these middle‐class Korean women construct 21st‐century Seoul as a glamorous
and modern metropolis where one can 'enjoy culture,' whereas they represent Canada as
'backward,' admirable for its natural beauty but not for its urban vitality or modern amenities … 
",  Cited by 79 Related articles All 3 versions  ,79
799,2006,96,"[BOOK][B] Culture, urbanism and planning","FJ Monclús, MG i Bassols - 2006 - books.google.com","Page 1. Jture, Urbarris and Planning Edited by JAVIER MONCLUS and MANUEL
GUARD1A Page 2. Page 3. Page 4. Page 5. CULTURE, URBANISM AND PLANNING
Page 6. Heritage, Culture and Identity Series Editor: Brian … 
",  Cited by 79 Related articles All 5 versions  Library Search (Sweden) ,79
520,2003,73,[BOOK][B] The enterprising city centre: Manchester's development challenge,G Williams - 2003 - taylorfrancis.com,"Page 1. Page 2. The Enterprising City Centre The re-emphasis on city centres as part of the wider
agenda on urban renaissance and sustainable development has increased policy concerns in
the field. The Enterprising City Centre is a welcome addition to the current discourse … 
",  Cited by 78 Related articles All 4 versions  View as HTML ,78
2140,2014,238,[BOOK][B] Conservation today: Conservation in Britain since 1975,D Pearce - 2014 - content.taylorfrancis.com,"… The downward spiralling effect on urban vitality ofthe removal of specific activities was greatly
underestimated, just as the positive effect of increased confidence and of the 'conservation impact'
of prominent refurbishment and reuse projects can be underestimated (as recent … 
",  Cited by 77 Related articles All 7 versions  ,77
468,2002,54,Business leadership coalitions and public-private partnerships in American cities: A business perspective on regime theory,"J Austin, A McCaffrey - Journal of Urban Affairs, 2002 - Taylor & Francis","… is about the relationship between politics and economics, not the subordination of politics to
econom- ics” (1993, p. 2). The BLCs that we studied generally evolved toward a common
understanding of this kind of political-economic nexus as a necessary condition for urban vitality … 
",  Cited by 74 Related articles All 4 versions  ,74
973,2008,89,On 'creative cities' governance models: a comparative approach,"P Costa, M Magalhães, B Vasconcelos… - The Service Industries …, 2008 - Taylor & Francis","… With this in mind, this discussion can be framed using the typology defended by Costa (2005),
which suggests five broad and distinct origins for the development of this interest towards
creativity, concerning the promotion of urban vitality and competitiveness … 
",  Cited by 73 Related articles All 10 versions  ,73
728,2006,96,[BOOK][B] The image of the city: Urban branding as constructed capabilities in Nordic city Regions,"J Jansson, D Power - 2006 - diva-portal.org","Page 1. Editors / Co-authors: Johan Jansson and Dominic Power Image of the City
October 2006 Urban Branding as Constructed Capabilities in Nordic City Regions
Page 2. 1 Co-authors: Markus M. Bugge, NIFU STEP – Studies … 
",  Cited by 72 Related articles All 7 versions  View as HTML ,72
1723,2012,234,"[BOOK][B] Race, riots, and roller coasters: The struggle over segregated recreation in America",VW Wolcott - 2012 - books.google.com,"… Page 24. 14 Chapter 1 middle classes, young and old, cavorting together at an amusement park
or beach suggests democratic promise and urban vitality. Nostalgia for such scenes is prevalent
in the twenty-first-century reality of privatized leisure and urban decline … 
",  Cited by 72 Related articles All 2 versions  ,72
