,a,b,c,d,e,f,cite
760,2006,96,The Irvine–Minnesota inventory to measure built environments: development,"K Day, M Boarnet, M Alfonzo, A Forsyth - American journal of preventive …, 2006 - Elsevier","… attractiveness. For example, the presence of street vendors or the availability of outdoor
dining addresses the need to eat while also increasing urban vitality. Thus, issues
of function and aesthetics are not separated in this model … 
",  Cited by 309 Related articles All 13 versions  ,309
466,2002,54,"It may be social, but why is it capital? The social construction of social capital and the politics of language","SS Smith, J Kulynych - Politics & society, 2002 - journals.sagepub.com","… notice . . . and disappeared without a trace.”16 Forty-five years after Hanifan used
the term, Jane Jacobs's discussion of urban vitality off-handedly mentions social
capital by noting that for self-government to work, there must … 
",  Cited by 293 Related articles All 5 versions  ,293
1629,2012,239,(Re) theorizing cities from the Global South: Looking beyond neoliberalism,"S Parnell, J Robinson - Urban Geography, 2012 - Taylor & Francis","Page 1. 593 Urban Geography, 2012, 33, 4, pp. 593–617. http://dx.doi.org/10.2747/0272-3638.33.
4.593 Copyright © 2012 by Bellwether Publishing, Ltd. All rights reserved. (RE)THEORIZING
CITIES FROM THE GLOBAL SOUTH: LOOKING BEYOND NEOLIBERALISM1 … 
",  Cited by 287 Related articles All 3 versions  ,287
407,2001,45,Current preferences and future demand for denser residential environments,"D Myers, E Gearin - 2001 - Taylor & Francis","Page 1. Current Preferences and Future Demand for Denser Residential
Environments Dowell Myers and Elizabeth Gearin University of Southern California
Abstract This article assesses the future demand for denser, more … 
",  Cited by 281 Related articles All 6 versions Web of Science: 104  ,281
1246,2010,156,"Neighborhood socioeconomic conditions, built environments, and childhood obesity","GK Singh, M Siahpush, MD Kogan - Health affairs, 2010 - healthaffairs.org","Login to your account … 
",  Cited by 268 Related articles All 14 versions  ,268
491,2003,73,Visions of “urban renaissance”: the Urban Task Force report and the Urban White Paper,"L Lees - Urban renaissance, 2003 - books.google.com","Page 71. Visions of 'urban renaissance' THREE Visions of 'urban renaissance': the
Urban Task Force report and the Urban White Paper Loretta Lees Introduction The
production of images and of discourses is an important facet … 
",  Cited by 262 Related articles All 2 versions  ,262
1008,2008,89,Spoiled mixture: where does state-ledpositive'gentrification end?,"M Davidson - Urban Studies, 2008 - journals.sagepub.com","Page 1. amount of debate. Recent times have been no exception, with a more diverse,
complex and geographically differentiated gentrification process (see Lees, 2007,
for review) igniting a number of new discussions. Within … 
",  Cited by 262 Related articles All 10 versions  ,262
372,2000,57,New urbanism and the city: Potential applications and implications for distressed inner‐city neighborhoods,CC Bohl - 2000 - Taylor & Francis,"Page 1. New Urbanism and the City: Potential Applications and Implications for
Distressed Inner-City Neighborhoods Charles C. Bohl University of North Carolina
at Chapel Hill Abstract New Urbanism has been described as … 
",  Cited by 249 Related articles All 6 versions Web of Science: 74  ,249
1502,2012,223,Growing cities sustainably: does urban form really matter?,"MH Echenique, AJ Hargreaves, G Mitchell… - Journal of the …, 2012 - Taylor & Francis","… is to locate new developments where people can access services or facili- ties without having
to rely on a car, focusing development in existing centers and near to public transport interchanges,
using existing urban sites efficiently and promoting urban vitality (Department for … 
",  Cited by 240 Related articles All 6 versions  ,240
844,2007,146,The hospitable city: social relations in commercial spaces,"D Bell - Progress in Human Geography, 2007 - journals.sagepub.com","Page 1. Progress in Human Geography 31(1) (2007) pp. 7–22 © 2007 SAGE
Publications DOI: 10.1177/0309132507073526 I Introduction Cities are to be judged
by their welcome. (Kahn, 1987: 12) My aim in this paper is to … 
",  Cited by 214 Related articles All 9 versions  ,214
910,2007,146,"Public/private development: Lessons from history, research, and practice","LB Sagalyn - Journal of the American Planning Association, 2007 - Taylor & Francis","Page 1. Public/Private Development Lessons from History, Research, and Practice
Lynne B. Sagalyn City officials in the United States began to adopt joint public/private
(PP) approaches for downtown redevelopment projects … 
",  Cited by 205 Related articles All 3 versions  ,205
1402,2011,193,The walkability premium in commercial real estate investments,"G Pivo, JD Fisher - Real Estate Economics, 2011 - Wiley Online Library","… They list other trends supporting this shift including growing traffic congestion, falling urban crime
rates, more attractive ethnic enclaves and urban vitality produced by immigration, a growing café
culture and a growing record of fashionable and successful higher density housing … 
",  Cited by 200 Related articles All 31 versions  ,200
344,2000,58,Urban renewal and its aftermath,"JC Teaford - Housing policy debate, 2000 - Taylor & Francis","… cruel means to achieve abhorrent ends. Jacobs believed that it destroyed rather than
stimulated urban vitality. In her opinion, urban renewal was not just ineffective: It was
downright dangerous. According to Jacobs, large-scale … 
",  Cited by 197 Related articles All 5 versions Web of Science: 62  ,197
360,2000,58,City-centre revitalisation: problems of fragmentation and fear in the evening and night-time city,"CJ Thomas, RDF Bromley - Urban studies, 2000 - journals.sagepub.com","Page 1. Urban Studies, Vol. 37, No. 8, 1403–1429, 2000 City-centre Revitalisation: Problems
of Fragmentation and Fear in the Evening and Night-time City Colin J. Thomas and Rosemary
DF Bromley [Paper rst received, June 1998; in nal form, May 1999] Summary … 
",  Cited by 191 Related articles All 7 versions Web of Science: 71  ,191
1197,2010,156,Cultural clusters: The implications of cultural assets agglomeration for neighborhood revitalization,"MJ Stern, SC Seifert - Journal of Planning Education and …, 2010 - journals.sagepub.com","… creative economy. At the same time, skeptics like Joel Kotkin (2005) have ridiculed
this approach as the creation of “the ephemeral city” that ignores the fundamentals
of good city building for the illusion of urban vitality. This … 
",  Cited by 184 Related articles All 3 versions  ,184
342,2000,58,An integrative theory of urban design,"E Sternberg - Journal of the American Planning Association, 2000 - Taylor & Francis","… spilling onto the sidewalk. As Alan Rowley has summarized (1996), concepts of mixed
use, fine grain, high density, and permeability have come to be recognized as important
sources of urban vitality. By contrast, streets dominated … 
",  Cited by 176 Related articles All 6 versions Web of Science: 51  ,176
532,2003,73,Deserted streets in a jammed town: the gated community in Chinese cities and its solution,"P Miao - Journal of Urban Design, 2003 - Taylor & Francis","Page 1. Journal of Urban Design, Vol. 8, No. 1, 45–66, 2003 Deserted Streets in a
Jammed Town: The Gated Community in Chinese Cities and Its Solution PU MIAO
ABSTRACT Since the 1978 economic reform, more and more … 
",  Cited by 174 Related articles All 3 versions  ,174
675,2005,83,Moving to London time: household co-ordination and the infrastructure of everyday life,"H Jarvis - Time & Society, 2005 - journals.sagepub.com","Page 1. Moving to London Time Household co-ordination and the infrastructure of
everyday life Helen Jarvis ABSTRACT. This article calls for cross-disciplinary scrutiny
of the costs of time squeeze – beyond current preoccupation … 
",  Cited by 170 Related articles All 8 versions  ,170
1068,2009,117,Walkability: what is it?,"RH Lo - Journal of Urbanism, 2009 - rsa.tandfonline.com","Page 1. Journal of Urbanism Vol. 2, No. 2, July 2009, 145–166 ISSN 1754-9175 print/ISSN
1754-9183 online © 2009 Taylor & Francis DOI: 10.1080/17549170903092867 http://www.
informaworld.com RESEARCH PAPER Walkability: what is it? Ria Hutabarat Lo … 
",  Cited by 162 Related articles All 2 versions  ,162
2514,2015,281,NMC horizon report: 2015 museum edition,"L Johnson, SA Becker, V Estrada, A Freeman - 2015 - learntechlib.org","Page 1. Horizon Report > 2015 Museum Edition Page 2. Interested in these emerging technology
topics? Learn more about them and other technology insights by “liking” us on Facebook at
facebook.com/newmediaconsortium and on Twitter at twitter.com/nmcorg. Page 3. iii … 
",  Cited by 161 Related articles All 22 versions  Library Search ,161
822,2007,146,How art and culture happen in New York: Implications for urban economic development,"E Currid - Journal of the American Planning Association, 2007 - Taylor & Francis","… 455 While using culture as an economic development tool has gained momentum in recent
years, creative people and their innovations have long been thought to be generators of
urban vitality (Fischer, 1975; Jacobs, 1961, 1969; Park, 1928) … 
",  Cited by 152 Related articles All 2 versions  ,152
345,2000,58,The role of urban design in cultural regeneration,"M Wansborough, A Mageean - Journal of Urban Design, 2000 - Taylor & Francis","Page 1. Journal of Urban Design, Vol. 5, No. 2, 181±197, 2000 The Role of Urban
Design in Cultural Regeneration MATTHEW WANSBOROUGH & ANDREA
MAGEEAN ABSTRACT One of the techniques that has been used … 
",  Cited by 136 Related articles All 4 versions  ,136
740,2006,96,Respectable or respectful?(In) civility and the city,"J Bannister, N Fyfe, A Kearns - Urban studies, 2006 - journals.sagepub.com","Page 1. Respectable or Respectful? (In)civility and the City Jon Bannister, Nick Fyfe and
Ade Kearns [Paper received in final form, February 2006] Summary. Do we stand before
a rising tide of incivility, of disrespect? Or, is this the latest moral panic … 
",  Cited by 136 Related articles All 7 versions  ,136
1237,2010,156,A new rubric for 'creative city'potential in Canada's smaller cities,"NM Lewis, B Donald - Urban studies, 2010 - journals.sagepub.com","Page 1. cities (Gertler et al., 2002; Bradford, 2004). According to the model, cities
must not only invest in high-technology industry, engineer- ing, entertainment,
neo-artisanal manufactur- ing (sectors of the 'new economy'), but … 
",  Cited by 136 Related articles All 9 versions  ,136
1244,2010,156,New York City's congestion pricing experience and implications for road pricing acceptance in the United States,"B Schaller - Transport Policy, 2010 - Elsevier","… positive. The proposal benefitted profoundly from being part of an ambitious and
wide-ranging sustainability plan whose fundamental goals and values were
environmental stewardship, urban vitality and enhanced quality of life … 
",  Cited by 136 Related articles All 15 versions  ,136
308,1999,37,Planning cybercities: Integrating telecommunications into urban planning,"S Graham, S Marvin - Town Planning Review, 1999 - online.liverpooluniversitypress.co.uk","Page 1. TPR, 70 (1) 1999 STEPHEN GRAHAM AND SIMON MARVIN Planning
cybercities? Integrating telecommunications into urban planning This paper attempts
to show how urban planning strategies can creatively address … 
",  Cited by 133 Related articles All 6 versions  ,133
697,2005,83,[PDF][PDF] Mixed communities in England,"A Berube - York: Joseph Rowntree Foundation, 2005 - Citeseer","… increasingly outstrips supply. The Government's goals to promote cities and urban vitality,
and to achieve environmentally sustainable development, have highlighted the critical
functions of housing and community planning. And work … 
",  Cited by 129 Related articles All 3 versions  View as HTML ,129
681,2005,83,Who lives downtown,"EL Birch - Washington: Brookings Institution, 2005 - books.google.com","… million (a 99.7 percent increase). Still, however small its relative growth, downtown
housing provides vis- ible and tangible evidence of urban vitality that has important
psychological and economic effects. The occupation of vacant … 
",  Cited by 128 Related articles All 8 versions  ,128
606,2004,77,Transport in regional science: The “death of distance” is premature,"P Rietveld, R Vickerman - Papers in regional science, 2004 - Wiley Online Library","… arising during the post war period. Problems related to urban housing markets and
urban vitality later became evident in the 1960s and stimulated development of urban
models. Problems concerning the provision of adequate … 
",  Cited by 125 Related articles All 18 versions  ,125
530,2003,73,Urbanization and the global perspective,"A Smart, J Smart - Annual Review of anthropology, 2003 - annualreviews.org","… Caldeira 1999, Low 2003). Migration from nontraditional sources may also increase
divisions along ethnic lines (Amin 2002), even as it contributes to urban vitality and
economic dynamism. Within these divided and unstable … 
",  Cited by 124 Related articles All 10 versions  ,124
343,2000,58,The vitality and viability of town centres,"N Ravenscroft - Urban studies, 2000 - journals.sagepub.com","… It is what cities are good at. … In this sense, the notion of urban vitality … is really only about
opening up the possibili- ties for transactions to take place (Mont- gomery, 1995, p. 106). This,
then, has been the central tenet for promoting the management of town centres … 
",  Cited by 123 Related articles All 7 versions Web of Science: 34  ,123
406,2001,45,Development of microsimulation activity-based model for San Francisco: destination and mode choice models,"N Jonnalagadda, J Freedman… - Transportation …, 2001 - journals.sagepub.com","… Pedestrian environment factors (PEFs) were tested and included in the mode choice model
specifications. Five PEF variables, includ- ing pedestrian network continuity and integrity, ease
of street cross- ing, perception of safety and personal security, urban vitality, and … 
",  Cited by 122 Related articles All 3 versions Web of Science: 20  ,122
649,2005,83,Application of fuzzy matter-element model based on coefficients of entropy in comprehensive evaluation of water quality,"X ZHANG, C Liang - Journal of Hydraulic Engineering, 2005 - en.cnki.com.cn","… 1.Department of Urban and Region Planning,Nanjing University,Nanjing 210093;2.College of
Hydrology and Water Resources,Hohai University,Nanjing 210093;3.Zhejiang Reclaim
Construction Group CU.LTD.,Ningbo 315040,China);Evaluation of Urban Vitality Based on … 
",  Cited by 115 Related articles  Cached ,115
370,2000,56,"Environmental conflicts in compact cities: complexity, decisionmaking, and policy approaches","G De Roo - Environment and Planning B: Planning and …, 2000 - journals.sagepub.com","… cited advantages: ``less car dependency, low emis- sions, reduced energy consumption, better
public transport services, increased overall accessibility, the re-use of infrastructure and previously
developed land, the rejuvenation of existing urban areas and urban vitality, a high … 
",  Cited by 115 Related articles All 6 versions Web of Science: 28  ,115
320,1999,37,Space syntax and the Dutch city,"S Read - Environment and Planning B: Planning and Design, 1999 - journals.sagepub.com","Page 1. 1 Introduction The research described in this paper starts by accepting the
basic concepts and methods of the descriptive theory of space, known as space syntax
(Hillier and Hanson, 1984). Space syntax takes the position … 
",  Cited by 114 Related articles All 11 versions Web of Science: 28  ,114
1010,2008,89,Cultural mapping and sustainable communities: planning for the arts revisited,"G Evans, J Foord - Cultural trends, 2008 - Taylor & Francis","Page 1. Cultural mapping and sustainable communities: planning for the arts revisited
Graeme EvansÃ with Jo Foord The field of arts and cultural planning and the
aspirations of cultural practitioners, arts development officers … 
",  Cited by 111 Related articles All 4 versions  ,111
357,2000,58,Urban transformations: a history of design ideas,"J Hanson - Urban design international, 2000 - Springer","Page 1. Urban transformations: a history of design ideas Julienne Hanson* Reader in Architectural
and Urban Morphology, The Bartlett School of Graduate Studies, (Torrington Place Site), University
College London, Gower Street, London WC1E 6BT, United Kingdom … 
",  Cited by 110 Related articles All 3 versions  Other options ,110
897,2007,146,[HTML][HTML] Transportation and land-use preferences and residents' neighborhood choices: The sufficiency of compact development in the Atlanta region,"J Levine, LD Frank - Transportation, 2007 - Springer","… Commute distance versus residential density; Urban vitality versus low-density and
single-use neighborhoods; Commute distance versus unconnected street patterns (eg,
streets permitting through traffic versus streets arranged in cul-de-sacs); … 
",  Cited by 110 Related articles All 12 versions  ,110
650,2005,83,Mixed-use development: Theory and practice in Amsterdam's Eastern Docklands,"E Hoppenbrouwer, E Louw - European Planning Studies, 2005 - Taylor & Francis","… complementary activities (Nijkamp et al., 2003). Mixed land use tends to increase the
kind of combinations and interactions—physical and social as well as visual—that also
supports urban vitality and quality. This quality is measured as … 
",  Cited by 108 Related articles All 6 versions  ,108
971,2008,89,[PDF][PDF] Urban policies and the right to the city,"A Brown, A Kristiansen - Human Rights, 2008 - Citeseer","… rights (Dikeç and Gilbert 2002). In other words, substantive citizenship is acquired through Fiesta
Tudela. Photo Larry Parsons Urban vitality in Penang Page 17. 15 participation and enacted
through participatory democracy (Brown et al 2008, McCann 2002) … 
",  Cited by 105 Related articles All 2 versions  View as HTML ,105
647,2005,83,[PDF][PDF] From urban sprawl to compact city: an analysis of urban growth management in Auckland,J Arbury - 2005 - Citeseer,"Page 1. - 1 - From Urban Sprawl to Compact City – An analysis of urban growth management
in Auckland Joshua Arbury For my daughter Amalia Page 2. - 2 - Acknowledgements: I would
like to thank everyone who participated in the questionnaires and interviews, my … 
",  Cited by 102 Related articles All 3 versions  View as HTML ,102
626,2004,77,[PDF][PDF] Social capital and natural resource management,"T Claridge - Unpublished Thesis, University of …, 2004 - socialcapitalresearch.com","… community' (cited in Woolcock and Narayan 2000, p. 227). Page 18. Page 17 Smith and Kulynych
(2002) identified that the next use of the term was by Jane Jacobs (1961) in a discussion of urban
vitality. Woolcock and Narayan (2000) however, have identified a … 
",  Cited by 102 Related articles All 2 versions  View as HTML ,102
563,2004,78,[PDF][PDF] The limits to urban consolidation,"G Searle - Australian planner, 2004 - Taylor & Francis","… Standardisation is viewed negatively by Jacobs. It reduces building variety and thus urban
vitality through less mixing of social groups and land uses … local restaurants all located within
walking distance, and creating an urban vitality (Jacobs 1961) … 
",  Cited by 98 Related articles All 7 versions  ,98
449,2002,55,Development cultures and urban regeneration,"S Guy, J Henneberry, S Rowley - Urban Studies, 2002 - journals.sagepub.com","Page 1. Urban Studies, Vol. 39, No. 7, 1181–1196, 2002 Development Cultures and
Urban Regeneration Simon Guy, John Henneberry and Steven Rowley [Paper rst
received, May 2001; in nal form, December 2001] Summary … 
",  Cited by 96 Related articles All 9 versions Web of Science: 38  ,96
656,2005,83,Violent hypocrisy: Governance and the night-time economy,"D Hobbs, S Winlow, P Hadfield… - European journal of …, 2005 - journals.sagepub.com","The development of alcohol-based night-time economies as part of government-sponsored
post-industrial urban regeneration involves two interconnected political a...
",  Cited by 95 Related articles All 7 versions  ,95
969,2008,89,From creative economy to creative society,"MJ Stern, SC Seifert - 2008 - repository.upenn.edu","… From Creative Economy to Creative Society A social policy paradigm for the creative sector
has the potential to address urban poverty as well as urban vitality. Mark J. Stern and Susan
C. Seifert Can the creative economy ameliorate urban poverty … 
",  Cited by 94 Related articles All 2 versions  View as HTML ,94
1737,2013,282,The “new urban Europe”: global challenges and local responses in the urban century,"P Nijkamp, K Kourtit - European Planning Studies, 2013 - Taylor & Francis","… Accessibility and connectivity are clearly of critical importance for urban vitality in an open
economy (see also Bertolini, 2006; Wegener & Fürst, 1999). In recent years, the ICT sector
is often also seen as a major complementary initiator of new activities … 
",  Cited by 93 Related articles All 7 versions  ,93
1328,2011,169,Commentary: Is urban design still urban planning? An exploration and response,"M Gunder - Journal of Planning Education and Research, 2011 - journals.sagepub.com","… especially “the integrative principles underlying the human experience of built form across property
boundaries.” For Sternberg these include aesthetically desirable urban form and public places,
urban legibility and meaning (a sense of place), as well as urban vitality … 
",  Cited by 92 Related articles All 4 versions  ,92
313,1999,37,[HTML][HTML] Lynch revisited: New urbanism and theories of good city form,"LR Ford - Cities, 1999 - Elsevier","… On the other hand, grid pattern streets with stop signs and lights could mean more traffic
and pollution. There are pros and cons but urban vitality is worth discussing. The second
measure is sense or, more specifically, sense of place … 
",  Cited by 92 Related articles All 2 versions Web of Science: 24  ,92
489,2002,54,"Impact evaluation of museums, archives and libraries: available evidence project.","C Wavell, G Baxter, IM Johnson, D Williams - 2002 - openair.rgu.ac.uk","Page 1. AUTHOR(S): TITLE: YEAR: Publisher citation: OpenAIR citation: Publisher
copyright statement: OpenAIR takedown statement: This publication is made freely
available under open access. This report was commissioned … 
",  Cited by 92 Related articles All 5 versions  View as HTML ,92
670,2005,83,Conflicts of Liveability in the 24-hour City: Learning from 48 Hours in the Life of London's Soho,"M Roberts, C Turner - Journal of Urban Design, 2005 - Taylor & Francis","Page 1. Conflicts of Liveability in the 24-hour City: Learning from 48 Hours in the
Life of London's Soho MARION ROBERTS & CHRIS TURNER Central Cities Institute,
University of Westminster, London, UK ABSTRACT The … 
",  Cited by 91 Related articles All 4 versions  ,91
824,2007,146,"[PDF][PDF] Affordable housing, land tenure, and urban policy: The matrix revealed","JP Byrne, M Diamond - Fordham Urb. LJ, 2007 - HeinOnline","… Housing subsidies, therefore, will remain a cornerstone of approaches to poverty and to urban
planning. This Article conceptualizes the purposes that housing subsidies pursue in light of the
general goals of effectively assisting recipients and promoting urban vitality … 
",  Cited by 90 Related articles All 12 versions  ,90
766,2006,96,The geographies of the Internet,"M Zook - Annual review of information science and technology, 2006 - Wiley Online Library","Skip to Main Content … 
",  Cited by 90 Related articles All 4 versions  ,90
2253,2015,283,What is a walkable place? The walkability debate in urban design,"A Forsyth - Urban design international, 2015 - Springer","… Walkability is both an end and a means, as well as a measure. While the physical and social
rewards of walking are many, walkability is perhaps most useful as it contributes to urban
vitality and most meaningful as an indicator of that vitality … 
",  Cited by 89 Related articles All 3 versions  ,89
825,2007,146,Taking stock of post-socialist urban development: A recapitulation,"K Stanilov - The post-socialist city, 2007 - Springer","… They have the urban vitality of the Western European inner city neighborhoods; the degree of
privatization of urban resources typical of North American cities (not to mention the fascination
with the lifestyle culture of malls, suburban houses, and private automobiles); an eroded … 
",  Cited by 88 Related articles All 7 versions  ,88
1059,2009,123,The missing organizational dimension in urban sociology,"M McQuarrie, NP Marwell - City & Community, 2009 - Wiley Online Library","… Still other urbanists have proclaimed a transformation in the sources of urban economic growth,
with knowledge workers and cultural diversity offering new bases for urban vitality that will replace
older models of industrial development (Clark, 2003; Florida, 2002; Molotch, 1996 … 
",  Cited by 87 Related articles All 4 versions  ,87
734,2006,96,The excellent city park system: What makes it great and how to get there,"P Harnik - The Human Metropolis: People and Nature in the 21st …, 2006 - books.google.com","… identity. In both old cities and new, there is rising inter- est in the use of parks to
promote urban vitality (figure 2), an interest that has been encouraged by the smart
growth and New Urbanist movements since the mid- 1990s … 
",  Cited by 86 Related articles All 8 versions  ,86
1339,2011,169,The uses of sidewalks: safety,"J Jacobs - The City Reader, 2011 - books.google.com","… Finally, basic urban vitality comes from residents' participation in an intricate “street ballet,”
a diurnal pattern of observable and comprehensible human activity that is possible only in places
like Jacobs' own Hudson Street in her beloved Greenwich Village … 
",  Cited by 85 Related articles All 7 versions  ,85
2535,2016,330,The death and life of great Italian cities: a mobile phone data perspective,"M De Nadai, J Staiano, R Larcher, N Sebe… - Proceedings of the 25th …, 2016 - dl.acm.org","… The urban sociologist Jane Jacobs in The Death and Life of Great American Cities [19],
one of the most influential books in city planning, introduced the urban physical environment
(the urban fabric) as an essential factor for urban vitality [19] … 
",  Cited by 84 Related articles All 10 versions  ,84
725,2006,96,"Redeveloping former military sites: Competitiveness, urban sustainability and public participation","SG Bagaeen - Cities, 2006 - Elsevier","… Lock, 1995). The UK Government now calls for 60% of the new housing to be built
within existing urban areas. Haughton and Hunter (1994) argue that high densities
are fundamental to urban vitality and creativity. In the USA … 
",  Cited by 82 Related articles All 8 versions  ,82
2392,2015,281,Re-theorising contemporary public space: a new narrative and a new normative,"M Carmona - Journal of Urbanism: International Research on …, 2015 - rsa.tandfonline.com","… They cite Jane Jacobs' (1961) foundational study of New York's urban vitality to suggest that many
scholars in the built environment have gravitated to the use of case studies precisely to marshal
the benefits of applying different research techniques to one or more real-life con … 
",  Cited by 81 Related articles All 7 versions  ,81
1118,2009,121,Creative industries in China: four perspectives on social transformation,"M Keane - International Journal of Cultural Policy, 2009 - Taylor & Francis",,  Cited by 81 Related articles All 6 versions  ,81
3349,2018,364,Moving through the city,"T Edensor - City visions, 2018 - taylorfrancis.com","… follows the imperatives of theatrical design. Producing a nostalgic simulacrum of
urban living, refashioned areas conjure up the signs of urban vitality or the
atmosphere of a festival. But instead, this imagery and manufactured … 
",  Cited by 81 Related articles All 2 versions  View as HTML ,81
981,2008,89,"Creativity, innovation and territorial agglomeration in cultural activities: the roots of the creative city","P Costa - Creative cities, cultural clusters and local economic …, 2008 - books.google.com","… With this in mind, this discussion can be framed using the typology defended by Costa (2005b),
which suggests five broad and distinct origins for the development of this interest towards creativity,
concerning the pro- motion of urban vitality and competitiveness: 1. The idea of … 
",  Cited by 80 Related articles All 5 versions  ,80
2494,2015,282,Human development and data envelopment analysis: A structured literature review,"EB Mariano, VA Sobreiro, DA do Nascimento Rebelatto - Omega, 2015 - Elsevier","Skip to main content … 
",  Cited by 80 Related articles All 8 versions  ,80
1123,2009,120,Public markets as community development tools,"A Morales - Journal of Planning Education and Research, 2009 - journals.sagepub.com","Page 1. 426 The public market was the first “free” enterprise zone (McMillian
2002)—the agora. And markets since have historically served various economic
and/or social objectives, objectives that prompted political innovations … 
",  Cited by 80 Related articles All 3 versions  ,80
838,2007,146,Fear and fantasy in the public domain: the development of secured and themed urban space,"R Van Melik, I Van Aalst, J Van Weesep - Journal of urban design, 2007 - Taylor & Francis","Page 1. Fear and Fantasy in the Public Domain: The Development of Secured and
Themed Urban Space RIANNE VAN MELIK, IRINA VAN AALST & JAN VAN WEESEP
Urban and Regional Research Centre Utrecht (URU), Faculty … 
",  Cited by 79 Related articles All 13 versions  ,79
1121,2009,120,Decision-making for light rail,"H De Bruijn, W Veeneman - Transportation Research Part A: Policy and …, 2009 - Elsevier","… countries (Hylén, 2001). Lane (2008) shows there are several reasons, including
democratic demand and urban vitality, for investment in light rail, even when ridership
lags behind expectations. Hass-Klau et al. (2004), show … 
",  Cited by 77 Related articles All 7 versions  ,77
763,2006,96,Sustainable land reuse: the influence of different stakeholders in achieving sustainable brownfield developments in England,"CM Dair, K Williams - Environment and Planning A, 2006 - journals.sagepub.com","… Proponents of the compact city argue that high-density, mixed-use living enhances sustainability
because it reduces car use and pollution, leads to urban vitality and vibrancy, encourages social
inter- action, and provides support for the local economy and facilities (Adams and … 
",  Cited by 75 Related articles All 10 versions  ,75
1252,2010,154,Rethinking commercial revitalization: A neighborhood small business perspective,"SA Sutton - Economic Development Quarterly, 2010 - journals.sagepub.com","… development projects as an efficient strategy for strengthening inner-city economies, improving
the physical environment, expanding access to amenities, generating jobs and tax revenue,
catalyzing fur- ther investment, and, arguably, symbolizing urban vitality and progress … 
",  Cited by 75 Related articles All 4 versions  ,75
