Source Titles	records	% of 829
JOURNAL OF ARCHITECTURAL AND PLANNING RESEARCH	3	0.362
JOURNAL OF THE AMERICAN PLANNING ASSOCIATION	3	0.362
LECTURE NOTES IN COMPUTER SCIENCE	3	0.362
OPEN HOUSE INTERNATIONAL	3	0.362
SOCIAL INDICATORS RESEARCH	3	0.362
TURKISH ONLINE JOURNAL OF DESIGN ART AND COMMUNICATION	3	0.362
URBAN ECOSYSTEMS	3	0.362
2009 IEEE 10TH INTERNATIONAL CONFERENCE ON COMPUTER AIDED INDUSTRIAL DESIGN CONCEPTUAL DESIGN VOLS 1 3	2	0.241
24TH ISUF INTERNATIONAL CONFERENCE CITY AND TERRITORY IN THE GLOBALIZATION AGE	2	0.241
3RD WORLD MULTIDISCIPLINARY CIVIL ENGINEERING ARCHITECTURE URBAN PLANNING SYMPOSIUM WMCAUS 2018	2	0.241
5TH INTERNATIONAL CONFERENCE ON EDUCATION AND SOCIAL SCIENCES INTCESS 2018	2	0.241
ACADEMIC MEDICINE	2	0.241
ACSR ADVANCES IN COMPTUER SCIENCE RESEARCH	2	0.241
ACUUS2009 PROCEEDINGS OF 12TH INTERNATIONAL CONFERENCE OF THE ASSOCIATED RESEARCH CENTERS FOR URBAN UNDERGROUND SPACE	2	0.241
ADVANCES IN CIVIL ENGINEERING AND ARCHITECTURE INNOVATION PTS 1 6	2	0.241
ADVANCES IN INTELLIGENT SYSTEMS RESEARCH	2	0.241
AMERICAN JOURNAL OF ARCHAEOLOGY	2	0.241
AMERICAN JOURNAL OF PREVENTIVE MEDICINE	2	0.241
ARCHITECTURE AND URBAN DEVELOPMENT	2	0.241
ARCHITECTURE BUILDING MATERIALS AND ENGINEERING MANAGEMENT PTS 1 4	2	0.241
ASIAN CONFERENCE ON ENVIRONMENT BEHAVIOUR STUDIES ACE BS 2014 SEOUL	2	0.241
CIUDADES REVISTA DEL INSTITUTO UNIVERSITARIO DE URBANISTICA DE LA UNIVERSIDAD DE VALLADOLID	2	0.241
CULTURAL GEOGRAPHIES	2	0.241
ECONOMIC DEVELOPMENT QUARTERLY	2	0.241
ECONOMICS FINANCE AND STATISTICS VOL 2 ISSUE 1	2	0.241
EKOLOJI	2	0.241
ENERGY AND ENVIRONMENTAL ENGINEERING SERIES	2	0.241
ENERGY PROCEDIA	2	0.241
ENVIRONMENT AND BEHAVIOR	2	0.241
ENVIRONMENT AND PLANNING B PLANNING DESIGN	2	0.241
ENVIRONMENT AND PLANNING B URBAN ANALYTICS AND CITY SCIENCE	2	0.241
ENVIRONMENTAL MONITORING AND ASSESSMENT	2	0.241
EUROPEAN JOURNAL OF FOREST RESEARCH	2	0.241
EUROPEAN PLANNING STUDIES	2	0.241
EUROPEAN URBAN AND REGIONAL STUDIES	2	0.241
FABBRICA DELLA CONOSCENZA	2	0.241
FRONTIERS IN MICROBIOLOGY	2	0.241
FRONTIERS IN PSYCHOLOGY	2	0.241
HEALTH PLACE	2	0.241
HEALTH PROMOTION INTERNATIONAL	2	0.241
HEALTH SOCIAL CARE IN THE COMMUNITY	2	0.241
IEEE INTERNATIONAL CONFERENCE ON SYSTEMS MAN AND CYBERNETICS CONFERENCE PROCEEDINGS	2	0.241
II INTERNATIONAL CONFERENCE ON LANDSCAPE AND URBAN HORTICULTURE	2	0.241
INTERNATIONAL CONFERENCE ON COMPUTER AIDED DESIGN CONCEPTUAL DESIGN	2	0.241
INTERNATIONAL CONFERENCE ON COMPUTER AIDED INDUSTRIAL DESIGN AND CONCEPTUAL DESIGN CAID CD	2	0.241
INTERNATIONAL DEVELOPMENT PLANNING REVIEW	2	0.241
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH	2	0.241
INTERNATIONAL REVIEW FOR SPATIAL PLANNING AND SUSTAINABLE DEVELOPMENT	2	0.241
INTERNATIONAL REVIEW OF RETAIL DISTRIBUTION AND CONSUMER RESEARCH	2	0.241
INTERNATIONAL SYMPOSIUM ON GREENER CITIES FOR MORE EFFICIENT ECOSYSTEM SERVICES IN A CLIMATE CHANGING WORLD	2	0.241
IOP CONFERENCE SERIES EARTH AND ENVIRONMENTAL SCIENCE	2	0.241
ISPRS INTERNATIONAL JOURNAL OF GEO INFORMATION	2	0.241
JOURNAL OF ARCHITECTURE	2	0.241
JOURNAL OF ARCHITECTURE AND URBANISM	2	0.241
JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING	2	0.241
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY	2	0.241
JOURNAL OF GREEN BUILDING	2	0.241
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE	2	0.241
JOURNAL OF PLACE MANAGEMENT AND DEVELOPMENT	2	0.241
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY	2	0.241
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH PART A CURRENT ISSUES	2	0.241
JOURNAL OF URBAN CULTURE RESEARCH	2	0.241
JOURNAL OF URBAN HEALTH BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE	2	0.241
JOURNAL OF URBAN PLANNING AND DEVELOPMENT	2	0.241
MATEC WEB OF CONFERENCES	2	0.241
OECOLOGIA	2	0.241
PREVENTIVE MEDICINE	2	0.241
PROCEEDINGS OF THE 2015 2ND INTERNATIONAL CONFERENCE ON EDUCATION LANGUAGE ART AND INTERCULTURAL COMMUNICATION	2	0.241
PROCEEDINGS OF THE 2018 8TH INTERNATIONAL CONFERENCE ON MANAGEMENT EDUCATION AND INFORMATION MEICI 2018	2	0.241
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS URBAN DESIGN AND PLANNING	2	0.241
PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON URBAN HORTICULTURE	2	0.241
PROFESSIONAL GEOGRAPHER	2	0.241
REGIONAL STUDIES	2	0.241
SCIENTIA HORTICULTURAE	2	0.241
SCRIPTA NOVA REVISTA ELECTRONICA DE GEOGRAFIA Y CIENCIAS SOCIALES	2	0.241
SPACE AND CULTURE	2	0.241
SUSTAINABLE DEVELOPMENT AND ENVIRONMENT II PTS 1 AND 2	2	0.241
SUSTAINABLE DEVELOPMENT OF URBAN AND RURAL AREAS	2	0.241
SUSTAINABLE DEVELOPMENT OF URBAN INFRASTRUCTURE PTS 1 3	2	0.241
THEORY CULTURE SOCIETY	2	0.241
THESES COLLECTION OF ARCHITECTURE AND CULTURE VOL 3	2	0.241
TRANSPORT POLICY	2	0.241
TRANSPORTATION RESEARCH PROCEDIA	2	0.241
UKRAINIAN JOURNAL OF ECOLOGY	2	0.241
URBANIZATION AND LAND RESERVATION RESEARCH	2	0.241
WATER SCIENCE AND TECHNOLOGY	2	0.241
1ST INTERNATIONAL CONFERENCE ON FRONTIERS OF MATERIALS SYNTHESIS AND PROCESSING FMSP 2017	1	0.121
1ST ITB CENTENNIAL AND 4TH PLANOCOSMO INTERNATIONAL CONFERENCE	1	0.121
2008 SYSTEMS AND INFORMATION ENGINEERING DESIGN SYMPOSIUM	1	0.121
2011 6TH INTERNATIONAL FORUM ON KNOWLEDGE ASSET DYNAMICS IFKAD2011	1	0.121
2011 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS MAN AND CYBERNETICS SMC	1	0.121
2012 INTERNATIONAL ACADEMIC CONFERENCE OF ART ENGINEERING AND CREATIVE INDUSTRY IACAE 2012	1	0.121
2012 IV INTERNATIONAL CONFERENCE PROBLEMS OF CYBERNETICS AND INFORMATICS PCI	1	0.121
2013 32ND CHINESE CONTROL CONFERENCE CCC	1	0.121
2013 FOURTH INTERNATIONAL CONFERENCE ON EDUCATION AND SPORTS EDUCATION ESE 2013 PT II	1	0.121
2014 IEEE EAST WEST DESIGN TEST SYMPOSIUM EWDTS	1	0.121
2015 4TH INTERNATIONAL CONFERENCE ON ENERGY AND ENVIRONMENTAL PROTECTION ICEEP 2015	1	0.121
2015 IEEE 18TH INTERNATIONAL CONFERENCE ON INTELLIGENT TRANSPORTATION SYSTEMS	1	0.121
2015 IIAI 4TH INTERNATIONAL CONGRESS ON ADVANCED APPLIED INFORMATICS IIAI AAI	1	0.121
2015 INTERNATIONAL CONFERENCE ON INTELLIGENT TRANSPORTATION BIG DATA AND SMART CITY ICITBS	1	0.121
2016 INTERNATIONAL CONFERENCE ON MANAGEMENT SCIENCE AND ENGINEERING ICMSE 2016	1	0.121
2017 2ND PMSS INTERNATIONAL CONFERENCE ON TEACHING RESEARCH AND SOCIAL SCIENCE PMSS TRSS 2017	1	0.121
2017 INTERNATIONAL CONFERENCE ON FRONTIERS IN EDUCATIONAL TECHNOLOGIES AND MANAGEMENT SCIENCES FETMS 2017	1	0.121
2017 INTERNATIONAL CONFERENCE ON MATERIALS ENERGY CIVIL ENGINEERING AND COMPUTER MATECC 2017	1	0.121
2018 26TH INTERNATIONAL CONFERENCE ON GEOINFORMATICS GEOINFORMATICS 2018	1	0.121
2018 2ND INTERNATIONAL WORKSHOP ON RENEWABLE ENERGY AND DEVELOPMENT IWRED 2018	1	0.121
2018 5TH INTERNATIONAL CONFERENCE ON ELECTRICAL ELECTRONICS ENGINEERING AND COMPUTER SCIENCE ICEEECS 2018	1	0.121
2018 IEEE 5TH INTERNATIONAL CONFERENCE ON DATA SCIENCE AND ADVANCED ANALYTICS DSAA	1	0.121
2019 2ND INTERNATIONAL CONFERENCE ON COMPUTING MATHEMATICS AND ENGINEERING TECHNOLOGIES ICOMET	1	0.121
2ND INTERNATIONAL JOINT CONFERENCE ON SCIENCE AND TECHNOLOGY IJCST 2017	1	0.121
3RD INTERNATIONAL CONFERENCE ON BUILDINGS CONSTRUCTION AND ENVIRONMENTAL ENGINEERING BCEE3 2017	1	0.121
4TH INTERNATIONAL BUILDING CONTROL CONFERENCE 2016 IBCC 2016	1	0.121
4TH INTERNATIONAL CONFERENCE ON EDUCATION SOCIAL SCIENCES AND HUMANITIES SOCIOINT 2017	1	0.121
5TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT ITQM 2017	1	0.121
7TH IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES CISTI 2012	1	0.121
7TH INTERNATIONAL CONFERENCE ON COMPUTER AIDED INDUSTRIAL DESIGN CONCEPTUAL DESIGN	1	0.121
8TH ARCHITEKTURA V PERSPEKTIV 2016	1	0.121
9TH INTERNATIONAL CONFERENCE ON COMPUTER AIDED INDUSTRIAL DESIGN CONCEPTUAL DESIGN VOLS 1 AND 2	1	0.121
ACE BS 2013 HANOI ASEAN CONFERENCE ON ENVIRONMENT BEHAVIOUR STUDIES	1	0.121
ACE BS 2015 TEHRAN 6TH ASIAN CONFERENCE ON ENVIRONMENT BEHAVIOUR STUDIES	1	0.121
ACTA BOTANICA CROATICA	1	0.121
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA	1	0.121
ACTA GEOGRAPHICA SLOVENICA GEOGRAFSKI ZBORNIK	1	0.121
ACTA SCIENTIARUM POLONORUM FORMATIO CIRCUMIECTUS	1	0.121
ADVANCED DESIGN AND MANUFACTURING TECHNOLOGY III PTS 1 4	1	0.121
ADVANCED MECHANICAL DESIGN PTS 1 3	1	0.121
ADVANCED SCIENCE LETTERS	1	0.121
ADVANCES IN ARCHITECTURE SERIES	1	0.121
ADVANCES IN CIVIL ARCHITECTURAL STRUCTURAL AND CONSTRUCTIONAL ENGINEERING	1	0.121
ADVANCES IN CIVIL ENGINEERING AND BUILDING MATERIALS III	1	0.121
ADVANCES IN EDUCATION RESEARCH	1	0.121
ADVANCES IN ENVIRONMENTAL TECHNOLOGIES PTS 1 6	1	0.121
ADVANCES IN TRANSPORT	1	0.121
AEBMR ADVANCES IN ECONOMICS BUSINESS AND MANAGEMENT RESEARCH	1	0.121
AFRICAN AFFAIRS	1	0.121
AGEING RESEARCH REVIEWS	1	0.121
AGRICULTURAL AND FOREST ENTOMOLOGY	1	0.121
AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS	1	0.121
AICE BS 2011 FAMAGUSTA ASIA PACIFIC INTERNATIONAL CONFERENCE ON ENVIRONMENT BEHAVIOUR STUDIES	1	0.121
AIP CONFERENCE PROCEEDINGS	1	0.121
ALLGEMEINE FORST UND JAGDZEITUNG	1	0.121
ALLIANCE FOR GLOBAL SUSTAINABILITY	1	0.121
AMBIO	1	0.121
AMERICAN ANTHROPOLOGIST	1	0.121
AMERICAN JOURNAL OF BIOETHICS	1	0.121
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY	1	0.121
AMERICAN REVIEW OF PUBLIC ADMINISTRATION	1	0.121
ANNALES ANALI ZA ISTRSKE IN MEDITERANSKE STUDIJE SERIES HISTORIA ET SOCIOLOGIA	1	0.121
ANNALES DES SCIENCES FORESTIERES	1	0.121
ANNALS OF REGIONAL SCIENCE	1	0.121
ANNUAL REVIEW OF APPLIED LINGUISTICS	1	0.121
ANTHROPOLOGICAL QUARTERLY	1	0.121
ANTI TRAFFICKING REVIEW	1	0.121
ANTIPODE	1	0.121
APPETITE	1	0.121
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH	1	0.121
APPLIED SOIL ECOLOGY	1	0.121
ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES	1	0.121
ARCHITECTURAL THEORY REVIEW	1	0.121
ARCHITECTURE CIVIL ENGINEERING ENVIRONMENT	1	0.121
ARCHITECTURE MPS	1	0.121
ARCHITECTURE THE AIA JOURNAL	1	0.121
ARCHIVES OF BIOLOGICAL SCIENCES	1	0.121
ARCHIVES OF GERONTOLOGY AND GERIATRICS	1	0.121
ARCHIVES OF SEXUAL BEHAVIOR	1	0.121
ARQUITECTURAS DEL SUR	1	0.121
ARQUITETURA REVISTA	1	0.121
ASIA PACIFIC MANAGEMENT AND ENGINEERING CONFERENCE APME 2014	1	0.121
ASIAN AND PACIFIC MIGRATION JOURNAL	1	0.121
ATMOSPHERIC ENVIRONMENT	1	0.121
BEST PRACTICES IN HERITAGE CONSERVATION AND MANAGEMENT FROM THE WORLD TO POMPEII	1	0.121
BIG DATA	1	0.121
BIOLOGIA	1	0.121
BIOTECHNOLOGY BIOTECHNOLOGICAL EQUIPMENT	1	0.121
BITACORA URBANO TERRITORIAL	1	0.121
BJU INTERNATIONAL	1	0.121
BMC GERIATRICS	1	0.121
BMC NEPHROLOGY	1	0.121
BMC PREGNANCY AND CHILDBIRTH	1	0.121
BMJ BRITISH MEDICAL JOURNAL	1	0.121
BMJ OPEN	1	0.121
BOLETIN ANTROPOLOGICO	1	0.121
BRAIN RESEARCH BULLETIN	1	0.121
BRITISH ARCHAEOLOGICAL ASSOCIATION CONFERENCE TRANSACTIONS	1	0.121
BRITISH JOURNAL OF CANADIAN STUDIES	1	0.121
BRITISH MEDICAL JOURNAL	1	0.121
BUILDING AND ENVIRONMENT	1	0.121
BUILDING RESEARCH AND INFORMATION	1	0.121
BULLETIN MONUMENTAL	1	0.121
BULLETIN OF THE INSTITUTE OF HISTORY AND PHILOLOGY ACADEMIA SINICA	1	0.121
CADERNOS DE HISTORIA	1	0.121
CAHIERS D ETUDES AFRICAINES	1	0.121
CANCER	1	0.121
CHEMOSPHERE	1	0.121
CHILDRENS GEOGRAPHIES	1	0.121
CHINESE CONTROL CONFERENCE	1	0.121
CHINESE EDUCATION AND SOCIETY	1	0.121
CHINESE GEOGRAPHICAL SCIENCE	1	0.121
CHINESE JOURNAL OF POPULATION RESOURCES AND ENVIRONMENT	1	0.121
CIENCIA E INVESTIGACION AGRARIA	1	0.121
CITIES 2015 INTELLIGENT PLANNING TOWARDS SMART CITIES	1	0.121
CIVIL ENGINEERING AND URBAN PLANNING III	1	0.121
CIVIL ENGINEERING JOURNAL TEHRAN	1	0.121
COMMUNICATIONS OF THE GERMAN SOCIETY FOR GENERAL AND APPLIED ENTOMOLOGY VOL 21	1	0.121
COMPARATIVE STUDIES IN SOCIETY AND HISTORY	1	0.121
COMPUTATIONAL SCIENCE AND ITS APPLICATIONS ICCSA 2011 PT II	1	0.121
CONSERVATION BIOLOGY	1	0.121
CONSTRUCTION AND URBAN PLANNING PTS 1 4	1	0.121
CONTEMPORARY INNOVATION AND DEVELOPMENT IN MANAGEMENT SCIENCE	1	0.121
COVENTRY MEDIEVAL ART ARCHITECTURE AND ARCHAEOLOGY IN THE CITY AND ITS VICINITY	1	0.121
CREATIVE CONSTRUCTION CONFERENCE 2017 CCC 2017	1	0.121
CRIME PREVENTION COMMUNITY SAFETY	1	0.121
CRITICAL CARE MEDICINE	1	0.121
CRITICAL RESEARCH ON RELIGION	1	0.121
CROSS CULTURAL DESIGN	1	0.121
CUE 2015 APPLIED ENERGY SYMPOSIUM AND SUMMIT 2015 LOW CARBON CITIES AND URBAN ENERGY SYSTEMS	1	0.121
CUKUROVA UNIVERSITY FACULTY OF EDUCATION JOURNAL	1	0.121
DATA IN BRIEF	1	0.121
DEMOGRAPHIC RESEARCH	1	0.121
DEMOGRAPHY	1	0.121
DESIGN ISSUES	1	0.121
DEVELOPMENT AND CHANGE	1	0.121
DRUSTVENA ISTRAZIVANJA	1	0.121
EAST AFRICAN MEDICAL JOURNAL	1	0.121
EBM 2010 INTERNATIONAL CONFERENCE ON ENGINEERING AND BUSINESS MANAGEMENT VOLS 1 8	1	0.121
ECOLOGY AND EVOLUTION	1	0.121
ECONOMIC SCIENCE FOR RURAL DEVELOPMENT	1	0.121
ECONOMIC SCIENCE FOR RURAL DEVELOPMENT INTEGRATED AND SUSTAINABLE REGIONAL DEVELOPMENT PRODUCTION AND CO OPERATION IN AGRICULTURE	1	0.121
ECONOMIC THEORY	1	0.121
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	1	0.121
ECUMENICAL REVIEW	1	0.121
ELEUTHERA	1	0.121
ENGINEERING GEOLOGY AND THE ENVIRONMENT VOLS 1 3	1	0.121
ENTERPRISE GROWS IN SUSTAINING EFFICIENCY AND EFFECTIVENESS	1	0.121
ENTROPY	1	0.121
ENVIRONMENT AND PLANNING A ECONOMY AND SPACE	1	0.121
ENVIRONMENT AND PLANNING C GOVERNMENT AND POLICY	1	0.121
ENVIRONMENT AND URBANIZATION	1	0.121
ENVIRONMENTAL ECONOMICS AND INVESTMENT ASSESSMENT III	1	0.121
ENVIRONMENTAL EDUCATION RESEARCH	1	0.121
ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL	1	0.121
ENVIRONMENTAL JUSTICE	1	0.121
ENVIRONMENTAL MANAGEMENT	1	0.121
ENVIRONMENTAL POLICY AND GOVERNANCE	1	0.121
ENVIRONMENTAL PROBLEMS AND DEVELOPMENT	1	0.121
ENVIRONMENTAL RESEARCH	1	0.121
ENVIRONMENTAL RESEARCH LETTERS	1	0.121
ENVIRONMENTAL TOXICOLOGY	1	0.121
ENVISIONING ARCHITECTURE DESIGN EVALUATION COMMUNICATION	1	0.121
EPIDEMIOLOGIA PREVENZIONE	1	0.121
EPILEPSIA	1	0.121
ESTUDIOS GEOGRAFICOS	1	0.121
EURE REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES	1	0.121
EUROPEAN COUNTRYSIDE	1	0.121
EUROPEAN JOURNAL OF PLANT PATHOLOGY	1	0.121
EUROPEAN JOURNAL OF SUSTAINABLE DEVELOPMENT	1	0.121
EUROPEAN JOURNAL OF TRANSPORT AND INFRASTRUCTURE RESEARCH	1	0.121
EUROPEAN PHYSICAL JOURNAL B	1	0.121
EUROSENSORS 2015	1	0.121
EVIDENCE BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE	1	0.121
EXTRAPOLATION	1	0.121
FEMS MICROBIOLOGY ECOLOGY	1	0.121
FERTILITY AND STERILITY	1	0.121
FESTIVAL DELL ARCHITETTURA MAGAZINE	1	0.121
FILOSOFICKY CASOPIS	1	0.121
FINANCE ECONOMICS AND ECONOMIC DEVELOPMENT 2005	1	0.121
FINISTERRA REVISTA PORTUGUESA DE GEOGRAFIA	1	0.121
FOREIGN LITERATURE STUDIES	1	0.121
FORUM ITALICUM	1	0.121
FRESHWATER BIOLOGY	1	0.121
FRONTIERS IN EDUCATION 1997 27TH ANNUAL CONFERENCE PROCEEDINGS BOLS I III	1	0.121
FRONTIERS IN MARINE SCIENCE	1	0.121
FRONTIERS OF ARCHITECTURAL RESEARCH	1	0.121
FRONTIERS OF ENVIRONMENTAL SCIENCE ENGINEERING	1	0.121
FRONTIERS OF GREEN BUILDING MATERIALS AND CIVIL ENGINEERING PTS 1 8	1	0.121
FUTURE OF RURAL POLICY FROM SECTORAL TO PLACE BASED POLICIES IN RURAL AREAS	1	0.121
GENDER SOCIETY	1	0.121
GEOFORUM	1	0.121
GEOGRAFIE	1	0.121
GEOGRAPHICAL RESEARCH	1	0.121
GEOGRAPHICAL REVIEW	1	0.121
GERONTOLOGY	1	0.121
GISCIENCE REMOTE SENSING	1	0.121
GLOBAL CHANGE BIOLOGY	1	0.121
GLOBALIZATION URBAN FORM AND GOVERNANCE	1	0.121
GREEN ARCHITECTURE FOR SUSTAINABLE LIVING AND ENVIRONMENT	1	0.121
HEAD FACE MEDICINE	1	0.121
HEALTH SERVICES RESEARCH	1	0.121
HEALTHCARE	1	0.121
HIGH OCCUPANCY VEHICLE SYSTEMS AND DEMAND MANAGEMENT 2001	1	0.121
HIGHWAY AND URBAN ENVIRONMENT	1	0.121
HISTORY OF THE HUMAN SCIENCES	1	0.121
HOMO JOURNAL OF COMPARATIVE HUMAN BIOLOGY	1	0.121
HORTTECHNOLOGY	1	0.121
HRADEC ECONOMIC DAYS	1	0.121
HRADEC ECONOMIC DAYS PT II 2018	1	0.121
HTS TEOLOGIESE STUDIES THEOLOGICAL STUDIES	1	0.121
HUMAN COMPUTER INTERACTION INTERACT 2017 PT III	1	0.121
HUMAN RELATIONS	1	0.121
IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES	1	0.121
ICOMOS ISPRS INTERNATIONAL SCIENTIFIC COMMITTEE ON HERITAGE DOCUMENTATION CIPA 26TH INTERNATIONAL CIPA SYMPOSIUM DIGITAL WORKFLOWS FOR HERITAGE CONSERVATION	1	0.121
IEEE COMMUNICATIONS MAGAZINE	1	0.121
IEEE COMPUTER GRAPHICS AND APPLICATIONS	1	0.121
IEEE INTELLIGENT TRANSPORTATION SYSTEMS MAGAZINE	1	0.121
IEEE INTERNATIONAL CONFERENCE ON INTELLIGENT TRANSPORTATION SYSTEMS ITSC	1	0.121
IEEE INTERNATIONAL CONFERENCE ON SYSTEMS MAN AND CYBERNETICS SMC 2010	1	0.121
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING	1	0.121
IMAGO TEMPORIS MEDIUM AEVUM	1	0.121
INDIANA LAW JOURNAL	1	0.121
INDOOR AND BUILT ENVIRONMENT	1	0.121
INFORMATION TECHNOLOGY IN GEO ENGINEERING	1	0.121
INFRASTRUCTURE ASSET MANAGEMENT	1	0.121
INTERNATIONAL ARCHIVES OF THE PHOTOGRAMMETRY REMOTE SENSING AND SPATIAL INFORMATION SCIENCES	1	0.121
INTERNATIONAL CONFERENCE ON ECOLOGICAL INFORMATICS AND ECOSYSTEM CONSERVATION ISEIS 2010	1	0.121
INTERNATIONAL CONFERENCE ON GEOINFORMATICS	1	0.121
INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTATION TECHNOLOGY AND AUTOMATION	1	0.121
INTERNATIONAL HIGH PERFORMANCE BUILT ENVIRONMENT CONFERENCE A SUSTAINABLE BUILT ENVIRONMENT CONFERENCE 2016 SERIES SBE16 IHBE 2016	1	0.121
INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY	1	0.121
INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION	1	0.121
INTERNATIONAL JOURNAL OF CIRCUMPOLAR HEALTH	1	0.121
INTERNATIONAL JOURNAL OF HOUSING POLICY	1	0.121
INTERNATIONAL JOURNAL OF TOURISM CITIES	1	0.121
INTERNATIONAL JOURNAL OF TOURISM RESEARCH	1	0.121
INTERNATIONAL JOURNAL OF URBAN SUSTAINABLE DEVELOPMENT	1	0.121
INTERNATIONAL JOURNAL OF WOMENS HEALTH AND REPRODUCTION SCIENCES	1	0.121
INTERNATIONAL MIGRATION REVIEW	1	0.121
INTERNATIONAL PLANNING STUDIES	1	0.121
INTERNATIONAL PROCEEDINGS OF ECONOMICS DEVELOPMENT AND RESEARCH	1	0.121
INTERNATIONAL REGIONAL SCIENCE REVIEW	1	0.121
INTERNATIONAL REVIEW OF SOCIAL HISTORY	1	0.121
INTERNATIONAL REVIEW OF SOCIOLOGY REVUE INTERNATIONALE DE SOCIOLOGIE	1	0.121
INTERNATIONAL SOCIOLOGY	1	0.121
INTERNATIONAL SYMPOSIUM ON URBAN TREE HEALTH	1	0.121
INTERNATIONAL TRANSACTION JOURNAL OF ENGINEERING MANAGEMENT APPLIED SCIENCES TECHNOLOGIES	1	0.121
IRAQI JOURNAL OF AGRICULTURAL SCIENCES	1	0.121
