Funding Agencies	records	% of 829
BK21 PLUS PROJECT SEOUL NATIONAL UNIVERSITY INTERDISCIPLINARY PROGRAM IN LANDSCAPE ARCHITECTURE GLOBAL LEADERSHIP PROGRAM TOWARDS INNOVATIVE GREEN INFRASTRUCTURE	1	0.121
BMBF DLR	1	0.121
BRIGHTON AND SUSSEX MEDICAL SCHOOL	1	0.121
BUREAU OF SCIENCE AND INFORMATION TECHNOLOGY OF GUANGZHOU MUNICIPAL GOVERNMENT	1	0.121
CALIFORNIA DEPARTMENT OF TRANSPORTATION	1	0.121
CAMPUS DE EXCELENCIA INTERNACIONAL EN PATRIMONIO OF UNIVERSITY OF JAEN	1	0.121
CANADIAN INSTITUTES OF HEALTH RESEARCH	1	0.121
CAPITAL MEDICAL UNIVERSITY	1	0.121
CAS GRANT	1	0.121
CAS PROGRAMME FOREIGN VISITING SCHOLAR OF THE CAS	1	0.121
CATALAN GOVERNMENT AGAUR FI DGR	1	0.121
CENTENNIAL COLLEGE	1	0.121
CENTER FOR GEOGRAPHICAL STUDIES FROM LISBON UNIVERSITY	1	0.121
CENTER FOR TRANSPORTATION AND URBAN PLANNING AT THE UNIVERSITY OF CONNECTICUT	1	0.121
CENTERS FOR DISEASE CONTROL AND PREVENTION CDC	1	0.121
CENTERS FOR MEDICARE AND MEDICAID SERVICES CMS DEPARTMENT OF HEALTH AND HUMAN SERVICES	1	0.121
CENTERS FOR MEDICARE AND MEDICAID SERVICES HEALTH CARE INNOVATION AWARD	1	0.121
CENTRAL RESEARCH FUND OF THE UNIVERSITY OF LONDON	1	0.121
CENTRE OF SUSTAINABLE URBAN DEVELOPMENT CEDEUS	1	0.121
CHAIR OF DEPARTMENT OF FORESTRY AND FOREST ECOLOGY AT THE UNIVERSITY OF WARMIA AND MAZURY IN OLSZTYN	1	0.121
CHICAGO CENTER FOR DIABETES TRANSLATION RESEARCH NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES	1	0.121
CHICAGO CORE ON BIOMEASURES IN POPULATION BASED HEALTH AND AGING RESEARCH NIH NIH	1	0.121
CHILEAN FUNDING INSTITUTION FONDECYT CONICYT	1	0.121
CHINA NATIONAL KEY TECHNOLOGY RESEARCH AND DEVELOPMENT PROGRAM DEMONSTRATION PROJECT ON KEY TECHNOLOGIES IN THE RE DEVELOPMENT OF BUILT UP AREA IN RURAL COLLECTIVELY OWNED LAND	1	0.121
CHINA NATIONAL SCIENCE FUND	1	0.121
CHINA SCHOLARSHIP COUNCIL CSC	1	0.121
CHINESE ACADEMY OF SCIENCES	1	0.121
CHINESE MINISTRY OF EDUCATION DOCTORAL STUDENTS ACADEMIC NEWCOMERS AWARD	1	0.121
CHINESE MINISTRY OF SCIENCE AND TECHNOLOGY	1	0.121
CHONGQING ENTERPRISE MANAGEMENT RESEARCH CENTER	1	0.121
CITY OF BELGRADE SECRETARIAT FOR ENVIRONMENTAL PROTECTION	1	0.121
CITY OF CLEARWATER	1	0.121
CITY OF HELSINKI	1	0.121
CITY OF LIBEREC	1	0.121
CITY OF MALMO	1	0.121
CITY OF MELBOURNE AUSTRALIA	1	0.121
CITY OF ST PETERSBURG	1	0.121
CITY OF TAMPA	1	0.121
CITYCON	1	0.121
CLEVELAND DEPARTMENT OF PUBLIC HEALTH STEPS TO A HEALTHIER CLEVELAND	1	0.121
CLEVELAND FOUNDATION	1	0.121
CLEVELAND PLANNING COMMISSION	1	0.121
CLEVELAND POLICE	1	0.121
CLEVELAND PUBLIC ART	1	0.121
CLEVELAND RAPID TRANSIT AUTHORITY	1	0.121
CLEVELAND STATE UNIVERSITY	1	0.121
CLEVELAND WIRECLOTH	1	0.121
COFORD	1	0.121
COILLTE TEO IRELAND	1	0.121
COLLEGE OF MEDICINE UNIVERSITY OF IBADAN NIGERIA	1	0.121
COLUMBIA UNIVERSITY S MIDDLE EAST INSTITUTE	1	0.121
COMMUNITYRX PROJECT	1	0.121
CONICET	1	0.121
CONNECTICUT DEPARTMENT OF TRANSPORTATION	1	0.121
CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA CONACYT AT MEXICO	1	0.121
CONSORTIUM DE RECHERCHE SUR LA FORET BOREALE COMMERCIALE	1	0.121
COORDENACAO DE APERFEICOAMENTO PESSOAL CAPES	1	0.121
COST ACTION	1	0.121
COUNCILMAN ANTHONY BRANCATELLI	1	0.121
COUNCILMAN ROBERT WHITE	1	0.121
COUNCILWOMAN PHYLLIS CLEVELAND	1	0.121
COUNTY MANATEE	1	0.121
COUNTY OF HILLSBOROUGH	1	0.121
COUNTY PINELLAS	1	0.121
CSL	1	0.121
CULTIVATING PROJECT OF XUZHOU INSTITUTE OF TECHNOLOGY	1	0.121
CZECH GLOBE GLOBAL CHANGE RESEARCH INSTITUTE OF THE CZECH ACADEMY OF SCIENCES GCRI	1	0.121
CZECH MINISTRY OF EDUCATION	1	0.121
CZECH PROJECT	1	0.121
CZECH PROJECT MSMT COST LD	1	0.121
CZECH PROJECT UNDER COST ACTION NETWORK STREESS MENDEL UNIVERSITY	1	0.121
CZECH SCIENCE FOUNDATION	1	0.121
DEPARTMENT OF SCIENCE AND TECHNOLOGY DST SERB NEW DELHI	1	0.121
DEUTSCHE FORSCHUNGSGEMEINSCHAFT DFG GERMAN RESEARCH FOUNDATION	1	0.121
DOCTORAL PROGRAM OF HIGHER EDUCATION OF CHINA	1	0.121
DOMINION EAST OHIO COMMUNITY IMPACT AWARDS	1	0.121
DUNHILL MEDICAL TRUST UK	1	0.121
DUTCH MINISTRY OF SOCIAL AFFAIRS AND EMPLOYMENT	1	0.121
EARLY CAREER TALENT PROGRAM OF THE CHINESE ACADEMY OF SCIENCES YOUTH INNOVATION PROMOTION ASSOCIATION OF THE CHINESE ACADEMY OF SCIENCES	1	0.121
ECONOMIC AND SOCIAL RESEARCH COUNCIL	1	0.121
ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC	1	0.121
EEA	1	0.121
EEA PROJECT	1	0.121
EIT CEDUS INNOVATION ACTIVITY	1	0.121
ENERGY INNOVATION	1	0.121
ENGINEERING AND PHYSICAL SCIENCES RESEARCH COUNCIL EPSRC IN THE UNITED KINGDOM	1	0.121
ENVIRONMENT AGENCY CATCHMENT SENSITIVE FARMING	1	0.121
EPIUNIT INSTITUTE DE SAUDE PUBLICA UNIVERSIDADE DO PORTO PORTUGAL FEDER THROUGH THE OPERATIONAL PROGRAMME COMPETITIVENESS AND INTERNATIONALIZATION	1	0.121
ESRC	1	0.121
ESRC AT THE UNIVERSITY OF SOUTHAMPTON	1	0.121
ESTHER YEWPICK LEE MILLENNIUM SCHOLARSHIP	1	0.121
ESTONIAN ENVIRONMENTAL INVESTMENTS CENTRE	1	0.121
ESTONIAN SCIENCE FOUNDATION	1	0.121
ESTONIAN UNIVERSITY OF LIFE SCIENCES PROJECT	1	0.121
EU	1	0.121
EUROPEAN COMMISSION HORIZON 2020 LIFEPATH PROJECT	1	0.121
EUROPEAN COOPERATION IN SCIENCE AND TECHNOLOGY	1	0.121
EUROPEAN FUND FOR REGIONAL DEVELOPMENT UNDER THE OPERATIONAL PROGRAMME RESEARCH AND DEVELOPMENT	1	0.121
EUROPEAN REGIONAL DEVELOPMENT FUND ERDF	1	0.121
EUROPEAN SOCIAL FUND AND STATE BUDGET OF THE CZECH REPUBLIC	1	0.121
EUROPEAN SOCIAL FUND OF THE EUROPEAN UNION	1	0.121
FACULTY OF FORESTRY AT THE UNIVERSITY OF LIFE SCIENCES IN POZNAN	1	0.121
FACULTY OF MEDICINE LUND UNIVERSITY SWEDEN	1	0.121
FAPERGS	1	0.121
FCT PORTUGUESE NATIONAL FUNDING AGENCY FOR SCIENCE RESEARCH AND TECHNOLOGY	1	0.121
FEDERATION OF SWEDISH FARMERS NURSERY SECTION GRO	1	0.121
FIC R REVITALIZACION DE MERCADOS PASAJES Y GALERIAS COMERCIALES DE SANTIAGO	1	0.121
FINNISH COMMERCE FEDERATION	1	0.121
FINNISH COUNCIL OF SHOPPING CENTRES	1	0.121
FINNISH GROCERY TRADE ASSOCIATION	1	0.121
FONDATION DE FRANCE	1	0.121
FONDO DE INVESTIGACION PROYECTO SEMILLA UNIVERSIDAD DIEGO PORTALES	1	0.121
FONDS DE RECHERCHE SUR LA NATURE ET LES TECHNOLOGIES DU QUEBEC	1	0.121
FONDS NUTSOHRA	1	0.121
FORD FOUNDATION	1	0.121
FOREST THERAPY STATION INITIATIVE	1	0.121
FORET D ENSEIGNEMENT ET DE RECHERCHE SIMONCOUCHE	1	0.121
FOUNDATION FOR POLISH SCIENCE FNP FOR THE DOMESTIC STIPEND FOR YOUNG SCHOLARS	1	0.121
FOUNDATION FOR SCIENCE AND TECHNOLOGY FCT PORTUGUESE MINISTRY OF SCIENCE TECHNOLOGY AND HIGHER EDUCATION	1	0.121
FRANK KEENAN TRUST FUND	1	0.121
FREE STATE OF SAXONY	1	0.121
FRENCH NATIONAL RESEARCH AGENCY	1	0.121
FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT	1	0.121
FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT PORTUGAL	1	0.121
FUNDACAO PARA A CIENCIA E TECNOLOGIA FCT	1	0.121
FUNDACAO PARA A CIENCIA E TECNOLOGIA PORTUGAL	1	0.121
FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERSITIES NATURAL SCIENCES PROJECTS	1	0.121
FUNDAMENTAL RESEARCH FUNDS OF THE CENTRAL UNIVERSITIES	1	0.121
FUNDAMENTAL RESEARCH GRANT SCHEME FROM THE MINISTRY OF HIGHER EDUCATION MALAYSIA	1	0.121
GERMAN ACADEMIC EXCHANGE PROGRAM DAAD	1	0.121
GERMAN ACADEMIC EXCHANGE SERVICE DAAD	1	0.121
GERMAN FEDERAL MINISTRY OF EDUCATION AND RESEARCH	1	0.121
GILLBERGSKA STIFTELSEN UPPSALA SWEDEN	1	0.121
GIP ECOFOR	1	0.121
GLAXOSMITHKLINE	1	0.121
GLOBAL DEVELOPMENT NETWORK GDN GRANT	1	0.121
GOLDSMITH COLLEGE RESEARCH FUND	1	0.121
GOVERNMENT OF THE MARI EL REGION	1	0.121
GOVERNOR S COUNCIL ON PHYSICAL FITNESS HEALTH SPORTS IN MICHIGAN	1	0.121
GRANTOVA AGENTURA CESKE REPUBLIKY	1	0.121
GREATER CLEVELAND YMCA CLEVELANDERS IN MOTION	1	0.121
GREATER JOHANNESBURG METROPOLITAN COUNCIL	1	0.121
GSK	1	0.121
GUANGDONG PROVINCIAL ACADEMY OF TRADITIONAL CHINESE MEDICINE JOINT FUND	1	0.121
GUANGDONG PROVINCIAL DEPARTMENT OF SCIENCE AND TECHNOLOGY	1	0.121
GUANGDONG PROVINCIAL DEPARTMENT OF SCIENCE AND TECHNOLOGY FUND	1	0.121
GUND FOUNDATION	1	0.121
HASTINGS AND NEW PLYMOUTH DISTRICT COUNCILS	1	0.121
HASTINGS DISTRICT COUNCIL	1	0.121
HAZEN FOUNDATION	1	0.121
HEALTH RESEARCH BOARD	1	0.121
HELIN CO ARCHITECTS	1	0.121
HELSINKI UUSIMAA REGIONAL COUNCIL	1	0.121
HENAN PROVINCE FEDERATION OF SOCIAL SCIENCES	1	0.121
HENNES KUNGLIGA HOGHET KRONPRINSESSAN LOVISAS STIFTELSE FOR BARNASJUKVARD STOCKHOLM SWEDEN	1	0.121
HISTORY DEPARTMENT AND THE DIVISION OF THE SOCIAL SCIENCES AT THE UNIVERSITY OF CHICAGO	1	0.121
HKU SEED FUND FOR BASIC RESEARCH	1	0.121
HOUSING FINANCE AND DEVELOPMENT CENTRE OF FINLAND	1	0.121
HUI OI CHOW TRUST FUND	1	0.121
HUMAN CAPITAL OPERATING PROGRAMME HCOP FSE	1	0.121
HUMANITIES AND SOCIAL SCIENCE PROJECT OF MINISTRY OF EDUCATION	1	0.121
HUMANITIES AND SOCIAL SCIENCE RESEARCH PROJECT HUBEI PROVINCIAL DEPARTMENT OF EDUCATION	1	0.121
HUMANITIES AND SOCIAL SCIENCES FOUNDATION OF EDUCATION DEPARTMENT ANHUI PROVINCE CHINA	1	0.121
ICELAND LIECHTENSTEIN	1	0.121
ICELAND LIECHTENSTEIN AND NORWAY THROUGH THE EEA FINANCIAL MECHANISM	1	0.121
IGA LDF	1	0.121
IGERT GRANT FROM THE US NATIONAL SCIENCE FOUNDATION	1	0.121
INDICATORS OF TREE VITALITY PROJECT	1	0.121
INNER MONGOLIA AUTONOMOUS REGION UNIVERSITY SCIENTIFIC RESEARCH	1	0.121
INNOVATION PROJECTS OF BEIJING LEAFY VEGETABLES	1	0.121
INSTITUTE FOR CIRCUMPOLAR HEALTH STUDIES	1	0.121
INSTITUTE FOR NEW ECONOMIC THINKING	1	0.121
INTERDISCIPLINARY RESEARCH PROGRAM FOOD QUALITY SAFETY AND TRUST SINCE 1950 SOCIETAL CONTROVERSY AND BIOTECHNOLOGICAL CHALLENGES IRP2	1	0.121
INTERDISCIPLINARY RESEARCH PROGRAM TRADITION AND NATURALNESS OF ANIMAL PRODUCTS WITHIN A SOCIETAL CONTEXT OF CHANGE IRP11	1	0.121
INTERNATIONAL BRAIN RESEARCH ORGANIZATION IBRO RETURN HOME FELLOWSHIP	1	0.121
INTERNATIONAL MEDICAL NETWORK OF REGENERATIVE MEDICINE AND PREVENTION E V IMN E V GERMANY	1	0.121
INTRAMURAL NIH HHS	1	0.121
IOF342 PROJECT	1	0.121
IRISH DEPARTMENT OF HEALTH AND CHILDREN IRISH LIFE	1	0.121
ITALIAN MINISTRY OF EDU CATION UNIVERSITY AND RESEARCH MIUR	1	0.121
JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE JSPS	1	0.121
JAVNA AGENCIJA ZA RAZISKOVALNO DEJAVNOST RS	1	0.121
JIANGXI PROVINCE DEPARTMENT OF EDUCATION COLLEGE OF HUMANITIES AND SOCIAL SCIENCE RESEARCH PROJECT	1	0.121
JOHN RANDOLPH HAYNES AND DORA HAYNES FOUNDATION	1	0.121
JOHN TEMPLETON FOUNDATION	1	0.121
JOINT HIGHWAY RESEARCH ADVISORY COUNCIL OF THE UNIVERSITY OF CONNECTICUT	1	0.121
KAISER PERMANENTE	1	0.121
KASKAS	1	0.121
KAVERI	1	0.121
KENT STATE URBAN DESIGN CENTER	1	0.121
KESKO	1	0.121
KEY LABORATORY OF OFFSHORE OIL EXPLORATION AND DEVELOPMENT	1	0.121
KEY PROJECT OF NATIONAL NATURE SCIENCE FOUNDATION OF CHINA NSFC	1	0.121
KEY PROJECT OF THE NATIONAL SOCIAL SCIENCE FUND ENTITLED SOCIAL STABILITY RISK ASSESSMENT OF MAJOR POLICIES AND PROJECTS	1	0.121
KEY RESEARCH AND DEVELOPMENT PROGRAM OF SHANDONG PROVINCE	1	0.121
KEY SUBJECT OF ART AND SCIENCE IN SHANDONG PROVINCE	1	0.121
KEZHEN PROGRAM OF THE INSTITUTE OF GEOGRAPHICAL SCIENCES AND NATURAL RESOURCES RESEARCH CAS	1	0.121
KOREA GOVERNMENT MEST	1	0.121
LAB OF EXCELLENCE ARBRE	1	0.121
LAND AND WATER AUSTRALIA AND THE TROPICAL RIVERS AND COASTAL KNOWLEDGE TRACK	1	0.121
LEE HYSAN FOUNDATION	1	0.121
LEVERHULME FOUNDATION	1	0.121
LEX TECH INDUSTRIES	1	0.121
LINDA AND LADDIE MONTAGUE RESEARCH FUND	1	0.121
LLOYD S REGISTER FOUNDATION A CHARITABLE FOUNDATION	1	0.121
MACARTHUR FOUNDATION	1	0.121
MADELEINE SELWYN SMITH MEMORIAL FUND	1	0.121
MAJOR STATE BASIC RESEARCH GRANT	1	0.121
MAJOR THEORETICAL AND PRACTICAL PROBLEMS OF SHAANXI SOCIAL SCIENCE PROJECTS IN 2018	1	0.121
MEDICAL MUTUAL OF OHIO CHARITABLE FOUNDATION	1	0.121
MEDICAL RESEARCH COUNCIL	1	0.121
MEDICAL RESEARCH COUNCIL UK	1	0.121
MELBOURNE CITY COUNCIL	1	0.121
MENDEL UNIVERSITY	1	0.121
MICHIGAN STATE UNIVERSITY S MSU LAND POLICY INSTITUTE	1	0.121
MINISTERO UNIVERSITA E RICERCA PRIN 2015	1	0.121
MINISTRY FOR EDUCATION SCIENCE AND TECHNOLOGICAL DEVELOPMENT OF SERBIA	1	0.121
MINISTRY OF ECONOMIC DEVELOPMENT MISE	1	0.121
MINISTRY OF EDUCATION CULTURE AND SPORTS	1	0.121
MINISTRY OF EDUCATION HIGH IMPACT RESEARCH GRANT MOE HIR	1	0.121
MINISTRY OF EDUCATION OF THE PR CHINA	1	0.121
MINISTRY OF EDUCATION SCIENCE AND TECHNOLOGICAL DEVELOPMENT OF SERBIA	1	0.121
MINISTRY OF EDUCATION YOUTH AND SPORTS	1	0.121
MINISTRY OF EDUCATION YOUTH AND SPORTS OF CR WITHIN THE NATIONAL SUSTAINABILITY PROGRAM I NPU I	1	0.121
MINISTRY OF HEALTH	1	0.121
MINISTRY OF HOUSING AND URBAN RURAL DEVELOPMENT	1	0.121
MINISTRY OF HUMAN RESOURCES DEVELOPMENT MHRD	1	0.121
MINISTRY OF SCIENCE AND ENVIRONMENTAL PROTECTION OF SERBIA	1	0.121
MINISTRY OF THE AGRICULTURE NATURE AND FOOD QUALITY IN THE NETHERLANDS	1	0.121
MINISTRY OF THE ENVIRONMENT	1	0.121
MIUR	1	0.121
MIUR PROGETTO TIDE OBIETTIVO REALIZZATIVO	1	0.121
MOTO B NWO THE NETHERLANDS ORGANISATION FOR SCIENTIFIC RESEARCH	1	0.121
MOVIUM PARTNERSKAP THE RESEARCH FUNDING ORGANISATION OF THE SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES SLU	1	0.121
MSU OBESITY INTEREST GROUP	1	0.121
MSU S COMMUNITY	1	0.121
MUNICIPAL AUTHORITY OF BAYREUTH	1	0.121
MUNICIPAL AUTHORITY OF HOF	1	0.121
MUNICIPAL AUTHORITY OF KEMPTEN	1	0.121
MUNICIPAL AUTHORITY OF MUNICH	1	0.121
MUNICIPAL AUTHORITY OF NUREMBERG	1	0.121
MUNICIPAL AUTHORITY OF WURZBURG	1	0.121
MUNICIPALITY OF LEMPAALA	1	0.121
MUNICIPALITY OF PADOVA ITALY SETTORE VERDE PARCHI GIARDINI E ARREDO URBANO	1	0.121
NARODOWY FUNDUSZ OCHRONY SRODOWISKA I GOSPODARKI WODNEJ ANG NATIONAL FUND FOR ENVIRONMENTAL PROTECTION AND WATER MANAGEMENT	1	0.121
NATION NATURE SCIENCE FOUNDATION	1	0.121
NATIONAL CENTER FOR RESEARCH RESOURCES	1	0.121
NATIONAL GRAND FUNDAMENTAL RESEARCH 973 PROGRAM OF CHINA	1	0.121
NATIONAL HEART LUNG AND BLOOD INSTITUTE	1	0.121
NATIONAL HIGH TECHNOLOGY RESEARCH AND DEVELOPMENT GRANT	1	0.121
NATIONAL HIGH TECHNOLOGY RESEARCH AND DEVELOPMENT PROGRAM OF CHINA	1	0.121
NATIONAL INSTITUTE FOR DIABETES AND DIGESTIVE AND KIDNEY DISEASES	1	0.121
NATIONAL INSTITUTE OF CHILD HEALTH AND HUMAN DEVELOPMENT	1	0.121
NATIONAL INSTITUTE OF MENTAL HEALTH INSTITUTIONAL	1	0.121
NATIONAL INSTITUTE OF NURSING RESEARCH	1	0.121
NATIONAL KEY R D PROGRAM	1	0.121
NATIONAL KEY R D PROGRAM OF CHINA	1	0.121
NATIONAL KEY RESEARCH AND DEVELOPMENT PLAN OF CHINA	1	0.121
NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA FOR YOUNG SCHOLARS NSFC	1	0.121
NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA NSCF	1	0.121
NATIONAL NATURAL SCIENCE RESEARCH FUNDING OF CHINA	1	0.121
NATIONAL NATURE SCIENCE FOUNDATION OF CHINA	1	0.121
NATIONAL RESEARCH FOUNDATION	1	0.121
NATIONAL RESEARCH FOUNDATION OF KOREA NRF KOREAN GOVERNMENT MEST	1	0.121
NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF EDUCATION	1	0.121
NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF SCIENCE ICT FUTURE PLANNING	1	0.121
NATIONAL RESEARCH FOUNDATION OF KOREA SOUTH KOREA GOVERNMENT	1	0.121
NATIONAL RESOURCE CENTER FOR AMERICAN INDIAN	1	0.121
NATIONAL RESOURCE ON NUTRITION PHYSICAL ACTIVITY AND AGING	1	0.121
NATIONAL SCIENCE AND TECHNOLOGY SUPPORT PROGRAM	1	0.121
NATIONAL SCIENCE FOUNDATION	1	0.121
NATIONAL SCIENCE FOUNDATION DISSERTATION ENHANCEMENT GRANT	1	0.121
NATIONAL SCIENCE FOUNDATION RESEARCH EXPERIENCES FOR UNDERGRADUATES PROGRAM	1	0.121
NATIONAL SCIENCE FUND FOR YOUNG SCHOLARS	1	0.121
NATIONAL SCIENTIFIC AND TECHNOLOGICAL SUPPORT DURING THE 12TH FIVE YEAR PLAN PERIOD	1	0.121
