a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_02900,Property,Land lot,Natural landscape,Grass,Nature reserve,Tree,Farm,Yard,,,Greenhouse :,@ﬁ». ST, Jun 2017
Lund_03182,Building,Mansion,Property,Estate,Landmark,House,Architecture,Palace,,,Lundagérd,""" a, Pavlo Sviatnenkc", Jun 2018
Lund_00410,Landmark,Architecture,Building,City,Town,Sky,,,,,Lund Cathedral,{j Pascal BASROGE, Jun 2018
Lund_01597,Fountain,Water,Reflecting pool,Landmark,Garden,Water feature,Botany,Botanical garden,Pond,Tree,Lundagérd ¢,ﬁ Kiryl Shantyka, Jun 2017
Lund_01499,Water,Pond,Estate,Garden,Property,Fountain,Water resources,Reflecting pool,Botany,Tree,Stadsparken 9,Daniel Klang, Jun 2014
Lund_00578,Building,Architecture,Estate,,,,,,,,Lundagérd 9,N Nick Bourne, Jun 2018
Lund_00329,Building,Estate,Property,Château,Stately home,Architecture,Palace,,,,Bantorget,3% stefanos Karidak, Jun 2017
Lund_02010,Green,Grass,Sky,Natural landscape,Tree,Land lot,,,,,Monument of the baf,Wokitty b, Jun 2017
Lund_01114,Medieval architecture,Landmark,Architecture,Building,Castle,Fortification,,,,,Lundagérd,R N Y Y EY e, Jun 2011
Lund_02664,Pole,,,,,,,,,,Nobbel6vs mosse,BB BB Beigi, Jun 2017
Lund_01144,Body of water,Waterway,Canal,River,Town,Property,Residential area,Human settlement,Bank,Neighbourhood,J. T,.}gg Genial Barani, Jun 2017
Lund_01288,Landmark,Sky,Architecture,Building,Daytime,Cathedral,Place of worship,Church,Cloud,,Lund Cathedral :,@ Jun Luo, Jun 2017
Lund_00940,Natural landscape,Body of water,Reflection,Nature,Water,Sky,Tree,River,Bank,Natural environment,Stadsparken,ﬁ Jaime Mora Salv, Jun 2018
Lund_02388,Filling station,Fuel,Gasoline,Building,Transport,,,,,,CircleK,@ Accede'To Vegar, Jun 2018
Lund_01194,Transport,Architecture,Mode of transport,Vehicle,Landmark,Building,Town,Bicycle,City,,[T T o1 T T T,ﬁ Imran Khan, Jun 2017
Lund_02740,Canopy,Tent,,,,,,,,,Klostergérdens IP,42‘ Mats Lundstrom, Jun 2017
Lund_02811,Building,Town,Town square,Human settlement,Property,City,Plaza,Public space,,,,, Jun 2018
Lund_02899,Sky,Field,Barley,Grassland,Rye,Natural environment,Plain,Grain,Prairie,Agriculture,L TR TR,\ARYIE T EEG RV ED, Jun 2018
Lund_00308,Building,Estate,Château,Property,Mansion,Palace,Stately home,Manor house,Architecture,House,Bantorget ¢,@ Kiryl Shantyka, Jun 2017
Lund_00413,Building,Landmark,Architecture,Classical architecture,Mansion,Palace,,,,,Lundagérd 8,i© martinaw, Jun 2018
Lund_02574,Team sport,Grass,Sky,,,,,,,,Klostergérdens IP,il VPN YT 1o K]0, Jun 2017
Lund_01084,Estate,Building,Mansion,Palace,Official residence,Stately home,Landmark,Property,Manor house,House,Lundagérd,0 Marijke De Jong-, Jun 2015
Lund_02013,Property,Building,House,Brick,Landmark,Roof,Brickwork,Home,Architecture,,Crafoord Auktioner i,Niklas Ljungkvist, Jun 2011
Lund_01796,Garden,Botanical garden,Natural landscape,Botany,Plant,Pond,Flower,Water,Park,Spring,Lundagérd,R ROSA TRULLOLS, Jun 2013
Lund_02024,Classical architecture,Building,Architecture,Landmark,Facade,,,,,,Lundagérd ¢,ARSIl, Jun 2018
Lund_01411,Sky,,,,,,,,,,Lundagérd,Alena Kamenova, Jun 2017
Lund_01109,Landmark,Tree,Public space,Botany,Architecture,,,,,,Lundagérd,d Mohamed Elshat, Jun 2017
Lund_02290,Body of water,Water resources,Nature,Water,Stream,Vegetation,Watercourse,Natural landscape,Riparian zone,Waterway,Rinnebiéck Gorge,",,% Daniel Nilsson", Jun 2018
Lund_00228,Landmark,Estate,Building,Château,Architecture,,,,,,Stadsparken ¢,Stadsparken ¢, Jun 2018
Lund_00972,Building,Estate,Palace,Mansion,Château,Property,Landmark,Stately home,Official residence,Architecture,Lundagérd,M Markku Latvala, Jun 2018
Lund_02201,Building,Property,Architecture,,,,,,,,(KL ETGR T ETY,Dorota Gebusia, Jun 2017
Lund_00868,Property,Estate,Building,House,Manor house,Real estate,Home,,,,Botanical Garden,a ) anna tennring, Jun 2017
Lund_01699,Fountain,Water,Water feature,,,,,,,,Stadsparken ¢,Stadsparken ¢, Jun 2018
Lund_02726,Grassland,Field,Plain,Sky,Prairie,Natural environment,Natural landscape,Paddy field,Agriculture,Grass,L TR TR,\ARYIE T EEG RV ED, Jun 2018
Lund_00766,Building,Classical architecture,Architecture,Landmark,Palace,,,,,,Lundagérd &,.:@) Mario Hiibner, Jun 2014
Lund_01969,Green,Sky,Property,House,Architecture,Building,Tree,Town,Grass,Estate,Bantorget S,I REIET T 8, Jun 2017
Lund_01910,Building,Church,Place of worship,Architecture,Parish,,,,,,Allhelgonakyrkan ¢,"@,: saad al saifi", Jun 2016
Lund_00647,Classical architecture,Building,Architecture,Landmark,Palace,,,,,,Lundagérd,Q‘* Alexandra Balab:, Jun 2014
Lund_02941,Sky,Residential area,Land lot,Cloud,Road,,,,,,Rabysjon och Raby s,S ) Senad Basic, Jun 2017
Lund_01660,Architecture,Building,,,,,,,,,Stadsparken,K Katrine Hansson, Jun 2017
Lund_01051,Body of water,Natural landscape,Nature,Reflection,Water,Water resources,Bank,River,Tree,Natural environment,Stadsparken,ﬁ Jaime Mora Salv, Jun 2018
Lund_02046,Architecture,Building,Transport,Town,,,,,,,Harrys,U André Malmgren, Jun 2018
Lund_03091,Natural landscape,Grassland,Vegetation,Natural environment,Prairie,Nature,Grass,Nature reserve,Meadow,Green,L TR TR,O ) Olexiy Avramche!, Jun 2017
Lund_01731,Classical architecture,Architecture,Building,Landmark,Facade,,,,,,Lundagérd,@ Juca Felix Galino, Jun 2016
Lund_02050,Landmark,Medieval architecture,Architecture,Building,Place of worship,Church,Steeple,Classical architecture,,,[T T o1 T T T,A  Artur Muc, Jun 2010
Lund_02731,Building,Property,,,,,,,,,ICA Supermarket Lin,“é ! Ragnar Staalgrer, Jun 2017
Lund_01988,Landmark,Architecture,Building,Medieval architecture,Place of worship,Cathedral,Gothic architecture,Classical architecture,Facade,Church,[T T o1 T T,@‘}‘; lan Tan §, Jun 2016
Lund_00756,Town,Architecture,Building,Landmark,City,Sky,Human settlement,Street,Public space,,Kulturkrogen,"{:’, Pascal BASROGE", Jun 2018
Lund_00912,Medieval architecture,Building,Architecture,Landmark,,,,,,,\/ | Vincenzo De Bert,\/ | Vincenzo De Bert, Jun 2017
Lund_03170,Natural landscape,Sky,Nature,Water,Water resources,Natural environment,River,Cloud,Grass,Tree,&) Mats Syde,&) Mats Syde, Jun 2017
Lund_00778,Landmark,Building,Estate,Mansion,Architecture,Palace,,,,,L (LT T,P ) Peter-Michael Wi, Jun 2007
Lund_03086,Building,Property,,,,,,,,,e Bjorn Davidsson,e Bjorn Davidsson, Jun 2017
Lund_01058,Building,Classical architecture,Landmark,Architecture,Property,Mansion,,,,,Lundagérd,ﬂ Bnapgumup Tutos, Jun 2016
Lund_01483,Fountain,Water feature,Water,,,,,,,,Stadsparken,Birgitta Porsbrin, Jun 2017
Lund_00385,Property,Estate,House,Building,Home,Architecture,Tree,Real estate,Residential area,,Kulturen,@ Erik Olausson, Jun 2017
Lund_02672,Lawn,Grass,Grassland,Land lot,Pasture,Grass family,Yard,,,,Killbybadet ¢,% Regnarp,Jun 2017
Lund_01906,Grassland,Sport venue,Land lot,Pasture,Grass,Plain,,,,,Sankt Hans Hill ¢,Jonas Lundin, Jun 2017
Lund_01905,Building,Property,Estate,,,,,,,,Lundagérd,@ Juca Felix Galino, Jun 2016
Lund_01582,Landmark,Architecture,Building,Town,Church,Sky,,,,,Lundagérd 9,A Anon Ymous, Jun 2017
Lund_00565,Landmark,Building,Architecture,Property,Town,Estate,,,,,Katedralskolan,% Zina Mazurkevyc, Jun 2018
Lund_00671,Building,Estate,Palace,Architecture,Mansion,Property,Landmark,Official residence,Classical architecture,Stately home,Lundagérd ¢,@ Kiryl Shantyka, Jun 2017
Lund_02816,Classical architecture,Landmark,Medieval architecture,Architecture,Building,Facade,Place of worship,Cathedral,Byzantine architecture,Sky,Lundagérd,@ Barbara O'Neal, Jun 2017
Lund_01381,Property,Building,Public space,,,,,,,,Lundagérd,& Nikola Mladenov, Jun 2011
Lund_03148,Water,Atmospheric phenomenon,Water resources,River,,,,,,,Killbybadet g,03 Daniel Kretz, Jun 2017
Lund_01390,Building,Classical architecture,Property,Architecture,Landmark,Mansion,Estate,,,,Lundagérd,ﬂ Bnapgumup Tutos, Jun 2016
Lund_00774,Building,Classical architecture,Landmark,Architecture,Property,House,Mansion,Estate,,,Lundagérd,U\ G LIEEFLE RV, Jun 2018
Lund_03132,Public space,Urban design,,,,,,,,,@ Mahmoud Chaar,@ Mahmoud Chaar, Jun 2018
Lund_02598,Sky,Natural landscape,Water,Sunset,River,Reflection,Cloud,Morning,Evening,Light,L TR TR,\ARYIE T EEG RV ED, Jun 2018
Lund_01885,Property,House,Building,Home,Town,Architecture,,,,,Kulturen,ﬁ Frida Olsson, Jun 2016
Lund_00514,Building,Landmark,Architecture,Classical architecture,Property,Palace,Estate,Mansion,House,,Lundagérd,R N Y VBT e, Jun 2011
Lund_02949,First-class cricket,Sport venue,Sky,Cloud,Grassland,Natural environment,Team sport,Grass,,,Klostergérdens IP,il VPN YV U 3o ), Jun 2018
Lund_02586,Grassland,Pasture,Natural environment,Land lot,Meadow,Prairie,Plain,Field,Natural landscape,Green,P YR,P YR, Jun 2017 I
Lund_00535,Landmark,Medieval architecture,Architecture,Building,Place of worship,Classical architecture,Facade,Church,Cathedral,Sky,LT T o1 T T,€N Juan Piema, Jun 2018
Lund_01694,Property,Estate,Building,House,Home,Mansion,Manor house,,,,Viktor Erik Jense,Viktor Erik Jense, Jun 2017
Lund_01663,Sky,Daytime,Public space,Tree,,,,,,,Stadsparken,Catalina vasquez, Jun 2018
Lund_02069,Sky,Architecture,Building,Landmark,Town,Tree,,,,,Lundagérd,Riccardo Patriarc, Jun 2016
Lund_00338,Landmark,Building,Architecture,Tree,Château,Yellow,Town,,,,Lundagérd,M Martin Jansson, Jun 2017
Lund_01903,Estate,Property,Building,House,Mansion,Architecture,Palace,Château,Tree,,Lundagérd 8,f} Filipe Naif, Jun 2018
Lund_02747,Grassland,Shooting sport,Land lot,Shooting,Recreation,Clay pigeon shooting,,,,,Lunds Pistolklubb :,@ Jonas Ezzi, Jun 2016
Lund_00974,Building,Architecture,Landmark,Church,Medieval architecture,Sky,,,,,Lundagérd,& Nicolas Brochu, Jun 2018
Lund_03038,Road,,,,,,,,,,MAX IV Laboratory,Florian Weissbac, Jun 2018
Lund_00532,Building,Estate,,,,,,,,,Lundagérd,G Goran Wangenhe, Jun 2017
Lund_01659,Architecture,Building,,,,,,,,,. TR T E,Katrine Hansson, Jun 2017
Lund_02868,Building,Classical architecture,Landmark,Architecture,Facade,Palace,,,,,Genial Barani,Genial Barani, Jun 2017
Lund_00939,Sky,Landmark,Architecture,Building,Medieval architecture,Church,Town,Place of worship,,,[T T o1 T T T,ﬁ Imran Khan, Jun 2017
Lund_02788,Tree,Green,Grass,Vegetation,Natural landscape,Plant,Woody plant,Land lot,,,R CY G LT &,{;} Alf Stenbrunn, Jun 2017
Lund_02278,Natural landscape,Body of water,Nature,Water,Bank,River,Tree,Vegetation,Natural environment,Nature reserve,Nobbel6vs mosse,Bjorn Dilton, Jun 2018
