a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_00062,Estate,Building,Mansion,Property,Palace,Stately home,Architecture,House,Sky,Official residence,Lund,"lfg, Ralil Menéndez", Sep 2008
Lund_01061,House,Tree,Building,Architecture,Palace,Estate,Château,Mansion,,,Lundagérd 9,i\ Bengt Jiirs, Sep 2013
Lund_02674,Sky,Natural landscape,Plain,Natural environment,Grassland,Cloud,Wilderness,Hill,Prairie,Field,Klosteréingshdjden,@ Ragnar Staalgrer, Sep 2017
Lund_02657,Sky,Cloud,Architecture,Natural environment,Daytime,Grass,Water,,,,MAX IV Laboratory,‘ John Eckerdal, Sep 2018
Lund_01376,Property,Building,Architecture,Estate,Stately home,Mansion,House,,,,Gamla Biskopshuset,f@: Mister No, Sep 2017
Lund_02494,Goal,Sky,Sport venue,Cloud,Atmosphere,Grass,,,,,Klostergérdens IP,Florian Weissbac, Sep 2018
Lund_02809,Landmark,Palace,Building,Estate,Mansion,Property,Classical architecture,Architecture,House,Stately home,FLELLA T RO TY,9 Nattawat Palaka, Sep 2007
Lund_00903,Building,Landmark,Property,Estate,Architecture,Mansion,Palace,Classical architecture,,,Lundagérd 9,.@ UIf Larsson, Sep 2018
Lund_01016,Natural landscape,Body of water,Nature,Water resources,Natural environment,Water,Sky,Pond,Bank,Nature reserve,Fredentorps Begravn,6 IR DL, Sep 2016
Lund_02226,Vegetation,Natural landscape,Hill,Highland,Biome,,,,,,Rinnebick Gorge,Florian Weissbac, Sep 2017
Lund_02621,Building,Property,,,,,,,,,ICA Supermarket Lin,[ETERTG RG], Sep 2017
Lund_00502,Property,House,Estate,Home,Building,Grass,Architecture,,,,Stadsparken c,% Melissa lisley, Sep 2017
Lund_01326,Landmark,Monument,Memorial,Sky,,,,,,,Monument Slaget vic,david stuart, Sep 2018
Lund_00389,Landmark,Building,Property,Estate,Palace,Stately home,Architecture,Classical architecture,Mansion,,Lundagérd 9,RY Rafal Kruk, Sep 2014
Lund_02752,Pasture,Field,Land lot,Natural landscape,Grassland,Natural environment,Sky,Grass,Plain,Soil,Nobbelbvs mosse,Q Peter Nordensva, Sep 2016
Lund_01861,Swan,Bird,Water bird,Pond,Bank,"Ducks, geese and swans",Waterway,Water resources,Waterfowl,Water,Stadsparken :,Mr.Roman Lak, Sep 2016
Lund_01221,Sport venue,Grassland,Land lot,Natural landscape,Grass,Golf course,Plain,,,,R0 EL TG Y,gé Varij A Ekelund, Sep 2017
Lund_02033,Natural landscape,Nature,Green,Vegetation,Sky,Tree,Water,Highland,Grass,Nature reserve,Rinnebick Gorge,Peter Vang Chris, Sep 2010
Lund_03187,Landmark,Architecture,Building,Winter,Sky,Town,City,Public space,,,Lundagérd,Adrian Popescu, Sep 2016
Lund_01172,Building,Architecture,Landmark,Medieval architecture,Classical architecture,Cathedral,Facade,,,,Lund Cathedral,E ) Edwin Meulman, Sep 2017
Lund_01589,Nature,Garden,Sky,Grass,Tree,Property,Natural landscape,Lawn,Botany,Grass family,Botanical Garden,Mikael Sandstror, Sep 2017
Lund_01732,Building,Landmark,Town,Human settlement,City,Public space,,,,,Lundagérd,Aleksandra Déag, Sep 2017
Lund_02280,Natural landscape,Natural environment,Nature,Grassland,Nature reserve,Vegetation,Marsh,Pasture,Wetland,Land lot,Nobbel6vs mosse,Lilja Skéld, Sep 2016
Lund_02792,Landmark,Architecture,Building,Night,Sky,Light,Lighting,,,,f.s Meghnath Saha,f.s Meghnath Saha, Sep 2016
Lund_00620,Town,Building,Property,Public space,Human settlement,House,City,,,,",u:, NG T LN",",u:, NG T LN", Sep 2017
Lund_02957,Body of water,Water,Water resources,Watercourse,Stream,Rock,Natural landscape,Stream bed,Creek,Boulder,Rinnebick Gorge,é ) Peter Vang Chris, Sep 2010
Lund_01020,Monument,Landmark,Memorial,Historic site,,,,,,,Sankt Hans Hill,Q KHADIJA SAIDI, Sep 2018
Lund_00626,Building,Estate,Classical architecture,Mansion,Palace,Architecture,Stately home,Official residence,,,Lundagérd,ﬂ Dimitri Claerbout, Sep 2016
Lund_02483,Building,,,,,,,,,,Netto,» & E R Ry, Sep 2016
Lund_00011,Building,Estate,Mansion,Landmark,Palace,Property,Architecture,Classical architecture,Stately home,Château,@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
Lund_02285,Vehicle,Car,Transport,Building,Car dealership,,,,,,Christian Ekstran,Christian Ekstran, Sep 2016
Lund_02624,Grassland,Natural landscape,Land lot,Field,Natural environment,Grass,Vegetation,Plain,Pasture,Prairie,Klosteréngshojden,Q Peter Nordensva, Sep 2016
Lund_00625,Estate,Building,Mansion,Property,Palace,Stately home,Manor house,Château,House,Official residence,[T T VT,@ Adrian Popescu, Sep 2016
Lund_02578,Water,Natural environment,Water resources,Sky,,,,,,,Rabysjon och Raby s,g ) Ulrik Ivarsson, Sep 2016
Lund_01959,Tree,Building,Sky,Architecture,House,,,,,,Lundagérd,ER R, Sep 2017
Lund_02163,Property,House,Building,Home,Architecture,,,,,,,, Sep 2017
Lund_00606,Landmark,Architecture,Building,Medieval architecture,Sky,Church,Classical architecture,,,,Lund Cathedral,(Q 7 Paulina Belenitsk, Sep 2018
Lund_00368,Building,Architecture,City,Landmark,Town,Human settlement,Sky,Public space,,,[T T o1 T T T,&: Sayel Cortes, Sep 2018
Lund_01219,Building,Palace,Property,Classical architecture,Architecture,Estate,Mansion,,,,Bangatan :,Sosoanjel Nan, Sep 2017
Lund_01200,Fountain,Water,Garden,Water feature,Sky,Water resources,Botany,,,,Stadsparken,Athanasios Simo, Sep 2018
Lund_01759,Metropolitan area,Transport,Urban area,Residential area,Architecture,City,Urban design,Human settlement,Bicycle,Neighbourhood,L E N ERTL T T,Bertil Magnussol, Sep 2006
Lund_00420,Estate,Building,Property,Mansion,Palace,House,Official residence,Château,Stately home,Architecture,Lundagérd 8,4 ) ZKhaleel, Sep 2016
Lund_02095,Landmark,Medieval architecture,Architecture,Building,Town,Historic site,Wall,Sky,Facade,,[T L He G B T,(é 7 Paulina Belenitsk, Sep 2018
Lund_02550,Natural landscape,Pasture,Land lot,Vegetation,Natural environment,Nature reserve,Grassland,Tree,Grass,Meadow,Nobbelbvs mosse,Q Peter Nordensva, Sep 2016
Lund_01271,Classical architecture,Architecture,Landmark,Building,Facade,,,,,,Lundagérd,Maria del Carme!, Sep 2016
Lund_02212,Water resources,Water,Watercourse,Waterway,Natural landscape,Geological phenomenon,Biome,Nature reserve,Stream,Riparian zone,Tidig host.,G VC:ENEE, Sep 2017
Lund_01214,Property,Building,Residential area,Public space,Architecture,Botany,Neighbourhood,House,,,Lundagérd 9,P Pulak Barua, Sep 2017
Lund_01095,Estate,Building,Property,Mansion,Palace,House,Architecture,Stately home,,,Lundagérd 9,P Ly, Sep 2013
Lund_02416,Grass,Green,Sport venue,Artificial turf,Public space,,,,,,Fossilparken,] y Tommy Garting, Sep 2018
Lund_01730,Water,Water resources,Pond,Reflecting pool,Fish pond,Reservoir,Lake,Reflection,,,Killbybadet,Aleksander Szyci, Sep 2018
Lund_02615,Body of water,Water resources,Natural landscape,Water,Nature,Reflection,River,Sky,Natural environment,Reservoir,Nobbelbvs mosse,f }l’ Gunilla Svartengi, Sep 2016
Lund_00073,Landmark,Architecture,Building,Medieval architecture,Tower,Tree,,,,,@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
Lund_00187,Building,Landmark,Architecture,Sky,Property,Town,Urban area,Brick,House,,Magle Konserthus,@ Hans Jirgen Klai, Sep 2018
Lund_02814,Landmark,Medieval architecture,Architecture,Building,Sky,Spire,Church,Steeple,Place of worship,Town,[T L He 1 BT,9 EEELIRIN, Sep 2013
Lund_01436,Property,Building,Estate,Town,House,Architecture,,,,,Kulturen,Renee Petterssot, Sep 2017
Lund_02231,Natural landscape,Garden,Grass,Tree,Green,Property,Lawn,Sky,Shrub,Land lot,Fredentorps Begravn,6 IR DL, Sep 2016
Lund_00655,Estate,Building,Landmark,Mansion,Property,Palace,Château,Classical architecture,Architecture,Stately home,Historiska museet vi,@ Hans Jirgen Klai, Sep 2018
Lund_01176,Landmark,Architecture,Classical architecture,Building,Palace,,,,,,Lundagérd 9,dimitar vitev, Sep 2016
Lund_02725,Natural landscape,Grassland,Vegetation,Natural environment,Nature reserve,Pasture,Shrubland,Grass,Plant community,Meadow,Killbybadet,:) Anna Honkanen, Sep 2017
Lund_00012,Property,Building,Architecture,House,Town,,,,,,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
Lund_00319,Estate,Building,Mansion,Property,Palace,Landmark,Stately home,Architecture,House,Château,Lundagérd,ke Elayan Abu Gharl, Sep 2014
Lund_01415,,,,,,,,,,,Lundagérd 9,~ 9 JanosKiss, Sep 2018
Lund_00880,Architecture,Building,Classical architecture,Landmark,Facade,,,,,,LTI G T,f@: Mister No, Sep 2017
Lund_00918,Building,House,Property,Estate,Architecture,Mansion,,,,,Lundagérd,@ ST EE ), Sep 2007
Lund_00438,Landmark,Building,Estate,Water,Reflecting pool,Architecture,Mansion,Reflection,Palace,,Lundagérd,3 .> Ole Dahlmann-H:, Sep 2016
Lund_00503,Building,Estate,Mansion,Landmark,Property,House,Architecture,Classical architecture,Palace,,Universitetshuset,B BRF Havslaxen, Sep 2007
Lund_01853,Estate,Property,Building,Mansion,,,,,,,Lundagérd 9,Jeroen Klijs, Sep 2017
Lund_00577,Estate,Mansion,Building,Stately home,Property,Palace,Architecture,,,,Lundagérd 9,N> Noelia Vilalta, Sep 2017
Lund_01052,Building,Architecture,Church,Landmark,Place of worship,Medieval architecture,Parish,,,,Lundagérd,@ Ibrahim Akkash, Sep 2016
Lund_02839,Building,Property,Architecture,Estate,,,,,,,Lund Cathedral,C Carl O. Thygesen, Sep 2017
Lund_01127,Landmark,Building,Mansion,Estate,Property,Sky,Architecture,House,Palace,,Lundagérd 9,3‘ Joe Bunting, Sep 2017
Lund_02440,Building,Transport,Architecture,Sky,,,,,,,,, Sep 2017
Lund_01387,Landmark,Building,Architecture,Mansion,Estate,Palace,Stately home,Official residence,,,Lundagérd,Lundagérd, Sep 2017
Lund_00305,Estate,Building,Property,Mansion,Landmark,Classical architecture,Palace,Stately home,Architecture,Official residence,University Hall audit,:Tﬁ Guillermo Fronte, Sep 2018
Lund_01517,Estate,Building,Mansion,Palace,Property,Château,Stately home,Manor house,Castle,,Lundagérd 9,Piyush Goyal, Sep 2018
Lund_00855,Building,,,,,,,,,,Stortorget 3,Stortorget 3, Sep 2017
Lund_02697,Property,Building,,,,,,,,,0spAB Plant Departr,D Day Time, Sep 2018
Lund_02292,Body of water,Water resources,Stream,Riparian zone,Watercourse,Nature,Waterway,Bank,River,Natural landscape,Rinnebick Gorge 2,M Maria Tracz, Sep 2016
Lund_01820,Landmark,Building,Mansion,Estate,Architecture,Sky,Property,Palace,Stately home,Tree,[T T VT,(é 7 Paulina Belenitsk, Sep 2018
Lund_02845,Building,Estate,Palace,Mansion,Property,Official residence,Château,Stately home,,,Lundagérd 9,Lundagérd 9, Sep 2017
Lund_02922,Body of water,Bank,Natural landscape,Nature,Vegetation,River,Nature reserve,Waterway,Natural environment,Water,Nobbelbvs mosse,Q Peter Nordensva, Sep 2016
Lund_00348,Building,Medieval architecture,Architecture,,,,,,,,Lundagérd 9,P Pulak Barua, Sep 2017
Lund_01430,Sky,Building,Architecture,Landmark,Property,Cloud,Estate,Town,Palace,House,Lundagérd,4{3’ Diego Reyes Gon, Sep 2017
Lund_01278,Building,Property,Estate,Town,Architecture,Human settlement,City,Public space,,,University Library,fﬂr: BN, Sep 2017
Lund_00513,Estate,Building,Property,Mansion,Landmark,Stately home,Palace,Architecture,House,,[T T VT,@ Adrian Popescu, Sep 2016
Lund_01265,Building,House,Property,Estate,Mansion,Architecture,,,,,Lundagérd,@ ST EE ), Sep 2007
Lund_00444,Palace,Estate,Building,Mansion,Landmark,Stately home,Official residence,,,,Lundsuniversitet Vit:,%\ andres palomino, Sep 2017
Lund_01859,Monument,Landmark,Grass,,,,,,,,Monument Slaget vic,david stuart, Sep 2018
Lund_00408,Building,Landmark,Estate,Architecture,Classical architecture,Property,Mansion,Palace,,,LTI G T,f@: Mister No, Sep 2017
Lund_02414,Town,Building,Property,Human settlement,Neighbourhood,City,Street,Mixed-use,,,Lundagérd g,“.3 Florian Lang, Sep 2011
Lund_02114,Medieval architecture,Building,Landmark,Architecture,Historic site,,,,,,[T L He 1 BT,. EECIen, Sep 2017
Lund_03198,Architecture,Building,Landmark,Medieval architecture,Cathedral,Place of worship,Gothic architecture,Church,,,[T T o1 T T T,Piyush Goyal, Sep 2018
Lund_01929,Building,Architecture,Property,Landmark,Facade,Town,Stately home,House,,,Grand Hotel Lund,3 Martin Solari, Sep 2012
Lund_01745,Property,Estate,House,Building,Home,Mansion,Manor house,,,,Botanical Garden,Alicja Lewandow, Sep 2017
Lund_01334,Building,Palace,Property,Classical architecture,Architecture,Estate,Mansion,,,,Lundagérd |,RS R, Sep 2017
Lund_01883,Medieval architecture,Building,Architecture,Landmark,Church,Place of worship,,,,,Lundagérd,Sai Prathyusha K, Sep 2017
Lund_01190,Landmark,Building,Architecture,Medieval architecture,,,,,,,[T T BT T T,f@: Mister No, Sep 2017
Lund_00805,Building,Property,Landmark,Estate,Architecture,Mansion,Palace,Stately home,,,Lundagard ¢,e; P, Sep 2018
Lund_02180,Fountain,Grass,Park,Public space,Water feature,Water,,,,,Stadsparken g,Stadsparken g, Sep 2017
Lund_01509,Garden,Botanical garden,Tree,Natural landscape,Plant,Botany,Park,Spring,,,Stadsparken,Patrik Ganhagen, Sep 2016
Lund_01674,Landmark,Medieval architecture,Architecture,Building,Place of worship,Sky,Church,Cathedral,Gothic architecture,Steeple,[T T e T T T,g ISR e, Sep 2018
Lund_01641,Estate,Building,Property,Mansion,Landmark,Palace,Château,Stately home,,,Lundagérd 9,dimitar vitev, Sep 2016
Lund_00166,Street,Alley,Road,Neighbourhood,Town,Lane,Urban area,Infrastructure,Human settlement,Building,e Saadiyah Darus,e Saadiyah Darus, Sep 2009
Lund_01682,Building,Architecture,Medieval architecture,Landmark,Place of worship,Church,,,,,[T L He 1 BT,. EECIen, Sep 2017
Lund_00284,Building,Estate,Property,Architecture,House,Landmark,Mansion,Official residence,,,Botanical Garden,@ Hans Jirgen Klai, Sep 2018
Lund_00744,Estate,Building,Mansion,Landmark,Property,Palace,Architecture,Stately home,Château,House,[T T VT,@ Adrian Popescu, Sep 2016
Lund_01092,Landmark,Building,Mansion,Estate,Property,Architecture,House,Sky,,,Lundagérd H,"«’l‘é‘f"" ARG Y", Sep 2016
Lund_02544,Architecture,Property,Building,Facade,Arch,,,,,,Stora Raby Kyrka,"',& Meta Larsson", Sep 2018
Lund_01054,Natural landscape,Nature,Sky,Water,Reflection,Natural environment,Vegetation,Green,Nature reserve,Cloud,Autumn flood at the,\ ) Anna Honkanen, Sep 2017
Lund_00901,Building,Property,Castle,Estate,Château,Stately home,,,,,Lundagérd ¢,.y t, Sep 2017
Lund_01122,Classical architecture,Landmark,Building,Architecture,Palace,Facade,Sky,,,,3 Martin Solari,3 Martin Solari, Sep 2012
Lund_00497,Landmark,Building,Architecture,Sky,City,Town,Human settlement,Facade,,,Lund Cathedral ¢,Y U E T 7, Sep 2018
Lund_02132,Landmark,Sky,Tower,Town,Architecture,Building,Steeple,,,,Lund Cathedral ¢,M Mirek Bartyzel, Sep 2018
Lund_01465,Building,Natural landscape,Architecture,House,Grass,Estate,,,,,Lundagérd,Sapkaris Nikolao, Sep 2018
Lund_02104,Property,House,Green,Estate,Building,Home,Cottage,,,,Botanical Garden,@ Hans Jirgen Klai, Sep 2018
Lund_00822,Body of water,Reflection,Water,Nature,Waterway,Natural landscape,Tree,Bank,Canal,River,Botanical Garden,1“{ ) Danijel O'Rourke, Sep 2016
Lund_02756,Pasture,Grazing,Bovine,,,,,,,,Nobbel6vs mosse,M Maria Tracz, Sep 2017
Lund_01879,Building,Medieval architecture,Landmark,Architecture,Church,Place of worship,Wall,Arch,Cathedral,,[T T o1 11 T,Logan Leske, Sep 2017
Lund_02266,Water resources,Body of water,Waterway,Stream,Watercourse,Bank,Water,Stream bed,Riparian zone,Arroyo,Rinnebick Gorge 2,Maria Tracz, Sep 2016
Lund_01484,Garden,Nature,Sky,Botanical garden,Natural landscape,Grass,Lawn,Botany,Wilderness,Tree,Stadsparken,Ingibjérg Magnui, Sep 2016
Lund_00540,Building,Estate,Palace,Mansion,Property,Stately home,Château,,,,Lundagérd,[ BRI TS, Sep 2016
Lund_02075,Building,Landmark,Architecture,Town,,,,,,,Akademiska Forenin,Akademiska Forenin, Sep 2018
Lund_00628,Building,Property,Estate,Human settlement,Town,City,Public space,Architecture,,,Lundagérd 9,P Pulak Barua, Sep 2017
Lund_00191,Landmark,Architecture,Medieval architecture,Night,Building,Sky,Place of worship,Church,Facade,,fbs Meghnath Saha,fbs Meghnath Saha, Sep 2016
Lund_01354,Medieval architecture,Architecture,Landmark,Building,Classical architecture,Place of worship,Historic site,Cathedral,Facade,Byzantine architecture,Per Tutti Glasscafé,Anne-Charlotte J, Sep 2017
Lund_02085,Natural landscape,Nature,Body of water,Reflection,Tree,Leaf,Natural environment,Pond,Vegetation,Bank,Botanical Garden,Niaz Haq, Sep 2018
Lund_02806,Landmark,Architecture,Building,Sky,Classical architecture,Medieval architecture,Place of worship,Church,,,[T T VT,@ Adrian Popescu, Sep 2016
Lund_02286,Water,Sky,Natural environment,Wilderness,Water resources,River,Cloud,Vacation,,,Adam Matias Ho,Adam Matias Ho, Sep 2017
Lund_01638,Building,Architecture,Medieval architecture,Landmark,Place of worship,Church,,,,,[T L He 1 BT,. EECIen, Sep 2017
Lund_02722,Tree,Grass,Sky,Natural landscape,Natural environment,Pasture,,,,,Fredentorps Begravr,6 IR DL, Sep 2016
Lund_02854,,,,,,,,,,,Lundagérd 9,L 1T T, Sep 2013
Lund_01467,,,,,,,,,,,Lundagérd,‘a Sapkaris Nikolao, Sep 2018
Lund_02171,Landmark,Architecture,Medieval architecture,Building,Historic site,,,,,,Lundagérd,&;‘ Mirja Markkula, Sep 2017
Lund_01086,Medieval architecture,Architecture,Building,Landmark,Place of worship,Classical architecture,Church,,,,[T L He 1 BT,. EECIen, Sep 2017
Lund_00682,Estate,Building,Landmark,Mansion,Palace,Architecture,Water,,,,Lundagérd,ﬂ Dimitri Claerbout, Sep 2016
Lund_01671,Daytime,Sky,,,,,,,,,Fossilparken,Amanda Janse, Sep 2017
Lund_02330,Sky,Cloud,Daytime,Natural landscape,Natural environment,Horizon,Plain,,,,Klosteréingshdjden,Ragnar Staalgrer, Sep 2017
Lund_03155,Sky,Green,Grassland,Cloud,Land lot,Pasture,Grass,Rural area,,,Rinnebick Gorge 2,Maria Tracz, Sep 2016
Lund_00097,Neighbourhood,Property,Town,Guard rail,Building,Public space,Tree,,,,e Saadiyah Darus,e Saadiyah Darus, Sep 2009
Lund_02136,Landmark,Sky,Architecture,Building,Urban area,Town,,,,,Lundagérd,Danijel O'Rourke, Sep 2016
Lund_03142,Bovine,Pasture,Bank,Waterway,Rural area,Water resources,Grass,Field,Working animal,,ﬁ*j Chrispmusik,ﬁ*j Chrispmusik, Sep 2017
Lund_00027,Building,,,,,,,,,,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
Lund_01091,Water,Architecture,Sky,Botany,,,,,,,Lundagérd 9,L 1T T, Sep 2013
Lund_00455,Property,Building,Public space,Architecture,,,,,,,Lundagérd,“’ Adrian Popescu, Sep 2016
Lund_00889,Medieval architecture,Landmark,Building,Town,Historic site,Architecture,Sky,Human settlement,City,,Lundagérd,prashant singh, Sep 2018
Lund_01080,Medieval architecture,Architecture,Building,Landmark,Place of worship,Classical architecture,Church,,,,[T L He 1 BT,. EECIen, Sep 2017
Lund_01972,Steeple,Landmark,Building,Church,Spire,Architecture,Place of worship,,,,[T G VT T BT,YR REERS L, Sep 2016
Lund_01958,Landmark,Vehicle,Architecture,Town,Building,Car,,,,,Lund Cathedral ¢,Reine Himmer, Sep 2017
Lund_00016,Vegetation,Tree,Botany,Garden,Palm tree,,,,,,Botanical Garden,@ Hans Jirgen Klai, Sep 2018
Lund_02166,Building,,,,,,,,,,Scandic Star Lund,{l i ) Peter Simon, Sep 2017
Lund_01601,Building,Architecture,Landmark,Medieval architecture,,,,,,,LT T o1 T T T,sasan fallahi, Sep 2016
Lund_01750,Property,Transport,Architecture,Town,Building,House,Neighbourhood,Human settlement,,,Lundagérd 9,.@ UIf Larsson, Sep 2018
Lund_02219,Property,Estate,Building,House,Home,Manor house,Mansion,,,,Botanical Garden 2,Ana Ragazzi, Sep 2018
