a,word,n_w
[English],municipality,1
[English],outdoor,1
[English],parcour,1
[English],parcours,1
[English],party,1
[English],pass,1
[English],performance,1
[English],period,1
[English],picknick,1
[English],playing,1
[English],please,1
[English],plenty,1
[English],police,1
[English],regime,1
[English],region,1
[English],relax,1
[English],research,1
[English],resident,1
[English],rest,1
[English],s,1
[English],size,1
[English],skate,1
[English],slack,1
[English],sleep,1
[English],snack,1
[English],snd,1
[English],something,1
[English],son,1
[English],squirral,1
[English],stadsparken,1
[English],staffed,1
[English],stage,1
[English],station,1
[English],style,1
[English],sun,1
[English],sunday,1
[English],sunshine,1
[English],swimming,1
[English],system,1
[English],toilet,1
[English],tournament,1
[English],train,1
[English],training,1
[English],university,1
[English],villeyball,1
[English],visiting,1
[English],volleyball,1
[English],walking,1
[English],wardrobe,1
[English],warmer,1
[English],weeknight,1
[English],well,1
[English],wine,1
[English],work,1
[English],world,1
[German],durch,2
[German],ausgebauter,1
[German],besticht,1
[German],diverser,1
[German],eine,1
[German],einen,1
[German],gro?e,1
[German],gut,1
[German],seine,1
[German],sowie,1
[Polish],calkowicie,1
[Polish],czy,1
[Polish],dla,1
[Polish],gesi,1
[Polish],jakie?,1
[Polish],jest,1
[Polish],kaczek,1
[Polish],mew,1
[Polish],mie?,1
[Polish],nawet,1
[Polish],oswojonych,1
[Polish],park,1
[Polish],place,1
[Polish],pomniki,1
[Polish],smako?yki,1
[Polish],?wietny,1
[Portuguese],para,3
[Portuguese],e,2
[Portuguese],bem,1
[Portuguese],caminhada,1
[Portuguese],cidade,1
[Portuguese],como,1
[Portuguese],cuidado,1
[Portuguese],da,1
[Portuguese],durante,1
[Portuguese],eventos,1
[Portuguese],festivais,1
[Portuguese],grande,1
[Portuguese],ocorrem,1
[Portuguese],os,1
[Portuguese],ou,1
[Portuguese],passeio,1
[Portuguese],relaxar,1
[Portuguese],uma,1
[Spanish],grande,2
[Spanish],muy,2
[Spanish],para,2
[Spanish],parque,2
[Spanish],aproximadamente,1
[Spanish],centro,1
[Spanish],cerca,1
[Spanish],conoc?,1
[Spanish],correr,1
[Spanish],cuidado,1
[Spanish],del,1
[Spanish],d?as,1
[Spanish],el,1
[Spanish],etc,1
[Spanish],lindo,1
[Spanish],mismo,1
[Spanish],preciosos,1
[Spanish],sitio,1
[Spanish],sol,1
[Spanish],soleados,1
[Spanish],s?lo,1
[Spanish],tercio,1
[Spanish],toda,1
[Spanish],tomar,1
[Spanish],y,1
[Swedish],och,46
[Swedish],i,35
[Swedish],att,20
[Swedish],f?r,20
[Swedish],park,20
[Swedish],eller,15
[Swedish],p?,14
[Swedish],som,14
[Swedish],av,13
[Swedish],barn,13
[Swedish],alla,12
[Swedish],har,12
[Swedish],man,11
[Swedish],kan,10
[Swedish],runt,9
[Swedish],stor,9
[Swedish],finns,8
[Swedish],bra,7
[Swedish],fin,7
[Swedish],strosa,7
[Swedish],bara,6
[Swedish],mycket,6
[Swedish],vacker,6
[Swedish],allt,5
[Swedish],barnen,5
[Swedish],ett,5
[Swedish],h?rlig,5
[Swedish],till,5
[Swedish],boule,4
[Swedish],b?de,4
[Swedish],det,4
[Swedish],d?r,4
[Swedish],f?,4
[Swedish],g?,4
[Swedish],lekpark,4
[Swedish],sitta,4
[Swedish],s?,4
[Swedish],titta,4
[Swedish],trevlig,4
[Swedish],var,4
[Swedish],v?lsk?tt,4
[Swedish],ankor,3
[Swedish],bes?k,3
[Swedish],blommor,3
[Swedish],damm,3
[Swedish],du,3
[Swedish],gr?nytor,3
[Swedish],g?ra,3
[Swedish],ha,3
[Swedish],h?r,3
[Swedish],inte,3
[Swedish],m?nga,3
[Swedish],passar,3
[Swedish],perfekt,3
[Swedish],samt,3
[Swedish],stadspark,3
[Swedish],stora,3
[Swedish],ta,3
[Swedish],verkligen,3
[Swedish],v?l,3
[Swedish],aktivitet,2
[Swedish],alltid,2
[Swedish],bes?kare,2
[Swedish],caf?,2
[Swedish],dag,2
[Swedish],dammar,2
[Swedish],del,2
[Swedish],den,2
[Swedish],d?,2
[Swedish],efter,2
[Swedish],folk,2
[Swedish],font?n,2
[Swedish],font?ner,2
[Swedish],framf?r,2
[Swedish],fr?n,2
[Swedish],f?glarna,2
[Swedish],gr?smattor,2
[Swedish],gr?sytor,2
[Swedish],hela,2
[Swedish],jag,2
[Swedish],j?ttefin,2
[Swedish],leker,2
[Swedish],lilla,2
[Swedish],lugn,2
[Swedish],lyssna,2
[Swedish],massor,2
[Swedish],mata,2
[Swedish],milj?,2
[Swedish],mitt,2
[Swedish],motionera,2
[Swedish],m?nniskor,2
[Swedish],m?ste,2
[Swedish],n?gra,2
[Swedish],oas,2
[Swedish],picknick,2
[Swedish],planteringar,2
[Swedish],platsen,2
[Swedish],rogivande,2
[Swedish],sp?nnande,2
[Swedish],s?tt,2
[Swedish],trevliga,2
[Swedish],varit,2
[Swedish],varmt,2
[Swedish],vi,2
[Swedish],v?xter,2
[Swedish],ad,1
[Swedish],aktiviteter,1
[Swedish],allm?nhet,1
[Swedish],ankorna,1
[Swedish],april,1
[Swedish],arter,1
[Swedish],attraktiv,1
[Swedish],avkopplande,1
[Swedish],bana,1
[Swedish],barnbarn,1
[Swedish],barnfamiljerna,1
[Swedish],beachhandbollsplan,1
[Swedish],beachvolleybollplan,1
[Swedish],behaglig,1
[Swedish],bel?gen,1
[Swedish],beroende,1
[Swedish],bes?kt,1
[Swedish],bjuder,1
[Swedish],blivit,1
[Swedish],blomster,1
[Swedish],blomsterplanteringar,1
[Swedish],br?d,1
[Swedish],b?sta,1
[Swedish],caf?e,1
[Swedish],caf?er,1
[Swedish],caf?et,1
[Swedish],centralen,1
[Swedish],centralt,1
[Swedish],city,1
[Swedish],cykeln,1
[Swedish],delen,1
[Swedish],denna,1
[Swedish],dig,1
[Swedish],din,1
[Swedish],dock,1
[Swedish],dom,1
[Swedish],dricka,1
[Swedish],d?lig,1
[Swedish],ensam,1
[Swedish],er,1
[Swedish],familjen,1
[Swedish],fantastiskt,1
[Swedish],festande,1
[Swedish],fester,1
[Swedish],fina,1
[Swedish],finner,1
[Swedish],fint,1
[Swedish],firar,1
[Swedish],flera,1
[Swedish],frid,1
[Swedish],fridfull,1
[Swedish],f?gelarter,1
[Swedish],f?gelungar,1
[Swedish],f?gelvolj?rer,1
[Swedish],f?glar,1
[Swedish],f?rr?n,1
[Swedish],f?rs?kt,1
[Swedish],gamla,1
[Swedish],ganska,1
[Swedish],gick,1
[Swedish],gigantisk,1
[Swedish],glass,1
[Swedish],gott,1
[Swedish],grillar,1
[Swedish],grusg?ngar,1
[Swedish],grym,1
[Swedish],gr?smatta,1
[Swedish],gr?nomr?de,1
[Swedish],guldfiskar,1
[Swedish],gym,1
[Swedish],g?ng,1
[Swedish],harmoniskt,1
[Swedish],hel,1
[Swedish],helt,1
[Swedish],hur,1
[Swedish],hus,1
[Swedish],h?nga,1
[Swedish],h?ngmattor,1
[Swedish],h?ll,1
[Swedish],h?rt,1
[Swedish],ifr?n,1
[Swedish],imponerande,1
[Swedish],ja,1
[Swedish],joggare,1
[Swedish],kaf?et,1
[Swedish],karparna,1
[Swedish],kiosker,1
[Swedish],kl?tter,1
[Swedish],kl?tterst?llningar,1
[Swedish],kl?tterv?g,1
[Swedish],kl?tterv?gg,1
[Swedish],konstverk,1
[Swedish],koppla,1
[Swedish],kort,1
[Swedish],kul,1
[Swedish],k?nsla,1
[Swedish],leka,1
[Swedish],lekfullt,1
[Swedish],lekm?jligheter,1
[Swedish],lekplatser,1
[Swedish],levande,1
[Swedish],ligga,1
[Swedish],lite,1
[Swedish],lokal,1
[Swedish],lunch,1
[Swedish],lyckat,1
[Swedish],lystm?te,1
[Swedish],l?ge,1
[Swedish],l?ngt,1
[Swedish],l?prundan,1
[Swedish],magisk,1
[Swedish],mat,1
[Swedish],medtag,1
[Swedish],milj?n,1
[Swedish],mindre,1
[Swedish],minigolf,1
[Swedish],minnesv?rd,1
[Swedish],minuter,1
[Swedish],missa,1
[Swedish],motion,1
[Swedish],musik,1
[Swedish],myllrar,1
[Swedish],m?ngder,1
[Swedish],m?rkt,1
[Swedish],m?ngfald,1
[Swedish],m?jligheter,1
[Swedish],natur,1
[Swedish],nu,1
[Swedish],nyare,1
[Swedish],n?ra,1
[Swedish],o,1
[Swedish],ofta,1
[Swedish],om,1
[Swedish],omgivningar,1
[Swedish],paret,1
[Swedish],parkanl?ggningar,1
[Swedish],passade,1
[Swedish],perfekta,1
[Swedish],pic,1
[Swedish],planer,1
[Swedish],planteringarna,1
[Swedish],plaska,1
[Swedish],platser,1
[Swedish],priser,1
[Swedish],promenad,1
[Swedish],promenader,1
[Swedish],promenadstr?k,1
[Swedish],promenera,1
[Swedish],putsas,1
[Swedish],p?minner,1
[Swedish],redskap,1
[Swedish],rej?l,1
[Swedish],rej?la,1
[Swedish],rekommendera,1
[Swedish],rekommenderad,1
[Swedish],relaxerande,1
[Swedish],renoverade,1
[Swedish],restauranger,1
[Swedish],resturangen,1
[Swedish],riktigt,1
[Swedish],rint,1
[Swedish],roar,1
[Swedish],rosenplanteringar,1
[Swedish],rutschkanor,1
[Swedish],r?tt,1
[Swedish],saker,1
[Swedish],saknar,1
[Swedish],saknas,1
[Swedish],scen,1
[Swedish],scenen,1
[Swedish],sedan,1
[Swedish],sen,1
[Swedish],service,1
[Swedish],sig,1
[Swedish],simmar,1
[Swedish],siste,1
[Swedish],sitt,1
[Swedish],skatebana,1
[Swedish],skateboard,1
[Swedish],skateboardramp,1
[Swedish],skateramp,1
[Swedish],skejta,1
[Swedish],skejtar,1
[Swedish],skulle,1
[Swedish],sk?ljer,1
[Swedish],sk?n,1
[Swedish],slappna,1
[Swedish],smakfullt,1
[Swedish],smutsig,1
[Swedish],sm?,1
[Swedish],snart,1
[Swedish],snyggt,1
[Swedish],solskensdag,1
[Swedish],sommar,1
[Swedish],sommardag,1
[Swedish],spela,1
[Swedish],spendera,1
[Swedish],sport,1
[Swedish],springa,1
[Swedish],staden,1
[Swedish],stan,1
[Swedish],strossa,1
[Swedish],str?va,1
[Swedish],studenter,1
[Swedish],studenterna,1
[Swedish],st?das,1
[Swedish],st?dat,1
[Swedish],st?ll,1
[Swedish],st?lle,1
[Swedish],st?llen,1
[Swedish],st?rre,1
[Swedish],svaar,1
[Swedish],svan,1
[Swedish],s?ker,1
[Swedish],s?dan,1
[Swedish],s?derut,1
[Swedish],tillfredsst?llt,1
[Swedish],tillf?lle,1
[Swedish],tilltagna,1
[Swedish],tittar,1
[Swedish],trevligt,1
[Swedish],tr?d,1
[Swedish],tr?kiga,1
[Swedish],turistar,1
[Swedish],underbar,1
[Swedish],upp,1
[Swedish],upplevas,1
[Swedish],uteservering,1
[Swedish],vackra,1
[Swedish],vara,1
[Swedish],vid,1
[Swedish],vilar,1
[Swedish],viner,1
[Swedish],vinter,1
[Swedish],vita,1
[Swedish],volleyboll,1
[Swedish],vollybollsplan,1
[Swedish],v?lbyggd,1
[Swedish],v?lordnad,1
[Swedish],v?lsk?tta,1
[Swedish],v?nlig,1
[Swedish],v?nner,1
[Swedish],v?rd,1
[Swedish],v?xthuset,1
[Swedish],v?r,1
[Swedish],v?rsolen,1
[Swedish],?ldre,1
[Swedish],?ter,1
[Swedish],?ldrar,1
[Swedish],?r,1
[Swedish],?rig,1
[Swedish],?ppet,1
