,index2,feature(1-50),frequency(1-50),feature(51-100),frequency(51-100),feature(101-150),frequency(101-150),feature(151-200),frequency(151-200),feature(201-250),frequency(201-250),feature(251-300),frequency(251-300),feature(301-350),frequency(301-350),feature(351-400),frequency(351-400),feature(401-450),frequency(401-450),feature(451-500),frequency(451-500),feature(501-550),frequency(501-550),feature(551-600),frequency(551-600),feature(551-616),frequency(551-616)
26,26,Garden,225,Daytime,68,Reservoir,22,Restaurant,11,Swimming pool,6,Crop,4,Construction,3,White,2,City car,1,Deciduous,1,Hacienda,1,Plant stem,1,,
27,27,Botany,222,Fountain,67,Riparian zone,21,Vacation,10,Cityscape,6,Warehouse,4,Port,3,Channel,2,Passenger car,1,Blizzard,1,Goats,1,Meteorological phenomenon,1,,
28,28,Home,211,Transport,65,Lane,20,Metropolis,10,Floodplain,6,Harbor,4,Compact car,3,Exercise equipment,2,Sand,1,Gazebo,1,Textile,1,Fair,1,,
29,29,Neighbourhood,187,Meadow,63,Walkway,20,Branch,10,Flag,6,Hut,4,Inventory,3,Tent,2,Junction,1,Toy,1,Shooting,1,Racquet sport,1,,
30,30,Public space,186,Reflection,60,Horizon,20,Gas,10,Shrubland,6,Rapeseed,4,Advertising,3,Community centre,2,Treadmill,1,Kitchen,1,Vehicle door,1,Cemetery,1,,
31,31,Urban area,186,Historic house,57,Freshwater marsh,20,Farmhouse,10,Villa,6,Baseball field,4,Watercraft,3,Bus stop,2,Tulip,1,Tradition,1,Shelf,1,Closet,1,,
32,32,Residential area,175,Sport venue,55,Chapel,20,Yellow,10,Salt marsh,6,Rest area,4,Track,3,Community,2,Grain,1,Fog,1,Swimming,1,Maze,1,,
33,33,Real estate,174,Water feature,49,Atmospheric phenomenon,20,Fish pond,10,Hay,6,Bird,4,Hedge,3,Material property,2,Stone carving,1,Stock photography,1,Composite material,1,Snout,1,,
34,34,Nature,171,Tourist attraction,48,Canal,19,Playground,10,Factory,6,Ruins,4,Creek,3,Swan,2,Auto part,1,Bicycle wheel,1,Barley,1,Caf?,1,,
35,35,Manor house,170,Flower,47,Freezing,18,Trail,10,Product,6,Soccer,4,Mustard,3,Fell,2,Jungle,1,Tunnel,1,Map,1,Tennis Equipment,1,,
36,36,Land lot,166,Leaf,47,Apartment,18,Floor,10,Games,6,Sports equipment,4,Family car,3,Train,2,Labyrinth,1,Trunk,1,Workshop,1,Air travel,1,,
37,37,Plant,158,Shrub,46,Seat of local government,18,Byzantine architecture,9,Coast,6,Courtyard,4,Water bird,3,Paddy field,2,Antique,1,Dog sports,1,Exercise machine,1,Obelisk,1,,
38,38,Grassland,156,Grass family,46,Stadium,18,Furniture,9,Soccer-specific stadium,6,Sunset,4,Basketball court,3,Fisheye lens,2,Pier,1,Weightlifting machine,1,Handrail,1,Concrete bridge,1,,
39,39,Cloud,154,Courthouse,44,Team sport,18,Line,9,Frost,6,Hardwood,4,Arena,3,Trade,2,Shot tower,1,Shooting sport,1,Ingredient,1,Arecales,1,,
40,40,Bank,151,Reflecting pool,43,Road surface,17,National historic landmark,9,Event,6,Crowd,4,Canola,3,Concrete,2,Running,1,Highway,1,Artificial turf,1,Ship,1,,
41,41,Water resources,148,Winter,41,Fortification,17,Atmosphere,9,Fuel,6,Arroyo,4,Slope,3,Land vehicle,2,Levee,1,Strength training,1,Animal sports,1,Logo,1,,
42,42,Historic site,133,Wilderness,41,Fen,17,Team,9,Goal,6,Ditch,4,Dusk,3,Baseball park,2,Harvest,1,Diner,1,Air sports,1,Reinforced concrete,1,,
43,43,Nature reserve,132,Cottage,39,Autumn,16,Fun,8,Iron,6,Marina,4,Ancient roman architecture,3,Canopy,2,Cabinetry,1,Mass production,1,Cuisine,1,Outhouse,1,,
44,44,Vegetation,130,Brick,38,Room,16,Outlet store,8,Table,6,Listed building,4,Mustard plant,3,Driveway,2,Classical sculpture,1,Toyota prius,1,Italian food,1,Winter storm,1,,
45,45,Steeple,128,Commercial building,37,Window,16,Dirt road,8,Panorama,6,Black-and-white,4,Boat,3,Rolling stock,2,Skeet shooting,1,Golf club,1,Tournament,1,Tall ship,1,,
46,46,Botanical garden,126,Landscaping,36,Geological phenomenon,16,Ceiling,8,Glass,6,Fast food,4,Freeway,3,Loch,2,Intersection,1,Tire,1,Ocean,1,Toolroom,1,,
47,47,River,121,Car,36,Retail,15,Observation tower,8,Basilica,6,Gym,4,Log cabin,3,Parking,2,Woodland,1,Polder,1,Boating,1,Vintage car,1,,
48,48,Park,121,Woody plant,35,Statue,15,Night,8,Wood,5,Fast food restaurant,4,Backyard,3,Path,2,Mountainous landforms,1,water lily,1,Barware,1,Water castle,1,,
49,49,Lawn,118,Recreation,34,Mountain,15,Cumulus,8,Livestock,5,Blue,4,Tennis court,3,Championship,2,Playground slide,1,Musical instrument,1,Music,1,Bar,1,,
