Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
105,Lund_01242,Building,Estate,Mansion,Palace,Landmark,Architecture,Stately home,Official residence,Château,Historic house,Lundagérd 9,Zoltan Botka, Feb 2018
108,Lund_03042,Dirt road,Pasture,Road,Land lot,Rural area,Grass,Trail,Grass family,Thoroughfare,Shrubland,Rinnebick Gorge,T ) Thomas Hildebre, Oct 2018
115,Lund_02377,Home,Property,House,Lighting,Building,Sky,Real estate,Night,Architecture,Cottage,Ljungs Handel ¢,K @ Kent Olsson, Jan 2018
118,Lund_01974,Landmark,Architecture,Sky,Building,Town,City,Tower,Steeple,Urban area,Clock tower,Lund Cathedral,@ akram alqutaifan, Jul 2018
121,Lund_02630,First-class cricket,Goal,Grass,Soccer,Sky,Sport venue,Team sport,Player,Sports equipment,Net,Klostergérdens IP,Florian Weissbac, Sep 2018
125,Lund_01884,Building,Landmark,Architecture,Town,Stately home,City,Facade,Palace,Sky,Estate,University Library,R G074, Jun 2018
126,Lund_02581,Landmark,Garden,Botany,Tree,Park,Botanical garden,Monument,Building,Architecture,Recreation,Lundagérd ¢,@ Ingvar Olsson, Jul 2018
139,Lund_01716,Property,House,Home,Cottage,Roof,Building,Real estate,Architecture,Rural area,Hut,Kulturen 8,' Lars Skough, Jul 2018
141,Lund_01100,Aerial photography,Landmark,Bird's-eye view,Urban area,City,Building,Architecture,Metropolitan area,Photography,Landscape,Ideon Science Park,'?:“ jan kees dommis, Mar 2018
144,Lund_02592,Natural landscape,Pasture,Land lot,Natural environment,Field,Rural area,Fence,Tree,Farm,Grassland,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
146,Lund_02850,Landmark,Architecture,Building,Water,Sky,Estate,Mansion,Tree,Palace,Stately home,Botanical Garden,Jens Jgrgen Lykk, Apr 2018
147,Lund_02179,Building,Property,Architecture,Real estate,House,Home,Shade,,,,|2 ECEN TR 2 2 21 E,Thomas Boo, Sep 2018
148,Lund_01508,Water,Tree,Botany,Architecture,Fountain,Sky,Reflecting pool,Park,Garden,Water feature,Lundagérd,NG P NEE T, Jul 2018
157,Lund_01097,Reflection,Nature,Water,Natural landscape,Pond,Vegetation,Green,Water resources,Waterway,Nature reserve,Botanical Garden,@ Hans Jirgen Klai, Sep 2018
160,Lund_01173,Landmark,Building,Town,Public space,Human settlement,Tree,City,College,Stately home,Architecture,Lundagérd,Ivan Anikienko, Jan 2018
162,Lund_00719,Landmark,Water,Fountain,Sky,Architecture,Garden,Botanical garden,Botany,Tree,Water feature,Lundagérd,S GEERS Wy, Aug 2018
165,Lund_01722,Building,City,Architecture,Town,Property,Human settlement,Landmark,Neighbourhood,Public space,Mixed-use,Lundagérd,'v Rafael Schwartz, May 2018
168,Lund_01787,Landmark,Sky,Tree,Garden,Architecture,Botany,Building,Grass,Steeple,Park,Lundagérd,Benjamin Kiintze, Aug 2018
174,Lund_01168,Body of water,Natural landscape,Bank,Water resources,Pond,Nature,Water,Watercourse,River,Natural environment,Stadsparken ¢,ﬂ Wiestaw Buda, May 2018
175,Lund_03197,Classical architecture,Building,Palace,Landmark,Architecture,Mansion,Château,Official residence,Facade,Estate,Lundagérd,(VI E R I GTET), Oct 2018
183,Lund_01649,Fountain,Water,Garden,Natural landscape,Grass,Water resources,Water feature,Botanical garden,Botany,Lawn,Stadsparken,@ Gheorghe Zamfir, Aug 2018
190,Lund_00518,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Place of worship,Facade,Cathedral,Sky,Church,[T L He 1 BT,% Hans Olav Nyma, Jul 2018
191,Lund_00395,Building,Property,Landmark,Architecture,Estate,Mansion,Palace,Official residence,Classical architecture,House,Lundagérd,M Marcel Mannens, Jun 2018
195,Lund_01369,Property,House,Estate,Natural landscape,Tree,Building,Botany,Shrub,Cottage,Garden,Botanical Garden,@. Raphael Libois, Jun 2018
196,Lund_01657,Landmark,Building,Architecture,Estate,Stately home,Tree,Palace,Mansion,Château,Classical architecture,[T L He 1 BT,% Hans Olav Nyma, Jul 2018
197,Lund_00497,Landmark,Building,Architecture,Sky,City,Town,Human settlement,Facade,Tourism,Church,Lund Cathedral ¢,Y U E T 7, Sep 2018
208,Lund_01388,Garden,Botanical garden,Green,Grass,Botany,Tree,Lawn,Shrub,Park,Landscaping,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018
216,Lund_00325,Building,Landmark,Architecture,Sky,Town,Tourism,City,Facade,Tourist attraction,Church,Lund Cathedral,"{:, Pascal BASROGE", Jun 2018
218,Lund_00107,Body of water,Shore,Water resources,Rock,Water,Coast,Bank,Waterway,Sea,Coastal and oceanic landforms,"‘é"" [N","‘é"" [N", Aug 2018
220,Lund_00635,Landmark,Architecture,Building,Medieval architecture,City,Facade,Tower,Cathedral,Steeple,Church,Lundagérd,@ 3Tl ), Apr 2018
222,Lund_01774,Classical architecture,Landmark,Architecture,Building,Monument,Facade,Statue,Sky,Tourist attraction,Column,Lundagérd,‘; Ago Pértelpoeg, Jun 2018
227,Lund_02619,Architecture,Sky,Property,Building,Wall,Church,House,Roof,Facade,Convent,Stora Raby Kyrka,T Takashi Tokushir, Aug 2018
230,Lund_02025,Property,Residential area,Building,Town,House,Neighbourhood,Architecture,Mixed-use,Real estate,Home,LBS Lund,Jonathan Lundbe, May 2018
232,Lund_00033,Natural landscape,Rapeseed,Field,Meadow,Canola,Nature,Grassland,Pasture,Natural environment,Land lot,"‘é"" [N","‘é"" [N", Aug 2018
239,Lund_01020,Monument,Landmark,Memorial,Historic site,National historic landmark,Architecture,Building,Tourist attraction,Tower,,Sankt Hans Hill,Q KHADIJA SAIDI, Sep 2018
245,Lund_02131,Medieval architecture,Architecture,Building,Tree,Church,Parish,Grass,Place of worship,Manor house,Estate,Lundagérd {,yﬂ Bogdan Kostiv, Feb 2018
247,Lund_02554,Natural landscape,Natural environment,Sky,Land lot,Grassland,Prairie,Plain,Ecoregion,Grass family,Road,[T 3,Q’ Ani Vera, Apr 2018 I
249,Lund_00102,Grassland,Land lot,Grass,Natural environment,Meadow,Pasture,Natural landscape,Road,Tree,Plain,[T G,% aysar Farman, Apr 2018
255,Lund_02079,Town,Building,Architecture,City,House,Medieval architecture,Almshouse,Facade,Street,History,Lund Botulfsplatsen,Joseph Mukama, Jan 2018
256,Lund_01501,Landmark,Tree,Sky,Garden,Botany,Public space,Park,Monument,Architecture,Statue,Lundagérd 9,Rainer Gesell, Jul 2018
263,Lund_00911,Landmark,Sky,Architecture,Building,Mansion,City,Estate,Town square,Palace,Tree,universita di lund mc,A) Anna Riggio, Aug 2018
264,Lund_01442,Pond,Bank,Natural landscape,Tree,Spring,Waterway,Botany,Botanical garden,Water,Garden,Botanical Garden,% watt, Apr 2018
267,Lund_00268,Building,Property,Architecture,Landmark,Classical architecture,House,Mansion,Estate,Real estate,Facade,Lundagérd,»@ Aktham Yousef, Jun 2018
271,Lund_01341,Property,Estate,Building,Mansion,Palace,Château,Stately home,Manor house,House,Architecture,Lundagérd ¢,prithvi shenoy, Jun 2018
274,Lund_02901,Boutique,Room,Building,Textile,Bazaar,Retail,Shopping,Market,Outlet store,Antique,Hep Cat Store,‘f ‘j Martin Lannerés, Aug 2018
278,Lund_00009,Building,Awning,Kiosk,,,,,,,,Ahlgrens Konfektyr,@ Hans Jirgen Klai, Sep 2018
280,Lund_02056,Building,Architecture,Landmark,Palace,Estate,Mansion,Property,Classical architecture,House,Sky,Lundagard ¢,21308, Aug 2018
281,Lund_00849,Building,Landmark,Town,Stately home,Estate,Human settlement,Architecture,City,Palace,Mansion,University Library,"C"":} Leszek A Gasien", Jul 2018
282,Lund_00921,Building,Estate,Mansion,Property,Palace,Landmark,Official residence,Classical architecture,Architecture,House,Lundagérd,@ Nigel Westwood, Jun 2018
283,Lund_02827,Landmark,Building,Mansion,Architecture,Estate,Property,Palace,Official residence,Stately home,City,Bantorget :,-@ PN, Jul 2018
285,Lund_02085,Natural landscape,Nature,Body of water,Reflection,Tree,Leaf,Natural environment,Pond,Vegetation,Bank,Botanical Garden,Niaz Haq, Sep 2018
289,Lund_02376,Home,Property,House,Lighting,Building,Sky,Real estate,Night,Architecture,Cottage,Ljungs Handel ¢,K @ Kent Olsson, Jan 2018
292,Lund_00378,Landmark,Building,Classical architecture,Architecture,Palace,Mansion,Official residence,Estate,Château,Sky,Lundagérd 9,A Anna Riggio, Aug 2018
295,Lund_03079,Home,Property,House,Lighting,Building,Sky,Real estate,Night,Architecture,Cottage,Ljungs Handel ¢,K @ Kent Olsson, Jan 2018
297,Lund_02480,Estate,Property,Lawn,Natural landscape,House,Grass,Leaf,Tree,Land lot,Home,Vasaplatsen,@ Tim Scharinger, Oct 2018
298,Lund_00099,House,Property,Architecture,Building,Landmark,Estate,Mansion,Home,Tree,Sky,%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018
299,Lund_00674,Building,Architecture,Landmark,Sky,City,Medieval architecture,Town,Cathedral,Church,Place of worship,"[T, T o1 T T T","-'.""""‘\ Darth Dane", Aug 2018
303,Lund_01446,Building,Estate,Mansion,Stately home,Palace,Architecture,Sky,City,Tree,Official residence,Lundagérd 9,‘gp Patrizia Sichi, Apr 2018
304,Lund_00305,Estate,Building,Property,Mansion,Landmark,Classical architecture,Palace,Stately home,Architecture,Official residence,University Hall audit,:Tﬁ Guillermo Fronte, Sep 2018
319,Lund_02237,Building,Convenience store,,,,,,,,,CircleK,g Accede'To Vegar, Jun 2018
328,Lund_02660,Gym,Exercise machine,Floor,Physical fitness,Sport venue,Exercise equipment,Room,Treadmill,Flooring,Interior design,Fitness24Seven,@ Simone Pellegrin, Mar 2018
331,Lund_01311,Building,Estate,Property,Landmark,Mansion,Palace,Architecture,Official residence,Stately home,House,Lundagérd 9,Maxime LMA, Aug 2018
336,Lund_00942,Landmark,Architecture,Sky,Building,City,Town,Church,Cathedral,Place of worship,Medieval architecture,Lund Cathedral ¢,Y Y 7, Sep 2018
337,Lund_00494,Building,Estate,Mansion,Palace,Official residence,Property,Stately home,Château,Architecture,Classical architecture,Lundagérd 9,S  Sheila Sang, Aug 2018
343,Lund_01553,Garden,Nature,Botanical garden,Natural landscape,Tree,Leaf,Plant,Autumn,Botany,Spring,Stadsparken,5 m Anna Sadowska, Oct 2018
345,Lund_00606,Landmark,Architecture,Building,Medieval architecture,Sky,Church,Classical architecture,Place of worship,Cathedral,Historic site,Lund Cathedral,(Q 7 Paulina Belenitsk, Sep 2018
349,Lund_02620,Natural landscape,Natural environment,Water,Nature reserve,Freshwater marsh,Marsh,Tree,Fen,Wetland,Bank,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
354,Lund_01192,Water,Landmark,Waterway,Reflection,Reflecting pool,Botany,Tree,Architecture,River,Sky,Lundagérd,S GEERS Wy, Aug 2018
356,Lund_02287,Architecture,Building,Facade,Community centre,House,Mixed-use,City,,,,Klostergérdens bibli,:’ Anna Welander T, Mar 2018
358,Lund_02699,Landmark,Architecture,Botany,Flower,Plant,Garden,Spring,Building,House,Estate,Lundagérd,D) David Bengtsson, May 2018
361,Lund_00077,Medieval architecture,Landmark,Building,Architecture,Historic site,Statue,Brick,Place of worship,Church,Monument,"‘é"" [N","‘é"" [N", Aug 2018
379,Lund_01215,Estate,Building,Palace,Mansion,Stately home,Château,Property,Official residence,Manor house,Classical architecture,Kungshuset,Jessica Persson, Jun 2018
384,Lund_00026,Building,Landmark,Architecture,Church,Tree,Parish,Spire,Steeple,College,Estate,"%, Juliane Vigan6","%, Juliane Vigan6", Apr 2018
386,Lund_02750,Factory,Industry,Steel,Machine,Metal,Building,Hall,,,,MAX IV Laboratory,""" John Eckerdal", Sep 2018
387,Lund_01579,Natural landscape,Natural environment,Nature reserve,Fen,Bank,Water resources,Land lot,Wetland,Pasture,Grassland,Férhagar (Hundrastg,K Kalle Andersson, May 2018
389,Lund_01838,Landmark,Architecture,Building,Tree,Dome,Sky,Grass,City,Stately home,Medieval architecture,[T T o1 T 1T,@ iR, May 2018
392,Lund_01730,Water,Water resources,Pond,Reflecting pool,Fish pond,Reservoir,Lake,Reflection,Botany,Bank,Killbybadet,Aleksander Szyci, Sep 2018
393,Lund_00829,Building,Estate,Landmark,Mansion,Architecture,Stately home,Château,Palace,Garden,House,[T 3,"""Q AL T", May 2018
398,Lund_02539,Property,Building,House,Architecture,Town,Facade,Home,Neighbourhood,Window,Residential area,=G T ¢,Ingvar Olsson, Jul 2018
399,Lund_01804,Building,Grass,Tree,Architecture,Public space,Campus,Spring,Estate,City,Lawn,Lundagérd 9,2 Nl, Apr 2018
403,Lund_02963,Building,Warehouse,Product,Inventory,Retail,Outlet store,Grocery store,Aisle,,,Biltema,‘ oA, Jan 2018
406,Lund_00193,Building,Winter,Tree,Property,Snow,Town,Architecture,Home,House,Estate,"‘é"" [N","‘é"" [N", Aug 2018
407,Lund_02906,Rock,Sculpture,Tree,Art,Megalith,Landscape,Plant,Boulder,Environmental art,Monument,Stadsparken,A Aleksander Szyci, Oct 2018
426,Lund_00591,Building,Landmark,Palace,Estate,Classical architecture,Architecture,Mansion,Official residence,Stately home,Presidential palace,Lundagérd,@ Sebastian Sese K, Jun 2018
427,Lund_02329,Plant community,Soil,Shrubland,Grass family,Land lot,Grass,Tree,Landscape,Rural area,Hill,Rinnebick Gorge 2,Tomas Kulle, Jul 2018
428,Lund_02719,Community,Grass,Grassland,Spring,Sky,Competition event,Recreation,Park,Lawn,Event,Klostergérdens IP,il VPN YT 1o (o)), Jun 2018
429,Lund_00974,Building,Architecture,Landmark,Church,Medieval architecture,Sky,Place of worship,Tree,Facade,Cathedral,Lundagérd,& Nicolas Brochu, Jun 2018
435,Lund_00965,Medieval architecture,Landmark,Architecture,Building,Gothic architecture,Cathedral,Place of worship,Classical architecture,Facade,Steeple,[T T o1 T 1T,PRI RN, Apr 2018
438,Lund_01785,Property,House,Building,Home,Real estate,Architecture,Tree,Neighbourhood,Roof,Residential area,Scandic Star Lund,Conny Flink, Jul 2018
439,Lund_02148,Building,Property,Sky,Architecture,Estate,Landmark,Mansion,House,Town,Residential area,Kulturen,Rashid almalkh z, Jul 2018
447,Lund_02402,Sky,Natural landscape,Natural environment,Pasture,Cloud,Morning,Grass,Grassland,Field,Horizon,L TR TR,- ATl, Jul 2018
450,Lund_00087,Marina,Boat,Vehicle,Water transportation,Harbor,Watercraft,Dock,Port,Waterway,Mast,"‘é"" [N","‘é"" [N", Aug 2018
459,Lund_00515,Classical architecture,Building,Landmark,Architecture,Palace,Facade,Mansion,Sky,Estate,Courthouse,Lundagérd,T ) Terese Larsson E, Jul 2018
467,Lund_03198,Architecture,Building,Landmark,Medieval architecture,Cathedral,Place of worship,Gothic architecture,Church,Spire,City,[T T o1 T T T,Piyush Goyal, Sep 2018
468,Lund_01647,Building,Landmark,Mansion,Estate,Architecture,Palace,Stately home,Classical architecture,Official residence,House,Lundagérd 9,\g Piyush Goyal, Sep 2018
469,Lund_01729,Landmark,Sky,Architecture,Building,Church,City,Tower,Place of worship,Cathedral,Facade,[T T o1 T T T,SIS TS, Jun 2018
481,Lund_01259,Building,Landmark,Property,Architecture,Mansion,Palace,Estate,House,Spring,Official residence,Lundagérd,Peter Wolf, Jun 2018
485,Lund_00186,Snow,Tree,Winter,Grass,Water,Spring,House,Plant,Branch,Freezing,"‘é"" [N","‘é"" [N", Aug 2018
490,Lund_00335,Architecture,Building,Sky,Palace,Facade,City,Tourism,Cloud,Plaza,House,Botanical Garden,L AL e, Sep 2018
493,Lund_00144,Town,Pedestrian,Building,City,Human settlement,Street,Neighbourhood,Architecture,Downtown,Tourism,"‘é"" [N","‘é"" [N", Aug 2018
499,Lund_00261,Estate,Building,Mansion,Property,Palace,Landmark,Official residence,Architecture,Stately home,House,Lundagérd,S GEERS Wy, Aug 2018
500,Lund_01666,Property,Building,House,Home,Real estate,Estate,Architecture,Manor house,Mansion,Facade,Kulturen 8,' Lars Skough, Jul 2018
502,Lund_00996,Reflection,Water,Nature,Pond,Sky,Waterway,River,Tree,Bank,House,Botanical Garden,w@: Andreas Gillberg, Jul 2018
507,Lund_01820,Landmark,Building,Mansion,Estate,Architecture,Sky,Property,Palace,Stately home,Tree,[T T VT,(é 7 Paulina Belenitsk, Sep 2018
510,Lund_00627,Property,Landmark,Architecture,Building,Town,Brick,House,Urban area,Estate,Sky,LUX building (Lund U,@ 2L U@, Mar 2018
513,Lund_02760,Sport venue,Net,Player,Grass,Team sport,Goal,Stadium,Fence,Sports,Team,Klostergérdens IP,M) Matthew H. Motz, Apr 2018
521,Lund_01932,Landmark,Medieval architecture,Building,Architecture,Tree,Historic site,Estate,Tower,Arch,Château,Lundagérd,L4 f Oldfich Kamensk, Aug 2018
526,Lund_02711,Property,Door,Home door,Window,Building,House,Real estate,Room,Home,Screen door,Frisk o Vacker Hudvi,(‘?‘ Estee Lavinen, May 2018
534,Lund_00889,Medieval architecture,Landmark,Building,Town,Historic site,Architecture,Sky,Human settlement,City,Wall,Lundagérd,prashant singh, Sep 2018
535,Lund_01238,Landmark,Building,Architecture,Historic site,Classical architecture,Facade,Sky,Tower,City,Plaza,Lund Cathedral ¢,@. Ronald T., Jun 2018
538,Lund_01115,Estate,Building,Property,Palace,House,Château,Mansion,Tree,Architecture,Stately home,Lundagérd 9,*g Bogdan Tatar, Aug 2018
542,Lund_03110,Water,Reflecting pool,Fountain,Water feature,Grass,Photography,Architecture,Landscape,Landscaping,Park,LT TR G,a (VI E R I GTET), Oct 2018
545,Lund_01088,Building,Rest area,Sky,Fast food restaurant,Fast food,Restaurant,,,,,MAX 8,ﬁ Pepijn Fens, Jul 2018
550,Lund_02650,Natural landscape,Land lot,Vegetation,Grassland,Natural environment,Grass,Atmospheric phenomenon,Pasture,Nature reserve,Field,Nobbelbvs mosse,Q Peter Nordensva, Aug 2018
553,Lund_01615,Tree,Architecture,Landmark,Building,Estate,Spring,Château,Medieval architecture,Grass,Stately home,Kulturen,leva Eglite, Mar 2018
562,Lund_02215,Transport,Architecture,Scaffolding,Construction,Vehicle,Photography,Building,Panorama,Stadium,Sport venue,Kollektgatan,Matthew H. Motz, Jun 2018
567,Lund_00565,Landmark,Building,Architecture,Property,Town,Estate,Stately home,City,Château,House,Katedralskolan,% Zina Mazurkevyc, Jun 2018
569,Lund_00221,Building,Estate,Mansion,Property,Classical architecture,Architecture,Landmark,Palace,Official residence,Stately home,Lundagérd ¢,m ionel silvestru, Aug 2018
571,Lund_00126,Landmark,Building,Architecture,Property,Stately home,Classical architecture,Château,Estate,Facade,Mansion,@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
572,Lund_01330,Tree,Medieval architecture,Building,Architecture,Estate,Woody plant,Château,Plant,Historic site,Church,Lundagérd,Nigel Westwood, Jun 2018
574,Lund_01513,Road,Natural landscape,Green,Grass,Pasture,Lane,Natural environment,Asphalt,Grassland,Thoroughfare,Sankt Hans Hill,Rafael Schwartz, May 2018
581,Lund_00546,Sky,Property,Garden,Town,Public space,Building,Estate,Botany,Spring,Architecture,Lundagérd,%S Orlando Medina, May 2018
593,Lund_00231,Landmark,Building,Architecture,Sky,City,Town,Human settlement,Facade,Palace,Classical architecture,[T T VT,%~ Juliane Vigan6, Apr 2018
598,Lund_01422,Building,Landmark,Architecture,Facade,City,Palace,Place of worship,Medieval architecture,Tourism,Town square,[T T o1 T T,Frank Stédler, Jul 2018
601,Lund_01975,Natural landscape,Nature,Reflection,Tree,Natural environment,Leaf,Water,Nature reserve,Wilderness,Autumn,Botanical Garden,Sisse Nesgaard, Sep 2018
604,Lund_01200,Fountain,Water,Garden,Water feature,Sky,Water resources,Botany,Grass,Botanical garden,Architecture,Stadsparken,Athanasios Simo, Sep 2018
615,Lund_00891,Classical architecture,Building,Landmark,Architecture,Facade,Palace,City,Mansion,House,Estate,Lundagérd,& Bea Kovacsovics, Mar 2018
618,Lund_01712,Natural landscape,Body of water,Nature,Bank,Tree,River,Reflection,Natural environment,Waterway,Water,Stadsparken,5 a Anna Sadowska, Oct 2018
619,Lund_00164,Shore,Coast,Property,Sea,Land lot,Sky,House,Coastal and oceanic landforms,Beach,Cottage,"‘é"" [N","‘é"" [N", Aug 2018
620,Lund_02465,Sky,Grass,Cloud,Grassland,Team,Competition event,Team sport,Player,Games,Sport venue,Linero IP,a abomaryam abds, Aug 2018
628,Lund_02764,Sky,Grass,Cloud,Team,Crowd,Recreation,Competition event,Mountain,Vehicle,Grassland,Klostergérdens IP,il VPN YT 1o o)), Jun 2018
640,Lund_01802,Landmark,Architecture,Building,Medieval architecture,Tower,Historic site,Observation tower,Tree,Facade,Château,Lundagérd 8,@ Daniel Klein, Aug 2018
645,Lund_01674,Landmark,Medieval architecture,Architecture,Building,Place of worship,Sky,Church,Cathedral,Gothic architecture,Steeple,[T T e T T T,g ISR e, Sep 2018
652,Lund_01343,Landmark,Architecture,Medieval architecture,Building,Classical architecture,Church,Place of worship,Sky,Steeple,Cathedral,[T L He 1 BT,[iaHa MpUILKYH, Jul 2018
655,Lund_01012,Property,Tree,Landmark,Architecture,Building,Town,Spring,House,Public space,Mansion,Lundagérd,r  rawlings nechavz, May 2018
656,Lund_02613,Natural landscape,Grassland,Sky,Prairie,Natural environment,Meadow,Field,Grass,Pasture,Evening,L TR TR,\ARYIE T EEG RV ED, Jun 2018
665,Lund_02333,Building,Property,Architecture,Commercial building,Real estate,City,Facade,Mixed-use,House,Hotel,Scandic Star Lund,C ) Conny Flink, Jul 2018
668,Lund_01223,Sky,Property,Architecture,Town,Public space,Building,City,Tree,Town square,House,Lundagérd 9,ﬂ»«;‘ B, Jul 2018
672,Lund_00128,Architecture,Town,Building,Landmark,Brick,Facade,Wall,Tourism,City,Sky,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
673,Lund_00676,City,Building,Town,Human settlement,Architecture,Landmark,Neighbourhood,Public space,Town square,Plaza,[T e T T T,@ Daniel Klein, Aug 2018
676,Lund_01625,Town,Property,City,Building,Roof,Human settlement,Neighbourhood,Urban area,Tree,Residential area,A LG,Jonte Eckhardt, May 2018
681,Lund_00960,Classical architecture,Building,Architecture,Landmark,Facade,Mansion,Palace,Courthouse,Estate,Official residence,Lundagérd 8,:‘ Sufian Kamel, May 2018
685,Lund_01736,Natural landscape,Pasture,Green,Grassland,Road,Natural environment,Grass,Field,Meadow,Sky,Férhagar (Hundrastg,K Kalle Andersson, May 2018
687,Lund_00937,Landmark,Estate,Building,Sky,Château,Architecture,Tree,Palace,Grass,Castle,Stadsparken ¢,f} Filipe Naif, Jun 2018
693,Lund_00486,Estate,Mansion,Building,Landmark,Property,Palace,Architecture,Stately home,Official residence,Presidential palace,Lundagérd,@ Felicia Johansso, May 2018
696,Lund_01440,Pond,Bank,Natural landscape,Tree,Spring,Waterway,Botany,Botanical garden,Water,Garden,Botanical Garden,FRiRf, Apr 2018
706,Lund_03038,Road,Infrastructure,Sky,Asphalt,Land lot,Road surface,Thoroughfare,,,,MAX IV Laboratory,Florian Weissbac, Jun 2018
709,Lund_03164,Vegetation,Natural landscape,Nature,Nature reserve,Plant community,Wilderness,Biome,Natural environment,Riparian zone,Tree,Rinnebiéck Gorge,% Daniel Nilsson, Jun 2018
716,Lund_00767,Building,Estate,Landmark,Mansion,Property,Palace,Architecture,Sky,House,Official residence,Lundagérd,‘ Hakan Dahlstromn, Aug 2018
